benchmark,outer_fold,subject_id,role,base_kind,component_id,family,strength,c_value,group,history_base_ce,history_base_ba,history_margin_mean,history_margin_std,history_entropy_mean,history_prototype_separation,history_gradient_norm,history_session_drift,history_samples,update_rms,update_mean_abs,history_component_ce_gain,history_component_ba_gain,P_persistence,D_decision_dependence,G_task_overlap,R_history_transfer,split_update_disagreement,U_signed_utility_prior,future_ce_gain,future_ba_gain,meta_query_label_used_for_utility_target,evaluation_future_label_used_for_controller_fit,OUTER_TEST_USED,predicted_utility,predicted_sigma,controller_mode
OpenBMI_MI_S1_to_S2,0,13,outcome_evaluation,raw,META_SGD_PC_GROUP_03,projected_gradient,0.5,0.1,3,0.42261642000555094,0.8300000000000001,1.7136524701863527,1.1235889783746396,0.4361995456337428,4.003615117617352,0.35435893706166094,0.0,100.0,0.5,0.4221544786624143,0.021803045658774278,-0.020000000000000018,0.6422062701195229,0.1,0.22291108314526975,0.007484081745258581,0.38957829903499797,0.0,-0.002657692363137565,0.010000000000000009,False,False,False,-0.00528817671748504,0.017066025358691707,META_GENERIC
OpenBMI_MI_S1_to_S2,0,13,outcome_evaluation,raw,META_SGD_PC_GROUP_04,projected_gradient,0.5,0.1,4,0.42261642000555094,0.8300000000000001,1.7136524701863527,1.1235889783746396,0.4361995456337428,4.003615117617352,0.35435893706166094,0.0,100.0,0.4999999999999999,0.3921484517128141,0.03312447921509831,-0.020000000000000018,-0.11049284266574809,0.04,0.2773804601887565,-0.010877384142752161,0.6703114432186696,0.0,-0.045409066479855875,-0.040000000000000036,False,False,False,-0.004855071156031798,0.01658392600798593,META_GENERIC
OpenBMI_MI_S1_to_S2,0,13,outcome_evaluation,raw,META_SGD_PC_GROUP_05,projected_gradient,0.5,0.1,5,0.42261642000555094,0.8300000000000001,1.7136524701863527,1.1235889783746396,0.4361995456337428,4.003615117617352,0.35435893706166094,0.0,100.0,0.5,0.4128939201964644,0.033046899835294574,-0.010000000000000009,0.280520530214049,0.03,0.27991001228402584,-0.002485586302621301,0.5480867362310725,0.0,-0.004538347028952283,-0.010000000000000009,False,False,False,-0.006364968412191942,0.014601525493944771,META_GENERIC
OpenBMI_MI_S1_to_S2,0,13,outcome_evaluation,raw,META_SGD_PC_GROUP_06,projected_gradient,0.5,0.1,6,0.42261642000555094,0.8300000000000001,1.7136524701863527,1.1235889783746396,0.4361995456337428,4.003615117617352,0.35435893706166094,0.0,100.0,0.5,0.4009355477933456,0.019844888889365142,0.010000000000000009,-0.06551357956554993,0.07,0.20503573595973903,-0.025611048214465165,0.6710574039211538,0.0,0.007437858754220483,0.020000000000000018,False,False,False,-0.005863481972579404,0.015873017374343594,META_GENERIC
OpenBMI_MI_S1_to_S2,0,13,outcome_evaluation,raw,META_SGD_PC_GROUP_07,projected_gradient,0.5,0.1,7,0.42261642000555094,0.8300000000000001,1.7136524701863527,1.1235889783746396,0.4361995456337428,4.003615117617352,0.35435893706166094,0.0,100.0,0.49999999999999994,0.3983020156404221,0.045182418055942974,0.029999999999999916,0.7659261739251672,0.07,0.3513673178933593,0.031976710985191004,0.3239113165082234,0.0,-0.02060662227935678,-0.040000000000000036,False,False,False,-0.0033592218679866994,0.018853991675510558,META_GENERIC
OpenBMI_MI_S1_to_S2,0,14,outcome_evaluation,raw,CALIBRATE_C01_A50,calibration,0.5,0.1,-1,0.465458973584906,0.75,1.964633994475007,1.2927340504075278,0.39815078419884664,4.141514865831933,0.2665040009994892,0.0,100.0,0.4131204147478774,0.3411035331147751,0.011473996757119131,0.020000000000000018,0.9809288175873547,0.02,0.1002857099467304,0.007508823245480634,0.15320748417536045,0.0,0.013261224220952217,0.0,False,False,False,-0.00934872883693959,0.00952330825004375,META_GENERIC
OpenBMI_MI_S1_to_S2,0,14,outcome_evaluation,raw,CALIBRATE_C1_A50,calibration,0.5,1.0,-1,0.465458973584906,0.75,1.964633994475007,1.2927340504075278,0.39815078419884664,4.141514865831933,0.2665040009994892,0.0,100.0,0.30279857557960965,0.24994926263561687,0.012550856501863605,0.020000000000000018,0.47478750136973474,0.02,0.1337087597282256,0.004035113670620094,0.366855910136055,0.0,0.00825258937908524,0.0,False,False,False,-0.0017407382750830275,0.0161905422776512,META_GENERIC
OpenBMI_MI_S1_to_S2,0,14,outcome_evaluation,raw,RIDGE_C001_A50,ridge_head,0.5,0.01,-1,0.465458973584906,0.75,1.964633994475007,1.2927340504075278,0.39815078419884664,4.141514865831933,0.2665040009994892,0.0,100.0,0.6940791938994881,0.5802169168806556,0.021363443380945424,0.020000000000000018,0.9910282282665472,0.02,0.13423152237233002,0.003508701063520664,0.1360422255233721,0.0,0.010447004220222766,0.0,False,False,False,-0.01683604499134359,0.020866845461307317,META_GENERIC
OpenBMI_MI_S1_to_S2,0,14,outcome_evaluation,raw,RIDGE_C01_A50,ridge_head,0.5,0.1,-1,0.465458973584906,0.75,1.964633994475007,1.2927340504075278,0.39815078419884664,4.141514865831933,0.2665040009994892,0.0,100.0,0.4483041513562428,0.3665293965297468,0.0836004779334672,0.08999999999999997,0.5813589097401507,0.09,0.543121409678744,0.013366394798155962,0.5008438764333024,0.0,-0.019700028220249022,-0.020000000000000018,False,False,False,-0.00481199167908512,0.022785530372961497,META_GENERIC
OpenBMI_MI_S1_to_S2,0,14,outcome_evaluation,raw,RIDGE_C1_A50,ridge_head,0.5,1.0,-1,0.465458973584906,0.75,1.964633994475007,1.2927340504075278,0.39815078419884664,4.141514865831933,0.2665040009994892,0.0,100.0,0.9948520057900002,0.819978483147349,0.2010022836616679,0.17000000000000004,0.15329977645861556,0.17,0.6591999818401004,-0.016799488448023703,1.3752134221935082,0.0,-0.14596653855197883,-0.050000000000000044,False,False,False,-0.021590262293383296,0.055445984760109375,META_GENERIC
