benchmark,outer_fold,subject_id,component_id,P_persistence,G_task_overlap,R_history_transfer,future_ce_gain,future_ba_gain,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,0,25,META_SGD_PC_GROUP_05,-0.2804144578937984,0.3230870334691933,-0.02163719999720462,-0.004425491812433721,0.0,False
OpenBMI_MI_S1_to_S2,0,25,META_SGD_PC_GROUP_06,0.14760349204071374,0.31205047462017504,-0.0038816536951671032,-0.0031171242960488475,0.0,False
OpenBMI_MI_S1_to_S2,0,25,META_SGD_PC_GROUP_07,-0.32117037554840183,0.2921034235007757,-0.03416313321783085,-0.011867712602376922,0.0,False
OpenBMI_MI_S1_to_S2,0,29,META_SGD_FULL_S025,0.4668481627509643,0.3785339215797491,0.009033340298591125,-0.0005482124293621493,-0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,29,META_SGD_FULL_S050,0.46684816275096436,0.3785339215797491,0.013953744015483521,-0.003343119251443205,-0.020000000000000018,False
OpenBMI_MI_S1_to_S2,0,29,META_SGD_PC_GROUP_00,0.4661907385867227,0.319333871515238,0.011435374055977193,-0.00755857675412161,-0.020000000000000018,False
OpenBMI_MI_S1_to_S2,0,29,META_SGD_PC_GROUP_01,-0.006135506489535209,0.2057287778842973,-0.01024020893695321,-0.01227649208294182,-0.019999999999999907,False
OpenBMI_MI_S1_to_S2,0,29,META_SGD_PC_GROUP_02,0.8669452616029617,0.3380158360717583,0.03729764528754706,0.014558902966175319,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,29,META_SGD_PC_GROUP_03,-0.692875367533119,0.20837804335799773,-0.050092287999987134,0.021785309609074016,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,29,META_SGD_PC_GROUP_04,0.48874514972487737,0.3142107120680486,0.01437670705144789,0.0007136228725677374,0.0,False
OpenBMI_MI_S1_to_S2,0,29,META_SGD_PC_GROUP_05,-0.030538061911960953,0.19747221274069962,-0.01557098651782804,-0.013373442954391912,-0.039999999999999925,False
OpenBMI_MI_S1_to_S2,0,29,META_SGD_PC_GROUP_06,0.7313665119921627,0.28094649452104914,0.01899796688179864,0.013489478943863376,0.0,False
OpenBMI_MI_S1_to_S2,0,29,META_SGD_PC_GROUP_07,0.346367657592448,0.31999208926159317,0.015994404500100562,0.0042856815619363164,-0.009999999999999898,False
OpenBMI_MI_S1_to_S2,0,8,META_SGD_FULL_S025,0.8897947939611841,0.3342839803426176,0.01854057371900486,-3.819390899106878e-05,0.029999999999999916,False
OpenBMI_MI_S1_to_S2,0,8,META_SGD_FULL_S050,0.8897947939611844,0.3342839803426176,0.02843856614133833,-0.004703863550326204,0.019999999999999907,False
OpenBMI_MI_S1_to_S2,0,8,META_SGD_PC_GROUP_00,0.8888231958063068,0.2511872721283885,0.01861240140194509,-0.005916975338412539,0.019999999999999907,False
OpenBMI_MI_S1_to_S2,0,8,META_SGD_PC_GROUP_01,0.8955484847290501,0.34654106393714695,0.030679432420470276,-0.01643495294672309,-1.1102230246251565e-16,False
OpenBMI_MI_S1_to_S2,0,8,META_SGD_PC_GROUP_02,0.8986247294536027,0.491534659426865,0.049417579269219136,0.0047876475519069706,0.029999999999999916,False
OpenBMI_MI_S1_to_S2,0,8,META_SGD_PC_GROUP_03,0.9234041474587095,0.4119275899274303,0.03668069455221404,2.731274413553253e-06,0.029999999999999916,False
OpenBMI_MI_S1_to_S2,0,8,META_SGD_PC_GROUP_04,0.547560548132511,0.4103913797941562,0.027409099308195517,-0.03677250039355834,-0.020000000000000018,False
OpenBMI_MI_S1_to_S2,0,8,META_SGD_PC_GROUP_05,0.9074730274628269,0.30012725769702364,0.024514088399669925,-0.010288288603842288,0.029999999999999916,False
OpenBMI_MI_S1_to_S2,0,8,META_SGD_PC_GROUP_06,0.9835910381211088,0.4234846119992098,0.04947451168429942,3.379779410489503e-05,0.009999999999999898,False
OpenBMI_MI_S1_to_S2,0,8,META_SGD_PC_GROUP_07,0.6919128648289883,0.3138455265627746,0.015789898723910595,0.0019152264842700328,0.009999999999999898,False
OpenBMI_MI_S1_to_S2,0,28,META_SGD_FULL_S025,0.7600727280718755,0.3195311235290318,0.0015434487946948544,0.0025684674864611123,-0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,28,META_SGD_FULL_S050,0.7600727280718753,0.31953112352903185,0.002238915575711778,0.0042088344806864575,-0.010000000000000009,False
OpenBMI_MI_S1_to_S2,0,28,META_SGD_PC_GROUP_00,0.8158468340653147,0.2838403084934925,0.00407907674676565,0.004385406246640217,-0.010000000000000009,False
