benchmark,outer_fold,subject_id,role,base_kind,component_id,family,strength,c_value,group,history_base_ce,history_base_ba,history_margin_mean,history_margin_std,history_entropy_mean,history_prototype_separation,history_gradient_norm,history_session_drift,history_samples,update_rms,update_mean_abs,history_component_ce_gain,history_component_ba_gain,P_persistence,D_decision_dependence,G_task_overlap,R_history_transfer,split_update_disagreement,U_signed_utility_prior,future_ce_gain,future_ba_gain,meta_query_label_used_for_utility_target,evaluation_future_label_used_for_controller_fit,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,0,4,meta_train,raw,RIDGE_C01_A50,ridge_head,0.5,0.1,-1,0.4414073736459162,0.77,1.82984280154109,1.161858544183496,0.41355536027328293,4.537619288305067,0.39139033798022815,0.0,100.0,0.6806596447306636,0.5579787084613909,0.12910994638329515,0.08999999999999997,0.6957148354606993,0.11,0.628012972004145,0.058387744562605315,0.47520279789968883,0.0,0.023641138930241445,0.0,True,False,False
OpenBMI_MI_S1_to_S2,0,4,meta_train,raw,RIDGE_C1_A50,ridge_head,0.5,1.0,-1,0.4414073736459162,0.77,1.82984280154109,1.161858544183496,0.41355536027328293,4.537619288305067,0.39139033798022815,0.0,100.0,1.628287643710493,1.3032279339266497,0.23671843096401002,0.15999999999999992,0.616440877041111,0.18,0.5970872051380067,0.07343218044054742,1.2395542898627894,0.0,0.005509690455333838,-0.009999999999999898,True,False,False
OpenBMI_MI_S1_to_S2,0,4,meta_train,raw,SHRINKAGE_LDA_A50,shrinkage_lda,0.5,0.1,-1,0.4414073736459162,0.77,1.82984280154109,1.161858544183496,0.41355536027328293,4.537619288305067,0.39139033798022815,0.0,100.0,1.96133387020035,1.6526591607385601,0.23455982520581062,0.13,0.5546390892161361,0.17,0.5577588438496233,-0.04524438968250025,2.591825998641119,0.0,0.027816138775791754,-0.009999999999999898,True,False,False
OpenBMI_MI_S1_to_S2,0,4,meta_train,raw,PROTOTYPE_TRANSPORT_A50,prototype_transport,0.5,0.1,-1,0.4414073736459162,0.77,1.82984280154109,1.161858544183496,0.41355536027328293,4.537619288305067,0.39139033798022815,0.0,100.0,0.41791496450579424,0.34929737886501644,0.057661054655929966,0.06999999999999995,0.8420024524234809,0.09,0.4374481289050698,0.041795071649809556,0.2420115244376895,0.0,0.03197002151002715,0.010000000000000009,True,False,False
OpenBMI_MI_S1_to_S2,0,4,meta_train,raw,META_SGD_FULL_S025,meta_sgd,0.25,0.1,-1,0.4414073736459162,0.77,1.82984280154109,1.161858544183496,0.41355536027328293,4.537619288305067,0.39139033798022815,0.0,100.0,0.25,0.20878050854264438,0.0393034045382174,0.06000000000000005,0.19541319913213787,0.1,0.4650425273331834,0.018573715582509476,0.31269489521374944,0.0,0.001220249968395981,-0.009999999999999898,True,False,False
OpenBMI_MI_S1_to_S2,0,4,meta_train,raw,META_SGD_FULL_S050,meta_sgd,0.5,0.1,-1,0.4414073736459162,0.77,1.82984280154109,1.161858544183496,0.41355536027328293,4.537619288305067,0.39139033798022815,0.0,100.0,0.5000000000000001,0.41756101708528875,0.0694241371190284,0.07000000000000006,0.19541319913213798,0.11,0.4650425273331835,0.029848909396782752,0.6253897904274988,0.0,-0.0032186546483400913,-0.019999999999999907,True,False,False
OpenBMI_MI_S1_to_S2,0,4,meta_train,raw,META_SGD_PC_GROUP_00,projected_gradient,0.5,0.1,0,0.4414073736459162,0.77,1.82984280154109,1.161858544183496,0.41355536027328293,4.537619288305067,0.39139033798022815,0.0,100.0,0.5,0.4180503081570946,0.057414994660905716,0.07000000000000006,0.14265447373765278,0.11,0.4017239278223795,0.027676412583495902,0.6563219484928545,0.0,-0.008917843799439329,-0.019999999999999907,True,False,False
OpenBMI_MI_S1_to_S2,0,4,meta_train,raw,META_SGD_PC_GROUP_01,projected_gradient,0.5,0.1,1,0.4414073736459162,0.77,1.82984280154109,1.161858544183496,0.41355536027328293,4.537619288305067,0.39139033798022815,0.0,100.0,0.5,0.39807887631228717,0.05041422127930839,0.040000000000000036,0.118107831493646,0.08,0.3370018157719633,-0.0020040034855518807,0.6514419473235527,0.0,0.016412203617127752,0.010000000000000009,True,False,False
OpenBMI_MI_S1_to_S2,0,4,meta_train,raw,META_SGD_PC_GROUP_02,projected_gradient,0.5,0.1,2,0.4414073736459162,0.77,1.82984280154109,1.161858544183496,0.41355536027328293,4.537619288305067,0.39139033798022815,0.0,100.0,0.5,0.39241860657520405,0.0550471155195959,0.030000000000000027,0.8319665206263398,0.05,0.37959446781643397,0.039623849549467294,0.2875104129814996,0.0,-0.010654047311373427,-0.009999999999999898,True,False,False
OpenBMI_MI_S1_to_S2,0,4,meta_train,raw,META_SGD_PC_GROUP_03,projected_gradient,0.5,0.1,3,0.4414073736459162,0.77,1.82984280154109,1.161858544183496,0.41355536027328293,4.537619288305067,0.39139033798022815,0.0,100.0,0.5,0.3928985666095499,0.04022958378613367,0.06000000000000005,0.1419516436669765,0.08,0.30352815114810117,-0.010746314350104202,0.6977484495064386,0.0,-0.00936528469300485,1.1102230246251565e-16,True,False,False
OpenBMI_MI_S1_to_S2,0,4,meta_train,raw,META_SGD_PC_GROUP_04,projected_gradient,0.5,0.1,4,0.4414073736459162,0.77,1.82984280154109,1.161858544183496,0.41355536027328293,4.537619288305067,0.39139033798022815,0.0,100.0,0.49999999999999994,0.3925677348941292,0.049902481121736286,0.040000000000000036,0.5328436593425342,0.1,0.3628504119276957,0.016475953229878576,0.47371585070529515,0.0,0.013955630968175314,0.0,True,False,False
OpenBMI_MI_S1_to_S2,0,4,meta_train,raw,META_SGD_PC_GROUP_05,projected_gradient,0.5,0.1,5,0.4414073736459162,0.77,1.82984280154109,1.161858544183496,0.41355536027328293,4.537619288305067,0.39139033798022815,0.0,100.0,0.49999999999999994,0.39924699511962963,0.02838579131425123,0.04999999999999993,-0.6749546776932335,0.05,0.22755715525503245,-0.042942035434573145,0.8892826091906803,0.0,-0.028252948718682114,-0.029999999999999916,True,False,False
OpenBMI_MI_S1_to_S2,0,4,meta_train,raw,META_SGD_PC_GROUP_06,projected_gradient,0.5,0.1,6,0.4414073736459162,0.77,1.82984280154109,1.161858544183496,0.41355536027328293,4.537619288305067,0.39139033798022815,0.0,100.0,0.5,0.39190371767851423,0.052675117186247844,0.06999999999999995,0.015452966410605035,0.11,0.3590348030322082,-0.002176162898749695,0.7143953276121959,0.0,0.030787174186165667,0.010000000000000009,True,False,False
OpenBMI_MI_S1_to_S2,0,4,meta_train,raw,META_SGD_PC_GROUP_07,projected_gradient,0.5,0.1,7,0.4414073736459162,0.77,1.82984280154109,1.161858544183496,0.41355536027328293,4.537619288305067,0.39139033798022815,0.0,100.0,0.49999999999999994,0.3798564955460251,0.01767808288083078,0.040000000000000036,-0.2480834694659875,0.04,0.15794466011104613,-0.022385738249654646,0.8151889306604198,0.0,-0.03262464643755769,-0.029999999999999805,True,False,False
OpenBMI_MI_S1_to_S2,0,35,meta_train,raw,CALIBRATE_C01_A50,calibration,0.5,0.1,-1,0.044428613722970384,0.98,4.775833124220371,1.3449917502508675,0.08555176377735359,13.246770607178945,0.10475434315444437,0.0,100.0,0.4257081327123531,0.4024765676498201,-0.0037212387641464145,0.0,0.9987983193406736,0.0,-0.0649012209656216,-0.008084904226832196,0.04302621660673336,0.0,-0.0022822074864339847,-0.009999999999999898,True,False,False
OpenBMI_MI_S1_to_S2,0,35,meta_train,raw,CALIBRATE_C1_A50,calibration,0.5,1.0,-1,0.044428613722970384,0.98,4.775833124220371,1.3449917502508675,0.08555176377735359,13.246770607178945,0.10475434315444437,0.0,100.0,0.5917761977970281,0.5718748135446197,0.004643675825998089,0.0,0.7873249720598344,0.0,0.09331256678820825,0.001995908360288342,0.22710266987212258,0.0,0.008773812106676548,-0.009999999999999898,True,False,False
OpenBMI_MI_S1_to_S2,0,35,meta_train,raw,RIDGE_C001_A50,ridge_head,0.5,0.01,-1,0.044428613722970384,0.98,4.775833124220371,1.3449917502508675,0.08555176377735359,13.246770607178945,0.10475434315444437,0.0,100.0,1.1383257720482298,1.0725679514213113,-0.010933965825336171,0.0,0.999585637538651,0.0,-0.03790230870032557,-0.019615866174796735,0.0495856079359387,0.0,-0.024263018459640406,-0.019999999999999907,True,False,False
