benchmark,outer_fold,subject_id,component_id,family,P_persistence,D_decision_dependence,G_task_overlap,R_history_transfer,future_ce_gain,future_ba_gain,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,1,4,META_SGD_PC_GROUP_05,projected_gradient,-0.13538837891729985,0.06,0.24710670482888694,-0.03384887694311428,-0.028307537764184376,-0.020000000000000018,False
OpenBMI_MI_S1_to_S2,1,4,META_SGD_PC_GROUP_06,projected_gradient,0.03281139434797959,0.06,0.25805318124397353,-0.003974712787511464,-0.025320000752623806,-0.020000000000000018,False
OpenBMI_MI_S1_to_S2,1,4,META_SGD_PC_GROUP_07,projected_gradient,0.26209259576869637,0.03,0.22211048159190308,-8.21769364375835e-05,0.002198416791195923,0.009999999999999898,False
OpenBMI_MI_S1_to_S2,1,28,CALIBRATE_C01_A50,calibration,0.9991976907683798,0.0,-0.07687823494751352,-0.009858454943589917,-0.0014519430642434134,0.0,False
OpenBMI_MI_S1_to_S2,1,28,CALIBRATE_C1_A50,calibration,0.9616866805789505,0.0,0.09201562208888618,0.00583202158000061,0.006734026669743334,0.0,False
OpenBMI_MI_S1_to_S2,1,28,RIDGE_C001_A50,ridge_head,0.9926340469995616,0.0,-0.041414511121389344,-0.041384519982596873,-0.025647141481472582,0.0,False
OpenBMI_MI_S1_to_S2,1,28,RIDGE_C01_A50,ridge_head,0.7696461907131064,0.01,0.4283601857593132,-0.023645633321851912,-0.007881601235563154,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,1,28,RIDGE_C1_A50,ridge_head,0.07319734962164175,0.02,0.42945983481293015,-0.018545919497492014,0.002627741120591748,0.010000000000000009,False
OpenBMI_MI_S1_to_S2,1,28,SHRINKAGE_LDA_A50,shrinkage_lda,0.7270645170013238,0.02,0.38291424309264493,-0.06966606723779262,-0.011219620721856768,0.030000000000000027,False
OpenBMI_MI_S1_to_S2,1,28,PROTOTYPE_TRANSPORT_A50,prototype_transport,0.9426177606025669,0.0,0.07680207770714285,-0.013368280081360942,-0.004276053199694832,0.0,False
OpenBMI_MI_S1_to_S2,1,28,META_SGD_FULL_S025,meta_sgd,0.49007580643180176,0.0,0.43962025463906035,0.0020238106312118337,0.00015026371785882564,0.010000000000000009,False
