benchmark,method_id,subject_id,outer_fold,BA,NLL
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-31,3,0.5800000000000001,0.688285997132756
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-32,4,0.665,0.6062646604257685
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-33,0,0.975,0.0981078110851345
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-34,2,0.59,0.6702102137655
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-35,2,0.95,0.12254795905357828
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-36,1,0.99,0.04713780773307232
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-37,0,0.9,0.26180154923425625
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-38,3,0.515,0.7639073226099725
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-41,3,0.87,0.24619934869655527
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-42,3,0.73,0.5095132960208987
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-44,1,0.87,0.3381497795746715
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-45,1,0.96,0.12462129656511213
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-47,4,0.97,0.12067470620380215
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-48,4,0.87,0.28916315399849035
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-49,2,0.89,0.2735269991168622
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-5,0,0.8049999999999999,0.3760231267698178
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-50,4,0.96,0.0903845979982551
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-6,3,0.935,0.15406539315395007
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-7,4,0.81,0.41089292440364106
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FIXED_HEAD,sub-9,2,0.6000000000000001,0.6287545678981652
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-1,0,0.905,0.2658051796278699
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-11,1,0.74,0.5007086556750202
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-12,4,0.78,0.4284303967946471
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-13,1,0.8300000000000001,0.36248984927760136
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-14,4,0.585,0.7511877198724756
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-16,0,0.52,0.7610088539499421
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-17,4,0.84,0.3290211749171777
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-18,1,0.635,0.6101887482758351
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-19,0,0.965,0.09412209237083767
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-2,1,0.77,0.413894034098204
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-21,0,0.89,0.2903863456936321
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-22,2,0.875,0.31700826816531785
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-23,3,0.965,0.11627316474183307
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-24,3,0.9433396464646464,0.14624737549130365
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-25,2,0.96,0.13300214563101712
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-26,2,0.74,0.5344202948964161
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-27,1,0.63,0.6583722346013587
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-28,0,0.71,0.5531992982164777
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-29,2,0.8999999999999999,0.27699986119030506
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-3,0,0.885,0.2920176803561988
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-30,3,0.905,0.2600637610521558
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-31,3,0.62,0.705256041543565
WBCIC_S1S2_to_S3_authorized_development,ANCHOR_BLEND__HISTORY_EA_EEGNET_FROZEN,sub-32,4,0.655,0.6336676525163719
