benchmark,outer_fold,subject_id,oracle_component,oracle_BA,oracle_NLL,used_to_tune_policy,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,3,28,META_SGD_PC_GROUP_07,0.97,0.10285953532597761,False,False
OpenBMI_MI_S1_to_S2,3,38,SHRINKAGE_LDA_A50,0.8300000000000001,0.37488904011489443,False,False
OpenBMI_MI_S1_to_S2,3,41,META_SGD_PC_GROUP_03,0.8,0.5872812475199741,False,False
OpenBMI_MI_S1_to_S2,3,46,PROTOTYPE_TRANSPORT_A50,0.74,0.5810962772447639,False,False
OpenBMI_MI_S1_to_S2,3,9,META_SGD_PC_GROUP_04,0.83,0.4509359438104099,False,False
OpenBMI_MI_S1_to_S2,4,11,CALIBRATE_C01_A50,0.74,0.6971740736031694,False,False
OpenBMI_MI_S1_to_S2,4,12,META_SGD_PC_GROUP_02,0.8600000000000001,0.9038016907565504,False,False
OpenBMI_MI_S1_to_S2,4,23,RIDGE_C01_A50,0.83,0.4633103143185351,False,False
OpenBMI_MI_S1_to_S2,4,3,RIDGE_C1_A50,0.96,0.11618576571376872,False,False
OpenBMI_MI_S1_to_S2,4,30,CALIBRATE_C01_A50,0.78,0.5925614078452616,False,False
OpenBMI_MI_S1_to_S2,4,31,META_SGD_PC_GROUP_07,0.87,0.3468346557068935,False,False
OpenBMI_MI_S1_to_S2,4,37,CALIBRATE_C1_A50,0.97,0.11859099424908345,False,False
OpenBMI_MI_S1_to_S2,4,39,RIDGE_C1_A50,0.9,0.5217289179777688,False,False
OpenBMI_MI_S1_to_S2,4,49,SHRINKAGE_LDA_A50,0.8400000000000001,0.5948980014552752,False,False
OpenBMI_MI_S1_to_S2,4,8,SHRINKAGE_LDA_A50,0.77,0.8860462333419744,False,False
WBCIC_S1S2_to_S3_authorized_development,0,sub-1,RIDGE_C1_A50,0.955,0.19845734576618781,False,False
WBCIC_S1S2_to_S3_authorized_development,0,sub-3,META_SGD_FULL_S050,0.89,0.3114866686690991,False,False
WBCIC_S1S2_to_S3_authorized_development,0,sub-5,META_SGD_PC_GROUP_06,0.8,0.4298573801964102,False,False
WBCIC_S1S2_to_S3_authorized_development,0,sub-16,META_SGD_PC_GROUP_04,0.5700000000000001,0.7916106978451887,False,False
WBCIC_S1S2_to_S3_authorized_development,0,sub-19,RIDGE_C1_A50,0.95,0.16524591280537934,False,False
WBCIC_S1S2_to_S3_authorized_development,0,sub-21,SHRINKAGE_LDA_A50,0.8600000000000001,0.3572678806848131,False,False
WBCIC_S1S2_to_S3_authorized_development,0,sub-28,SHRINKAGE_LDA_A50,0.735,0.536812591894825,False,False
WBCIC_S1S2_to_S3_authorized_development,0,sub-33,RIDGE_C1_A50,0.965,0.09895379388027932,False,False
WBCIC_S1S2_to_S3_authorized_development,0,sub-37,RIDGE_C001_A50,0.8700000000000001,0.3625816319386574,False,False
WBCIC_S1S2_to_S3_authorized_development,1,sub-2,META_SGD_PC_GROUP_03,0.77,0.5488701252510612,False,False
WBCIC_S1S2_to_S3_authorized_development,1,sub-11,RIDGE_C1_A50,0.7250000000000001,0.5602111431058617,False,False
WBCIC_S1S2_to_S3_authorized_development,1,sub-13,PRESERVE,0.895,0.2486967547577096,False,False
WBCIC_S1S2_to_S3_authorized_development,1,sub-18,META_SGD_PC_GROUP_02,0.6950000000000001,0.6126391338803203,False,False
WBCIC_S1S2_to_S3_authorized_development,1,sub-27,PRESERVE,0.635,0.7119445538323796,False,False
WBCIC_S1S2_to_S3_authorized_development,1,sub-36,META_SGD_PC_GROUP_04,0.99,0.06355383588565751,False,False
WBCIC_S1S2_to_S3_authorized_development,1,sub-44,META_SGD_PC_GROUP_01,0.8500000000000001,0.3608744975419437,False,False
WBCIC_S1S2_to_S3_authorized_development,1,sub-45,META_SGD_PC_GROUP_07,0.9550000000000001,0.16714140253870646,False,False
WBCIC_S1S2_to_S3_authorized_development,2,sub-9,META_SGD_PC_GROUP_03,0.605,0.7419600908279471,False,False
WBCIC_S1S2_to_S3_authorized_development,2,sub-22,META_SGD_PC_GROUP_06,0.755,0.5647961879215498,False,False
WBCIC_S1S2_to_S3_authorized_development,2,sub-25,META_SGD_PC_GROUP_00,0.985,0.039981112384673875,False,False
WBCIC_S1S2_to_S3_authorized_development,2,sub-26,META_SGD_PC_GROUP_05,0.7250000000000001,0.5978788098981156,False,False
WBCIC_S1S2_to_S3_authorized_development,2,sub-29,META_SGD_PC_GROUP_05,0.89,0.2948672868074732,False,False
WBCIC_S1S2_to_S3_authorized_development,2,sub-34,META_SGD_PC_GROUP_05,0.585,0.7622882644916116,False,False
WBCIC_S1S2_to_S3_authorized_development,2,sub-35,RIDGE_C1_A50,0.945,0.16161675424499808,False,False
WBCIC_S1S2_to_S3_authorized_development,2,sub-49,RIDGE_C1_A50,0.9450000000000001,0.22268356108310383,False,False
WBCIC_S1S2_to_S3_authorized_development,3,sub-6,RIDGE_C1_A50,0.92,0.19165605849656142,False,False
WBCIC_S1S2_to_S3_authorized_development,3,sub-23,META_SGD_PC_GROUP_05,0.985,0.06835422772913688,False,False
WBCIC_S1S2_to_S3_authorized_development,3,sub-24,PROTOTYPE_TRANSPORT_A50,0.943655303030303,0.16555640510955644,False,False
WBCIC_S1S2_to_S3_authorized_development,3,sub-30,RIDGE_C001_A50,0.865,0.33966655679628416,False,False
WBCIC_S1S2_to_S3_authorized_development,3,sub-31,META_SGD_PC_GROUP_05,0.61,0.7648377058161884,False,False
WBCIC_S1S2_to_S3_authorized_development,3,sub-38,META_SGD_PC_GROUP_01,0.5449999999999999,0.7311748470631235,False,False
WBCIC_S1S2_to_S3_authorized_development,3,sub-41,SHRINKAGE_LDA_A50,0.865,0.2905344032067869,False,False
WBCIC_S1S2_to_S3_authorized_development,3,sub-42,PRESERVE,0.73,0.5789240026217103,False,False
WBCIC_S1S2_to_S3_authorized_development,4,sub-7,SHRINKAGE_LDA_A50,0.825,0.37247392419505887,False,False
WBCIC_S1S2_to_S3_authorized_development,4,sub-12,META_SGD_PC_GROUP_02,0.76,0.46831628632147904,False,False
WBCIC_S1S2_to_S3_authorized_development,4,sub-14,META_SGD_PC_GROUP_07,0.61,0.7728328714378487,False,False
WBCIC_S1S2_to_S3_authorized_development,4,sub-17,LATEST_SESSION_RIDGE_A50,0.845,0.3577053277883231,False,False
WBCIC_S1S2_to_S3_authorized_development,4,sub-32,LATEST_SESSION_RIDGE_A50,0.645,0.6728528119806211,False,False
WBCIC_S1S2_to_S3_authorized_development,4,sub-47,META_SGD_PC_GROUP_03,0.96,0.14562294931512607,False,False
WBCIC_S1S2_to_S3_authorized_development,4,sub-48,META_SGD_PC_GROUP_01,0.8300000000000001,0.3989240323671194,False,False
WBCIC_S1S2_to_S3_authorized_development,4,sub-50,CALIBRATE_C01_A50,0.975,0.10275057988853861,False,False
