scope,task,dataset,fold,seed,subject_id,model,BA,macro_F1,accuracy,trials,checkpoint_path,checkpoint_sha256,normalizer_sha256
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,0,0,4,LiteBN-G,1.0,1.0,1.0,100,/root/rivermind-data/CRCICLR_G_WORK/experiments/persist_eeg_litebn_g_global_temporal_v1/runtime/checkpoints/openbmi_ssvep/fold0_seed0/selected_best.pt,865e44a0160aa52c33ec78b5a3b4dded62bb9d286d5452848bbdd1697c600d55,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,0,0,42,B0,0.6300000000000001,0.6313190620520388,0.63,100,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold0_seed0_litebn/selected_best.pt,6b46c3e8d910d5f469accbd9561b3f5b2eaf1d9b21f237d46229d5f85f3347a2,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,0,0,42,LiteBN-G,0.6300000000000001,0.6306400245568229,0.63,100,/root/rivermind-data/CRCICLR_G_WORK/experiments/persist_eeg_litebn_g_global_temporal_v1/runtime/checkpoints/openbmi_ssvep/fold0_seed0/selected_best.pt,865e44a0160aa52c33ec78b5a3b4dded62bb9d286d5452848bbdd1697c600d55,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,0,0,51,B0,0.74,0.7451997614788314,0.74,100,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold0_seed0_litebn/selected_best.pt,6b46c3e8d910d5f469accbd9561b3f5b2eaf1d9b21f237d46229d5f85f3347a2,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,0,0,51,LiteBN-G,0.75,0.7522002387856047,0.75,100,/root/rivermind-data/CRCICLR_G_WORK/experiments/persist_eeg_litebn_g_global_temporal_v1/runtime/checkpoints/openbmi_ssvep/fold0_seed0/selected_best.pt,865e44a0160aa52c33ec78b5a3b4dded62bb9d286d5452848bbdd1697c600d55,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,0,0,54,B0,0.8999999999999999,0.900769746970355,0.9,100,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold0_seed0_litebn/selected_best.pt,6b46c3e8d910d5f469accbd9561b3f5b2eaf1d9b21f237d46229d5f85f3347a2,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,0,0,54,LiteBN-G,0.8899999999999999,0.8913464321898972,0.89,100,/root/rivermind-data/CRCICLR_G_WORK/experiments/persist_eeg_litebn_g_global_temporal_v1/runtime/checkpoints/openbmi_ssvep/fold0_seed0/selected_best.pt,865e44a0160aa52c33ec78b5a3b4dded62bb9d286d5452848bbdd1697c600d55,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,1,0,12,B0,0.95,0.9497433588820143,0.95,100,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold1_seed0_litebn/selected_best.pt,4a461aa942074529c03f69729feea592406dbb9a3d16657d7a05e51274a0ab91,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,1,0,12,LiteBN-G,0.95,0.9497433588820143,0.95,100,/root/rivermind-data/CRCICLR_G_WORK/experiments/persist_eeg_litebn_g_global_temporal_v1/runtime/checkpoints/openbmi_ssvep/fold1_seed0/selected_best.pt,675a76578fa66991777502c6d6212fdd3e516bd37cc853e8c1361ee9a7d7478c,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b
EXPOSED_DEVELOPMENT_BENCHMARK,OpenBMI_SSVEP,OpenBMI,1,0,13,B0,0.76,0.7583447137454107,0.76,100,/root/rivermind-data/openbmi_task_generality_runtime/ssvep_fold1_seed0_litebn/selected_best.pt,4a461aa942074529c03f69729feea592406dbb9a3d16657d7a05e51274a0ab91,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b
