fold,seed,run,audit_fold,block,rank,assignment,fit_subject_count,identity_full_skill,identity_erased_skill,identity_evidence,identity_full_ce,identity_erased_ce,identity_full_top1_ba,identity_erased_top1_ba,identity_null_mean,identity_null_q95,identity_null_sd,identity_measurement_competent,identity_coordinates,outer_test_used,outer_membership_enumerated
0,1,0_1,3,4,4,uncertain,21,0.18068815793166948,0.1526366910316017,0.028051466900067767,2.8638342797917535,2.8918857466918215,0.445952380952381,0.38690476190476186,-0.00659515762047961,0.016830086873441168,0.013705820721979869,True,"[9, 10, 11, 12]",False,False
0,1,0_1,3,5,4,protected,21,0.18068815793166948,0.1665760261697511,0.01411213176191839,2.8638342797917535,2.8779464115536717,0.445952380952381,0.4104761904761905,-0.00659515762047961,0.016830086873441168,0.013705820721979869,True,"[13, 14, 15, 16]",False,False
0,1,0_1,3,6,3,protected,21,0.18068815793166948,0.17089747909391306,0.009790678837756417,2.8638342797917535,2.87362495862951,0.445952380952381,0.4330952380952381,-0.00659515762047961,0.016830086873441168,0.013705820721979869,True,"[17, 18, 19]",False,False
0,1,0_1,4,0,1,neutral,21,0.1969497652881902,0.1667765212306036,0.03017324405758659,2.847572672435233,2.8777459164928194,0.48,0.42023809523809524,-0.00733608697230275,0.014768643746760127,0.012727838802142863,True,[0],False,False
0,1,0_1,4,1,1,neutral,21,0.1969497652881902,0.1839337566034287,0.013016008684761493,2.847572672435233,2.860588681119994,0.48,0.4578571428571429,-0.00733608697230275,0.014768643746760127,0.012727838802142863,True,[1],False,False
0,1,0_1,4,2,3,neutral,21,0.1969497652881902,0.15896698477533744,0.037982780512852754,2.847572672435233,2.8855554529480854,0.48,0.41547619047619044,-0.00733608697230275,0.014768643746760127,0.012727838802142863,True,"[2, 3, 4]",False,False
0,1,0_1,4,3,4,uncertain,21,0.1969497652881902,0.15481422369599174,0.042135541592198456,2.847572672435233,2.889708214027431,0.48,0.39690476190476187,-0.00733608697230275,0.014768643746760127,0.012727838802142863,True,"[5, 6, 7, 8]",False,False
0,1,0_1,4,4,4,uncertain,21,0.1969497652881902,0.16772384930035922,0.029225915987830975,2.847572672435233,2.876798588423064,0.48,0.4257142857142857,-0.00733608697230275,0.014768643746760127,0.012727838802142863,True,"[9, 10, 11, 12]",False,False
0,1,0_1,4,5,4,protected,21,0.1969497652881902,0.1842871224440783,0.012662642844111893,2.847572672435233,2.8602353152793447,0.48,0.4564285714285715,-0.00733608697230275,0.014768643746760127,0.012727838802142863,True,"[13, 14, 15, 16]",False,False
0,1,0_1,4,6,3,protected,21,0.1969497652881902,0.18847770498921945,0.00847206029897074,2.847572672435233,2.856044732734204,0.48,0.46404761904761904,-0.00733608697230275,0.014768643746760127,0.012727838802142863,True,"[17, 18, 19]",False,False
1,0,1_0,0,0,1,neutral,20,0.1993845282084703,0.1856559977934491,0.0137285304150212,2.7963477453455203,2.810076275760542,0.46625,0.43925000000000003,-0.0076178214507924375,0.01679371584476405,0.014846437426220252,True,[0],False,False
1,0,1_0,0,1,2,neutral,20,0.1993845282084703,0.1521595181914499,0.0472250100170204,2.7963477453455203,2.843572755362541,0.46625,0.39575000000000005,-0.0076178214507924375,0.01679371584476405,0.014846437426220252,True,"[1, 2]",False,False
1,0,1_0,0,2,2,neutral,20,0.1993845282084703,0.15654356703083283,0.04284096117763747,2.7963477453455203,2.8391887065231582,0.46625,0.378,-0.0076178214507924375,0.01679371584476405,0.014846437426220252,True,"[3, 4]",False,False
1,0,1_0,0,3,4,uncertain,20,0.1993845282084703,0.1589318711168044,0.0404526570916659,2.7963477453455203,2.8368004024371865,0.46625,0.406,-0.0076178214507924375,0.01679371584476405,0.014846437426220252,True,"[5, 6, 7, 8]",False,False
