dataset,fold,model,meta_fold,gradient_cosine,n_pseudo_future_subjects
OpenBMI,2,M1,3,-0.2653198838233948,7
OpenBMI,2,M1,4,0.24876274168491364,6
OpenBMI,2,M2,0,0.25686773657798767,7
OpenBMI,2,M2,1,-0.10609644651412964,7
OpenBMI,2,M2,2,0.48833951354026794,7
OpenBMI,2,M2,3,-0.3205403685569763,7
OpenBMI,2,M2,4,0.3870313763618469,6
OpenBMI,3,M0,0,0.047676026821136475,7
OpenBMI,3,M0,1,0.246121346950531,7
OpenBMI,3,M0,2,-0.17101870477199554,7
OpenBMI,3,M0,3,-0.0645281970500946,7
OpenBMI,3,M0,4,-0.12006223946809769,6
OpenBMI,3,M1,0,0.031148213893175125,7
OpenBMI,3,M1,1,-0.1548934280872345,7
OpenBMI,3,M1,2,-0.3097679018974304,7
OpenBMI,3,M1,3,0.154593363404274,7
OpenBMI,3,M1,4,-0.3751862645149231,6
OpenBMI,3,M2,0,0.01006590761244297,7
OpenBMI,3,M2,1,-0.11221234500408173,7
OpenBMI,3,M2,2,-0.1484346240758896,7
OpenBMI,3,M2,3,0.019377656280994415,7
OpenBMI,3,M2,4,-0.2043876349925995,6
OpenBMI,4,M0,0,-0.23966474831104279,7
OpenBMI,4,M0,1,0.22700048983097076,7
OpenBMI,4,M0,2,0.20470936596393585,7
OpenBMI,4,M0,3,0.23559357225894928,7
OpenBMI,4,M0,4,0.2135431319475174,7
OpenBMI,4,M1,0,-0.21486951410770416,7
OpenBMI,4,M1,1,-0.03495714068412781,7
OpenBMI,4,M1,2,0.08361542969942093,7
OpenBMI,4,M1,3,0.03494182974100113,7
OpenBMI,4,M1,4,-0.2080468088388443,7
OpenBMI,4,M2,0,-0.10167187452316284,7
OpenBMI,4,M2,1,0.33017539978027344,7
OpenBMI,4,M2,2,0.40803563594818115,7
OpenBMI,4,M2,3,0.43653783202171326,7
OpenBMI,4,M2,4,0.20664241909980774,7
WBCIC,0,M0,0,-0.27314549684524536,5
WBCIC,0,M0,1,0.12308257818222046,5
WBCIC,0,M0,2,-0.11120490729808807,5
WBCIC,0,M0,3,0.16785544157028198,5
WBCIC,0,M0,4,0.04973182454705238,4
WBCIC,0,M1,0,-0.39851194620132446,5
WBCIC,0,M1,1,-0.03611662983894348,5
WBCIC,0,M1,2,-0.09470479190349579,5
WBCIC,0,M1,3,0.07890937477350235,5
WBCIC,0,M1,4,-0.032635729759931564,4
WBCIC,0,M2,0,-0.24850474298000336,5
WBCIC,0,M2,1,0.04294624179601669,5
WBCIC,0,M2,2,0.048110250383615494,5
WBCIC,0,M2,3,0.022764407098293304,5
WBCIC,0,M2,4,0.07485585659742355,4
WBCIC,1,M0,0,0.3440568745136261,5
WBCIC,1,M0,1,-0.09906551241874695,5
WBCIC,1,M0,2,0.2772466242313385,5
WBCIC,1,M0,3,-0.3032900393009186,5
WBCIC,1,M0,4,0.0424550324678421,5
WBCIC,1,M1,0,0.6065773367881775,5
WBCIC,1,M1,1,0.49093306064605713,5
WBCIC,1,M1,2,0.4834955930709839,5
WBCIC,1,M1,3,-0.07872921973466873,5
WBCIC,1,M1,4,0.23921768367290497,5
WBCIC,1,M2,0,0.994346022605896,5
WBCIC,1,M2,1,0.9152144193649292,5
WBCIC,1,M2,2,0.9941909313201904,5
WBCIC,1,M2,3,0.9891089797019958,5
WBCIC,1,M2,4,0.9900546073913574,5
WBCIC,2,M0,0,0.47562751173973083,5
WBCIC,2,M0,1,0.20569005608558655,5
WBCIC,2,M0,2,0.08080499619245529,5
WBCIC,2,M0,3,0.003790773916989565,5
WBCIC,2,M0,4,-0.110670305788517,5
WBCIC,2,M1,0,0.37700358033180237,5
WBCIC,2,M1,1,0.2520291805267334,5
WBCIC,2,M1,2,0.05559376999735832,5
WBCIC,2,M1,3,-0.0031214270275086164,5
WBCIC,2,M1,4,-0.04536149278283119,5
WBCIC,2,M2,0,0.3836517333984375,5
WBCIC,2,M2,1,0.24736955761909485,5
WBCIC,2,M2,2,0.07624038308858871,5
WBCIC,2,M2,3,-0.014949862845242023,5
WBCIC,2,M2,4,0.0327029787003994,5
WBCIC,3,M0,0,0.13777638971805573,5
WBCIC,3,M0,1,0.04441743716597557,5
WBCIC,3,M0,2,-0.10000453144311905,5
WBCIC,3,M0,3,-0.045397836714982986,5
WBCIC,3,M0,4,-0.0067154583521187305,5
WBCIC,3,M1,0,0.17330503463745117,5
WBCIC,3,M1,1,0.08628113567829132,5
WBCIC,3,M1,2,-0.15607281029224396,5
WBCIC,3,M1,3,-0.02255820296704769,5
WBCIC,3,M1,4,-4.235698361299001e-05,5
WBCIC,3,M2,0,0.1257348358631134,5
WBCIC,3,M2,1,0.1687910556793213,5
WBCIC,3,M2,2,-0.11614200472831726,5
WBCIC,3,M2,3,0.017052162438631058,5
WBCIC,3,M2,4,-0.0602436289191246,5
WBCIC,4,M0,0,0.07719957083463669,5
WBCIC,4,M0,1,-0.20080788433551788,5
WBCIC,4,M0,2,-0.20641876757144928,5
WBCIC,4,M0,3,0.030108466744422913,5
WBCIC,4,M0,4,-0.0814482644200325,4
WBCIC,4,M1,0,0.048574067652225494,5
WBCIC,4,M1,1,-0.1807771772146225,5
WBCIC,4,M1,2,-0.2248721420764923,5
WBCIC,4,M1,3,0.06461399793624878,5
WBCIC,4,M1,4,0.01152285560965538,4
WBCIC,4,M2,0,0.06071801111102104,5
WBCIC,4,M2,1,-0.1518942415714264,5
WBCIC,4,M2,2,-0.0887933224439621,5
WBCIC,4,M2,3,0.07238529622554779,5
WBCIC,4,M2,4,-0.007692552171647549,4
