dataset,fold,model,subject_id,BA,accuracy,macro_F1,NLL,trials
OpenBMI,2,M2,30,0.77,0.77,0.7694235588972431,0.4234826617624216,100
OpenBMI,2,M2,49,0.8,0.8,0.7933030177759405,0.5010459915459333,100
OpenBMI,3,M0,16,0.8,0.8,0.8,0.396450479789466,100
OpenBMI,3,M0,22,0.74,0.74,0.7390606182256123,0.6254187700103889,100
OpenBMI,3,M0,23,0.8,0.8,0.7987117552334944,0.4702573437088525,100
OpenBMI,3,M0,31,0.9,0.9,0.9,0.2428780379248275,100
OpenBMI,3,M0,35,0.8400000000000001,0.84,0.839421918908069,0.3346820282775033,100
OpenBMI,3,M0,36,0.97,0.97,0.9699729756781104,0.07750387284197431,100
OpenBMI,3,M0,43,0.9299999999999999,0.93,0.9299369432489241,0.2387348743861949,100
OpenBMI,3,M0,51,0.74,0.74,0.7383252818035426,0.6078497619844488,100
OpenBMI,3,M0,52,0.81,0.81,0.8043455874781176,0.510405879389617,100
OpenBMI,3,M1,16,0.78,0.78,0.7799119647859143,0.4036393424374228,100
OpenBMI,3,M1,22,0.73,0.73,0.7293233082706767,0.5663301628065401,100
OpenBMI,3,M1,23,0.77,0.77,0.767182913250329,0.4776806389724692,100
OpenBMI,3,M1,31,0.89,0.89,0.8899009108197378,0.248507723105291,100
OpenBMI,3,M1,35,0.8400000000000001,0.84,0.8389694041867954,0.3839979347556972,100
OpenBMI,3,M1,36,0.97,0.97,0.9699729756781104,0.0628762590932193,100
OpenBMI,3,M1,43,0.9199999999999999,0.92,0.9198717948717949,0.2685024244093676,100
OpenBMI,3,M1,51,0.75,0.75,0.7493734335839599,0.5633127079420115,100
OpenBMI,3,M1,52,0.8,0.8,0.7933030177759405,0.4962147989895205,100
OpenBMI,3,M2,16,0.78,0.78,0.7799119647859143,0.40365765802523074,100
OpenBMI,3,M2,22,0.74,0.74,0.7395833333333333,0.5980173990746,100
OpenBMI,3,M2,23,0.77,0.77,0.767182913250329,0.5111557040330613,100
OpenBMI,3,M2,31,0.89,0.89,0.8899009108197378,0.22960676213825448,100
OpenBMI,3,M2,35,0.8400000000000001,0.84,0.839421918908069,0.37888393186739316,100
OpenBMI,3,M2,36,0.97,0.97,0.9699729756781104,0.053757684687453455,100
OpenBMI,3,M2,43,0.94,0.94,0.9399759903961584,0.23987967518119954,100
OpenBMI,3,M2,51,0.73,0.73,0.7286704853783539,0.5698853769487945,100
OpenBMI,3,M2,52,0.81,0.81,0.8043455874781176,0.5110844903591755,100
OpenBMI,4,M0,9,0.74,0.74,0.74,0.5808270049444098,100
OpenBMI,4,M0,24,0.62,0.62,0.5766488413547237,0.9378874812257473,100
OpenBMI,4,M0,28,0.89,0.89,0.8886526976414617,0.22536837353329883,100
OpenBMI,4,M0,32,0.77,0.77,0.7694235588972431,0.5180118677766017,100
OpenBMI,4,M0,40,0.87,0.87,0.8696741854636592,0.3696384126449218,100
OpenBMI,4,M0,41,0.75,0.75,0.7442455242966752,0.47740174724615314,100
OpenBMI,4,M0,46,0.66,0.66,0.6212121212121212,0.8054189716856379,100
OpenBMI,4,M0,47,0.9099999999999999,0.91,0.9095568284594513,0.27094403519729765,100
OpenBMI,4,M0,53,0.85,0.85,0.8498648783905515,0.4030899061567994,100
OpenBMI,4,M1,9,0.69,0.69,0.6892230576441103,0.6106452861817685,100
OpenBMI,4,M1,24,0.61,0.61,0.568536342515765,0.9055965099752252,100
OpenBMI,4,M1,28,0.95,0.95,0.9499549594635172,0.143633762930282,100
OpenBMI,4,M1,32,0.77,0.77,0.7688674505074866,0.5078630952989223,100
OpenBMI,4,M1,40,0.78,0.78,0.7726333195535345,0.43413003427701846,100
OpenBMI,4,M1,41,0.74,0.74,0.7312939231087227,0.5334138156416026,100
OpenBMI,4,M1,46,0.66,0.66,0.6212121212121212,0.8721781021354172,100
OpenBMI,4,M1,47,0.8999999999999999,0.9,0.8993558776167472,0.2550588904958008,100
OpenBMI,4,M1,53,0.8500000000000001,0.85,0.849624060150376,0.40376865747901675,100
OpenBMI,4,M2,9,0.73,0.73,0.72997299729973,0.614373905969503,100
OpenBMI,4,M2,24,0.61,0.61,0.568536342515765,1.0388916104806314,100
OpenBMI,4,M2,28,0.9099999999999999,0.91,0.9092650468797259,0.18076149093146154,100
OpenBMI,4,M2,32,0.78,0.78,0.779205138498595,0.5277778036505772,100
OpenBMI,4,M2,40,0.79,0.79,0.7874278773155178,0.3898330214277733,100
OpenBMI,4,M2,41,0.77,0.77,0.7660461804495982,0.4604867823945411,100
OpenBMI,4,M2,46,0.64,0.64,0.592944369063772,0.8953504590707869,100
OpenBMI,4,M2,47,0.9199999999999999,0.92,0.9197109594540345,0.2399737228276807,100
OpenBMI,4,M2,53,0.8200000000000001,0.82,0.8199279711884754,0.4072431443403259,100
WBCIC,0,M0,2,0.75,0.75,0.7498999599839936,0.5076490191360575,200
WBCIC,0,M0,11,0.725,0.725,0.7246627118219819,0.5568837910944312,200
WBCIC,0,M0,13,0.865,0.865,0.8649155722326454,0.30574474104789645,200
WBCIC,0,M0,18,0.655,0.655,0.6542999574137629,0.6315666233174626,200
WBCIC,0,M0,27,0.625,0.625,0.6249156060113525,0.6129905339068261,200
WBCIC,0,M0,36,0.975,0.975,0.9749943737340903,0.08259658966785305,200
WBCIC,0,M0,44,0.815,0.815,0.8149583656322672,0.3968788914172712,200
WBCIC,0,M0,45,0.94,0.94,0.94,0.13783402521147983,200
WBCIC,0,M1,2,0.735,0.735,0.7349933748343709,0.5088186452785723,200
WBCIC,0,M1,11,0.735,0.735,0.7349403615813558,0.5576610508881902,200
WBCIC,0,M1,13,0.865,0.865,0.8649155722326454,0.3123834597046797,200
WBCIC,0,M1,18,0.645,0.645,0.64349376114082,0.621157194933555,200
WBCIC,0,M1,27,0.62,0.62,0.6175523349436394,0.6317967916709939,200
WBCIC,0,M1,36,0.99,0.99,0.9899989998999901,0.0826352788980365,200
WBCIC,0,M1,44,0.8049999999999999,0.805,0.8046043237556051,0.410588768930366,200
WBCIC,0,M1,45,0.94,0.94,0.94,0.13888457042750801,200
WBCIC,0,M2,2,0.73,0.73,0.7295673076923077,0.5220076723984574,200
WBCIC,0,M2,11,0.725,0.725,0.7249931248281207,0.5533735320097994,200
WBCIC,0,M2,13,0.8600000000000001,0.86,0.8596491228070176,0.3183444480813125,200
WBCIC,0,M2,18,0.64,0.64,0.6355906468266019,0.642731960872656,200
WBCIC,0,M2,27,0.645,0.645,0.6337846550612508,0.630582628723764,200
WBCIC,0,M2,36,0.975,0.975,0.9749993749843746,0.07806957168633141,200
WBCIC,0,M2,44,0.8,0.8,0.7994987468671679,0.4036198164537311,200
WBCIC,0,M2,45,0.95,0.95,0.9499949994999499,0.13227860587416984,200
WBCIC,1,M0,9,0.62,0.62,0.6181288312732389,0.7731786362771057,200
WBCIC,1,M0,22,0.745,0.745,0.7446872418712923,0.5992081963678827,200
WBCIC,1,M0,25,0.98,0.98,0.9799919967987194,0.044996031665450846,200
WBCIC,1,M0,26,0.6399999999999999,0.64,0.6382273138378052,0.6321585028653444,200
WBCIC,1,M0,29,0.855,0.855,0.854967367657723,0.3442504762095053,200
WBCIC,1,M0,34,0.575,0.575,0.5731967562953478,0.7848393081853143,200
WBCIC,1,M0,35,0.94,0.94,0.93999399939994,0.1499731586614826,200
WBCIC,1,M0,49,0.9199999999999999,0.92,0.9199679871948779,0.2021615493784575,200
WBCIC,1,M1,9,0.585,0.585,0.5794380684553216,0.6667114135965889,200
WBCIC,1,M1,22,0.72,0.72,0.7171717171717171,0.6116974466598197,200
WBCIC,1,M1,25,0.98,0.98,0.9799919967987194,0.10156571875210918,200
WBCIC,1,M1,26,0.645,0.645,0.6447779862414009,0.6576591013300598,200
WBCIC,1,M1,29,0.81,0.81,0.8096955128205128,0.44208801222218486,200
WBCIC,1,M1,34,0.5900000000000001,0.59,0.5879811074263892,0.6843311857516554,200
WBCIC,1,M1,35,0.9299999999999999,0.93,0.9299929992999301,0.22217215616062524,200
WBCIC,1,M1,49,0.9099999999999999,0.91,0.9099189270343309,0.278354049271339,200
WBCIC,1,M2,9,0.5,0.5,0.3333333333333333,0.7018590056207663,200
WBCIC,1,M2,22,0.5,0.5,0.3333333333333333,0.6999112239280205,200
WBCIC,1,M2,25,0.5,0.5,0.3333333333333333,0.6852811515047725,200
WBCIC,1,M2,26,0.51,0.51,0.3551783129359126,0.6960949931341023,200
WBCIC,1,M2,29,0.5,0.5,0.3333333333333333,0.6922240916421393,200
WBCIC,1,M2,34,0.5,0.5,0.3333333333333333,0.7011594838670777,200
WBCIC,1,M2,35,0.5,0.5,0.3333333333333333,0.690827742449323,200
WBCIC,1,M2,49,0.5,0.5,0.3333333333333333,0.693662892888462,200
WBCIC,2,M0,6,0.9099999999999999,0.91,0.9099189270343309,0.18349320551857334,200
WBCIC,2,M0,23,0.965,0.965,0.9649781113195748,0.09075540013170703,200
WBCIC,2,M0,24,0.9026199494949495,0.9025641025641026,0.9025538518187317,0.2267179403893115,195
WBCIC,2,M0,30,0.865,0.865,0.8644272049408752,0.36044088160555005,200
WBCIC,2,M0,31,0.5900000000000001,0.59,0.5866518802298619,0.7643122870742326,200
WBCIC,2,M0,38,0.545,0.545,0.5229482844486384,0.7716049919749892,200
WBCIC,2,M0,41,0.845,0.845,0.8443423464135975,0.33844608719253494,200
WBCIC,2,M0,42,0.69,0.69,0.689875950380152,0.5528629202341097,200
WBCIC,2,M1,6,0.915,0.915,0.9149808706959066,0.181613953181945,200
WBCIC,2,M1,23,0.965,0.965,0.9649921232277263,0.08927178137089323,200
WBCIC,2,M1,24,0.9026199494949495,0.9025641025641026,0.9025538518187317,0.22321199961475505,195
WBCIC,2,M1,30,0.8500000000000001,0.85,0.849624060150376,0.37329792521213917,200
WBCIC,2,M1,31,0.5800000000000001,0.58,0.5784825371336813,0.7841836498694806,200
WBCIC,2,M1,38,0.505,0.505,0.4810096720924746,0.7955376577693005,200
WBCIC,2,M1,41,0.845,0.845,0.8445297023496076,0.32792809803261036,200
WBCIC,2,M1,42,0.6799999999999999,0.68,0.67996799679968,0.5562485888564267,200
WBCIC,2,M2,6,0.925,0.925,0.9249831212022706,0.1926415673380516,200
WBCIC,2,M2,23,0.96,0.96,0.959983993597439,0.09271870408350333,200
WBCIC,2,M2,24,0.9026199494949495,0.9025641025641026,0.9025538518187317,0.23115811792800028,195
WBCIC,2,M2,30,0.855,0.855,0.8547057792028858,0.3618440316060029,200
WBCIC,2,M2,31,0.565,0.565,0.563154327031709,0.7476726997393799,200
WBCIC,2,M2,38,0.51,0.51,0.48507776376628836,0.8070812695304048,200
WBCIC,2,M2,41,0.8400000000000001,0.84,0.8395989974937343,0.3122554945606456,200
WBCIC,2,M2,42,0.67,0.67,0.66996699669967,0.5496038396156994,200
WBCIC,3,M0,7,0.8200000000000001,0.82,0.8198378540686617,0.3936590097898272,200
WBCIC,3,M0,12,0.75,0.75,0.7479584635547938,0.4470549824458134,200
WBCIC,3,M0,14,0.655,0.655,0.6495238095238096,0.7590588487617764,200
WBCIC,3,M0,17,0.855,0.855,0.854967367657723,0.29838944476169094,200
WBCIC,3,M0,32,0.595,0.595,0.5913115870733369,0.8105103058669408,200
WBCIC,3,M0,47,0.9450000000000001,0.945,0.9449656035021888,0.16096400518665882,200
WBCIC,3,M0,48,0.815,0.815,0.8148843026891808,0.48823791679214934,200
WBCIC,3,M0,50,0.955,0.955,0.9549898727213624,0.12423114033277285,200
WBCIC,3,M1,7,0.8,0.8,0.7994987468671679,0.40569474908442404,200
WBCIC,3,M1,12,0.76,0.76,0.7580401250126021,0.4589752284213769,200
WBCIC,3,M1,14,0.625,0.625,0.6222709073052807,0.7778896883575266,200
WBCIC,3,M1,17,0.855,0.855,0.854967367657723,0.29798046614495194,200
WBCIC,3,M1,32,0.5800000000000001,0.58,0.5772946859903382,0.8098290884689106,200
WBCIC,3,M1,47,0.9450000000000001,0.945,0.9449656035021888,0.1489017316814398,200
WBCIC,3,M1,48,0.815,0.815,0.8146246148450612,0.49155695427441515,200
WBCIC,3,M1,50,0.945,0.945,0.9449986249656241,0.12378568839703523,200
WBCIC,3,M2,7,0.81,0.81,0.809313528703332,0.4134681152735443,200
WBCIC,3,M2,12,0.76,0.76,0.7584541062801933,0.4590706772936487,200
WBCIC,3,M2,14,0.62,0.62,0.6190476190476191,0.7820621735257172,200
WBCIC,3,M2,17,0.865,0.865,0.8649696181640869,0.2905115622043965,200
WBCIC,3,M2,32,0.605,0.605,0.6027655562539284,0.8217553666982849,200
WBCIC,3,M2,47,0.95,0.95,0.9499799919967987,0.14300209137379738,200
WBCIC,3,M2,48,0.8049999999999999,0.805,0.8047608320192235,0.4882364407152687,200
WBCIC,3,M2,50,0.945,0.945,0.9449986249656241,0.12606563015178462,200
WBCIC,4,M0,1,0.915,0.915,0.9149468417761101,0.2819422023050433,200
WBCIC,4,M0,3,0.87,0.87,0.87,0.3529908542232414,200
WBCIC,4,M0,5,0.755,0.755,0.7545028683083244,0.42599276641356715,200
WBCIC,4,M0,16,0.515,0.515,0.5122564424890006,0.7786856564236878,200
WBCIC,4,M0,19,0.945,0.945,0.9449986249656241,0.14885952661787374,200
WBCIC,4,M0,21,0.875,0.875,0.8747463613817982,0.3099025102964165,200
WBCIC,4,M0,28,0.61,0.61,0.604301948051948,0.5964014059157224,200
WBCIC,4,M0,33,0.96,0.96,0.95999599959996,0.14646589508756025,200
WBCIC,4,M0,37,0.885,0.885,0.8848589522164652,0.3495538398953804,200
WBCIC,4,M1,1,0.89,0.89,0.889823717948718,0.24848026086783775,200
WBCIC,4,M1,3,0.865,0.865,0.8649696181640869,0.30700429862808376,200
WBCIC,4,M1,5,0.755,0.755,0.7548467792370231,0.4260957814188609,200
WBCIC,4,M1,16,0.52,0.52,0.5160802500252042,0.8280578624448759,200
WBCIC,4,M1,19,0.95,0.95,0.9499949994999499,0.15158017655009698,200
WBCIC,4,M1,21,0.865,0.865,0.8645903859174001,0.30568768903835847,200
WBCIC,4,M1,28,0.645,0.645,0.6424164589156657,0.5908718532274481,200
WBCIC,4,M1,33,0.965,0.965,0.9649991249781245,0.1324272643842207,200
WBCIC,4,M1,37,0.8700000000000001,0.87,0.8695303091128062,0.3505279992855512,200
WBCIC,4,M2,1,0.895,0.895,0.894681411269089,0.25325854544123727,200
WBCIC,4,M2,3,0.87,0.87,0.8699479791916767,0.29907255929153714,200
WBCIC,4,M2,5,0.755,0.755,0.7542566262945409,0.4258547609209694,200
WBCIC,4,M2,16,0.51,0.51,0.5059985885673959,0.8229042838434892,200
WBCIC,4,M2,19,0.94,0.94,0.9399759903961584,0.1504436357648068,200
WBCIC,4,M2,21,0.865,0.865,0.8644272049408752,0.30747842430601724,200
WBCIC,4,M2,28,0.605,0.605,0.596516764983784,0.6182869715950353,200
WBCIC,4,M2,33,0.97,0.97,0.97,0.12584050793720433,200
WBCIC,4,M2,37,0.875,0.875,0.8746207277012964,0.3514563681172714,200
