model,task,fold,seed,status,checkpoint_sha256,basis_sha256,split_sha256,P_minus_random,P_oracle_BA_gain,P_percentile,empirical_p,random_oracle_high,random_oracle_low,random_oracle_mean
EEGConformer,OpenBMI_MI,0,0,COMPLETE,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,cee6edec269b727f9d7ced232b8769fdda772457625ebf29de6300167f3e4987,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,-0.022987500000000008,0.03249999999999997,0.24,0.7920792079207921,0.09440624999999996,0.023093749999999972,0.05548749999999998
EEGConformer,OpenBMI_MI,1,0,COMPLETE,38b50eed3b72893c0868bcc86ab55cb249d76fa0a32a375b352d6dbb37768a3e,742e9affd197484466bda0bb2e2718322983a1dfc1736f85f5088470bf57a177,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,-0.019949999999999996,0.05624999999999997,0.25,0.7623762376237624,0.10881249999999995,0.043749999999999976,0.07619999999999996
EEGConformer,OpenBMI_MI,2,0,COMPLETE,a5a0a2eafbba9b026c6368c26c3f3f7021adc2daca0091dd43662c3447374c34,8d1945adbfa1b522ddfb472870fb65a1de1bccddb40f394717aeea185b625474,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,-0.058375000000000024,0.07125,0.04,0.9603960396039604,0.17190625,0.06624999999999999,0.12962500000000002
EEGConformer,OpenBMI_MI,3,0,COMPLETE,ee78fd8820d87c3a5caf05e5c7f49c30de7646cb6def3fa53b2f4856bdde570a,c358cff6c10b43c6fd49642f24cf246d7d3fd9e64d021ae70cc133572b32d005,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,-0.021200000000000038,0.065,0.13,0.8712871287128713,0.12018749999999997,0.05243750000000001,0.08620000000000004
EEGConformer,OpenBMI_MI,4,0,COMPLETE,8ee4853ad1850a57ef7ba3c6091f132fe2ab4c169efa140810e39cd20076f77b,0f8964a6d58441a9c14f33713f363bb9db20006d22481a3cb07d9ecd43b8d910,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,-0.03158749999999999,0.041249999999999995,0.13,0.8910891089108911,0.10440625,0.03624999999999999,0.07283749999999999
EEGConformer,OpenBMI_SSVEP,0,0,COMPLETE,ed322e47fbd576ca0f782cc16a4255edbb8b2268683ca14865318fa15f64b400,650e6c449ac8304d5d31661652a67853fa3a03cfef87b9d5c94b9b5352aa01d6,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0,0.01951249999999996,0.06874999999999996,0.9,0.12871287128712872,0.07249999999999997,0.026781250000000003,0.049237500000000003
EEGConformer,OpenBMI_SSVEP,1,0,COMPLETE,32f75fd16bbe0eff08e3188a355638875f14106e7890072708a0f26b07796e2f,35a0bc31934e50b19b1cf630e5c05b97d523f86ab6f4bd277f4c873515fcbd6c,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0,-0.014712500000000003,0.043749999999999976,0.26,0.7722772277227723,0.10690624999999997,0.02618749999999999,0.05846249999999998
EEGConformer,OpenBMI_SSVEP,2,0,COMPLETE,b3f95a55bf72ebb6e60bab30891cd9766e80a824713c2b64e697652c3a114955,99604a1d36cc4b2b248492b55396d3f1dd984fd57b04b280de8ce2c55cd193af,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0,-0.019662500000000027,0.02249999999999998,0.01,0.9900990099009901,0.06565624999999999,0.024999999999999994,0.042162500000000006
EEGConformer,OpenBMI_SSVEP,3,0,COMPLETE,8f2fc67d712feb757b872fc8c6175b50ad1671bb1d3e5d185d099740466418ff,1efc60bdab3e7b22bb9e4b462e35f23d85b4502ef3676055777afc5dc309ab28,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0,-0.0035499999999999907,0.037500000000000006,0.38,0.6336633663366337,0.0625625,0.020593749999999997,0.041049999999999996
EEGConformer,OpenBMI_SSVEP,4,0,COMPLETE,0983ae1b20b62337dddd631620ae2e5ef4fda69cb170ffb8fa5a6b5e559d8cff,fa3f34a657c72f65f3d5570524b9f795725364dcfd33f8922ad18ec712fc7b2f,d1ef45b998b0dfe0acaad75dc1eb1b02f571c4314484bbd442ac3d55cd2de5a0,-0.006600000000000002,0.027499999999999983,0.55,0.46534653465346537,0.08315624999999997,0.013687499999999977,0.034099999999999984
