model,task,fold,seed,status,checkpoint_sha256,basis_sha256,split_sha256,BA,CE,MacroF1,feature_family,n_trials,policy,selected_alpha,selected_tau,subject_id,train_lso_BA,ridge_lambdas,ridge_lso_mse,selected_delta,train_nested_subject_BA
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.74,0.5965117812156677,0.7390606182256123,A,100,one_d_gain,,,5,,"[10.0, 10.0, 10.0, 10.0]","[0.32276153564453125, 0.17995840311050415, 0.0795263722538948, 0.01984584517776966]",0.1,0.8002083333333333
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.89,0.21679286658763885,0.8891017239641092,A,100,one_d_gain,,,6,,"[10.0, 10.0, 10.0, 10.0]","[0.32276153564453125, 0.17995840311050415, 0.0795263722538948, 0.01984584517776966]",0.1,0.8002083333333333
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.8200000000000001,0.4780865013599396,0.8199279711884754,A,100,one_d_gain,,,15,,"[10.0, 10.0, 10.0, 10.0]","[0.32276153564453125, 0.17995840311050415, 0.0795263722538948, 0.01984584517776966]",0.1,0.8002083333333333
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.66,0.9496777057647705,0.6598639455782312,A,100,one_d_gain,,,32,,"[10.0, 10.0, 10.0, 10.0]","[0.32276153564453125, 0.17995840311050415, 0.0795263722538948, 0.01984584517776966]",0.1,0.8002083333333333
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.73,0.6021430492401123,0.7237851662404092,A,100,one_d_gain,,,33,,"[10.0, 10.0, 10.0, 10.0]","[0.32276153564453125, 0.17995840311050415, 0.0795263722538948, 0.01984584517776966]",0.1,0.8002083333333333
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.74,0.566687822341919,0.7348021215830274,A,100,one_d_gain,,,38,,"[10.0, 10.0, 10.0, 10.0]","[0.32276153564453125, 0.17995840311050415, 0.0795263722538948, 0.01984584517776966]",0.1,0.8002083333333333
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.84,0.39474597573280334,0.8399359743897559,A,100,one_d_gain,,,47,,"[10.0, 10.0, 10.0, 10.0]","[0.32276153564453125, 0.17995840311050415, 0.0795263722538948, 0.01984584517776966]",0.1,0.8002083333333333
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.89,0.28542622923851013,0.8899889988998899,C,100,one_d_gain,,,3,,"[10.0, 10.0, 10.0, 10.0]","[0.3413591980934143, 0.19026125967502594, 0.08414062857627869, 0.02102550119161606]",0.1,0.8010416666666667
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.73,0.6008115410804749,0.7286704853783539,C,100,one_d_gain,,,5,,"[10.0, 10.0, 10.0, 10.0]","[0.3413591980934143, 0.19026125967502594, 0.08414062857627869, 0.02102550119161606]",0.1,0.8010416666666667
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.89,0.2219998687505722,0.8891017239641092,C,100,one_d_gain,,,6,,"[10.0, 10.0, 10.0, 10.0]","[0.3413591980934143, 0.19026125967502594, 0.08414062857627869, 0.02102550119161606]",0.1,0.8010416666666667
