model,task,fold,seed,status,checkpoint_sha256,basis_sha256,split_sha256,C_only_BA,C_only_CE,C_only_MacroF1,P_only_BA,P_only_CE,P_only_MacroF1,fixed_alpha_0.25_BA,fixed_alpha_0.25_CE,fixed_alpha_0.25_MacroF1,fixed_alpha_0.5_BA,fixed_alpha_0.5_CE,fixed_alpha_0.5_MacroF1,fixed_alpha_0.75_BA,fixed_alpha_0.75_CE,fixed_alpha_0.75_MacroF1,fixed_alpha_0_BA,fixed_alpha_0_CE,fixed_alpha_0_MacroF1,fixed_alpha_1_BA,fixed_alpha_1_CE,fixed_alpha_1_MacroF1,gain_2d_A_BA,gain_2d_A_CE,gain_2d_A_MacroF1,gain_2d_C_BA,gain_2d_C_CE,gain_2d_C_MacroF1,gain_2d_D_BA,gain_2d_D_CE,gain_2d_D_MacroF1,gain_alpha_A_BA,gain_alpha_A_CE,gain_alpha_A_MacroF1,gain_alpha_C_BA,gain_alpha_C_CE,gain_alpha_C_MacroF1,gain_alpha_D_BA,gain_alpha_D_CE,gain_alpha_D_MacroF1,native_BA,native_CE,native_MacroF1,oracle_2d_BA,oracle_2d_CE,oracle_2d_MacroF1,oracle_suppression_BA,oracle_suppression_CE,oracle_suppression_MacroF1,reliability_A_BA,reliability_A_CE,reliability_A_MacroF1,reliability_B_BA,reliability_B_CE,reliability_B_MacroF1,reliability_C_BA,reliability_C_CE,reliability_C_MacroF1,reliability_D_BA,reliability_D_CE,reliability_D_MacroF1,subject_id
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.6599999999999999,0.6361514925956726,0.6578099838969405,0.8,0.4226669669151306,0.7987117552334944,0.81,0.37537142634391785,0.8084484323016433,0.8,0.35562869906425476,0.7987117552334944,0.8200000000000001,0.3573130667209625,0.8193496587715776,0.8,0.4226669669151306,0.7987117552334944,0.88,0.3753795325756073,0.8798076923076923,0.88,0.3762799799442291,0.8798076923076923,0.87,0.3768892288208008,0.8698828946051447,0.88,0.36929500102996826,0.8798076923076923,0.88,0.3760664761066437,0.8798076923076923,0.88,0.37528905272483826,0.8798076923076923,0.88,0.37528905272483826,0.8798076923076923,0.88,0.3753795325756073,0.8798076923076923,0.8999999999999999,0.18890027701854706,0.8998397435897436,0.9199999999999999,0.22933614176876382,0.9199679871948779,0.88,0.36017945408821106,0.8798076923076923,0.88,0.36017945408821106,0.8798076923076923,0.88,0.3581758141517639,0.8798076923076923,0.88,0.3581758141517639,0.8798076923076923,26
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.6799999999999999,0.7054575085639954,0.6567996567996568,0.8,0.4707931578159332,0.7992773986350863,0.79,0.4338286519050598,0.7882851093860268,0.8,0.4248673915863037,0.797979797979798,0.78,0.4382875859737396,0.7767857142857143,0.8,0.4707931578159332,0.7992773986350863,0.73,0.4697917699813843,0.721964782205746,0.73,0.4623853266239166,0.721964782205746,0.73,0.44380804896354675,0.721964782205746,0.73,0.4623853266239166,0.721964782205746,0.73,0.4767798185348511,0.721964782205746,0.73,0.4741273820400238,0.721964782205746,0.73,0.4741273820400238,0.721964782205746,0.73,0.4697917699813843,0.721964782205746,0.86,0.2317924052476883,0.8590982286634461,0.8500000000000001,0.2966073050695195,0.8492613807657522,0.73,0.48466435074806213,0.721964782205746,0.73,0.48466435074806213,0.721964782205746,0.73,0.4813176393508911,0.721964782205746,0.73,0.4845198392868042,0.721964782205746,28
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.69,0.6757728457450867,0.6862030569895738,0.74,0.613882303237915,0.7362012987012987,0.71,0.5700733065605164,0.7033248081841432,0.69,0.5492896437644958,0.6783898744683059,0.75,0.5476613640785217,0.742559983523839,0.74,0.613882303237915,0.7362012987012987,0.73,0.5614955425262451,0.7198879551820728,0.73,0.5632591247558594,0.7198879551820728,0.73,0.5693554878234863,0.7198879551820728,0.73,0.581620991230011,0.7198879551820728,0.73,0.5624250769615173,0.7198879551820728,0.73,0.5623728036880493,0.7198879551820728,0.73,0.562415599822998,0.7198879551820728,0.73,0.5614955425262451,0.7198879551820728,0.85,0.2608029544353485,0.8474214220323466,0.83,0.3928513415991449,0.8279178054458953,0.73,0.5993139147758484,0.7198879551820728,0.73,0.5993139147758484,0.7198879551820728,0.73,0.5888969898223877,0.7198879551820728,0.73,0.5888969898223877,0.7198879551820728,31
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.73,0.5763083100318909,0.7237851662404092,0.81,0.36003562808036804,0.8084484323016433,0.8300000000000001,0.3336041569709778,0.8286117552172598,0.84,0.3246762156486511,0.8376623376623377,0.84,0.33140307664871216,0.8376623376623377,0.81,0.36003562808036804,0.8084484323016433,0.81,0.35116416215896606,0.8067338012409724,0.81,0.3535863757133484,0.8067338012409724,0.81,0.35314860939979553,0.8067338012409724,0.81,0.3543228209018707,0.8067338012409724,0.81,0.3536187708377838,0.8067338012409724,0.81,0.35290154814720154,0.8067338012409724,0.81,0.35290154814720154,0.8067338012409724,0.81,0.35116416215896606,0.8067338012409724,0.89,0.1616121232509613,0.8891017239641092,0.86,0.23256553990540418,0.8585858585858586,0.81,0.3719272315502167,0.8067338012409724,0.81,0.3724624216556549,0.8067338012409724,0.81,0.3804588317871094,0.8067338012409724,0.81,0.3716264069080353,0.8067338012409724,35
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.6799999999999999,0.5655128359794617,0.6715927750410509,0.71,0.5230235457420349,0.7085720028137876,0.72,0.4576699733734131,0.7181964573268921,0.8,0.4136299192905426,0.7992773986350863,0.8300000000000001,0.38843220472335815,0.8286117552172598,0.71,0.5230235457420349,0.7085720028137876,0.86,0.37950724363327026,0.8590982286634461,0.86,0.3816683292388916,0.8590982286634461,0.86,0.3701319396495819,0.8590982286634461,0.86,0.3740209937095642,0.8590982286634461,0.86,0.3801036477088928,0.8590982286634461,0.86,0.3801036477088928,0.8590982286634461,0.86,0.3801036477088928,0.8590982286634461,0.86,0.37950724363327026,0.8590982286634461,0.8899999999999999,0.2037915587425232,0.8897243107769424,0.8799999999999999,0.2893767858314614,0.8795664391810518,0.86,0.3763183653354645,0.8590982286634461,0.86,0.3763183653354645,0.8590982286634461,0.86,0.3849548399448395,0.8590982286634461,0.86,0.3849548399448395,0.8590982286634461,40
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.6499999999999999,0.6658052206039429,0.6482765551200884,0.78,0.4816780388355255,0.7777777777777778,0.8500000000000001,0.428447961807251,0.849624060150376,0.8400000000000001,0.39805564284324646,0.8397435897435898,0.8200000000000001,0.3868592381477356,0.8199279711884754,0.78,0.4816780388355255,0.7777777777777778,0.8,0.3906470835208893,0.7999199679871949,0.8,0.3916875422000885,0.7999199679871949,0.8,0.39846670627593994,0.7999199679871949,0.8,0.39314010739326477,0.7999199679871949,0.8,0.39276549220085144,0.7999199679871949,0.8,0.3927783966064453,0.7999199679871949,0.8,0.3927783966064453,0.7999199679871949,0.8,0.3906470835208893,0.7999199679871949,0.91,0.18850873410701752,0.90999099909991,0.87,0.2854800443990168,0.8698828946051447,0.8,0.40774431824684143,0.7999199679871949,0.8,0.40774431824684143,0.7999199679871949,0.8,0.40774431824684143,0.7999199679871949,0.8,0.40774431824684143,0.7999199679871949,43
EEGNet,OpenBMI_MI,2,0,COMPLETE,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,e0aff4bd34fd8374611f34105d88b1a4c8cd02ac0be7b27e7743ccfe4339b697,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.58,0.8256648778915405,0.5738636363636364,0.6699999999999999,0.7628737092018127,0.6697027324592133,0.69,0.7261806726455688,0.6899689968996899,0.71,0.7171885967254639,0.7092731829573935,0.6799999999999999,0.7337412238121033,0.677938808373591,0.6699999999999999,0.7628737092018127,0.6697027324592133,0.73,0.7726893424987793,0.7286704853783539,0.73,0.7738363742828369,0.7286704853783539,0.73,0.7756887078285217,0.7286704853783539,0.73,0.7425559759140015,0.7286704853783539,0.72,0.7776562571525574,0.7189883580891208,0.69,0.7735944390296936,0.6892230576441103,0.71,0.7794910669326782,0.7092731829573935,0.73,0.7726894617080688,0.7286704853783539,0.8300000000000001,0.35173216462135315,0.8295739348370927,0.8200000000000001,0.48284608129835904,0.8199279711884754,0.73,0.7958155870437622,0.7286704853783539,0.73,0.7958155870437622,0.7286704853783539,0.73,0.7938093543052673,0.7286704853783539,0.73,0.7938093543052673,0.7286704853783539,1
EEGNet,OpenBMI_MI,2,0,COMPLETE,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,e0aff4bd34fd8374611f34105d88b1a4c8cd02ac0be7b27e7743ccfe4339b697,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.5800000000000001,0.7711822986602783,0.5798319327731092,0.6799999999999999,0.6817778944969177,0.6788438378161381,0.7,0.6387572884559631,0.6995192307692308,0.72,0.6196013689041138,0.719551282051282,0.74,0.6214203834533691,0.74,0.6799999999999999,0.6817778944969177,0.6788438378161381,0.7,0.641510546207428,0.6998799519807923,0.7,0.6429725885391235,0.6998799519807923,0.7,0.6447410583496094,0.6998799519807923,0.71,0.6517316699028015,0.7099709970997099,0.69,0.6441293954849243,0.6899689968996899,0.7,0.6244856119155884,0.7,0.69,0.6352395415306091,0.6899689968996899,0.7,0.641510546207428,0.6998799519807923,0.81,0.3279697895050049,0.8099809980998101,0.77,0.46375785151305976,0.769792813532179,0.7,0.6586096882820129,0.6998799519807923,0.7,0.6586096882820129,0.6998799519807923,0.7,0.6586096882820129,0.6998799519807923,0.7,0.6586096882820129,0.6998799519807923,8
EEGNet,OpenBMI_MI,2,0,COMPLETE,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,e0aff4bd34fd8374611f34105d88b1a4c8cd02ac0be7b27e7743ccfe4339b697,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.61,0.7329881191253662,0.5920075321686369,0.74,0.646711528301239,0.7362012987012987,0.75,0.6128251552581787,0.7457023700539112,0.72,0.6017323136329651,0.7126436781609196,0.7,0.6091631054878235,0.6899545266639107,0.74,0.646711528301239,0.7362012987012987,0.67,0.6322078108787537,0.6547756041426928,0.67,0.6321375370025635,0.6547756041426928,0.67,0.6299784779548645,0.6547756041426928,0.67,0.6256275177001953,0.6547756041426928,0.67,0.6322005987167358,0.6547756041426928,0.66,0.6199149489402771,0.6427070197562001,0.66,0.6377509832382202,0.6427070197562001,0.67,0.6322078108787537,0.6547756041426928,0.8200000000000001,0.31401681900024414,0.8164014687882497,0.76,0.4246806960152729,0.7564935064935066,0.67,0.6561876535415649,0.6547756041426928,0.67,0.6561876535415649,0.6547756041426928,0.67,0.6561876535415649,0.6547756041426928,0.67,0.6561876535415649,0.6547756041426928,11
EEGNet,OpenBMI_MI,2,0,COMPLETE,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,e0aff4bd34fd8374611f34105d88b1a4c8cd02ac0be7b27e7743ccfe4339b697,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.5900000000000001,0.718707263469696,0.5879811074263892,0.62,0.8608818650245667,0.614448051948052,0.62,0.7968812584877014,0.6100164203612479,0.64,0.7549691796302795,0.625,0.64,0.73545241355896,0.6279454319966928,0.62,0.8608818650245667,0.614448051948052,0.6699999999999999,0.7373611330986023,0.6624040920716112,0.6699999999999999,0.7373611330986023,0.6624040920716112,0.6699999999999999,0.7349932193756104,0.6624040920716112,0.6699999999999999,0.7362678050994873,0.6624040920716112,0.6699999999999999,0.7373611330986023,0.6624040920716112,0.6799999999999999,0.7166515588760376,0.6736026111791106,0.6799999999999999,0.7318249344825745,0.6736026111791106,0.6699999999999999,0.7373611330986023,0.6624040920716112,0.8,0.3407629132270813,0.7947454844006567,0.76,0.5353836236777989,0.7564935064935066,0.6699999999999999,0.7947638034820557,0.6624040920716112,0.6699999999999999,0.7853409647941589,0.6624040920716112,0.6699999999999999,0.7991368174552917,0.6624040920716112,0.6699999999999999,0.7991368174552917,0.6624040920716112,23
