model,task,policy,metric,unit,subjects,delta_mean,ci_low,ci_high,positive_folds,folds
EEGConformer,OpenBMI_MI,gain_2d_A,BA,biological_subject,40,0.001499999999999993,-0.003250000000000003,0.0062499999999999865,4,5
EEGConformer,OpenBMI_MI,gain_2d_A,MacroF1,biological_subject,40,0.0027537780938190317,-0.002232586210939982,0.0074587471054871944,4,5
EEGConformer,OpenBMI_MI,gain_2d_A,CE,biological_subject,40,-0.0559611227363348,-0.08665189082734287,-0.028678509835153836,1,5
EEGConformer,OpenBMI_MI,gain_2d_C,BA,biological_subject,40,0.0017500000000000044,-0.004249999999999999,0.008250000000000002,3,5
EEGConformer,OpenBMI_MI,gain_2d_C,MacroF1,biological_subject,40,0.0031039654403889035,-0.0030714303079413356,0.009948003928859965,3,5
EEGConformer,OpenBMI_MI,gain_2d_C,CE,biological_subject,40,-0.06695775073021651,-0.10001277410890906,-0.03755926836282015,1,5
EEGConformer,OpenBMI_MI,gain_2d_D,BA,biological_subject,40,0.002500000000000008,-0.0037499999999999895,0.00825000000000001,3,5
EEGConformer,OpenBMI_MI,gain_2d_D,MacroF1,biological_subject,40,0.0040238726437069995,-0.0024711130224191126,0.010247443462610206,3,5
EEGConformer,OpenBMI_MI,gain_2d_D,CE,biological_subject,40,-0.06522751580923795,-0.09831836615223437,-0.03683631959371269,1,5
EEGConformer,OpenBMI_MI,gain_alpha_A,BA,biological_subject,40,0.0025000000000000022,0.0,0.005500000000000005,2,5
EEGConformer,OpenBMI_MI,gain_alpha_A,MacroF1,biological_subject,40,0.0031572025552240287,-3.656805456866063e-05,0.007056555348414824,2,5
EEGConformer,OpenBMI_MI,gain_alpha_A,CE,biological_subject,40,-0.02280487697571516,-0.03896561378147453,-0.009719964363612249,2,5
EEGConformer,OpenBMI_MI,gain_alpha_C,BA,biological_subject,40,0.002500000000000005,0.000250000000000003,0.0050000000000000044,2,5
EEGConformer,OpenBMI_MI,gain_alpha_C,MacroF1,biological_subject,40,0.0032979116023794247,0.0006989019151832463,0.006389216257724781,2,5
EEGConformer,OpenBMI_MI,gain_alpha_C,CE,biological_subject,40,-0.019782906956970693,-0.03390569228678942,-0.008599120043218137,2,5
EEGConformer,OpenBMI_MI,gain_alpha_D,BA,biological_subject,40,0.0010000000000000037,-0.000999999999999998,0.0032500000000000055,1,5
EEGConformer,OpenBMI_MI,gain_alpha_D,MacroF1,biological_subject,40,0.0015491835100764294,-0.0008832715323810584,0.004236753889012165,1,5
EEGConformer,OpenBMI_MI,gain_alpha_D,CE,biological_subject,40,-0.016332795657217503,-0.02797697203233838,-0.006596758351661274,1,5
EEGConformer,OpenBMI_MI,oracle_2d,BA,biological_subject,40,0.0935,0.08099374999999999,0.10724999999999998,5,5
EEGConformer,OpenBMI_MI,oracle_2d,MacroF1,biological_subject,40,0.09774428254176644,0.08431740230848411,0.11173354897620638,5,5
EEGConformer,OpenBMI_MI,oracle_2d,CE,biological_subject,40,-0.31954300897195936,-0.36816020688973367,-0.27227420656243345,0,5
EEGConformer,OpenBMI_MI,oracle_suppression,BA,biological_subject,40,0.053249999999999985,0.044749999999999984,0.06175624999999996,5,5
EEGConformer,OpenBMI_MI,oracle_suppression,MacroF1,biological_subject,40,0.05615078879076616,0.046647332782710355,0.06522760850576799,5,5
EEGConformer,OpenBMI_MI,oracle_suppression,CE,biological_subject,40,-0.1389922760860795,-0.16228010886178318,-0.11875385242289321,0,5
EEGConformer,OpenBMI_MI,reliability_A,BA,biological_subject,40,0.0,-0.0007500000000000007,0.0007500000000000007,0,5
EEGConformer,OpenBMI_MI,reliability_A,MacroF1,biological_subject,40,-3.15714969695291e-07,-0.0008308107448183888,0.0008298635999093029,0,5
EEGConformer,OpenBMI_MI,reliability_A,CE,biological_subject,40,0.028438873402774335,0.016720135011710227,0.04272936482913791,5,5
EEGConformer,OpenBMI_MI,reliability_B,BA,biological_subject,40,0.0,0.0,0.0,0,5
EEGConformer,OpenBMI_MI,reliability_B,MacroF1,biological_subject,40,0.0,0.0,0.0,0,5
EEGConformer,OpenBMI_MI,reliability_B,CE,biological_subject,40,0.028671874664723873,0.016561320768669247,0.04416468995623289,5,5
EEGConformer,OpenBMI_MI,reliability_C,BA,biological_subject,40,0.0005000000000000004,-0.0005000000000000004,0.0017500000000000016,2,5
EEGConformer,OpenBMI_MI,reliability_C,MacroF1,biological_subject,40,0.000548884647128281,-0.000416864742501416,0.001772263150680375,2,5
EEGConformer,OpenBMI_MI,reliability_C,CE,biological_subject,40,0.021969909593462945,0.010931760389357805,0.03711637773551045,5,5
EEGConformer,OpenBMI_MI,reliability_D,BA,biological_subject,40,0.0007500000000000007,-0.0002500000000000002,0.002250000000000002,3,5
EEGConformer,OpenBMI_MI,reliability_D,MacroF1,biological_subject,40,0.0008050449193463622,-0.0003680301003736369,0.0023051949343478677,3,5
EEGConformer,OpenBMI_MI,reliability_D,CE,biological_subject,40,0.024582401476800443,0.012797195590101184,0.0387651836592704,5,5
EEGConformer,OpenBMI_SSVEP,C_only,BA,biological_subject,40,-0.20049999999999998,-0.23975,-0.16149999999999998,0,5
EEGConformer,OpenBMI_SSVEP,C_only,MacroF1,biological_subject,40,-0.21134383786506974,-0.2503805677593233,-0.17163994166911506,0,5
EEGConformer,OpenBMI_SSVEP,C_only,CE,biological_subject,40,0.6089005724759773,0.3892446450749412,0.7842310576210728,5,5
EEGConformer,OpenBMI_SSVEP,P_only,BA,biological_subject,40,-0.22199999999999998,-0.26550625,-0.1795,0,5
EEGConformer,OpenBMI_SSVEP,P_only,MacroF1,biological_subject,40,-0.24899448764013782,-0.2944202569559135,-0.20300461189170987,0,5
EEGConformer,OpenBMI_SSVEP,P_only,CE,biological_subject,40,0.6564871673705056,0.4750345499039395,0.8383427993330406,5,5
EEGConformer,OpenBMI_SSVEP,fixed_alpha_0.25,BA,biological_subject,40,-0.07350000000000001,-0.09675625000000003,-0.052743750000000034,0,5
EEGConformer,OpenBMI_SSVEP,fixed_alpha_0.25,MacroF1,biological_subject,40,-0.08250442636947175,-0.10647134588041975,-0.060519708085738186,0,5
EEGConformer,OpenBMI_SSVEP,fixed_alpha_0.25,CE,biological_subject,40,0.13492764644324778,0.017743641942506657,0.2420863177976571,4,5
EEGConformer,OpenBMI_SSVEP,fixed_alpha_0.5,BA,biological_subject,40,-0.018499999999999996,-0.02950624999999999,-0.0077500000000000025,0,5
EEGConformer,OpenBMI_SSVEP,fixed_alpha_0.5,MacroF1,biological_subject,40,-0.02234557589716828,-0.03422338086665209,-0.010772652023683786,0,5
