model,task,fold,seed,status,checkpoint_sha256,basis_sha256,split_sha256,C_only_accuracy,C_only_corrected_errors,C_only_introduced_errors,P_only_accuracy,P_only_corrected_errors,P_only_introduced_errors,fixed_alpha_0.25_corrected_errors,fixed_alpha_0.25_introduced_errors,fixed_alpha_0.5_corrected_errors,fixed_alpha_0.5_introduced_errors,fixed_alpha_0.75_corrected_errors,fixed_alpha_0.75_introduced_errors,fixed_alpha_0_corrected_errors,fixed_alpha_0_introduced_errors,fixed_alpha_1_corrected_errors,fixed_alpha_1_introduced_errors,fraction,gain_2d_A_corrected_errors,gain_2d_A_introduced_errors,gain_2d_C_corrected_errors,gain_2d_C_introduced_errors,gain_2d_D_corrected_errors,gain_2d_D_introduced_errors,gain_alpha_A_corrected_errors,gain_alpha_A_introduced_errors,gain_alpha_C_corrected_errors,gain_alpha_C_introduced_errors,gain_alpha_D_corrected_errors,gain_alpha_D_introduced_errors,n_trials,native_accuracy,native_corrected_errors,native_introduced_errors,oracle_2d_corrected_errors,oracle_2d_introduced_errors,oracle_recoverable_fraction,oracle_suppression_corrected_errors,oracle_suppression_introduced_errors,reliability_A_corrected_errors,reliability_A_introduced_errors,reliability_B_corrected_errors,reliability_B_introduced_errors,reliability_C_corrected_errors,reliability_C_introduced_errors,reliability_D_corrected_errors,reliability_D_introduced_errors,subject_id,subset
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,1.0,7,0,0.0,0,14,0,9,0,6,0,2,0,14,0,0,0.21,0,0,0,0,1,0,0,0,0,0,0,0,21,0.6666666666666666,0,0,4,0,0.8571428571428571,0,0,0,0,0,0,0,0,0,0,6,P_wrong_C_correct
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,6,ambiguous
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.6031746031746031,13,19,0.3968253968253968,6,25,3,19,3,15,2,7,6,25,0,0,0.63,0,0,0,0,0,0,1,0,1,0,1,0,63,0.6984126984126984,0,0,10,0,0.8571428571428571,6,0,0,0,0,0,0,0,0,0,15,disagreement
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.0,0,19,1.0,6,0,3,0,3,0,2,0,6,0,0,0,0.25,0,0,0,0,0,0,1,0,1,0,1,0,25,0.76,0,0,3,0,0.88,6,0,0,0,0,0,0,0,0,0,15,P_correct_C_wrong
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,1.0,13,0,0.0,0,25,0,19,0,15,0,7,0,25,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,38,0.6578947368421053,0,0,7,0,0.8421052631578947,0,0,0,0,0,0,0,0,0,0,15,P_wrong_C_correct
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,15,ambiguous
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.5217391304347826,7,13,0.4782608695652174,9,17,6,9,5,6,2,2,9,17,0,0,0.46,1,0,2,0,2,0,1,0,1,0,1,0,46,0.6521739130434783,0,0,11,0,0.8913043478260869,9,0,0,0,0,0,0,0,0,0,32,disagreement
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.0,0,13,1.0,9,0,6,0,5,0,2,0,9,0,0,0,0.22,1,0,1,0,1,0,1,0,1,0,1,0,22,0.5909090909090909,0,0,7,0,0.9090909090909091,9,0,0,0,0,0,0,0,0,0,32,P_correct_C_wrong
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,1.0,7,0,0.0,0,17,0,9,0,6,0,2,0,17,0,0,0.24,0,0,1,0,1,0,0,0,0,0,0,0,24,0.7083333333333334,0,0,4,0,0.875,0,0,0,0,0,0,0,0,0,0,32,P_wrong_C_correct
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,32,ambiguous
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.4666666666666667,9,12,0.5333333333333333,12,12,9,9,5,7,2,0,12,12,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,45,0.5333333333333333,0,0,12,0,0.8,12,0,0,0,0,0,0,0,0,0,33,disagreement
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.0,0,12,1.0,12,0,9,0,5,0,2,0,12,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,24,0.5,0,0,8,0,0.8333333333333334,12,0,0,0,0,0,0,0,0,0,33,P_correct_C_wrong
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,1.0,9,0,0.0,0,12,0,9,0,7,0,0,0,12,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,21,0.5714285714285714,0,0,4,0,0.7619047619047619,0,0,0,0,0,0,0,0,0,0,33,P_wrong_C_correct
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,33,ambiguous
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.4,7,19,0.6,8,11,8,8,5,5,4,1,8,11,0,0,0.45,0,0,1,1,1,1,1,1,1,2,1,2,45,0.6666666666666666,0,0,13,0,0.9555555555555556,8,0,0,0,0,0,0,0,0,0,38,disagreement
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.0,0,19,1.0,8,0,8,0,5,0,4,0,8,0,0,0,0.27,0,0,1,0,1,0,1,0,1,0,1,0,27,0.7037037037037037,0,0,8,0,1.0,8,0,0,0,0,0,0,0,0,0,38,P_correct_C_wrong
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,1.0,7,0,0.0,0,11,0,8,0,5,0,1,0,11,0,0,0.18,0,0,0,1,0,1,0,1,0,2,0,2,18,0.6111111111111112,0,0,5,0,0.8888888888888888,0,0,0,0,0,0,0,0,0,0,38,P_wrong_C_correct
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,38,ambiguous
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.4482758620689655,6,25,0.5517241379310345,7,20,4,14,3,7,1,4,7,20,0,0,0.58,0,0,0,1,0,1,0,1,0,1,0,1,58,0.7758620689655172,0,0,10,0,0.9482758620689655,7,0,0,0,0,0,0,0,0,0,47,disagreement
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.0,0,25,1.0,7,0,4,0,3,0,1,0,7,0,0,0,0.32,0,0,0,1,0,1,0,0,0,0,0,0,32,0.78125,0,0,4,0,0.90625,7,0,0,0,0,0,0,0,0,0,47,P_correct_C_wrong
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,1.0,6,0,0.0,0,20,0,14,0,7,0,4,0,20,0,0,0.26,0,0,0,0,0,0,0,1,0,1,0,1,26,0.7692307692307693,0,0,6,0,1.0,0,0,0,0,0,0,0,0,0,0,47,P_wrong_C_correct
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,47,ambiguous
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.45098039215686275,9,18,0.5490196078431373,10,14,5,9,4,3,0,2,10,14,0,0,0.51,0,0,0,0,0,0,0,1,0,1,0,1,51,0.6274509803921569,0,0,11,0,0.8431372549019608,10,0,0,0,0,0,0,0,0,0,2,disagreement
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.0,0,18,1.0,10,0,5,0,4,0,0,0,10,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,28,0.6428571428571429,0,0,5,0,0.8214285714285714,10,0,0,0,0,0,0,0,0,0,2,P_correct_C_wrong
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,1.0,9,0,0.0,0,14,0,9,0,3,0,2,0,14,0,0,0.23,0,0,0,0,0,0,0,1,0,1,0,1,23,0.6086956521739131,0,0,6,0,0.8695652173913043,0,0,0,0,0,0,0,0,0,0,2,P_wrong_C_correct
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,ambiguous
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.37037037037037035,7,18,0.6296296296296297,16,13,11,9,9,5,5,1,16,13,0,0,0.54,1,0,1,0,1,0,3,1,2,1,2,1,54,0.5740740740740741,0,0,14,0,0.8333333333333334,16,0,0,0,0,0,0,0,0,0,14,disagreement
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.0,0,18,1.0,16,0,11,0,9,0,5,0,16,0,0,0,0.34,1,0,1,0,1,0,3,0,2,0,2,0,34,0.5294117647058824,0,0,11,0,0.8529411764705882,16,0,0,0,0,0,0,0,0,0,14,P_correct_C_wrong
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,1.0,7,0,0.0,0,13,0,9,0,5,0,1,0,13,0,0,0.2,0,0,0,0,0,0,0,1,0,1,0,1,20,0.65,0,0,3,0,0.8,0,0,0,0,0,0,0,0,0,0,14,P_wrong_C_correct
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,14,ambiguous
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.3157894736842105,0,22,0.6842105263157895,4,12,2,9,0,8,0,6,4,12,0,0,0.38,0,0,0,1,0,0,0,0,0,0,0,0,38,0.8947368421052632,0,0,2,0,0.9473684210526315,4,0,0,0,0,0,0,0,0,0,26,disagreement
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.0,0,22,1.0,4,0,2,0,0,0,0,0,4,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,26,0.8461538461538461,0,0,2,0,0.9230769230769231,4,0,0,0,0,0,0,0,0,0,26,P_correct_C_wrong
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,1.0,0,0,0.0,0,12,0,9,0,8,0,6,0,12,0,0,0.12,0,0,0,1,0,0,0,0,0,0,0,0,12,1.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,26,P_wrong_C_correct
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,26,ambiguous
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.3333333333333333,7,12,0.6666666666666666,12,5,9,3,7,0,5,0,12,5,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,36,0.4722222222222222,0,0,13,0,0.8333333333333334,12,0,0,0,0,0,0,0,0,0,28,disagreement
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.0,0,12,1.0,12,0,9,0,7,0,5,0,12,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,24,0.5,0,0,8,0,0.8333333333333334,12,0,0,0,0,0,0,0,0,0,28,P_correct_C_wrong
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,1.0,7,0,0.0,0,5,0,3,0,0,0,0,0,5,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,12,0.4166666666666667,0,0,5,0,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,28,P_wrong_C_correct
