model,task,fold,seed,status,checkpoint_sha256,basis_sha256,split_sha256,BA,CE,MacroF1,feature_family,n_trials,policy,ridge_lambdas,ridge_lso_mse,selected_delta,subject_id,train_nested_subject_BA
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.89,0.21973958611488342,0.8891017239641092,C,100,two_d_gain,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]","[0.08678396046161652, 0.06507577747106552, 0.0855964943766594, 0.14887495338916779, 0.2552368938922882, 0.06405086815357208, 0.021699298173189163, 0.02124631591141224, 0.06309627741575241, 0.14775733649730682, 0.08414062857627869, 0.02102550119161606, 0.02112322300672531, 0.08476646989583969, 0.1475221812725067, 0.06319492310285568, 0.021326661109924316, 0.02176213264465332, 0.06472990661859512, 0.25477588176727295, 0.14879658818244934, 0.08573346585035324, 0.06512957066297531, 0.08722226321697235]",0.02,6,0.8030208333333334
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.81,0.4996609091758728,0.8099809980998101,C,100,two_d_gain,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]","[0.08678396046161652, 0.06507577747106552, 0.0855964943766594, 0.14887495338916779, 0.2552368938922882, 0.06405086815357208, 0.021699298173189163, 0.02124631591141224, 0.06309627741575241, 0.14775733649730682, 0.08414062857627869, 0.02102550119161606, 0.02112322300672531, 0.08476646989583969, 0.1475221812725067, 0.06319492310285568, 0.021326661109924316, 0.02176213264465332, 0.06472990661859512, 0.25477588176727295, 0.14879658818244934, 0.08573346585035324, 0.06512957066297531, 0.08722226321697235]",0.02,15,0.8030208333333334
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.6699999999999999,0.988640308380127,0.6697027324592133,C,100,two_d_gain,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]","[0.08678396046161652, 0.06507577747106552, 0.0855964943766594, 0.14887495338916779, 0.2552368938922882, 0.06405086815357208, 0.021699298173189163, 0.02124631591141224, 0.06309627741575241, 0.14775733649730682, 0.08414062857627869, 0.02102550119161606, 0.02112322300672531, 0.08476646989583969, 0.1475221812725067, 0.06319492310285568, 0.021326661109924316, 0.02176213264465332, 0.06472990661859512, 0.25477588176727295, 0.14879658818244934, 0.08573346585035324, 0.06512957066297531, 0.08722226321697235]",0.02,32,0.8030208333333334
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.73,0.5836076140403748,0.7237851662404092,C,100,two_d_gain,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]","[0.08678396046161652, 0.06507577747106552, 0.0855964943766594, 0.14887495338916779, 0.2552368938922882, 0.06405086815357208, 0.021699298173189163, 0.02124631591141224, 0.06309627741575241, 0.14775733649730682, 0.08414062857627869, 0.02102550119161606, 0.02112322300672531, 0.08476646989583969, 0.1475221812725067, 0.06319492310285568, 0.021326661109924316, 0.02176213264465332, 0.06472990661859512, 0.25477588176727295, 0.14879658818244934, 0.08573346585035324, 0.06512957066297531, 0.08722226321697235]",0.02,33,0.8030208333333334
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.74,0.5201557278633118,0.7348021215830274,C,100,two_d_gain,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]","[0.08678396046161652, 0.06507577747106552, 0.0855964943766594, 0.14887495338916779, 0.2552368938922882, 0.06405086815357208, 0.021699298173189163, 0.02124631591141224, 0.06309627741575241, 0.14775733649730682, 0.08414062857627869, 0.02102550119161606, 0.02112322300672531, 0.08476646989583969, 0.1475221812725067, 0.06319492310285568, 0.021326661109924316, 0.02176213264465332, 0.06472990661859512, 0.25477588176727295, 0.14879658818244934, 0.08573346585035324, 0.06512957066297531, 0.08722226321697235]",0.02,38,0.8030208333333334
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.8400000000000001,0.4051515460014343,0.8397435897435898,C,100,two_d_gain,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]","[0.08678396046161652, 0.06507577747106552, 0.0855964943766594, 0.14887495338916779, 0.2552368938922882, 0.06405086815357208, 0.021699298173189163, 0.02124631591141224, 0.06309627741575241, 0.14775733649730682, 0.08414062857627869, 0.02102550119161606, 0.02112322300672531, 0.08476646989583969, 0.1475221812725067, 0.06319492310285568, 0.021326661109924316, 0.02176213264465332, 0.06472990661859512, 0.25477588176727295, 0.14879658818244934, 0.08573346585035324, 0.06512957066297531, 0.08722226321697235]",0.02,47,0.8030208333333334
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.88,0.2942711114883423,0.8799519807923168,D,100,two_d_gain,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]","[0.08690863102674484, 0.06531646847724915, 0.08594658970832825, 0.14933516085147858, 0.25581830739974976, 0.0640488713979721, 0.021734774112701416, 0.021336935460567474, 0.06326058506965637, 0.1480202078819275, 0.08421889692544937, 0.021042050793766975, 0.02113848179578781, 0.08483027666807175, 0.14789219200611115, 0.06338506191968918, 0.021417822688817978, 0.021805278956890106, 0.06476286053657532, 0.2556551694869995, 0.14936088025569916, 0.08610065281391144, 0.06537865102291107, 0.08740509301424026]",0.01,3,0.8007291666666667
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.74,0.6026670336723328,0.7390606182256123,D,100,two_d_gain,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]","[0.08690863102674484, 0.06531646847724915, 0.08594658970832825, 0.14933516085147858, 0.25581830739974976, 0.0640488713979721, 0.021734774112701416, 0.021336935460567474, 0.06326058506965637, 0.1480202078819275, 0.08421889692544937, 0.021042050793766975, 0.02113848179578781, 0.08483027666807175, 0.14789219200611115, 0.06338506191968918, 0.021417822688817978, 0.021805278956890106, 0.06476286053657532, 0.2556551694869995, 0.14936088025569916, 0.08610065281391144, 0.06537865102291107, 0.08740509301424026]",0.01,5,0.8007291666666667
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.89,0.2229519784450531,0.8891017239641092,D,100,two_d_gain,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]","[0.08690863102674484, 0.06531646847724915, 0.08594658970832825, 0.14933516085147858, 0.25581830739974976, 0.0640488713979721, 0.021734774112701416, 0.021336935460567474, 0.06326058506965637, 0.1480202078819275, 0.08421889692544937, 0.021042050793766975, 0.02113848179578781, 0.08483027666807175, 0.14789219200611115, 0.06338506191968918, 0.021417822688817978, 0.021805278956890106, 0.06476286053657532, 0.2556551694869995, 0.14936088025569916, 0.08610065281391144, 0.06537865102291107, 0.08740509301424026]",0.01,6,0.8007291666666667
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.81,0.49466443061828613,0.8099809980998101,D,100,two_d_gain,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]","[0.08690863102674484, 0.06531646847724915, 0.08594658970832825, 0.14933516085147858, 0.25581830739974976, 0.0640488713979721, 0.021734774112701416, 0.021336935460567474, 0.06326058506965637, 0.1480202078819275, 0.08421889692544937, 0.021042050793766975, 0.02113848179578781, 0.08483027666807175, 0.14789219200611115, 0.06338506191968918, 0.021417822688817978, 0.021805278956890106, 0.06476286053657532, 0.2556551694869995, 0.14936088025569916, 0.08610065281391144, 0.06537865102291107, 0.08740509301424026]",0.01,15,0.8007291666666667
