analysis,analysis_role,dataset,subject_cluster,fold,RMSE_M0,RMSE_MI,RMSE_MD,RMSE_MID,Delta_MI_minus_MD,backbone_count,repeated_backbone_rows
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S037,0,0.04142457347518523,0.0404650626563031,0.033191223485465944,0.03362847598690815,0.007273839170837154,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S038,1,0.11606891127109842,0.11609826995290308,0.11728675509250633,0.11727319645852877,-0.0011884851396032486,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S039,4,0.039289548927239876,0.039124171196428754,0.037472495647048396,0.03721613499627407,0.001651675549380359,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S040,2,0.02666226533641881,0.027155284423026692,0.025315126475415894,0.025461194911158107,0.0018401579476107974,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S001,3,0.05386763143713989,0.05510049324473737,0.06012701241224253,0.05984854177936393,-0.005026519167505159,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S002,1,0.039539817488009416,0.0378814472104358,0.03326846199373104,0.03354169149329267,0.00461298521670476,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S003,4,0.07451328551413118,0.07468656057368556,0.07316601612979627,0.07336133744213914,0.0015205444438892782,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S004,3,0.037150165934580606,0.038581226827703874,0.0386012222574265,0.03878957544701975,-1.9995429722630825e-05,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S005,3,0.08373847023235742,0.08023553792978633,0.0751203379295987,0.0752527823076665,0.005115200000187635,2,2
OPENBMI_EQUAL_FAMILY_PRIMARY,PRIMARY_OPENBMI,OPENBMI_STRESS,OB-S006,3,0.05482059217613908,0.058618316528847164,0.06012780368495033,0.059998264582755416,-0.0015094871561031672,2,2
