benchmark,family_id,subjects,baseline_method,baseline_BA,strongest_single_candidate,strongest_single_candidate_BA,mean_expert_BA,subject_oracle_BA,oracle_headroom_pp,subjects_rescued_ge_2pp_fraction,subjects_rescued_ge_5pp_fraction,positive_fold_fraction,mean_pairwise_correctness_correlation,mean_pairwise_correctness_disagreement,oracle_usage,oracle_assignment_entropy,headroom_state,outcome_labels_used_for_headroom_only,used_to_train_selector,internal_holdout_used,OUTER_TEST_USED,feature_family,experts,rank,epochs,tau,lambda_mean,folds,baseline_source_method,training_objective,metric_dimension,deployment_transform,diagnostic_status,spatial_filters,reduced_dimension,covariance_cache,candidate_actions,pretrain_epochs,training_mode,adapter_rank,meta_epochs,population_initialization,candidate_count_before_competence_filter,eligible_candidate_count,competence_tolerance_pp,minimum_positive_subject_fraction,bank_type,prospective_status,selector_trained
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__METRIC_TRANSPORT_MI_SPECIFIC_K4_D16,18,B_STRONG_MATCHED_V7,0.8516666666666668,METRIC_TRANSPORT_MI_SPECIFIC_K4_D16__E0_RESIDUAL50,0.8566666666666667,0.8547222222222222,0.8666666666666667,1.5000000000000009,0.5,0.0555555555555555,1.0,0.927832458956439,0.0179629629629629,"{'B_STRONG_MATCHED_V7': 5, 'METRIC_TRANSPORT_MI_SPECIFIC_K4_D16__E0_RESIDUAL50': 7, 'METRIC_TRANSPORT_MI_SPECIFIC_K4_D16__E1_RESIDUAL50': 1, 'METRIC_TRANSPORT_MI_SPECIFIC_K4_D16__E2_RESIDUAL50': 2, 'METRIC_TRANSPORT_MI_SPECIFIC_K4_D16__E3_RESIDUAL50': 3}",1.4264444338582805,V8_HEADROOM_WEAK,True,False,False,False,MI_SPECIFIC,4.0,,300.0,0.08,0.35,"[0, 1]",ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,"history-class prototype transport through query-trained metrics, learned recency, coverage, competence, and diversity",16.0,locked strong anchor plus half learned metric residual,,,,,,,,,,,,,,,,,
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__META_SGD_MI_SPECIFIC_K4,18,B_STRONG_MATCHED_V7,0.8516666666666668,META_SGD_MI_SPECIFIC_K4__E2_BLEND50,0.846111111111111,0.8424999999999999,0.8688888888888889,1.722222222222222,0.3888888888888889,0.1666666666666666,1.0,0.8202693017674916,0.0477777777777777,"{'B_STRONG_MATCHED_V7': 7, 'META_SGD_MI_SPECIFIC_K4__E0_BLEND50': 2, 'META_SGD_MI_SPECIFIC_K4__E1_BLEND50': 2, 'META_SGD_MI_SPECIFIC_K4__E2_BLEND50': 2, 'META_SGD_MI_SPECIFIC_K4__E3_BLEND50': 5}",1.4555137751785332,V8_HEADROOM_WEAK,True,False,False,False,MI_SPECIFIC,4.0,,300.0,0.08,0.35,"[0, 1]",ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,true differentiable history gradient step with learned signed per-feature step sizes and future-query coverage loss,,,,,,,,,,,,,,,,,,,
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__NORM_HYPER_MI_SPECIFIC_K4_R4,12,B_STRONG_MATCHED_V7,0.8137499999999999,NORM_HYPER_MI_SPECIFIC_K4_R4__E0_RESIDUAL50,0.8141666666666666,0.8106249999999999,0.8241666666666667,1.0416666666666676,0.25,0.0833333333333333,1.0,0.9071124592746056,0.0286111111111111,"{'B_STRONG_MATCHED_V7': 8, 'NORM_HYPER_MI_SPECIFIC_K4_R4__E0_RESIDUAL50': 1, 'NORM_HYPER_MI_SPECIFIC_K4_R4__E1_RESIDUAL50': 1, 'NORM_HYPER_MI_SPECIFIC_K4_R4__E2_RESIDUAL50': 2, 'NORM_HYPER_MI_SPECIFIC_K4_R4__E3_RESIDUAL50': 0}",0.9830877585747856,V8_HEADROOM_WEAK,True,False,False,False,MI_SPECIFIC,4.0,4.0,300.0,0.08,0.35,"[0, 1]",ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,query-trained history-conditioned normalization/FiLM coefficients with coverage and competence,,locked strong anchor plus half learned normalization residual,,,,,,,,,,,,,,,,,
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__NORM_HYPER_MI_SPECIFIC_K4_R4,18,B_STRONG_MATCHED_V7,0.8516666666666668,NORM_HYPER_MI_SPECIFIC_K4_R4__E2_RESIDUAL50,0.8583333333333334,0.8543055555555554,0.8705555555555556,1.8888888888888893,0.3888888888888889,0.1666666666666666,1.0,0.8822460009399381,0.0293518518518518,"{'B_STRONG_MATCHED_V7': 6, 'NORM_HYPER_MI_SPECIFIC_K4_R4__E0_RESIDUAL50': 2, 'NORM_HYPER_MI_SPECIFIC_K4_R4__E1_RESIDUAL50': 1, 'NORM_HYPER_MI_SPECIFIC_K4_R4__E2_RESIDUAL50': 6, 'NORM_HYPER_MI_SPECIFIC_K4_R4__E3_RESIDUAL50': 3}",1.4357470435705602,V8_HEADROOM_WEAK,True,False,False,False,MI_SPECIFIC,4.0,4.0,300.0,0.08,0.35,"[0, 1]",ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,query-trained history-conditioned normalization/FiLM coefficients with coverage and competence,,locked strong anchor plus half learned normalization residual,,,,,,,,,,,,,,,,,
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__SPD_TRANSPORT_K4_P8_D16,12,B_STRONG_MATCHED_V7,0.8137499999999999,SPD_TRANSPORT_K4_P8_D16__E0_RESIDUAL50,0.8137499999999999,0.8135416666666666,0.8183333333333334,0.4583333333333337,0.0,0.0,1.0,0.9835194651763618,0.005,"{'B_STRONG_MATCHED_V7': 7, 'SPD_TRANSPORT_K4_P8_D16__E0_RESIDUAL50': 2, 'SPD_TRANSPORT_K4_P8_D16__E1_RESIDUAL50': 1, 'SPD_TRANSPORT_K4_P8_D16__E2_RESIDUAL50': 0, 'SPD_TRANSPORT_K4_P8_D16__E3_RESIDUAL50': 2}",1.1187433359857524,V8_HEADROOM_WEAK,True,False,False,False,,4.0,,250.0,0.08,0.35,"[0, 1]",ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,history-whitened shrinkage SPD class prototypes with query-trained spatial metric coverage,,locked strong anchor plus half learned SPD residual,,8.0,16.0,"{'reused': False, 'rows': 18591, 'channels': 58, 'sampling_rate_hz': 250, 'band_hz': [8.0, 30.0], 'shrinkage': 0.05, 'internal_holdout_rows': 0, 'path': 'D:\\nips-temp\\TotalP\\P1\\CRCICLR_V8_HEADROOM_FIRST\\experiments\\persist_eeg_final_model_v8\\outputs\\cache\\WBCIC_V8_SEARCH_SPECTRAL_COV_FLOAT16.npy', 'OUTER_TEST_USED': False}",,,,,,,,,,,,,
OpenBMI_MI_S1_to_S2,OpenBMI_MI_S1_to_S2__SPD_TRANSPORT_K4_P8_D16,18,B_STRONG_MATCHED_V7,0.8516666666666668,SPD_TRANSPORT_K4_P8_D16__E2_RESIDUAL50,0.8550000000000001,0.8547222222222222,0.8566666666666668,0.4999999999999998,0.1111111111111111,0.0,1.0,0.9962777472626366,0.0009259259259259,"{'B_STRONG_MATCHED_V7': 7, 'SPD_TRANSPORT_K4_P8_D16__E0_RESIDUAL50': 5, 'SPD_TRANSPORT_K4_P8_D16__E1_RESIDUAL50': 0, 'SPD_TRANSPORT_K4_P8_D16__E2_RESIDUAL50': 1, 'SPD_TRANSPORT_K4_P8_D16__E3_RESIDUAL50': 5}",1.2394967485779316,V8_HEADROOM_WEAK,True,False,False,False,,4.0,,250.0,0.08,0.35,"[0, 1]",ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,history-whitened shrinkage SPD class prototypes with query-trained spatial metric coverage,,locked strong anchor plus half learned SPD residual,,8.0,16.0,"{'reused': False, 'rows': 8000, 'channels': 62, 'sampling_rate_hz': 250, 'band_hz': [8.0, 30.0], 'shrinkage': 0.05, 'internal_holdout_rows': 0, 'path': 'D:\\nips-temp\\TotalP\\P1\\CRCICLR_V8_HEADROOM_FIRST\\experiments\\persist_eeg_final_model_v8\\outputs\\cache\\OPENBMI_V8_SEARCH_SPECTRAL_COV_FLOAT16.npy', 'OUTER_TEST_USED': False}",,,,,,,,,,,,,
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_BANK_K4,5,B_STRONG_MATCHED_V7,0.7949999999999999,MULTISCALE_TCN_BANK_K4__E1_HISTORY_RESIDUAL50,0.7989999999999999,0.7857500000000001,0.8150000000000001,2.000000000000004,0.4,0.2,1.0,0.6409729624414565,0.1220714285714285,"{'B_STRONG_MATCHED_V7': 2, 'MULTISCALE_TCN_BANK_K4__E0_GENERIC_BLEND50': 1, 'MULTISCALE_TCN_BANK_K4__E0_HISTORY_RESIDUAL50': 1, 'MULTISCALE_TCN_BANK_K4__E1_GENERIC_BLEND50': 0, 'MULTISCALE_TCN_BANK_K4__E1_HISTORY_RESIDUAL50': 0, 'MULTISCALE_TCN_BANK_K4__E2_GENERIC_BLEND50': 0, 'MULTISCALE_TCN_BANK_K4__E2_HISTORY_RESIDUAL50': 0, 'MULTISCALE_TCN_BANK_K4__E3_GENERIC_BLEND50': 1, 'MULTISCALE_TCN_BANK_K4__E3_HISTORY_RESIDUAL50': 0}",1.3321790402101223,V8_HEADROOM_WEAK,True,False,False,False,,4.0,,12.0,0.08,0.4,[0],ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,future-session subject-coverage loss plus all-session competence on a multi-scale temporal-spatial TCN,,,,,,,generic anchor blend and legal-history feature-head residual,,,,,,,,,,,,
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_STAGED_BANK_K4,12,B_STRONG_MATCHED_V7,0.8137499999999999,MULTISCALE_TCN_STAGED_BANK_K4__E0_GENERIC_BLEND50,0.8229166666666665,0.8062916666666666,0.8337500000000001,2.0,0.3333333333333333,0.1666666666666666,1.0,0.6745052258226755,0.1031203703703703,"{'B_STRONG_MATCHED_V7': 1, 'MULTISCALE_TCN_STAGED_BANK_K4__POPULATION_BLEND50': 1, 'MULTISCALE_TCN_STAGED_BANK_K4__FEATURE_HEAD_BLEND50': 1, 'MULTISCALE_TCN_STAGED_BANK_K4__E0_GENERIC_BLEND50': 0, 'MULTISCALE_TCN_STAGED_BANK_K4__E0_HISTORY_RESIDUAL50': 2, 'MULTISCALE_TCN_STAGED_BANK_K4__E1_GENERIC_BLEND50': 3, 'MULTISCALE_TCN_STAGED_BANK_K4__E1_HISTORY_RESIDUAL50': 1, 'MULTISCALE_TCN_STAGED_BANK_K4__E2_GENERIC_BLEND50': 0, 'MULTISCALE_TCN_STAGED_BANK_K4__E2_HISTORY_RESIDUAL50': 2, 'MULTISCALE_TCN_STAGED_BANK_K4__E3_GENERIC_BLEND50': 1, 'MULTISCALE_TCN_STAGED_BANK_K4__E3_HISTORY_RESIDUAL50': 0}",1.9792045174343245,V8_HEADROOM_WEAK,True,False,False,False,,4.0,,8.0,0.08,1.0,"[0, 1]",ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,competence-first subject-balanced population pretraining followed by future-session subject-coverage specialization,,,,,,,generic anchor blend and legal-history feature-head residual,24.0,staged,0.0,,,,,,,,,
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__MULTISCALE_TCN_LR_STAGED_BANK_K4_R8,12,B_STRONG_MATCHED_V7,0.8137499999999999,MULTISCALE_TCN_LR_STAGED_BANK_K4_R8__E2_GENERIC_BLEND50,0.81625,0.7987083333333332,0.83,1.624999999999999,0.3333333333333333,0.0833333333333333,1.0,0.6170703147928985,0.1249537037037037,"{'B_STRONG_MATCHED_V7': 1, 'MULTISCALE_TCN_LR_STAGED_BANK_K4_R8__POPULATION_BLEND50': 3, 'MULTISCALE_TCN_LR_STAGED_BANK_K4_R8__FEATURE_HEAD_BLEND50': 3, 'MULTISCALE_TCN_LR_STAGED_BANK_K4_R8__E0_GENERIC_BLEND50': 0, 'MULTISCALE_TCN_LR_STAGED_BANK_K4_R8__E0_HISTORY_RESIDUAL50': 2, 'MULTISCALE_TCN_LR_STAGED_BANK_K4_R8__E1_GENERIC_BLEND50': 0, 'MULTISCALE_TCN_LR_STAGED_BANK_K4_R8__E1_HISTORY_RESIDUAL50': 1, 'MULTISCALE_TCN_LR_STAGED_BANK_K4_R8__E2_GENERIC_BLEND50': 0, 'MULTISCALE_TCN_LR_STAGED_BANK_K4_R8__E2_HISTORY_RESIDUAL50': 1, 'MULTISCALE_TCN_LR_STAGED_BANK_K4_R8__E3_GENERIC_BLEND50': 1, 'MULTISCALE_TCN_LR_STAGED_BANK_K4_R8__E3_HISTORY_RESIDUAL50': 0}",1.8200759753606213,V8_HEADROOM_WEAK,True,False,False,False,,4.0,,12.0,0.08,1.0,"[0, 1]",ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,competence-first subject-balanced population pretraining followed by future-session subject-coverage specialization,,,,,,,generic anchor blend and legal-history feature-head residual,24.0,staged,8.0,,,,,,,,,
WBCIC_S1S2_to_S3_authorized_development,WBCIC_S1S2_to_S3_authorized_development__RAW_FOMAML_MULTISCALE_BANK,12,B_STRONG_MATCHED_V7,0.8137499999999999,RAW_FOMAML_MULTISCALE_BANK__TAIL3_BLEND50,0.8133333333333334,0.8117361111111111,0.8295833333333332,1.583333333333332,0.5,0.0833333333333333,1.0,0.7627275835027846,0.0725277777777777,"{'B_STRONG_MATCHED_V7': 4, 'RAW_FOMAML_MULTISCALE_BANK__HEAD4_BLEND50': 2, 'RAW_FOMAML_MULTISCALE_BANK__HEAD4_DELTA50': 1, 'RAW_FOMAML_MULTISCALE_BANK__TAIL3_BLEND50': 3, 'RAW_FOMAML_MULTISCALE_BANK__TAIL3_DELTA50': 1, 'RAW_FOMAML_MULTISCALE_BANK__FULL1_BLEND50': 1, 'RAW_FOMAML_MULTISCALE_BANK__FULL1_DELTA50': 0}",1.6326309271543518,V8_HEADROOM_WEAK,True,False,False,False,,3.0,,,,,"[0, 1]",ANCHOR_BLEND__CONFORMER_NORM_FIXED_HEAD,first-order meta-gradient from future-session balanced query loss after legal-history raw-signal inner adaptation,,,,,,,,,,,4.0,competence-first V8_SEARCH-only multiscale temporal-spatial encoder,,,,,,,
