backbone,fold,subject_id,n_s1_validation,n_s2,adaptation_effect_stability,decision_stability,representation_stability,raw_delta2,certificate_se,certificate_snr,certificate_lcb90,s1_parameter_relative_change,s1_anchor_confidence,identity_I,identity_status,feature_input_sessions,s3_feature_input_accessed,seed_count
EEGConformer,0,19,60.0,200.0,-2.2743658956620703,-2.379297156584124,-1.6909620861996464,0.0050000000000000044,0.006334943032462335,0.824013513299955,-0.003118556160887959,0.14562052488327026,0.650872750886608,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,0,21,60.0,200.0,-0.14223720573552265,-0.20166018740865702,-0.22598564463352835,0.006666666666666654,0.017263469198088906,0.3516830801562562,-0.015457359310875171,0.27219676226377487,0.794602019553822,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,2,22,60.0,200.0,-0.4620089799777585,-0.46000296826637116,-0.49390827093891215,-0.0016666666666666496,0.016320549697707878,0.04594346058795693,-0.02258229268231263,0.29901063938935596,0.8661232844556638,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,3,23,60.0,200.0,-1.073529501706725,-1.1139095661754632,-1.1735744766731533,-0.006666666666666672,0.013182510691375313,-0.5017201892505426,-0.02356073388100714,0.17601874967416128,0.8086647219316786,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,3,24,60.0,199.0,-0.2496359783036121,-0.12194857676240074,-0.2255325659723649,0.011851851851851855,0.011413935994999548,1.0678419156896333,-0.0027756956915656814,0.356633464495341,0.9367067085615574,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,2,25,60.0,200.0,-0.47044777920194075,-0.46584740188255025,-0.5752728973890759,0.011666666666666678,0.00940311412561082,1.2080613790680845,-0.0003839089620044153,0.29897039383649826,0.9266259134189011,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,2,26,60.0,200.0,-0.5440054277824222,-0.4732500010950715,-0.5211488285747053,0.015000000000000013,0.012885697568596269,0.7171521291379263,-0.0015136858921687864,0.20462123056252798,0.8374040790116632,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,1,27,60.0,200.0,-0.3177720228826269,-0.2603182327569606,-0.3735363548039632,-0.015000000000000005,0.02300317769021577,-0.7862470048880024,-0.044479758381396645,0.1625747581322988,0.7045538563099938,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,0,28,60.0,200.0,-0.5726974766745444,-0.7773368908453655,-0.7202186162191325,0.07166666666666667,0.017378473067042825,2.7040751908382177,0.049395257300823274,0.09052566438913345,0.839001440272448,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,2,29,60.0,200.0,-0.3867203431923585,-0.40893546914408313,-0.49760838439667615,-0.01666666666666668,0.01744888839657553,-0.8455362211859074,-0.039028316908311066,0.3712461491425832,0.7799193576229402,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,3,30,60.0,200.0,-0.4551798855923345,-0.41290353940629143,-0.3996194241083784,0.00999999999999999,0.008617649836166355,1.0394321490257548,-0.001043962638854171,0.2527177731196086,0.9499832262082158,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,3,31,60.0,200.0,-0.13325607476736193,-0.11489206266903136,-0.49147752926303384,-0.009999999999999972,0.02069685947165012,-0.43624647839421166,-0.03652409265774978,0.2937198181947072,0.8177093467478792,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,4,32,60.0,199.0,-0.2058040902895144,-0.20410851945076547,-0.37598343836356096,-0.0015656565656565664,0.023776764499280553,-0.07953018974571897,-0.03203680633329484,0.45042656858762103,0.7372595209196158,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,0,33,60.0,200.0,-0.3234018188094312,-0.4832977071677457,-0.5042188438519699,0.0016666666666666312,0.011424924794559956,0.19049361401858178,-0.012974963590031002,0.2621040642261505,0.8881690667098797,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,2,34,60.0,200.0,-0.2039433014618738,-0.18383874579822612,-0.41439076304797845,0.021666666666666667,0.02066679965261323,1.307605340251034,-0.00481890278293642,0.34706147263447445,0.7314251923935432,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,2,35,60.0,200.0,-0.24031590207579356,-0.24196454893555355,-0.2459141626683273,-0.0050000000000000044,0.006073437500668151,-0.45331156982078663,-0.012783423337218559,0.2761748929818471,0.9676033505681824,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,1,36,60.0,200.0,-0.6787606807653125,-0.7225584163883944,-0.7152580735471749,0.001666666666666668,0.012445065165672349,0.24038794118493156,-0.014282326079705303,0.31467798352241516,0.8654085356103828,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,0,37,60.0,200.0,-0.28464622110799453,-0.4391806714672157,-0.4133445511782931,0.013333333333333327,0.01422078619910188,0.6969226848386184,-0.004891337483400736,0.19175852338473,0.738101051998512,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,3,38,60.0,200.0,-2.217162473221203,-1.5268869758842945,-1.9974034487910304,-0.004999999999999986,0.022018206014653933,0.16125422218657234,-0.03321746638856327,0.30188601712385815,0.7279771250593726,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,3,41,60.0,200.0,-1.010750214406887,-1.409155237385919,-1.2747312124571086,0.001666666666666668,0.020451128680343808,0.13325807481977625,-0.024542509310782015,0.1275541161497434,0.9895938700554693,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,3,42,60.0,200.0,-0.27039402287922615,-0.13630638916346838,-0.28298481895480904,-0.01833333333333333,0.019341971979975614,-0.9541046044995892,-0.04312106780499087,0.2399932990471522,0.8713140541387339,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,1,44,60.0,200.0,-0.9744196525435802,-0.9194670181465535,-0.7571668897671181,-0.021666666666666667,0.019580527280633184,-0.9990381556194792,-0.04676012205735088,0.4361506551504135,0.7788871237483356,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,1,45,60.0,200.0,-0.13870232259450127,-0.18737039078907403,-0.23254672390987796,-0.003333333333333336,0.012114975745528505,-0.2318473916387186,-0.018859299466550253,0.2919994841019313,0.8908249312181532,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,4,47,60.0,200.0,-0.2087655610914545,-0.19248536638329017,-0.2593282432490831,-0.0016666666666666867,0.016308904311937548,-0.20300562717224235,-0.02256736851994734,0.1082027480006218,0.898939084708736,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
