backbone,fold,subject_id,Delta2,Delta3,R_sign,R_safe,H,safe_given_positive_certificate,signed_persistence,anchor_S3_BA,adapted_S3_BA
EEGNet,2,35,0.0,0.0016666666666666,0,0,0,1,0.0,0.9433333333333334,0.945
EEGNet,1,36,-1.006139616066548e-16,0.0,0,0,0,1,-0.0,0.975,0.975
EEGNet,0,37,0.0116666666666666,-0.0066666666666666,0,0,1,0,-7.777777777777656e-05,0.8733333333333334,0.8666666666666667
EEGNet,3,38,-0.0016666666666666,0.0199999999999999,0,0,0,1,-3.333333333333183e-05,0.4499999999999999,0.47
EEGNet,3,41,0.0083333333333332,-0.0083333333333333,0,0,1,0,-6.944444444444305e-05,0.8383333333333334,0.8300000000000001
EEGNet,3,42,0.0016666666666668,0.0099999999999999,1,1,0,1,1.6666666666667833e-05,0.6916666666666668,0.7016666666666667
EEGNet,1,44,-0.0083333333333333,0.0116666666666665,0,0,0,1,-9.722222222222045e-05,0.7933333333333333,0.805
EEGNet,1,45,-0.0149999999999999,-0.0033333333333333,1,0,0,0,4.999999999999917e-05,0.9466666666666668,0.9433333333333334
EEGNet,4,47,-0.0066666666666667,0.0066666666666666,0,0,0,1,-4.444444444444422e-05,0.9533333333333333,0.96
EEGNet,4,48,0.0033333333333333,0.005,1,1,0,1,1.66666666666665e-05,0.7916666666666666,0.7966666666666667
EEGNet,2,49,0.0016666666666667,0.01,1,1,0,1,1.6666666666667e-05,0.9016666666666668,0.9116666666666668
EEGNet,4,50,0.0,0.0049999999999999,0,0,0,1,0.0,0.9383333333333334,0.9433333333333334
