task,dataset,fold,seed,subject_id,BA,macro_F1,accuracy,trials
OpenBMI_ERP,OpenBMI,4,0,4,0.8475757575757576,0.8241154814509335,0.8954545454545455,1980
OpenBMI_ERP,OpenBMI,4,0,12,0.9412121212121212,0.904674384387073,0.9424242424242424,1980
OpenBMI_ERP,OpenBMI,4,0,13,0.9112121212121211,0.8585713714977286,0.9106060606060606,1980
OpenBMI_ERP,OpenBMI,4,0,17,0.7157575757575757,0.675322375765041,0.7848484848484848,1980
OpenBMI_ERP,OpenBMI,4,0,18,0.7848484848484849,0.7904569600431561,0.8858585858585859,1980
OpenBMI_ERP,OpenBMI,4,0,24,0.7966666666666666,0.7688842626507648,0.8590909090909091,1980
OpenBMI_ERP,OpenBMI,4,0,25,0.7260606060606061,0.7249678324950286,0.8464646464646465,1980
OpenBMI_ERP,OpenBMI,4,0,29,0.7160606060606061,0.7157989011477828,0.841919191919192,1980
OpenBMI_ERP,OpenBMI,4,0,36,0.9184848484848485,0.860189517684554,0.9106060606060606,1980
OpenBMI_ERP,OpenBMI,4,0,37,0.8936363636363636,0.8865956367326231,0.9358585858585858,1980
OpenBMI_ERP,OpenBMI,4,0,39,0.6618181818181819,0.6571557097872887,0.804040404040404,1980
OpenBMI_ERP,OpenBMI,4,0,42,0.7754545454545454,0.7685713249311801,0.8681818181818182,1980
OpenBMI_ERP,OpenBMI,4,0,51,0.6657575757575758,0.6428327856468061,0.7742424242424243,1980
OpenBMI_ERP,OpenBMI,4,0,54,0.6242424242424243,0.6173286832854226,0.7757575757575758,1980
OpenBMI_SSVEP,OpenBMI,0,0,4,1.0,1.0,1.0,100
OpenBMI_SSVEP,OpenBMI,0,0,12,0.91,0.9108416762931588,0.91,100
OpenBMI_SSVEP,OpenBMI,0,0,13,0.69,0.6922506738544474,0.69,100
OpenBMI_SSVEP,OpenBMI,0,0,17,0.9299999999999999,0.9302750085541464,0.93,100
OpenBMI_SSVEP,OpenBMI,0,0,18,1.0,1.0,1.0,100
OpenBMI_SSVEP,OpenBMI,0,0,24,0.86,0.8571138353970091,0.86,100
OpenBMI_SSVEP,OpenBMI,0,0,25,0.9299999999999999,0.9304110478183368,0.93,100
OpenBMI_SSVEP,OpenBMI,0,0,29,0.89,0.8896829869581777,0.89,100
OpenBMI_SSVEP,OpenBMI,0,0,36,1.0,1.0,1.0,100
OpenBMI_SSVEP,OpenBMI,0,0,37,0.99,0.9899959983993597,0.99,100
OpenBMI_SSVEP,OpenBMI,0,0,39,0.96,0.9599679487179488,0.96,100
OpenBMI_SSVEP,OpenBMI,0,0,42,0.5,0.491376494100465,0.5,100
OpenBMI_SSVEP,OpenBMI,0,0,51,0.61,0.6101252095040914,0.61,100
OpenBMI_SSVEP,OpenBMI,0,0,54,0.6200000000000001,0.5969276094276095,0.62,100
