diagnostic,task,fold,subject_id,method,BA,macro_F1,accuracy,trials,checkpoint_sha256,normalizer_sha256
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,1,sub-38,LiteBN_XNG,0.52,0.488,0.52,200,40d7c245cb37624f7b7c0e093c9fcd6fe4f1bfce5876d203b8a412a5fc60d849,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,1,sub-42,LiteBN_XC,0.7,0.6999699969997,0.7,200,08651ac67226d09ccb046a26098baa5a9a20f0a077b2254deb79e23cdd85b25f,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,1,sub-42,LiteBN_XNG,0.7,0.6999699969997,0.7,200,40d7c245cb37624f7b7c0e093c9fcd6fe4f1bfce5876d203b8a412a5fc60d849,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,2,sub-17,LiteBN_XC,0.825,0.8230491165095175,0.825,200,87a8e83302e57f6371802e2660726f1097d4341dbe08197a4d9afb0ffe0b3a32,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,2,sub-17,LiteBN_XNG,0.845,0.8448098921178444,0.845,200,35d76b4fe63688eda6bf1150715ca9b0d8e5f967adde0affa880e7bd814ba4a5,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,2,sub-19,LiteBN_XC,0.9450000000000001,0.9449325423643964,0.945,200,87a8e83302e57f6371802e2660726f1097d4341dbe08197a4d9afb0ffe0b3a32,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,2,sub-19,LiteBN_XNG,0.9450000000000001,0.9449876222149984,0.945,200,35d76b4fe63688eda6bf1150715ca9b0d8e5f967adde0affa880e7bd814ba4a5,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,2,sub-2,LiteBN_XC,0.755,0.7546995068959474,0.755,200,87a8e83302e57f6371802e2660726f1097d4341dbe08197a4d9afb0ffe0b3a32,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,2,sub-2,LiteBN_XNG,0.72,0.719551282051282,0.72,200,35d76b4fe63688eda6bf1150715ca9b0d8e5f967adde0affa880e7bd814ba4a5,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354
INTERNAL_HELDOUT_DEVELOPMENT_DIAGNOSTIC,WBCIC_MI,2,sub-21,LiteBN_XC,0.855,0.8548221571424997,0.855,200,87a8e83302e57f6371802e2660726f1097d4341dbe08197a4d9afb0ffe0b3a32,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354
