dataset,fold,seed,checkpoint_variant,subject_id,method,trials,BA,macro_F1,accuracy,non_deployable
WBCIC,1,0,selected_best,sub-30,LiteBN,200,0.77,0.7622984704423315,0.77,False
WBCIC,1,0,selected_best,sub-30,LOGIT50,200,0.8049999999999999,0.8013801532937791,0.805,False
WBCIC,1,0,selected_best,sub-30,PROB50,200,0.8049999999999999,0.8013801532937791,0.805,False
WBCIC,1,0,selected_best,sub-45,EEGNet,200,0.935,0.9349853717086345,0.935,False
WBCIC,1,0,selected_best,sub-45,LiteBN,200,0.925,0.9249981249531238,0.925,False
WBCIC,1,0,selected_best,sub-45,LOGIT50,200,0.92,0.92,0.92,False
WBCIC,1,0,selected_best,sub-45,PROB50,200,0.92,0.92,0.92,False
WBCIC,1,0,selected_best,sub-7,EEGNet,200,0.8300000000000001,0.8289049919484701,0.83,False
WBCIC,1,0,selected_best,sub-7,LiteBN,200,0.795,0.7949538646195394,0.795,False
WBCIC,1,0,selected_best,sub-7,LOGIT50,200,0.8300000000000001,0.8298468621759583,0.83,False
WBCIC,1,0,selected_best,sub-7,PROB50,200,0.8300000000000001,0.8298468621759583,0.83,False
WBCIC,1,1,selected_best,sub-28,EEGNet,200,0.735,0.7320458050001264,0.735,False
WBCIC,1,1,selected_best,sub-28,LiteBN,200,0.55,0.4357366771159875,0.55,False
WBCIC,1,1,selected_best,sub-28,LOGIT50,200,0.6,0.5282462554546526,0.6,False
WBCIC,1,1,selected_best,sub-28,PROB50,200,0.6,0.5282462554546526,0.6,False
WBCIC,1,1,selected_best,sub-37,EEGNet,200,0.84,0.8376623376623377,0.84,False
WBCIC,1,1,selected_best,sub-37,LiteBN,200,0.8799999999999999,0.8795664391810518,0.88,False
WBCIC,1,1,selected_best,sub-37,LOGIT50,200,0.885,0.8843494657448145,0.885,False
WBCIC,1,1,selected_best,sub-37,PROB50,200,0.885,0.8843494657448145,0.885,False
WBCIC,1,1,selected_best,sub-12,EEGNet,200,0.72,0.719551282051282,0.72,False
WBCIC,1,1,selected_best,sub-12,LiteBN,200,0.7150000000000001,0.7141352591589558,0.715,False
WBCIC,1,1,selected_best,sub-12,LOGIT50,200,0.7250000000000001,0.7244419950399559,0.725,False
WBCIC,1,1,selected_best,sub-12,PROB50,200,0.7250000000000001,0.7244419950399559,0.725,False
WBCIC,1,1,selected_best,sub-30,EEGNet,200,0.8700000000000001,0.8695303091128062,0.87,False
WBCIC,1,1,selected_best,sub-30,LiteBN,200,0.795,0.7922525398393758,0.795,False
WBCIC,1,1,selected_best,sub-30,LOGIT50,200,0.875,0.8749968749218731,0.875,False
WBCIC,1,1,selected_best,sub-30,PROB50,200,0.875,0.8749968749218731,0.875,False
WBCIC,1,1,selected_best,sub-45,EEGNet,200,0.955,0.9549898727213624,0.955,False
WBCIC,1,1,selected_best,sub-45,LiteBN,200,0.92,0.91999199919992,0.92,False
WBCIC,1,1,selected_best,sub-45,LOGIT50,200,0.95,0.95,0.95,False
WBCIC,1,1,selected_best,sub-45,PROB50,200,0.95,0.95,0.95,False
WBCIC,1,1,selected_best,sub-7,EEGNet,200,0.8400000000000001,0.839421918908069,0.84,False
WBCIC,1,1,selected_best,sub-7,LiteBN,200,0.825,0.8248905565978737,0.825,False
WBCIC,1,1,selected_best,sub-7,LOGIT50,200,0.85,0.8498648783905515,0.85,False
WBCIC,1,1,selected_best,sub-7,PROB50,200,0.85,0.8498648783905515,0.85,False
WBCIC,1,2,selected_best,sub-28,EEGNet,200,0.625,0.6050032916392363,0.625,False
WBCIC,1,2,selected_best,sub-28,LiteBN,200,0.5700000000000001,0.4724573671942093,0.57,False
WBCIC,1,2,selected_best,sub-28,LOGIT50,200,0.585,0.49865603575850925,0.585,False
WBCIC,1,2,selected_best,sub-28,PROB50,200,0.585,0.49865603575850925,0.585,False
WBCIC,1,2,selected_best,sub-37,EEGNet,200,0.865,0.8649966249156229,0.865,False
WBCIC,1,2,selected_best,sub-37,LiteBN,200,0.865,0.8645903859174001,0.865,False
WBCIC,1,2,selected_best,sub-37,LOGIT50,200,0.87,0.8698828946051447,0.87,False
WBCIC,1,2,selected_best,sub-37,PROB50,200,0.87,0.8698828946051447,0.87,False
WBCIC,1,2,selected_best,sub-12,EEGNet,200,0.75,0.749599358974359,0.75,False
WBCIC,1,2,selected_best,sub-12,LiteBN,200,0.75,0.749096748293858,0.75,False
WBCIC,1,2,selected_best,sub-12,LOGIT50,200,0.765,0.7647117719206027,0.765,False
WBCIC,1,2,selected_best,sub-12,PROB50,200,0.765,0.7647117719206027,0.765,False
WBCIC,1,2,selected_best,sub-30,EEGNet,200,0.86,0.8599859985998599,0.86,False
WBCIC,1,2,selected_best,sub-30,LiteBN,200,0.865,0.8649696181640869,0.865,False
WBCIC,1,2,selected_best,sub-30,LOGIT50,200,0.88,0.88,0.88,False
WBCIC,1,2,selected_best,sub-30,PROB50,200,0.88,0.88,0.88,False
WBCIC,1,2,selected_best,sub-45,EEGNet,200,0.96,0.95999599959996,0.96,False
WBCIC,1,2,selected_best,sub-45,LiteBN,200,0.925,0.9249981249531238,0.925,False
WBCIC,1,2,selected_best,sub-45,LOGIT50,200,0.95,0.9499949994999499,0.95,False
WBCIC,1,2,selected_best,sub-45,PROB50,200,0.95,0.9499949994999499,0.95,False
WBCIC,1,2,selected_best,sub-7,EEGNet,200,0.8400000000000001,0.839421918908069,0.84,False
WBCIC,1,2,selected_best,sub-7,LiteBN,200,0.81,0.8099239695878351,0.81,False
WBCIC,1,2,selected_best,sub-7,LOGIT50,200,0.8200000000000001,0.8199279711884754,0.82,False
WBCIC,1,2,selected_best,sub-7,PROB50,200,0.8200000000000001,0.8199279711884754,0.82,False
WBCIC,2,0,selected_best,sub-50,EEGNet,200,0.9550000000000001,0.9549718574108819,0.955,False
WBCIC,2,0,selected_best,sub-50,LiteBN,200,0.94,0.9399038461538461,0.94,False
WBCIC,2,0,selected_best,sub-50,LOGIT50,200,0.95,0.9499198717948718,0.95,False
WBCIC,2,0,selected_best,sub-50,PROB50,200,0.95,0.9499198717948718,0.95,False
WBCIC,2,0,selected_best,sub-14,EEGNet,200,0.575,0.5671105905120827,0.575,False
WBCIC,2,0,selected_best,sub-14,LiteBN,200,0.515,0.5144051463042227,0.515,False
WBCIC,2,0,selected_best,sub-14,LOGIT50,200,0.52,0.5169082125603865,0.52,False
WBCIC,2,0,selected_best,sub-14,PROB50,200,0.52,0.5169082125603865,0.52,False
WBCIC,2,0,selected_best,sub-1,EEGNet,200,0.9450000000000001,0.9449656035021888,0.945,False
WBCIC,2,0,selected_best,sub-1,LiteBN,200,0.905,0.9045969219954307,0.905,False
WBCIC,2,0,selected_best,sub-1,LOGIT50,200,0.9450000000000001,0.9449656035021888,0.945,False
WBCIC,2,0,selected_best,sub-1,PROB50,200,0.9450000000000001,0.9449656035021888,0.945,False
WBCIC,2,0,selected_best,sub-32,EEGNet,200,0.545,0.5416887008637405,0.545,False
WBCIC,2,0,selected_best,sub-32,LiteBN,200,0.605,0.6005965772643393,0.605,False
WBCIC,2,0,selected_best,sub-32,LOGIT50,200,0.595,0.5927089880578253,0.595,False
WBCIC,2,0,selected_best,sub-32,PROB50,200,0.595,0.5927089880578253,0.595,False
WBCIC,2,0,selected_best,sub-23,EEGNet,200,0.965,0.9649991249781245,0.965,False
WBCIC,2,0,selected_best,sub-23,LiteBN,200,0.97,0.9699729756781104,0.97,False
WBCIC,2,0,selected_best,sub-23,LOGIT50,200,0.97,0.9699879951980792,0.97,False
WBCIC,2,0,selected_best,sub-23,PROB50,200,0.97,0.9699879951980792,0.97,False
WBCIC,2,0,selected_best,sub-34,EEGNet,200,0.51,0.4987212276214834,0.51,False
WBCIC,2,0,selected_best,sub-34,LiteBN,200,0.6000000000000001,0.5980303487086724,0.6,False
WBCIC,2,0,selected_best,sub-34,LOGIT50,200,0.56,0.5596036432789511,0.56,False
WBCIC,2,0,selected_best,sub-34,PROB50,200,0.56,0.5596036432789511,0.56,False
WBCIC,2,1,selected_best,sub-50,EEGNet,200,0.955,0.9549988749718743,0.955,False
WBCIC,2,1,selected_best,sub-50,LiteBN,200,0.9450000000000001,0.9449876222149984,0.945,False
WBCIC,2,1,selected_best,sub-50,LOGIT50,200,0.95,0.9499799919967987,0.95,False
WBCIC,2,1,selected_best,sub-50,PROB50,200,0.95,0.9499799919967987,0.95,False
WBCIC,2,1,selected_best,sub-14,EEGNet,200,0.585,0.5803736191511413,0.585,False
WBCIC,2,1,selected_best,sub-14,LiteBN,200,0.53,0.51426209177346,0.53,False
WBCIC,2,1,selected_best,sub-14,LOGIT50,200,0.56,0.548440065681445,0.56,False
WBCIC,2,1,selected_best,sub-14,PROB50,200,0.56,0.548440065681445,0.56,False
WBCIC,2,1,selected_best,sub-1,EEGNet,200,0.955,0.9549898727213624,0.955,False
WBCIC,2,1,selected_best,sub-1,LiteBN,200,0.925,0.9249080123150859,0.925,False
WBCIC,2,1,selected_best,sub-1,LOGIT50,200,0.935,0.934959349593496,0.935,False
WBCIC,2,1,selected_best,sub-1,PROB50,200,0.935,0.934959349593496,0.935,False
