dataset,fold,seed,checkpoint_variant,subject_id,trials,both_correct,eegnet_only_correct,litebn_only_correct,both_wrong,disagree,oracle_class0,oracle_class1,eegnet_only_fraction,litebn_only_fraction,disagreement_rate,eegnet_win_fraction_among_disagreement,litebn_win_fraction_among_disagreement,trial_complementarity_upper_BA
OpenBMI,1,1,selected_best,35,100,79,2,5,14,7,1.0,0.72,0.02,0.05,0.07,0.2857142857142857,0.7142857142857143,0.86
OpenBMI,1,1,selected_best,40,100,71,14,11,4,25,0.98,0.94,0.14,0.11,0.25,0.56,0.44,0.96
OpenBMI,1,1,selected_best,43,100,80,8,9,3,17,0.96,0.98,0.08,0.09,0.17,0.47058823529411764,0.5294117647058824,0.97
OpenBMI,1,2,selected_best,26,100,79,8,5,8,13,0.94,0.9,0.08,0.05,0.13,0.6153846153846154,0.38461538461538464,0.9199999999999999
OpenBMI,1,2,selected_best,2,100,65,19,5,11,24,0.84,0.94,0.19,0.05,0.24,0.7916666666666666,0.20833333333333334,0.8899999999999999
OpenBMI,1,2,selected_best,14,100,59,13,11,17,24,0.74,0.92,0.13,0.11,0.24,0.5416666666666666,0.4583333333333333,0.8300000000000001
OpenBMI,1,2,selected_best,31,100,71,5,14,10,19,0.92,0.88,0.05,0.14,0.19,0.2631578947368421,0.7368421052631579,0.9
OpenBMI,1,2,selected_best,28,100,82,2,9,7,11,0.88,0.98,0.02,0.09,0.11,0.18181818181818182,0.8181818181818182,0.9299999999999999
OpenBMI,1,2,selected_best,35,100,80,6,1,13,7,1.0,0.74,0.06,0.01,0.07,0.8571428571428571,0.14285714285714285,0.87
OpenBMI,1,2,selected_best,40,100,71,8,12,9,20,0.88,0.94,0.08,0.12,0.2,0.4,0.6,0.9099999999999999
OpenBMI,1,2,selected_best,43,100,76,10,9,5,19,1.0,0.9,0.1,0.09,0.19,0.5263157894736842,0.47368421052631576,0.95
OpenBMI,2,0,selected_best,50,100,49,18,14,19,32,0.76,0.86,0.18,0.14,0.32,0.5625,0.4375,0.81
OpenBMI,2,0,selected_best,52,100,66,12,15,7,27,0.98,0.88,0.12,0.15,0.27,0.4444444444444444,0.5555555555555556,0.9299999999999999
OpenBMI,2,0,selected_best,23,100,57,13,17,13,30,0.8,0.94,0.13,0.17,0.3,0.43333333333333335,0.5666666666666667,0.87
OpenBMI,2,0,selected_best,1,100,51,12,14,23,26,0.62,0.92,0.12,0.14,0.26,0.46153846153846156,0.5384615384615384,0.77
OpenBMI,2,0,selected_best,30,100,57,12,18,13,30,0.9,0.84,0.12,0.18,0.3,0.4,0.6,0.87
OpenBMI,2,0,selected_best,48,100,46,21,20,13,41,0.86,0.88,0.21,0.2,0.41,0.5121951219512195,0.4878048780487805,0.87
OpenBMI,2,0,selected_best,11,100,63,8,10,19,18,0.92,0.7,0.08,0.1,0.18,0.4444444444444444,0.5555555555555556,0.81
OpenBMI,2,0,selected_best,8,100,60,5,25,10,30,0.84,0.96,0.05,0.25,0.3,0.16666666666666666,0.8333333333333334,0.8999999999999999
OpenBMI,2,1,selected_best,50,100,50,13,13,24,26,0.7,0.82,0.13,0.13,0.26,0.5,0.5,0.76
OpenBMI,2,1,selected_best,52,100,68,11,12,9,23,0.98,0.84,0.11,0.12,0.23,0.4782608695652174,0.5217391304347826,0.9099999999999999
OpenBMI,2,1,selected_best,23,100,58,10,20,12,30,0.82,0.94,0.1,0.2,0.3,0.3333333333333333,0.6666666666666666,0.8799999999999999
OpenBMI,2,1,selected_best,1,100,58,10,17,15,27,0.8,0.9,0.1,0.17,0.27,0.37037037037037035,0.6296296296296297,0.8500000000000001
OpenBMI,2,1,selected_best,30,100,54,25,5,16,30,1.0,0.68,0.25,0.05,0.3,0.8333333333333334,0.16666666666666666,0.8400000000000001
OpenBMI,2,1,selected_best,48,100,48,25,12,15,37,0.92,0.78,0.25,0.12,0.37,0.6756756756756757,0.32432432432432434,0.8500000000000001
OpenBMI,2,1,selected_best,11,100,58,13,9,20,22,0.96,0.64,0.13,0.09,0.22,0.5909090909090909,0.4090909090909091,0.8
OpenBMI,2,1,selected_best,8,100,63,4,18,15,22,0.94,0.76,0.04,0.18,0.22,0.18181818181818182,0.8181818181818182,0.85
OpenBMI,2,2,selected_best,50,100,40,20,13,27,33,0.98,0.48,0.2,0.13,0.33,0.6060606060606061,0.3939393939393939,0.73
OpenBMI,2,2,selected_best,52,100,73,8,5,14,13,1.0,0.72,0.08,0.05,0.13,0.6153846153846154,0.38461538461538464,0.86
OpenBMI,2,2,selected_best,23,100,60,17,13,10,30,0.82,0.98,0.17,0.13,0.3,0.5666666666666667,0.43333333333333335,0.8999999999999999
OpenBMI,2,2,selected_best,1,100,53,16,11,20,27,0.66,0.94,0.16,0.11,0.27,0.5925925925925926,0.4074074074074074,0.8
OpenBMI,2,2,selected_best,30,100,68,11,10,11,21,0.98,0.8,0.11,0.1,0.21,0.5238095238095238,0.47619047619047616,0.89
OpenBMI,2,2,selected_best,48,100,43,20,19,18,39,0.92,0.72,0.2,0.19,0.39,0.5128205128205128,0.48717948717948717,0.8200000000000001
OpenBMI,2,2,selected_best,11,100,58,12,10,20,22,0.88,0.72,0.12,0.1,0.22,0.5454545454545454,0.45454545454545453,0.8
OpenBMI,2,2,selected_best,8,100,76,6,9,9,15,0.92,0.9,0.06,0.09,0.15,0.4,0.6,0.91
OpenBMI,3,0,selected_best,45,100,62,14,12,12,26,0.92,0.84,0.14,0.12,0.26,0.5384615384615384,0.46153846153846156,0.88
OpenBMI,3,0,selected_best,34,100,47,19,14,20,33,0.88,0.72,0.19,0.14,0.33,0.5757575757575758,0.42424242424242425,0.8
OpenBMI,3,0,selected_best,27,100,91,1,4,4,5,0.94,0.98,0.01,0.04,0.05,0.2,0.8,0.96
OpenBMI,3,0,selected_best,49,100,78,6,6,10,12,0.96,0.84,0.06,0.06,0.12,0.5,0.5,0.8999999999999999
OpenBMI,3,0,selected_best,10,100,58,13,23,6,36,0.9,0.98,0.13,0.23,0.36,0.3611111111111111,0.6388888888888888,0.94
OpenBMI,3,0,selected_best,22,100,55,11,15,19,26,0.82,0.8,0.11,0.15,0.26,0.4230769230769231,0.5769230769230769,0.81
OpenBMI,3,0,selected_best,19,100,64,9,14,13,23,0.92,0.82,0.09,0.14,0.23,0.391304347826087,0.6086956521739131,0.87
OpenBMI,3,0,selected_best,16,100,79,1,8,12,9,0.88,0.88,0.01,0.08,0.09,0.1111111111111111,0.8888888888888888,0.88
OpenBMI,3,1,selected_best,45,100,62,12,14,12,26,0.9,0.86,0.12,0.14,0.26,0.46153846153846156,0.5384615384615384,0.88
OpenBMI,3,1,selected_best,34,100,50,9,14,27,23,0.92,0.54,0.09,0.14,0.23,0.391304347826087,0.6086956521739131,0.73
OpenBMI,3,1,selected_best,27,100,80,8,9,3,17,0.96,0.98,0.08,0.09,0.17,0.47058823529411764,0.5294117647058824,0.97
OpenBMI,3,1,selected_best,49,100,71,13,10,6,23,0.94,0.94,0.13,0.1,0.23,0.5652173913043478,0.43478260869565216,0.94
OpenBMI,3,1,selected_best,10,100,60,8,19,13,27,0.78,0.96,0.08,0.19,0.27,0.2962962962962963,0.7037037037037037,0.87
OpenBMI,3,1,selected_best,22,100,48,13,17,22,30,0.74,0.82,0.13,0.17,0.3,0.43333333333333335,0.5666666666666667,0.78
OpenBMI,3,1,selected_best,19,100,58,9,17,16,26,0.9,0.78,0.09,0.17,0.26,0.34615384615384615,0.6538461538461539,0.8400000000000001
OpenBMI,3,1,selected_best,16,100,79,2,10,9,12,0.86,0.96,0.02,0.1,0.12,0.16666666666666666,0.8333333333333334,0.9099999999999999
OpenBMI,3,2,selected_best,45,100,68,5,11,16,16,0.9,0.78,0.05,0.11,0.16,0.3125,0.6875,0.8400000000000001
OpenBMI,3,2,selected_best,34,100,56,8,13,23,21,0.8,0.74,0.08,0.13,0.21,0.38095238095238093,0.6190476190476191,0.77
OpenBMI,3,2,selected_best,27,100,86,2,8,4,10,0.94,0.98,0.02,0.08,0.1,0.2,0.8,0.96
OpenBMI,3,2,selected_best,49,100,76,4,8,12,12,0.96,0.8,0.04,0.08,0.12,0.3333333333333333,0.6666666666666666,0.88
OpenBMI,3,2,selected_best,10,100,56,21,11,12,32,0.86,0.9,0.21,0.11,0.32,0.65625,0.34375,0.88
OpenBMI,3,2,selected_best,22,100,56,10,14,20,24,0.84,0.76,0.1,0.14,0.24,0.4166666666666667,0.5833333333333334,0.8
OpenBMI,3,2,selected_best,19,100,64,9,6,21,15,0.92,0.66,0.09,0.06,0.15,0.6,0.4,0.79
OpenBMI,3,2,selected_best,16,100,77,1,9,13,10,0.9,0.84,0.01,0.09,0.1,0.1,0.9,0.87
OpenBMI,4,0,selected_best,9,100,47,14,13,26,27,0.58,0.9,0.14,0.13,0.27,0.5185185185185185,0.48148148148148145,0.74
OpenBMI,4,0,selected_best,53,100,69,8,13,10,21,0.88,0.92,0.08,0.13,0.21,0.38095238095238093,0.6190476190476191,0.9
OpenBMI,4,0,selected_best,7,100,61,11,12,16,23,0.88,0.8,0.11,0.12,0.23,0.4782608695652174,0.5217391304347826,0.8400000000000001
OpenBMI,4,0,selected_best,20,100,86,2,5,7,7,0.88,0.98,0.02,0.05,0.07,0.2857142857142857,0.7142857142857143,0.9299999999999999
OpenBMI,4,0,selected_best,41,100,58,10,19,13,29,0.82,0.92,0.1,0.19,0.29,0.3448275862068966,0.6551724137931034,0.87
OpenBMI,4,0,selected_best,46,100,61,5,8,26,13,0.5,0.98,0.05,0.08,0.13,0.38461538461538464,0.6153846153846154,0.74
OpenBMI,4,0,selected_best,21,100,80,4,11,5,15,0.98,0.92,0.04,0.11,0.15,0.26666666666666666,0.7333333333333333,0.95
OpenBMI,4,0,selected_best,44,100,62,5,22,11,27,0.8,0.98,0.05,0.22,0.27,0.18518518518518517,0.8148148148148148,0.89
OpenBMI,4,1,selected_best,9,100,44,13,16,27,29,0.7,0.76,0.13,0.16,0.29,0.4482758620689655,0.5517241379310345,0.73
OpenBMI,4,1,selected_best,53,100,64,5,14,17,19,0.74,0.92,0.05,0.14,0.19,0.2631578947368421,0.7368421052631579,0.8300000000000001
OpenBMI,4,1,selected_best,7,100,52,18,20,10,38,0.98,0.82,0.18,0.2,0.38,0.47368421052631576,0.5263157894736842,0.8999999999999999
OpenBMI,4,1,selected_best,20,100,82,4,7,7,11,0.88,0.98,0.04,0.07,0.11,0.36363636363636365,0.6363636363636364,0.9299999999999999
OpenBMI,4,1,selected_best,41,100,60,11,13,16,24,0.84,0.84,0.11,0.13,0.24,0.4583333333333333,0.5416666666666666,0.84
OpenBMI,4,1,selected_best,46,100,57,13,9,21,22,0.6,0.98,0.13,0.09,0.22,0.5909090909090909,0.4090909090909091,0.79
OpenBMI,4,1,selected_best,21,100,78,4,13,5,17,0.96,0.94,0.04,0.13,0.17,0.23529411764705882,0.7647058823529411,0.95
OpenBMI,4,1,selected_best,44,100,64,4,19,13,23,0.76,0.98,0.04,0.19,0.23,0.17391304347826086,0.8260869565217391,0.87
OpenBMI,4,2,selected_best,9,100,57,9,17,17,26,0.76,0.9,0.09,0.17,0.26,0.34615384615384615,0.6538461538461539,0.8300000000000001
OpenBMI,4,2,selected_best,53,100,63,14,7,16,21,0.7,0.98,0.14,0.07,0.21,0.6666666666666666,0.3333333333333333,0.84
OpenBMI,4,2,selected_best,7,100,62,7,14,17,21,0.8,0.86,0.07,0.14,0.21,0.3333333333333333,0.6666666666666666,0.8300000000000001
OpenBMI,4,2,selected_best,20,100,83,3,7,7,10,0.92,0.94,0.03,0.07,0.1,0.3,0.7,0.9299999999999999
OpenBMI,4,2,selected_best,41,100,66,13,10,11,23,0.84,0.94,0.13,0.1,0.23,0.5652173913043478,0.43478260869565216,0.8899999999999999
OpenBMI,4,2,selected_best,46,100,56,9,10,25,19,0.54,0.96,0.09,0.1,0.19,0.47368421052631576,0.5263157894736842,0.75
OpenBMI,4,2,selected_best,21,100,85,5,7,3,12,1.0,0.94,0.05,0.07,0.12,0.4166666666666667,0.5833333333333334,0.97
OpenBMI,4,2,selected_best,44,100,65,7,19,9,26,0.84,0.98,0.07,0.19,0.26,0.2692307692307692,0.7307692307692307,0.9099999999999999
WBCIC,0,0,selected_best,sub-6,200,176,6,11,7,17,0.98,0.95,0.03,0.055,0.085,0.35294117647058826,0.6470588235294118,0.965
WBCIC,0,0,selected_best,sub-22,200,127,17,29,27,46,0.91,0.82,0.085,0.145,0.23,0.3695652173913043,0.6304347826086957,0.865
WBCIC,0,0,selected_best,sub-44,200,140,14,17,29,31,0.93,0.78,0.07,0.085,0.155,0.45161290322580644,0.5483870967741935,0.855
WBCIC,0,0,selected_best,sub-35,200,168,17,9,6,26,0.96,0.98,0.085,0.045,0.13,0.6538461538461539,0.34615384615384615,0.97
WBCIC,0,0,selected_best,sub-18,200,89,33,40,38,73,0.84,0.78,0.165,0.2,0.365,0.4520547945205479,0.547945205479452,0.81
WBCIC,0,0,selected_best,sub-9,200,87,31,23,59,54,0.85,0.56,0.155,0.115,0.27,0.5740740740740741,0.42592592592592593,0.7050000000000001
WBCIC,0,0,selected_best,sub-49,200,165,10,10,15,20,0.89,0.96,0.05,0.05,0.1,0.5,0.5,0.925
WBCIC,0,1,selected_best,sub-6,200,172,12,4,12,16,0.95,0.93,0.06,0.02,0.08,0.75,0.25,0.94
WBCIC,0,1,selected_best,sub-22,200,131,23,17,29,40,0.91,0.8,0.115,0.085,0.2,0.575,0.425,0.855
WBCIC,0,1,selected_best,sub-44,200,150,10,16,24,26,0.92,0.84,0.05,0.08,0.13,0.38461538461538464,0.6153846153846154,0.88
WBCIC,0,1,selected_best,sub-35,200,178,9,6,7,15,0.96,0.97,0.045,0.03,0.075,0.6,0.4,0.965
WBCIC,0,1,selected_best,sub-18,200,96,27,36,41,63,0.89,0.7,0.135,0.18,0.315,0.42857142857142855,0.5714285714285714,0.7949999999999999
WBCIC,0,1,selected_best,sub-9,200,97,31,10,62,41,0.81,0.57,0.155,0.05,0.205,0.7560975609756098,0.24390243902439024,0.69
WBCIC,0,1,selected_best,sub-49,200,175,10,3,12,13,0.94,0.94,0.05,0.015,0.065,0.7692307692307693,0.23076923076923078,0.94
WBCIC,0,2,selected_best,sub-6,200,173,10,3,14,13,0.95,0.91,0.05,0.015,0.065,0.7692307692307693,0.23076923076923078,0.9299999999999999
WBCIC,0,2,selected_best,sub-22,200,117,23,11,49,34,0.88,0.63,0.115,0.055,0.17,0.6764705882352942,0.3235294117647059,0.755
WBCIC,0,2,selected_best,sub-44,200,150,8,5,37,13,0.9,0.73,0.04,0.025,0.065,0.6153846153846154,0.38461538461538464,0.815
WBCIC,0,2,selected_best,sub-35,200,180,4,3,13,7,0.97,0.9,0.02,0.015,0.035,0.5714285714285714,0.42857142857142855,0.935
WBCIC,0,2,selected_best,sub-18,200,106,16,16,62,32,0.9,0.48,0.08,0.08,0.16,0.5,0.5,0.69
WBCIC,0,2,selected_best,sub-9,200,99,22,14,65,36,0.89,0.46,0.11,0.07,0.18,0.6111111111111112,0.3888888888888889,0.675
WBCIC,0,2,selected_best,sub-49,200,158,14,5,23,19,0.95,0.82,0.07,0.025,0.095,0.7368421052631579,0.2631578947368421,0.885
WBCIC,1,0,selected_best,sub-28,200,75,60,34,31,94,0.7,0.99,0.3,0.17,0.47,0.6382978723404256,0.3617021276595745,0.845
WBCIC,1,0,selected_best,sub-37,200,160,17,11,12,28,0.95,0.93,0.085,0.055,0.14,0.6071428571428571,0.39285714285714285,0.94
WBCIC,1,0,selected_best,sub-12,200,134,9,16,41,25,0.81,0.78,0.045,0.08,0.125,0.36,0.64,0.795
WBCIC,1,0,selected_best,sub-30,200,141,26,13,20,39,0.97,0.83,0.13,0.065,0.195,0.6666666666666666,0.3333333333333333,0.8999999999999999
WBCIC,1,0,selected_best,sub-45,200,180,7,5,8,12,0.97,0.95,0.035,0.025,0.06,0.5833333333333334,0.4166666666666667,0.96
WBCIC,1,0,selected_best,sub-7,200,146,20,13,21,33,0.87,0.92,0.1,0.065,0.165,0.6060606060606061,0.3939393939393939,0.895
WBCIC,1,1,selected_best,sub-28,200,93,54,17,36,71,0.64,1.0,0.27,0.085,0.355,0.7605633802816901,0.23943661971830985,0.8200000000000001
WBCIC,1,1,selected_best,sub-37,200,158,10,18,14,28,0.98,0.88,0.05,0.09,0.14,0.35714285714285715,0.6428571428571429,0.9299999999999999
WBCIC,1,1,selected_best,sub-12,200,127,17,16,40,33,0.84,0.76,0.085,0.08,0.165,0.5151515151515151,0.48484848484848486,0.8
WBCIC,1,1,selected_best,sub-30,200,145,29,14,12,43,0.95,0.93,0.145,0.07,0.215,0.6744186046511628,0.32558139534883723,0.94
WBCIC,1,1,selected_best,sub-45,200,182,9,2,7,11,0.97,0.96,0.045,0.01,0.055,0.8181818181818182,0.18181818181818182,0.965
WBCIC,1,1,selected_best,sub-7,200,155,13,10,22,23,0.86,0.92,0.065,0.05,0.115,0.5652173913043478,0.43478260869565216,0.89
WBCIC,1,2,selected_best,sub-28,200,97,28,17,58,45,0.42,1.0,0.14,0.085,0.225,0.6222222222222222,0.37777777777777777,0.71
WBCIC,1,2,selected_best,sub-37,200,162,11,11,16,22,0.95,0.89,0.055,0.055,0.11,0.5,0.5,0.9199999999999999
WBCIC,1,2,selected_best,sub-12,200,134,16,16,34,32,0.86,0.8,0.08,0.08,0.16,0.5,0.5,0.8300000000000001
WBCIC,1,2,selected_best,sub-30,200,159,13,14,14,27,0.91,0.95,0.065,0.07,0.135,0.48148148148148145,0.5185185185185185,0.9299999999999999
WBCIC,1,2,selected_best,sub-45,200,184,8,1,7,9,0.96,0.97,0.04,0.005,0.045,0.8888888888888888,0.1111111111111111,0.965
WBCIC,1,2,selected_best,sub-7,200,152,16,10,22,26,0.88,0.9,0.08,0.05,0.13,0.6153846153846154,0.38461538461538464,0.89
WBCIC,2,0,selected_best,sub-50,200,187,4,1,8,5,0.99,0.93,0.02,0.005,0.025,0.8,0.2,0.96
WBCIC,2,0,selected_best,sub-14,200,82,33,21,64,54,0.79,0.57,0.165,0.105,0.27,0.6111111111111112,0.3888888888888889,0.6799999999999999
WBCIC,2,0,selected_best,sub-1,200,175,14,6,5,20,0.97,0.98,0.07,0.03,0.1,0.7,0.3,0.975
WBCIC,2,0,selected_best,sub-32,200,90,19,31,60,50,0.79,0.61,0.095,0.155,0.25,0.38,0.62,0.7
WBCIC,2,0,selected_best,sub-23,200,190,3,4,3,7,0.97,1.0,0.015,0.02,0.035,0.42857142857142855,0.5714285714285714,0.985
WBCIC,2,0,selected_best,sub-34,200,73,29,47,51,76,0.74,0.75,0.145,0.235,0.38,0.3815789473684211,0.618421052631579,0.745
WBCIC,2,1,selected_best,sub-50,200,186,5,3,6,8,0.97,0.97,0.025,0.015,0.04,0.625,0.375,0.97
WBCIC,2,1,selected_best,sub-14,200,87,30,19,64,49,0.83,0.53,0.15,0.095,0.245,0.6122448979591837,0.3877551020408163,0.6799999999999999
WBCIC,2,1,selected_best,sub-1,200,184,7,1,8,8,0.95,0.97,0.035,0.005,0.04,0.875,0.125,0.96
WBCIC,2,1,selected_best,sub-32,200,93,17,31,59,48,0.72,0.69,0.085,0.155,0.24,0.3541666666666667,0.6458333333333334,0.705
WBCIC,2,1,selected_best,sub-23,200,186,4,6,4,10,0.97,0.99,0.02,0.03,0.05,0.4,0.6,0.98
WBCIC,2,1,selected_best,sub-34,200,78,33,27,62,60,0.67,0.71,0.165,0.135,0.3,0.55,0.45,0.69
WBCIC,2,2,selected_best,sub-50,200,187,4,2,7,6,0.99,0.94,0.02,0.01,0.03,0.6666666666666666,0.3333333333333333,0.965
WBCIC,2,2,selected_best,sub-14,200,83,26,17,74,43,0.69,0.57,0.13,0.085,0.215,0.6046511627906976,0.3953488372093023,0.6299999999999999
WBCIC,2,2,selected_best,sub-1,200,184,6,6,4,12,0.99,0.97,0.03,0.03,0.06,0.5,0.5,0.98
WBCIC,2,2,selected_best,sub-32,200,95,22,24,59,46,0.88,0.53,0.11,0.12,0.23,0.4782608695652174,0.5217391304347826,0.7050000000000001
WBCIC,2,2,selected_best,sub-23,200,191,4,2,3,6,0.98,0.99,0.02,0.01,0.03,0.6666666666666666,0.3333333333333333,0.985
WBCIC,2,2,selected_best,sub-34,200,74,30,29,67,59,0.89,0.44,0.15,0.145,0.295,0.5084745762711864,0.4915254237288136,0.665
WBCIC,3,0,selected_best,sub-24,195,175,4,4,12,8,0.9292929292929293,0.9479166666666666,0.020512820512820513,0.020512820512820513,0.041025641025641026,0.5,0.5,0.938604797979798
WBCIC,3,0,selected_best,sub-13,200,166,10,12,12,22,0.97,0.91,0.05,0.06,0.11,0.45454545454545453,0.5454545454545454,0.94
WBCIC,3,0,selected_best,sub-11,200,112,13,27,48,40,0.72,0.8,0.065,0.135,0.2,0.325,0.675,0.76
WBCIC,3,0,selected_best,sub-29,200,165,5,14,16,19,0.97,0.87,0.025,0.07,0.095,0.2631578947368421,0.7368421052631579,0.9199999999999999
WBCIC,3,0,selected_best,sub-26,200,114,20,32,34,52,0.84,0.82,0.1,0.16,0.26,0.38461538461538464,0.6153846153846154,0.83
WBCIC,3,0,selected_best,sub-47,200,178,11,5,6,16,0.99,0.95,0.055,0.025,0.08,0.6875,0.3125,0.97
WBCIC,3,1,selected_best,sub-24,195,173,3,6,13,9,0.9090909090909091,0.9583333333333334,0.015384615384615385,0.03076923076923077,0.046153846153846156,0.3333333333333333,0.6666666666666666,0.9337121212121212
WBCIC,3,1,selected_best,sub-13,200,167,6,11,16,17,0.95,0.89,0.03,0.055,0.085,0.35294117647058826,0.6470588235294118,0.9199999999999999
WBCIC,3,1,selected_best,sub-11,200,123,15,24,38,39,0.81,0.81,0.075,0.12,0.195,0.38461538461538464,0.6153846153846154,0.81
WBCIC,3,1,selected_best,sub-29,200,151,10,23,16,33,0.89,0.95,0.05,0.115,0.165,0.30303030303030304,0.696969696969697,0.9199999999999999
WBCIC,3,1,selected_best,sub-26,200,102,18,35,45,53,0.73,0.82,0.09,0.175,0.265,0.33962264150943394,0.660377358490566,0.7749999999999999
WBCIC,3,1,selected_best,sub-47,200,182,9,3,6,12,1.0,0.94,0.045,0.015,0.06,0.75,0.25,0.97
