dataset,fold,seed,method,q,lambda_T,subject_id,coverage,valid_candidates,target_distance_improvement,target_nll_improvement,class_pass_rate,median_displacement_ratio,median_relative_margin_drop
WBCIC,0,0,Bures-HardRandom,0.5,0.5,7,0.595,1.755,0.3439929161006564,5.717933194404943,0.223125,0.6019062995910645,0.05941926687955856
WBCIC,0,0,Bures-HardRandom,0.5,0.5,9,0.44,1.32,0.24840717314076396,5.222406708064453,0.1675,0.5485038161277771,-0.04341149143874645
WBCIC,0,0,Bures-HardRandom,0.5,0.5,12,0.25,0.645,0.22881340909672077,3.645110641364813,0.08625,0.5454142093658447,-0.04709811136126518
WBCIC,0,0,Bures-HardRandom,0.5,0.5,14,0.31,0.825,0.2592488712221064,5.138759673949635,0.106875,0.5413061380386353,-0.01654876582324505
WBCIC,0,0,Bures-HardRandom,0.5,0.5,17,0.465,1.395,0.34916454299941335,6.715885296736957,0.174375,0.5756271481513977,-0.009725119918584824
WBCIC,0,0,Bures-HardRandom,0.5,0.5,22,0.41,1.285,0.2930975104723566,4.782683257979631,0.163125,0.5412036776542664,-0.0006996369338594377
WBCIC,0,0,Bures-HardRandom,0.5,0.5,23,0.7035175879396985,2.2110552763819094,0.2584979875546898,5.1245399816559365,0.27826633165829145,0.5310752391815186,0.021516820415854454
WBCIC,0,0,Bures-HardRandom,0.5,0.5,24,0.75,2.26,0.2689738563805665,3.9279487997036266,0.285625,0.7058027982711792,0.08562019467353821
WBCIC,0,0,Bures-HardRandom,0.5,0.5,25,0.73,2.045,0.25515062883116685,3.5005971639811833,0.263125,0.5649318099021912,0.003637023502960801
WBCIC,0,0,Bures-HardRandom,0.5,0.5,26,0.6633165829145728,2.14070351758794,0.41667460690971997,9.590083753496186,0.26821608040201006,0.5910782217979431,-0.0018620187183842063
WBCIC,0,0,Bures-HardRandom,0.5,0.5,29,0.355,1.01,0.2883778865476483,5.635072250622897,0.1275,0.548730731010437,0.02041536197066307
WBCIC,0,0,Bures-HardRandom,0.5,0.5,30,0.855,3.025,0.38796585761603636,5.240794399746665,0.37875,0.7756243944168091,-0.045897193253040314
WBCIC,0,0,Bures-HardRandom,0.5,0.5,31,0.58,1.86,0.3617681387326511,6.985050893249432,0.235,0.6078964173793793,0.03984414041042328
WBCIC,0,0,Bures-HardRandom,0.5,0.5,32,0.445,1.32,0.2952384201145078,4.926644341590684,0.16875,0.6442232728004456,0.18683136254549026
WBCIC,0,0,Bures-HardRandom,0.5,0.5,34,0.325,1.05,0.2961943270556536,4.980872062775462,0.134375,0.6305699348449707,0.06191856786608696
WBCIC,0,0,Bures-HardRandom,0.5,0.5,35,0.795,2.525,0.2274476763427085,3.763495343930942,0.320625,0.579987645149231,-0.002268141834065318
WBCIC,0,0,Bures-HardRandom,0.5,0.5,38,0.0,0.0,,,0.0,,
WBCIC,0,0,Bures-HardRandom,0.5,0.5,41,0.65,2.16,0.3200639490500964,3.9218618170388533,0.278125,0.6881127953529358,0.04866096004843712
WBCIC,0,0,Bures-HardRandom,0.5,0.5,42,0.65,1.965,0.27331624805994814,5.057031927693097,0.255,0.5275993943214417,-0.014101953711360693
WBCIC,0,0,Bures-HardRandom,0.5,0.5,47,0.645,1.91,0.2903611701028166,4.989316534409736,0.2475,0.5459026396274567,0.000927537854295224
WBCIC,0,0,Bures-HardRandom,0.5,0.5,48,0.675,2.145,0.23958996837673022,3.9092855199219416,0.271875,0.5206359028816223,-0.005827534478157759
WBCIC,0,0,Bures-HardRandom,0.5,0.5,49,0.795,2.855,0.44571425419759436,7.953310850402655,0.356875,0.7036238312721252,0.04284515604376793
WBCIC,0,0,Bures-HardRandom,0.5,0.5,50,0.76,2.05,0.25233909631025875,5.120817915260148,0.2625,0.5076940357685089,-0.05345461703836918
