task,subject_id,fold,seed,method,trials,BA,macro_F1,accuracy,AUROC,AUPRC
ERP,11,2,0,LiteBN,1980,0.9687878787878788,0.9364112568775401,0.9621212121212122,0.9952176308539945,0.9865647356122144
ERP,11,2,0,LOGIT50,1980,0.976969696969697,0.9486287153373554,0.9696969696969697,0.9969990817263545,0.9891929018732925
ERP,8,2,0,EEGNet,1980,0.7848484848484849,0.7741101308183754,0.8696969696969697,0.8883875114784208,0.710067072353038
ERP,8,2,0,LiteBN,1980,0.7648484848484849,0.7585365853658537,0.8626262626262626,0.8804113865932048,0.672921083938285
ERP,8,2,0,LOGIT50,1980,0.7833333333333334,0.7789210591862852,0.8752525252525253,0.8948576675849402,0.7146130280648626
ERP,45,3,0,EEGNet,1980,0.8506060606060606,0.8239356770852169,0.8944444444444445,0.9133921028466482,0.7891496816704802
ERP,45,3,0,LiteBN,1980,0.8309090909090909,0.7896319654301522,0.8676767676767677,0.9105252525252525,0.7199260594352797
ERP,45,3,0,LOGIT50,1980,0.8490909090909091,0.8184736037304507,0.8898989898989899,0.9197483930211203,0.7782282033006508
ERP,34,3,0,EEGNet,1980,0.8815151515151516,0.7761841985078246,0.8368686868686869,0.966611570247934,0.8936049913212198
ERP,34,3,0,LiteBN,1980,0.8587878787878788,0.7597259301553988,0.8252525252525252,0.9523140495867769,0.8475522415479708
ERP,34,3,0,LOGIT50,1980,0.8903030303030303,0.7956564915906952,0.8555555555555555,0.9671515151515151,0.8886524208151175
ERP,27,3,0,EEGNet,1980,0.9524242424242424,0.8888362849706004,0.9287878787878788,0.9964315886134067,0.9870481174194545
ERP,27,3,0,LiteBN,1980,0.9609090909090909,0.9139084447989148,0.946969696969697,0.9965711662075298,0.9883269996199372
ERP,27,3,0,LOGIT50,1980,0.9618181818181819,0.9106232734041453,0.9444444444444444,0.9970064279155187,0.9896931704418285
ERP,49,3,0,EEGNet,1980,0.8709090909090909,0.7719525844525845,0.8353535353535354,0.9613957759412305,0.9002571256953319
ERP,49,3,0,LiteBN,1980,0.8693939393939394,0.7801412411498223,0.8449494949494949,0.9545068870523415,0.8421848885517882
ERP,49,3,0,LOGIT50,1980,0.8821212121212121,0.7901673734752376,0.852020202020202,0.9650523415977962,0.8966905200464763
ERP,10,3,0,EEGNet,1980,0.8042424242424242,0.7722936602623397,0.8595959595959596,0.8742277318640955,0.66046080131353
ERP,10,3,0,LiteBN,1980,0.7981818181818181,0.7699506499759268,0.8595959595959596,0.8770027548209367,0.6853898344661823
ERP,10,3,0,LOGIT50,1980,0.8127272727272727,0.7912037037037036,0.8757575757575757,0.8844664830119375,0.6901814941212968
ERP,22,3,0,EEGNet,1980,0.926060606060606,0.8769886749142893,0.9232323232323232,0.9828595041322313,0.9486017672696844
ERP,22,3,0,LiteBN,1980,0.8918181818181818,0.7889731962179611,0.847979797979798,0.9732764003673094,0.9241466111987537
ERP,22,3,0,LOGIT50,1980,0.9354545454545454,0.8708878858691593,0.9166666666666666,0.9834306703397613,0.9512942921013415
ERP,19,3,0,EEGNet,1980,0.9596969696969697,0.9109899858578752,0.944949494949495,0.9949935720844812,0.980683585938675
ERP,19,3,0,LiteBN,1980,0.9566666666666667,0.9037905195973428,0.9398989898989899,0.9946666666666667,0.980505585147257
ERP,19,3,0,LOGIT50,1980,0.9581818181818181,0.912822429906542,0.9464646464646465,0.9959393939393939,0.9839772935148311
ERP,16,3,0,EEGNet,1980,0.8366666666666667,0.8032381179681494,0.8792929292929293,0.9257337006427916,0.7821573713457044
ERP,16,3,0,LiteBN,1980,0.8378787878787879,0.8143208700824169,0.8893939393939394,0.9293076216712581,0.7805066583500009
ERP,16,3,0,LOGIT50,1980,0.8448484848484848,0.8182325100641933,0.8909090909090909,0.9357190082644627,0.8016746319466876
ERP,9,4,0,EEGNet,1980,0.8006060606060605,0.7906656905668961,0.8797979797979798,0.9006409550045914,0.7277575171191207
ERP,9,4,0,LiteBN,1980,0.8333333333333334,0.8005640612409348,0.8777777777777778,0.9185032139577595,0.773055232955635
ERP,9,4,0,LOGIT50,1980,0.8333333333333333,0.8246373673955402,0.9,0.9221157024793388,0.7823760170972804
ERP,53,4,0,EEGNet,1980,0.7666666666666666,0.7493783107963822,0.8515151515151516,0.8682038567493112,0.6112739466326328
ERP,53,4,0,LiteBN,1980,0.6563636363636364,0.6507379337854009,0.798989898989899,0.7589237832874197,0.38885326666835635
ERP,53,4,0,LOGIT50,1980,0.7121212121212122,0.7040667605294996,0.8292929292929293,0.8351937557392103,0.5208511446655609
ERP,7,4,0,EEGNet,1980,0.8672727272727272,0.844514515602914,0.908080808080808,0.9496106519742884,0.8299851295816376
ERP,7,4,0,LiteBN,1980,0.8815151515151516,0.8085114371654687,0.8712121212121212,0.9503526170798899,0.8191317776023928
ERP,7,4,0,LOGIT50,1980,0.886060606060606,0.84138013344211,0.901010101010101,0.9568595041322313,0.8466740858617576
ERP,20,4,0,EEGNet,1980,0.8936363636363637,0.8416057945216879,0.8994949494949495,0.9573884297520662,0.8777495040657959
ERP,20,4,0,LiteBN,1980,0.8845454545454545,0.8185645933014354,0.8803030303030303,0.9539081726354454,0.8796842828053495
ERP,20,4,0,LOGIT50,1980,0.8912121212121212,0.8364928257666817,0.8954545454545455,0.9590413223140496,0.886271254731948
ERP,41,4,0,EEGNet,1980,0.8727272727272727,0.7861805382261391,0.8505050505050505,0.9515022956841139,0.8656420640932441
ERP,41,4,0,LiteBN,1980,0.8906060606060606,0.8419770091659493,0.9005050505050505,0.9544885215794308,0.8761765130472744
ERP,41,4,0,LOGIT50,1980,0.8912121212121211,0.8320757091221509,0.8914141414141414,0.959842056932966,0.8865711333867075
ERP,46,4,0,EEGNet,1980,0.7021212121212121,0.6774152715910905,0.7984848484848485,0.7807566574839303,0.5147780042404393
ERP,46,4,0,LiteBN,1980,0.7048484848484848,0.6499009820959463,0.7525252525252525,0.7660091827364555,0.4197091334085639
ERP,46,4,0,LOGIT50,1980,0.7051515151515151,0.6679230491244121,0.7813131313131313,0.7863801652892562,0.499062525823468
ERP,21,4,0,EEGNet,1980,0.8778787878787879,0.8055076950033584,0.8691919191919192,0.9458347107438017,0.8398795366237974
ERP,21,4,0,LiteBN,1980,0.8636363636363636,0.7883021102497847,0.8555555555555555,0.9342075298438934,0.7900533660460014
ERP,21,4,0,LOGIT50,1980,0.8672727272727272,0.7951220838544782,0.8616161616161616,0.9468503213957761,0.834936125310099
ERP,44,4,0,EEGNet,1980,0.9063636363636364,0.8241311966431792,0.8803030303030303,0.9743673094582186,0.911015603883252
ERP,44,4,0,LiteBN,1980,0.8993939393939394,0.7932432947299054,0.8505050505050505,0.9767860422405876,0.8920863736851156
ERP,44,4,0,LOGIT50,1980,0.9096969696969697,0.8202922077922078,0.8757575757575757,0.9803856749311295,0.9283074289302964
SSVEP,15,0,0,EEGNet,100,0.9,0.9006871345029239,0.9,,
SSVEP,15,0,0,LiteBN,100,0.35,0.29097744360902256,0.35,,
SSVEP,15,0,0,LOGIT50,100,0.7100000000000001,0.7220994119728297,0.71,,
SSVEP,38,0,0,EEGNet,100,0.97,0.9701920768307324,0.97,,
SSVEP,38,0,0,LiteBN,100,0.97,0.9699959983993598,0.97,,
SSVEP,38,0,0,LOGIT50,100,0.98,0.9799959983993598,0.98,,
SSVEP,6,0,0,EEGNet,100,0.99,0.9899959983993597,0.99,,
SSVEP,6,0,0,LiteBN,100,0.99,0.9899959983993598,0.99,,
SSVEP,6,0,0,LOGIT50,100,1.0,1.0,1.0,,
SSVEP,33,0,0,EEGNet,100,0.99,0.9899959983993598,0.99,,
SSVEP,33,0,0,LiteBN,100,0.96,0.9604219938566443,0.96,,
SSVEP,33,0,0,LOGIT50,100,1.0,1.0,1.0,,
SSVEP,32,0,0,EEGNet,100,0.5800000000000001,0.5329861111111112,0.58,,
SSVEP,32,0,0,LiteBN,100,0.74,0.6974592074592075,0.74,,
SSVEP,32,0,0,LOGIT50,100,0.71,0.65001665001665,0.71,,
SSVEP,3,0,0,EEGNet,100,0.95,0.9504219938566443,0.95,,
SSVEP,3,0,0,LiteBN,100,1.0,1.0,1.0,,
SSVEP,3,0,0,LOGIT50,100,0.98,0.9801805337519622,0.98,,
SSVEP,5,0,0,EEGNet,100,0.9299999999999999,0.9304819471308833,0.93,,
SSVEP,5,0,0,LiteBN,100,0.81,0.8189110626932614,0.81,,
SSVEP,5,0,0,LOGIT50,100,0.96,0.9599764521193093,0.96,,
SSVEP,47,0,0,EEGNet,100,0.96,0.9597919167667067,0.96,,
SSVEP,47,0,0,LiteBN,100,0.97,0.9703303491207804,0.97,,
SSVEP,47,0,0,LOGIT50,100,0.98,0.9799679487179488,0.98,,
SSVEP,26,1,0,EEGNet,100,0.98,0.9797794117647058,0.98,,
SSVEP,26,1,0,LiteBN,100,0.99,0.9899959983993598,0.99,,
SSVEP,26,1,0,LOGIT50,100,0.99,0.9899959983993598,0.99,,
SSVEP,2,1,0,EEGNet,100,0.9299999999999999,0.9298275072311604,0.93,,
SSVEP,2,1,0,LiteBN,100,0.9299999999999999,0.9266328636666504,0.93,,
SSVEP,2,1,0,LOGIT50,100,0.94,0.9394560606566686,0.94,,
SSVEP,14,1,0,EEGNet,100,0.84,0.8419604863221885,0.84,,
SSVEP,14,1,0,LiteBN,100,0.78,0.7792895622337516,0.78,,
