task,subject_id,fold,seed,method,trials,BA,macro_F1,accuracy,AUROC,AUPRC
ERP,4,4,2,LiteBN,1980,0.9175757575757576,0.8935991332611051,0.9373737373737374,0.9729586776859505,0.9166348897837745
ERP,4,4,2,LOGIT50,1980,0.9187878787878788,0.8993514460999124,0.9414141414141414,0.977941230486685,0.9264586786274891
ERP,12,4,2,EEGNet,1980,0.97,0.9395414907164062,0.9641414141414142,0.9954178145087236,0.9878776776588588
ERP,12,4,2,LiteBN,1980,0.9663636363636363,0.930228381688198,0.9580808080808081,0.9948282828282828,0.9882729595161781
ERP,12,4,2,LOGIT50,1980,0.973030303030303,0.9413718271503111,0.9651515151515152,0.9957263544536271,0.9899573532606487
ERP,13,4,2,EEGNet,1980,0.926060606060606,0.8624085764057241,0.9111111111111111,0.9828062442607897,0.94324446422246
ERP,13,4,2,LiteBN,1980,0.9303030303030303,0.8741185805868028,0.9202020202020202,0.9796363636363636,0.9307202704237744
ERP,13,4,2,LOGIT50,1980,0.9312121212121212,0.8786385993226851,0.9237373737373737,0.9843645546372819,0.9462073216121771
ERP,17,4,2,EEGNet,1980,0.8418181818181818,0.7633815456081081,0.8353535353535354,0.9186115702479339,0.7862935325475638
ERP,17,4,2,LiteBN,1980,0.8363636363636363,0.7625393102713075,0.8363636363636363,0.9140863177226815,0.7777639451866074
ERP,17,4,2,LOGIT50,1980,0.8521212121212122,0.782034017411341,0.8525252525252526,0.9239651056014694,0.8004460396527029
ERP,18,4,2,EEGNet,1980,0.9027272727272728,0.8899291143496411,0.9368686868686869,0.971287419651056,0.9036674091502538
ERP,18,4,2,LiteBN,1980,0.8915151515151515,0.8581461052972273,0.9141414141414141,0.968850321395776,0.8961840449492842
ERP,18,4,2,LOGIT50,1980,0.9036363636363636,0.8839936408997182,0.9323232323232323,0.9740808080808081,0.9112740588740358
ERP,24,4,2,EEGNet,1980,0.8242424242424242,0.7843922481325697,0.8646464646464647,0.9251313131313131,0.7809574379086146
ERP,24,4,2,LiteBN,1980,0.7993939393939393,0.755828218906486,0.8434343434343434,0.8893425160697889,0.723661670854922
ERP,24,4,2,LOGIT50,1980,0.8436363636363636,0.8029252819548872,0.8767676767676768,0.9255059687786961,0.7922135268722382
ERP,25,4,2,EEGNet,1980,0.7687878787878788,0.7805673163418291,0.8833333333333333,0.8994618916437097,0.6880112970437136
ERP,25,4,2,LiteBN,1980,0.8360606060606061,0.8192666107925549,0.8944444444444445,0.9274820936639119,0.7708712057907184
ERP,25,4,2,LOGIT50,1980,0.8096969696969697,0.8150262233025853,0.898989898989899,0.9256988062442607,0.7534070553779106
ERP,29,4,2,EEGNet,1980,0.843030303030303,0.827816710264415,0.9,0.9401285583103766,0.8087583361695503
ERP,29,4,2,LiteBN,1980,0.8572727272727273,0.8293537528036652,0.8974747474747474,0.9430560146923784,0.8308492069223349
ERP,29,4,2,LOGIT50,1980,0.8618181818181818,0.8441705624026066,0.9090909090909091,0.9498751147842055,0.8451016375618875
ERP,36,4,2,EEGNet,1980,0.96,0.9063087406015038,0.9414141414141414,0.9951606978879706,0.983623548635449
ERP,36,4,2,LiteBN,1980,0.9533333333333334,0.8934450984423996,0.9323232323232323,0.9921083562901745,0.9684300296760451
ERP,36,4,2,LOGIT50,1980,0.9606060606060607,0.9050682286553852,0.9404040404040404,0.9956620752984389,0.983252414326571
ERP,37,4,2,EEGNet,1980,0.9421212121212121,0.9182128041094479,0.952020202020202,0.9869274563820019,0.9504739755590881
ERP,37,4,2,LiteBN,1980,0.9427272727272727,0.9139956417233385,0.9489898989898989,0.9872359963269054,0.9552532786817929
ERP,37,4,2,LOGIT50,1980,0.9484848484848485,0.9257140663390664,0.9565656565656566,0.988850321395776,0.9583011724919329
ERP,39,4,2,EEGNet,1980,0.71,0.6808237366994816,0.7974747474747474,0.7982148760330579,0.5367822839960277
ERP,39,4,2,LiteBN,1980,0.7272727272727273,0.6909937006980308,0.8,0.8084995408631773,0.4581663739887032
ERP,39,4,2,LOGIT50,1980,0.7272727272727273,0.6980977824493788,0.8101010101010101,0.8147254361799817,0.5194232941389372
ERP,42,4,2,EEGNet,1980,0.8624242424242424,0.8160442980195476,0.8838383838383839,0.9433663911845729,0.8401464503843364
ERP,42,4,2,LiteBN,1980,0.8472727272727272,0.8168082239481613,0.8888888888888888,0.9306391184573002,0.765787831076274
ERP,42,4,2,LOGIT50,1980,0.8721212121212121,0.8342076988380114,0.897979797979798,0.948020202020202,0.8419855818514601
ERP,51,4,2,EEGNet,1980,0.7481818181818182,0.7173406151739992,0.8227272727272728,0.8298787878787878,0.5607601744672949
ERP,51,4,2,LiteBN,1980,0.7260606060606061,0.6946486403125482,0.806060606060606,0.8130174471992654,0.5468989817842416
ERP,51,4,2,LOGIT50,1980,0.7415151515151515,0.7181082801882952,0.8277777777777777,0.8349348025711663,0.5739465166566363
ERP,54,4,2,EEGNet,1980,0.713030303030303,0.6898802574619541,0.8085858585858586,0.8057539026629935,0.520148904552951
ERP,54,4,2,LiteBN,1980,0.6763636363636363,0.6496212121212122,0.7757575757575758,0.7657098255280074,0.409526329397946
ERP,54,4,2,LOGIT50,1980,0.6930303030303031,0.6718785837526217,0.7974747474747474,0.7987805325987144,0.48248852633016953
SSVEP,4,0,0,EEGNet,100,1.0,1.0,1.0,,
SSVEP,4,0,0,LiteBN,100,1.0,1.0,1.0,,
SSVEP,4,0,0,LOGIT50,100,1.0,1.0,1.0,,
SSVEP,12,0,0,EEGNet,100,0.95,0.9492493103222823,0.95,,
SSVEP,12,0,0,LiteBN,100,0.98,0.9799959983993598,0.98,,
SSVEP,12,0,0,LOGIT50,100,0.97,0.9693366708385482,0.97,,
SSVEP,13,0,0,EEGNet,100,0.7,0.6939911152677111,0.7,,
SSVEP,13,0,0,LiteBN,100,0.8400000000000001,0.8396238590271892,0.84,,
SSVEP,13,0,0,LOGIT50,100,0.84,0.8412363874559895,0.84,,
SSVEP,17,0,0,EEGNet,100,0.98,0.979779411764706,0.98,,
SSVEP,17,0,0,LiteBN,100,0.9199999999999999,0.9200715569246567,0.92,,
SSVEP,17,0,0,LOGIT50,100,0.96,0.9597097431443937,0.96,,
SSVEP,18,0,0,EEGNet,100,1.0,1.0,1.0,,
SSVEP,18,0,0,LiteBN,100,1.0,1.0,1.0,,
SSVEP,18,0,0,LOGIT50,100,1.0,1.0,1.0,,
SSVEP,24,0,0,EEGNet,100,0.9099999999999999,0.9093755327189978,0.91,,
SSVEP,24,0,0,LiteBN,100,0.9099999999999999,0.9087725426921534,0.91,,
SSVEP,24,0,0,LOGIT50,100,0.94,0.9401059016077791,0.94,,
SSVEP,25,0,0,EEGNet,100,0.8799999999999999,0.8793269214550533,0.88,,
SSVEP,25,0,0,LiteBN,100,0.94,0.9394040438160498,0.94,,
SSVEP,25,0,0,LOGIT50,100,0.9299999999999999,0.929799331103679,0.93,,
SSVEP,29,0,0,EEGNet,100,0.87,0.8682570806100218,0.87,,
SSVEP,29,0,0,LiteBN,100,0.96,0.9601137624861265,0.96,,
SSVEP,29,0,0,LOGIT50,100,0.94,0.940239984882842,0.94,,
SSVEP,36,0,0,EEGNet,100,1.0,1.0,1.0,,
SSVEP,36,0,0,LiteBN,100,1.0,1.0,1.0,,
SSVEP,36,0,0,LOGIT50,100,1.0,1.0,1.0,,
SSVEP,37,0,0,EEGNet,100,1.0,1.0,1.0,,
SSVEP,37,0,0,LiteBN,100,1.0,1.0,1.0,,
SSVEP,37,0,0,LOGIT50,100,1.0,1.0,1.0,,
SSVEP,39,0,0,EEGNet,100,0.99,0.9899959983993597,0.99,,
SSVEP,39,0,0,LiteBN,100,0.99,0.9899959983993598,0.99,,
SSVEP,39,0,0,LOGIT50,100,1.0,1.0,1.0,,
SSVEP,42,0,0,EEGNet,100,0.5800000000000001,0.5839907269415465,0.58,,
SSVEP,42,0,0,LiteBN,100,0.6300000000000001,0.6313190620520388,0.63,,
SSVEP,42,0,0,LOGIT50,100,0.6000000000000001,0.6047969672668951,0.6,,
SSVEP,51,0,0,EEGNet,100,0.7899999999999999,0.7876335804370848,0.79,,
SSVEP,51,0,0,LiteBN,100,0.74,0.7451997614788314,0.74,,
SSVEP,51,0,0,LOGIT50,100,0.81,0.8103572141159886,0.81,,
SSVEP,54,0,0,EEGNet,100,0.73,0.721623107918876,0.73,,
SSVEP,54,0,0,LiteBN,100,0.8999999999999999,0.900769746970355,0.9,,
SSVEP,54,0,0,LOGIT50,100,0.8499999999999999,0.850465392303848,0.85,,
SSVEP,4,0,1,EEGNet,100,1.0,1.0,1.0,,
SSVEP,4,0,1,LiteBN,100,1.0,1.0,1.0,,
SSVEP,4,0,1,LOGIT50,100,1.0,1.0,1.0,,
SSVEP,12,0,1,EEGNet,100,0.95,0.9500943585290089,0.95,,
SSVEP,12,0,1,LiteBN,100,0.97,0.9699879951980792,0.97,,
SSVEP,12,0,1,LOGIT50,100,0.97,0.9699764521193093,0.97,,
SSVEP,13,0,1,EEGNet,100,0.95,0.9502054072219905,0.95,,
SSVEP,13,0,1,LiteBN,100,0.95,0.949955943916028,0.95,,
SSVEP,13,0,1,LOGIT50,100,0.96,0.9598876081946227,0.96,,
SSVEP,17,0,1,EEGNet,100,0.97,0.97,0.97,,
SSVEP,17,0,1,LiteBN,100,0.97,0.9699764521193093,0.97,,
SSVEP,17,0,1,LOGIT50,100,0.99,0.9899959983993597,0.99,,
SSVEP,18,0,1,EEGNet,100,1.0,1.0,1.0,,
SSVEP,18,0,1,LiteBN,100,1.0,1.0,1.0,,
SSVEP,18,0,1,LOGIT50,100,1.0,1.0,1.0,,
SSVEP,24,0,1,EEGNet,100,0.9299999999999999,0.9291226105826946,0.93,,
SSVEP,24,0,1,LiteBN,100,0.8799999999999999,0.8774132730015084,0.88,,
SSVEP,24,0,1,LOGIT50,100,0.96,0.9595252077917911,0.96,,
SSVEP,25,0,1,EEGNet,100,0.98,0.979779411764706,0.98,,
SSVEP,25,0,1,LiteBN,100,0.96,0.9601920768307323,0.96,,
SSVEP,25,0,1,LOGIT50,100,0.97,0.969779411764706,0.97,,
SSVEP,29,0,1,EEGNet,100,0.98,0.9799959983993598,0.98,,
SSVEP,29,0,1,LiteBN,100,0.95,0.9505446409332965,0.95,,
SSVEP,29,0,1,LOGIT50,100,0.99,0.9899959983993598,0.99,,
SSVEP,36,0,1,EEGNet,100,1.0,1.0,1.0,,
SSVEP,36,0,1,LiteBN,100,1.0,1.0,1.0,,
SSVEP,36,0,1,LOGIT50,100,1.0,1.0,1.0,,
SSVEP,37,0,1,EEGNet,100,1.0,1.0,1.0,,
SSVEP,37,0,1,LiteBN,100,0.99,0.9899959983993598,0.99,,
