dataset,method,subject,outer_fold,BA,delta_BA
OpenBMI,B0_BEST_SINGLE_KEEP,44,1,0.495,-0.015000000000000013

OpenBMI,B0_BEST_SINGLE_KEEP,45,1,0.515,-0.0050000000000000044

OpenBMI,B0_BEST_SINGLE_KEEP,46,2,0.655,0.06000000000000005

OpenBMI,B0_BEST_SINGLE_KEEP,47,3,0.7649999999999999,0.05499999999999994

OpenBMI,B0_BEST_SINGLE_KEEP,48,3,0.66,0.015000000000000013

OpenBMI,B0_BEST_SINGLE_KEEP,49,1,0.575,-0.015000000000000124

OpenBMI,B0_BEST_SINGLE_KEEP,50,3,0.505,0.015000000000000013

OpenBMI,B0_BEST_SINGLE_KEEP,51,2,0.5549999999999999,0.014999999999999902

OpenBMI,B0_BEST_SINGLE_KEEP,52,2,0.6950000000000001,0.05500000000000005

OpenBMI,B0_BEST_SINGLE_KEEP,53,3,0.6699999999999999,0.04499999999999993

OpenBMI,B0_BEST_SINGLE_KEEP,54,3,0.57,-0.025000000000000022

OpenBMI,B1_MAJORITY_KEEP,1,3,0.61,-0.05500000000000005

OpenBMI,B1_MAJORITY_KEEP,2,1,0.55,-0.014999999999999902

OpenBMI,B1_MAJORITY_KEEP,3,0,0.74,0.020000000000000018

OpenBMI,B1_MAJORITY_KEEP,4,4,0.55,0.0

OpenBMI,B1_MAJORITY_KEEP,5,0,0.655,0.040000000000000036

OpenBMI,B1_MAJORITY_KEEP,6,3,0.81,-0.029999999999999916

OpenBMI,B1_MAJORITY_KEEP,7,0,0.55,-0.009999999999999898

OpenBMI,B1_MAJORITY_KEEP,8,4,0.6799999999999999,0.004999999999999893

OpenBMI,B1_MAJORITY_KEEP,9,1,0.525,-0.05999999999999994

OpenBMI,B1_MAJORITY_KEEP,10,0,0.6,-0.08500000000000008

OpenBMI,B1_MAJORITY_KEEP,11,4,0.52,0.020000000000000018

OpenBMI,B1_MAJORITY_KEEP,12,3,0.6,-0.05500000000000005

OpenBMI,B1_MAJORITY_KEEP,13,0,0.62,0.05999999999999994

OpenBMI,B1_MAJORITY_KEEP,14,1,0.53,-0.07999999999999996

OpenBMI,B1_MAJORITY_KEEP,15,1,0.72,0.02499999999999991

OpenBMI,B1_MAJORITY_KEEP,16,4,0.655,-0.09499999999999997

OpenBMI,B1_MAJORITY_KEEP,17,1,0.445,-0.05499999999999999

OpenBMI,B1_MAJORITY_KEEP,18,4,0.545,-0.13

OpenBMI,B1_MAJORITY_KEEP,19,3,0.605,-0.06500000000000006

OpenBMI,B1_MAJORITY_KEEP,20,0,0.635,0.0050000000000000044

OpenBMI,B1_MAJORITY_KEEP,21,0,0.5599999999999999,-0.13500000000000012

OpenBMI,B1_MAJORITY_KEEP,22,2,0.545,-0.039999999999999925

OpenBMI,B1_MAJORITY_KEEP,23,2,0.595,0.0

OpenBMI,B1_MAJORITY_KEEP,24,2,0.54,-0.02499999999999991

OpenBMI,B1_MAJORITY_KEEP,25,0,0.69,-0.07500000000000007

OpenBMI,B1_MAJORITY_KEEP,26,2,0.765,0.020000000000000018

OpenBMI,B1_MAJORITY_KEEP,27,4,0.77,0.20999999999999996

OpenBMI,B1_MAJORITY_KEEP,28,2,0.745,-0.09500000000000008

OpenBMI,B1_MAJORITY_KEEP,29,2,0.675,0.050000000000000044

OpenBMI,B1_MAJORITY_KEEP,30,0,0.605,-0.0050000000000001155

OpenBMI,B1_MAJORITY_KEEP,31,4,0.625,0.010000000000000009

OpenBMI,B1_MAJORITY_KEEP,32,1,0.565,-0.010000000000000009

OpenBMI,B1_MAJORITY_KEEP,33,1,0.665,0.07000000000000006

OpenBMI,B1_MAJORITY_KEEP,34,3,0.605,0.05499999999999994

OpenBMI,B1_MAJORITY_KEEP,35,4,0.6950000000000001,-0.02499999999999991

OpenBMI,B1_MAJORITY_KEEP,36,4,0.72,0.04999999999999993

OpenBMI,B1_MAJORITY_KEEP,37,0,0.75,0.08499999999999996

OpenBMI,B1_MAJORITY_KEEP,38,2,0.525,-0.010000000000000009

OpenBMI,B1_MAJORITY_KEEP,39,2,0.595,0.05499999999999994

OpenBMI,B1_MAJORITY_KEEP,40,4,0.66,0.040000000000000036

OpenBMI,B1_MAJORITY_KEEP,41,1,0.505,0.010000000000000009

OpenBMI,B1_MAJORITY_KEEP,42,3,0.65,0.010000000000000009

OpenBMI,B1_MAJORITY_KEEP,43,0,0.535,-0.04999999999999993

OpenBMI,B1_MAJORITY_KEEP,44,1,0.51,0.0

OpenBMI,B1_MAJORITY_KEEP,45,1,0.515,-0.0050000000000000044

OpenBMI,B1_MAJORITY_KEEP,46,2,0.61,0.015000000000000013

OpenBMI,B1_MAJORITY_KEEP,47,3,0.7,-0.010000000000000009

OpenBMI,B1_MAJORITY_KEEP,48,3,0.6799999999999999,0.03499999999999992

OpenBMI,B1_MAJORITY_KEEP,49,1,0.585,-0.0050000000000001155

OpenBMI,B1_MAJORITY_KEEP,50,3,0.5,0.010000000000000009

OpenBMI,B1_MAJORITY_KEEP,51,2,0.53,-0.010000000000000009

OpenBMI,B1_MAJORITY_KEEP,52,2,0.595,-0.04500000000000004

OpenBMI,B1_MAJORITY_KEEP,53,3,0.69,0.06499999999999995

OpenBMI,B1_MAJORITY_KEEP,54,3,0.595,0.0

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,1,3,0.61,-0.05500000000000005

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,2,1,0.55,-0.014999999999999902

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,3,0,0.74,0.020000000000000018

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,4,4,0.55,0.0

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,5,0,0.6599999999999999,0.04499999999999993

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,6,3,0.81,-0.029999999999999916

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,7,0,0.55,-0.009999999999999898

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,8,4,0.6799999999999999,0.004999999999999893

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,9,1,0.525,-0.05999999999999994

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,10,0,0.595,-0.09000000000000008

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,11,4,0.52,0.020000000000000018

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,12,3,0.6,-0.05500000000000005

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,13,0,0.62,0.05999999999999994

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,14,1,0.535,-0.07499999999999996

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,15,1,0.72,0.02499999999999991

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,16,4,0.655,-0.09499999999999997

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,17,1,0.45,-0.04999999999999999

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,18,4,0.545,-0.13

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,19,3,0.605,-0.06500000000000006

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,20,0,0.635,0.0050000000000000044

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,21,0,0.5599999999999999,-0.13500000000000012

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,22,2,0.55,-0.03499999999999992

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,23,2,0.595,0.0

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,24,2,0.54,-0.02499999999999991

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,25,0,0.69,-0.07500000000000007

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,26,2,0.765,0.020000000000000018

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,27,4,0.77,0.20999999999999996

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,28,2,0.745,-0.09500000000000008

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,29,2,0.675,0.050000000000000044

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,30,0,0.605,-0.0050000000000001155

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,31,4,0.625,0.010000000000000009

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,32,1,0.56,-0.014999999999999902

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,33,1,0.665,0.07000000000000006

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,34,3,0.605,0.05499999999999994

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,35,4,0.6950000000000001,-0.02499999999999991

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,36,4,0.72,0.04999999999999993

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,37,0,0.75,0.08499999999999996

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,38,2,0.52,-0.015000000000000013

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,39,2,0.585,0.04499999999999993

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,40,4,0.655,0.03500000000000003

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,41,1,0.505,0.010000000000000009

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,42,3,0.655,0.015000000000000013

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,43,0,0.535,-0.04999999999999993

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,44,1,0.505,-0.0050000000000000044

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,45,1,0.515,-0.0050000000000000044

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,46,2,0.61,0.015000000000000013

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,47,3,0.7,-0.010000000000000009

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,48,3,0.6799999999999999,0.03499999999999992

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,49,1,0.585,-0.0050000000000001155

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,50,3,0.5,0.010000000000000009

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,51,2,0.53,-0.010000000000000009

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,52,2,0.595,-0.04500000000000004

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,53,3,0.69,0.06499999999999995

OpenBMI,B2_EQUAL_CALIBRATED_KEEP,54,3,0.595,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,1,3,0.665,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,2,1,0.565,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,3,0,0.72,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,4,4,0.55,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,5,0,0.615,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,6,3,0.84,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,7,0,0.5599999999999999,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,8,4,0.675,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,9,1,0.585,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,10,0,0.685,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,11,4,0.5,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,12,3,0.655,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,13,0,0.56,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,14,1,0.61,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,15,1,0.6950000000000001,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,16,4,0.75,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,17,1,0.5,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,18,4,0.675,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,19,3,0.67,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,20,0,0.63,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,21,0,0.6950000000000001,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,22,2,0.585,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,23,2,0.595,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,24,2,0.565,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,25,0,0.765,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,26,2,0.745,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,27,4,0.56,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,28,2,0.8400000000000001,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,29,2,0.625,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,30,0,0.6100000000000001,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,31,4,0.615,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,32,1,0.575,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,33,1,0.595,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,34,3,0.55,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,35,4,0.72,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,36,4,0.67,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,37,0,0.665,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,38,2,0.535,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,39,2,0.54,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,40,4,0.62,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,41,1,0.495,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,42,3,0.64,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,43,0,0.585,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,44,1,0.51,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,45,1,0.52,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,46,2,0.595,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,47,3,0.71,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,48,3,0.645,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,49,1,0.5900000000000001,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,50,3,0.49,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,51,2,0.54,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,52,2,0.64,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,53,3,0.625,0.0

OpenBMI,B3_STRONGEST_KEEP_STACK,54,3,0.595,0.0

OpenBMI,B4_EQUAL_ALL_EXPERT,1,3,0.62,-0.04500000000000004

OpenBMI,B4_EQUAL_ALL_EXPERT,2,1,0.525,-0.039999999999999925

OpenBMI,B4_EQUAL_ALL_EXPERT,3,0,0.6799999999999999,-0.040000000000000036

OpenBMI,B4_EQUAL_ALL_EXPERT,4,4,0.55,0.0

OpenBMI,B4_EQUAL_ALL_EXPERT,5,0,0.62,0.0050000000000000044

OpenBMI,B4_EQUAL_ALL_EXPERT,6,3,0.855,0.015000000000000013

OpenBMI,B4_EQUAL_ALL_EXPERT,7,0,0.59,0.030000000000000027

OpenBMI,B4_EQUAL_ALL_EXPERT,8,4,0.71,0.03499999999999992

OpenBMI,B4_EQUAL_ALL_EXPERT,9,1,0.5599999999999999,-0.025000000000000022

OpenBMI,B4_EQUAL_ALL_EXPERT,10,0,0.645,-0.040000000000000036

OpenBMI,B4_EQUAL_ALL_EXPERT,11,4,0.56,0.06000000000000005

OpenBMI,B4_EQUAL_ALL_EXPERT,12,3,0.64,-0.015000000000000013

OpenBMI,B4_EQUAL_ALL_EXPERT,13,0,0.575,0.014999999999999902

OpenBMI,B4_EQUAL_ALL_EXPERT,14,1,0.59,-0.020000000000000018

OpenBMI,B4_EQUAL_ALL_EXPERT,15,1,0.73,0.03499999999999992

OpenBMI,B4_EQUAL_ALL_EXPERT,16,4,0.6699999999999999,-0.08000000000000007

OpenBMI,B4_EQUAL_ALL_EXPERT,17,1,0.51,0.010000000000000009

OpenBMI,B4_EQUAL_ALL_EXPERT,18,4,0.525,-0.15000000000000002

OpenBMI,B4_EQUAL_ALL_EXPERT,19,3,0.75,0.07999999999999996

OpenBMI,B4_EQUAL_ALL_EXPERT,20,0,0.6,-0.030000000000000027

OpenBMI,B4_EQUAL_ALL_EXPERT,21,0,0.575,-0.1200000000000001

OpenBMI,B4_EQUAL_ALL_EXPERT,22,2,0.5900000000000001,0.0050000000000001155

OpenBMI,B4_EQUAL_ALL_EXPERT,23,2,0.605,0.010000000000000009

OpenBMI,B4_EQUAL_ALL_EXPERT,24,2,0.565,0.0

OpenBMI,B4_EQUAL_ALL_EXPERT,25,0,0.79,0.025000000000000022

OpenBMI,B4_EQUAL_ALL_EXPERT,26,2,0.675,-0.06999999999999995

OpenBMI,B4_EQUAL_ALL_EXPERT,27,4,0.7250000000000001,0.16500000000000004

OpenBMI,B4_EQUAL_ALL_EXPERT,28,2,0.675,-0.16500000000000004

OpenBMI,B4_EQUAL_ALL_EXPERT,29,2,0.61,-0.015000000000000013

OpenBMI,B4_EQUAL_ALL_EXPERT,30,0,0.57,-0.04000000000000015

OpenBMI,B4_EQUAL_ALL_EXPERT,31,4,0.58,-0.03500000000000003

OpenBMI,B4_EQUAL_ALL_EXPERT,32,1,0.6000000000000001,0.025000000000000133

OpenBMI,B4_EQUAL_ALL_EXPERT,33,1,0.565,-0.030000000000000027

OpenBMI,B4_EQUAL_ALL_EXPERT,34,3,0.5650000000000001,0.015000000000000013

OpenBMI,B4_EQUAL_ALL_EXPERT,35,4,0.645,-0.07499999999999996

OpenBMI,B4_EQUAL_ALL_EXPERT,36,4,0.755,0.08499999999999996

OpenBMI,B4_EQUAL_ALL_EXPERT,37,0,0.78,0.11499999999999999

OpenBMI,B4_EQUAL_ALL_EXPERT,38,2,0.525,-0.010000000000000009

OpenBMI,B4_EQUAL_ALL_EXPERT,39,2,0.605,0.06499999999999995

OpenBMI,B4_EQUAL_ALL_EXPERT,40,4,0.6699999999999999,0.04999999999999993

OpenBMI,B4_EQUAL_ALL_EXPERT,41,1,0.5,0.0050000000000000044

OpenBMI,B4_EQUAL_ALL_EXPERT,42,3,0.665,0.025000000000000022

OpenBMI,B4_EQUAL_ALL_EXPERT,43,0,0.635,0.050000000000000044

OpenBMI,B4_EQUAL_ALL_EXPERT,44,1,0.525,0.015000000000000013

OpenBMI,B4_EQUAL_ALL_EXPERT,45,1,0.525,0.0050000000000000044

OpenBMI,B4_EQUAL_ALL_EXPERT,46,2,0.62,0.025000000000000022

OpenBMI,B4_EQUAL_ALL_EXPERT,47,3,0.815,0.10499999999999998

OpenBMI,B4_EQUAL_ALL_EXPERT,48,3,0.65,0.0050000000000000044

OpenBMI,B4_EQUAL_ALL_EXPERT,49,1,0.54,-0.050000000000000044

OpenBMI,B4_EQUAL_ALL_EXPERT,50,3,0.505,0.015000000000000013

OpenBMI,B4_EQUAL_ALL_EXPERT,51,2,0.515,-0.025000000000000022

OpenBMI,B4_EQUAL_ALL_EXPERT,52,2,0.575,-0.06500000000000006

OpenBMI,B4_EQUAL_ALL_EXPERT,53,3,0.77,0.14500000000000002

OpenBMI,B4_EQUAL_ALL_EXPERT,54,3,0.59,-0.0050000000000000044

OpenBMI,B5_LOGISTIC_KEEP_STACK,1,3,0.655,-0.010000000000000009

OpenBMI,B5_LOGISTIC_KEEP_STACK,2,1,0.615,0.050000000000000044

OpenBMI,B5_LOGISTIC_KEEP_STACK,3,0,0.71,-0.010000000000000009

OpenBMI,B5_LOGISTIC_KEEP_STACK,4,4,0.5449999999999999,-0.0050000000000001155

OpenBMI,B5_LOGISTIC_KEEP_STACK,5,0,0.61,-0.0050000000000000044

OpenBMI,B5_LOGISTIC_KEEP_STACK,6,3,0.845,0.0050000000000000044

OpenBMI,B5_LOGISTIC_KEEP_STACK,7,0,0.5800000000000001,0.02000000000000013

OpenBMI,B5_LOGISTIC_KEEP_STACK,8,4,0.63,-0.04500000000000004

OpenBMI,B5_LOGISTIC_KEEP_STACK,9,1,0.595,0.010000000000000009

OpenBMI,B5_LOGISTIC_KEEP_STACK,10,0,0.635,-0.050000000000000044

OpenBMI,B5_LOGISTIC_KEEP_STACK,11,4,0.485,-0.015000000000000013

OpenBMI,B5_LOGISTIC_KEEP_STACK,12,3,0.64,-0.015000000000000013

OpenBMI,B5_LOGISTIC_KEEP_STACK,13,0,0.59,0.029999999999999916

OpenBMI,B5_LOGISTIC_KEEP_STACK,14,1,0.605,-0.0050000000000000044

OpenBMI,B5_LOGISTIC_KEEP_STACK,15,1,0.725,0.029999999999999916

OpenBMI,B5_LOGISTIC_KEEP_STACK,16,4,0.71,-0.040000000000000036

OpenBMI,B5_LOGISTIC_KEEP_STACK,17,1,0.5,0.0

OpenBMI,B5_LOGISTIC_KEEP_STACK,18,4,0.6950000000000001,0.020000000000000018

OpenBMI,B5_LOGISTIC_KEEP_STACK,19,3,0.7,0.029999999999999916

OpenBMI,B5_LOGISTIC_KEEP_STACK,20,0,0.63,0.0

OpenBMI,B5_LOGISTIC_KEEP_STACK,21,0,0.7050000000000001,0.010000000000000009

OpenBMI,B5_LOGISTIC_KEEP_STACK,22,2,0.565,-0.020000000000000018

OpenBMI,B5_LOGISTIC_KEEP_STACK,23,2,0.63,0.03500000000000003

OpenBMI,B5_LOGISTIC_KEEP_STACK,24,2,0.525,-0.039999999999999925

OpenBMI,B5_LOGISTIC_KEEP_STACK,25,0,0.7150000000000001,-0.04999999999999993

OpenBMI,B5_LOGISTIC_KEEP_STACK,26,2,0.8,0.05500000000000005

OpenBMI,B5_LOGISTIC_KEEP_STACK,27,4,0.56,0.0

OpenBMI,B5_LOGISTIC_KEEP_STACK,28,2,0.755,-0.08500000000000008

OpenBMI,B5_LOGISTIC_KEEP_STACK,29,2,0.72,0.09499999999999997

OpenBMI,B5_LOGISTIC_KEEP_STACK,30,0,0.595,-0.015000000000000124

OpenBMI,B5_LOGISTIC_KEEP_STACK,31,4,0.6950000000000001,0.08000000000000007

OpenBMI,B5_LOGISTIC_KEEP_STACK,32,1,0.545,-0.029999999999999916

OpenBMI,B5_LOGISTIC_KEEP_STACK,33,1,0.675,0.08000000000000007

OpenBMI,B5_LOGISTIC_KEEP_STACK,34,3,0.6000000000000001,0.050000000000000044

OpenBMI,B5_LOGISTIC_KEEP_STACK,35,4,0.7849999999999999,0.06499999999999995

OpenBMI,B5_LOGISTIC_KEEP_STACK,36,4,0.735,0.06499999999999995

OpenBMI,B5_LOGISTIC_KEEP_STACK,37,0,0.625,-0.040000000000000036

OpenBMI,B5_LOGISTIC_KEEP_STACK,38,2,0.545,0.010000000000000009

OpenBMI,B5_LOGISTIC_KEEP_STACK,39,2,0.585,0.04499999999999993

OpenBMI,B5_LOGISTIC_KEEP_STACK,40,4,0.65,0.030000000000000027

OpenBMI,B5_LOGISTIC_KEEP_STACK,41,1,0.515,0.020000000000000018

OpenBMI,B5_LOGISTIC_KEEP_STACK,42,3,0.605,-0.03500000000000003

OpenBMI,B5_LOGISTIC_KEEP_STACK,43,0,0.585,0.0

OpenBMI,B5_LOGISTIC_KEEP_STACK,44,1,0.545,0.03500000000000003

OpenBMI,B5_LOGISTIC_KEEP_STACK,45,1,0.52,0.0

OpenBMI,B5_LOGISTIC_KEEP_STACK,46,2,0.61,0.015000000000000013

OpenBMI,B5_LOGISTIC_KEEP_STACK,47,3,0.63,-0.07999999999999996

OpenBMI,B5_LOGISTIC_KEEP_STACK,48,3,0.72,0.07499999999999996

