dataset,method,outer_fold,mean_BA,mean_delta_BA,subjects
OpenBMI,B1_MAJORITY_KEEP,3,0.6404545454545455,-0.0036363636363636598,11
OpenBMI,B1_MAJORITY_KEEP,4,0.642,0.008499999999999997,10
OpenBMI,B2_EQUAL_CALIBRATED_KEEP,0,0.6309090909090909,-0.013636363636363669,11
OpenBMI,B2_EQUAL_CALIBRATED_KEEP,1,0.5559090909090909,-0.011363636363636348,11
OpenBMI,B2_EQUAL_CALIBRATED_KEEP,2,0.61,-0.008636363636363635,11
OpenBMI,B2_EQUAL_CALIBRATED_KEEP,3,0.6409090909090909,-0.003181818181818205,11
OpenBMI,B2_EQUAL_CALIBRATED_KEEP,4,0.6415,0.007999999999999997,10
OpenBMI,B3_STRONGEST_KEEP_STACK,0,0.6445454545454545,0.0,11
OpenBMI,B3_STRONGEST_KEEP_STACK,1,0.5672727272727273,0.0,11
OpenBMI,B3_STRONGEST_KEEP_STACK,2,0.6186363636363637,0.0,11
OpenBMI,B3_STRONGEST_KEEP_STACK,3,0.644090909090909,0.0,11
OpenBMI,B3_STRONGEST_KEEP_STACK,4,0.6335,0.0,10
OpenBMI,B4_EQUAL_ALL_EXPERT,0,0.6418181818181817,-0.00272727272727276,11
OpenBMI,B4_EQUAL_ALL_EXPERT,1,0.5609090909090909,-0.0063636363636363595,11
OpenBMI,B4_EQUAL_ALL_EXPERT,2,0.5963636363636364,-0.022272727272727274,11
OpenBMI,B4_EQUAL_ALL_EXPERT,3,0.6749999999999999,0.030909090909090907,11
OpenBMI,B4_EQUAL_ALL_EXPERT,4,0.639,0.005499999999999982,10
OpenBMI,B5_LOGISTIC_KEEP_STACK,0,0.6345454545454546,-0.010000000000000009,11
OpenBMI,B5_LOGISTIC_KEEP_STACK,1,0.5877272727272728,0.02045454545454546,11
OpenBMI,B5_LOGISTIC_KEEP_STACK,2,0.6286363636363637,0.009999999999999998,11
OpenBMI,B5_LOGISTIC_KEEP_STACK,3,0.6559090909090909,0.011818181818181813,11
OpenBMI,B5_LOGISTIC_KEEP_STACK,4,0.649,0.01549999999999998,10
OpenBMI,B6_LOGISTIC_ALL_EXPERT,0,0.69,0.045454545454545414,11
OpenBMI,B6_LOGISTIC_ALL_EXPERT,1,0.6131818181818182,0.045909090909090906,11
OpenBMI,B6_LOGISTIC_ALL_EXPERT,2,0.6554545454545454,0.03681818181818184,11
OpenBMI,B6_LOGISTIC_ALL_EXPERT,3,0.6654545454545455,0.02136363636363634,11
OpenBMI,B6_LOGISTIC_ALL_EXPERT,4,0.675,0.04149999999999997,10
OpenBMI,B7_ALL_EXPERT_STACK,0,0.6709090909090909,0.026363636363636346,11
OpenBMI,B7_ALL_EXPERT_STACK,1,0.5718181818181818,0.00454545454545453,11
OpenBMI,B7_ALL_EXPERT_STACK,2,0.6468181818181818,0.028181818181818176,11
OpenBMI,B7_ALL_EXPERT_STACK,3,0.649090909090909,0.0049999999999999845,11
OpenBMI,B7_ALL_EXPERT_STACK,4,0.6495,0.01599999999999996,10
OpenBMI,B9_HARD_INSTABILITY_SWITCH,0,0.6718181818181818,0.027272727272727258,11
OpenBMI,B9_HARD_INSTABILITY_SWITCH,1,0.5718181818181818,0.00454545454545453,11
OpenBMI,B9_HARD_INSTABILITY_SWITCH,2,0.645909090909091,0.02727272727272728,11
OpenBMI,B9_HARD_INSTABILITY_SWITCH,3,0.6499999999999999,0.005909090909090884,11
OpenBMI,B9_HARD_INSTABILITY_SWITCH,4,0.649,0.01549999999999998,10
WBCIC,B0_BEST_SINGLE_KEEP,0,0.5101346801346802,0.009579124579124588,9
WBCIC,B0_BEST_SINGLE_KEEP,1,0.485625,-0.040625,8
WBCIC,B0_BEST_SINGLE_KEEP,2,0.493125,0.0012499999999999942,8
WBCIC,B0_BEST_SINGLE_KEEP,3,0.5149810606060606,-0.000606060606060603,8
WBCIC,B0_BEST_SINGLE_KEEP,4,0.5237499999999999,0.01249999999999997,8
WBCIC,B10_RANDOM_MATCHED_GATE,0,0.5005555555555555,0.0,9
WBCIC,B10_RANDOM_MATCHED_GATE,1,0.52625,0.0,8
WBCIC,B10_RANDOM_MATCHED_GATE,2,0.491875,0.0,8
WBCIC,B10_RANDOM_MATCHED_GATE,3,0.5155871212121212,0.0,8
WBCIC,B10_RANDOM_MATCHED_GATE,4,0.51125,0.0,8
WBCIC,B11_CGRFUSE_R1_NO_LCB,0,0.5005555555555555,0.0,9
WBCIC,B11_CGRFUSE_R1_NO_LCB,1,0.52625,0.0,8
WBCIC,B11_CGRFUSE_R1_NO_LCB,2,0.491875,0.0,8
WBCIC,B11_CGRFUSE_R1_NO_LCB,3,0.5255871212121213,0.009999999999999995,8
WBCIC,B11_CGRFUSE_R1_NO_LCB,4,0.513125,0.0018749999999999878,8
WBCIC,B12_CGRFUSE_R1,0,0.5005555555555555,0.0,9
WBCIC,B12_CGRFUSE_R1,1,0.52625,0.0,8
WBCIC,B12_CGRFUSE_R1,2,0.491875,0.0,8
WBCIC,B12_CGRFUSE_R1,3,0.5155871212121212,0.0,8
WBCIC,B12_CGRFUSE_R1,4,0.51125,0.0,8
WBCIC,B1_MAJORITY_KEEP,0,0.5072222222222222,0.006666666666666666,9
WBCIC,B1_MAJORITY_KEEP,1,0.51,-0.01625,8
WBCIC,B1_MAJORITY_KEEP,2,0.495,0.003124999999999989,8
WBCIC,B1_MAJORITY_KEEP,3,0.5149621212121213,-0.0006250000000000006,8
WBCIC,B1_MAJORITY_KEEP,4,0.51875,0.007500000000000007,8
WBCIC,B2_EQUAL_CALIBRATED_KEEP,0,0.5072222222222222,0.006666666666666666,9
WBCIC,B2_EQUAL_CALIBRATED_KEEP,1,0.51,-0.01625,8
WBCIC,B2_EQUAL_CALIBRATED_KEEP,2,0.495,0.003124999999999989,8
WBCIC,B2_EQUAL_CALIBRATED_KEEP,3,0.5149621212121213,-0.0006250000000000006,8
WBCIC,B2_EQUAL_CALIBRATED_KEEP,4,0.51875,0.007500000000000007,8
WBCIC,B3_STRONGEST_KEEP_STACK,0,0.5005555555555555,0.0,9
WBCIC,B3_STRONGEST_KEEP_STACK,1,0.52625,0.0,8
WBCIC,B3_STRONGEST_KEEP_STACK,2,0.491875,0.0,8
WBCIC,B3_STRONGEST_KEEP_STACK,3,0.5155871212121212,0.0,8
WBCIC,B3_STRONGEST_KEEP_STACK,4,0.51125,0.0,8
WBCIC,B4_EQUAL_ALL_EXPERT,0,0.5077777777777778,0.007222222222222223,9
WBCIC,B4_EQUAL_ALL_EXPERT,1,0.5125,-0.013750000000000005,8
WBCIC,B4_EQUAL_ALL_EXPERT,2,0.5025,0.01062500000000001,8
WBCIC,B4_EQUAL_ALL_EXPERT,3,0.5224242424242425,0.006837121212121211,8
WBCIC,B4_EQUAL_ALL_EXPERT,4,0.51625,0.004999999999999977,8
WBCIC,B5_LOGISTIC_KEEP_STACK,0,0.5066666666666667,0.006111111111111117,9
WBCIC,B5_LOGISTIC_KEEP_STACK,1,0.5175,-0.008750000000000008,8
WBCIC,B5_LOGISTIC_KEEP_STACK,2,0.496875,0.0050000000000000044,8
WBCIC,B5_LOGISTIC_KEEP_STACK,3,0.5161868686868687,0.000599747474747489,8
WBCIC,B5_LOGISTIC_KEEP_STACK,4,0.51875,0.007499999999999993,8
WBCIC,B6_LOGISTIC_ALL_EXPERT,0,0.5238888888888888,0.02333333333333334,9
WBCIC,B6_LOGISTIC_ALL_EXPERT,1,0.518125,-0.008125000000000007,8
WBCIC,B6_LOGISTIC_ALL_EXPERT,2,0.506875,0.015000000000000006,8
WBCIC,B6_LOGISTIC_ALL_EXPERT,3,0.5303977272727273,0.014810606060606066,8
WBCIC,B6_LOGISTIC_ALL_EXPERT,4,0.506875,-0.004375000000000004,8
WBCIC,B7_ALL_EXPERT_STACK,0,0.5105555555555555,0.010000000000000002,9
WBCIC,B7_ALL_EXPERT_STACK,1,0.4975,-0.028749999999999998,8
WBCIC,B7_ALL_EXPERT_STACK,2,0.499375,0.0075,8
WBCIC,B7_ALL_EXPERT_STACK,3,0.5280618686868687,0.012474747474747458,8
WBCIC,B7_ALL_EXPERT_STACK,4,0.5175,0.006249999999999978,8
WBCIC,B9_HARD_INSTABILITY_SWITCH,0,0.5105555555555555,0.010000000000000002,9
WBCIC,B9_HARD_INSTABILITY_SWITCH,1,0.49125,-0.03499999999999999,8
WBCIC,B9_HARD_INSTABILITY_SWITCH,2,0.5,0.008125,8
WBCIC,B9_HARD_INSTABILITY_SWITCH,3,0.5299368686868686,0.01434974747474746,8
WBCIC,B9_HARD_INSTABILITY_SWITCH,4,0.5175,0.006249999999999978,8
