dataset,outer_fold,expert,run,weight
OpenBMI,3,E1,b1s1,0.0
OpenBMI,3,E1,b1s2,0.0
OpenBMI,3,E2,b0s0,0.0
OpenBMI,3,E2,b0s1,1.2068767167298842e-17
OpenBMI,3,E2,b0s2,0.0
OpenBMI,3,E2,b1s0,0.0
OpenBMI,3,E2,b1s1,0.12280255729482568
OpenBMI,3,E2,b1s2,0.0
OpenBMI,4,E0,b0s0,0.0
OpenBMI,4,E0,b0s1,0.0
OpenBMI,4,E0,b0s2,0.49535772818950735
OpenBMI,4,E0,b1s0,0.0
OpenBMI,4,E0,b1s1,0.0
OpenBMI,4,E0,b1s2,0.0
OpenBMI,4,E1,b0s0,0.16976266101721896
OpenBMI,4,E1,b0s1,0.295988470217206
OpenBMI,4,E1,b0s2,0.0
OpenBMI,4,E1,b1s0,8.274950200436762e-18
OpenBMI,4,E1,b1s1,0.0
OpenBMI,4,E1,b1s2,0.0
OpenBMI,4,E2,b0s0,1.1823137525961572e-17
OpenBMI,4,E2,b0s1,0.0
OpenBMI,4,E2,b0s2,6.7412797925462276e-18
OpenBMI,4,E2,b1s0,0.0
OpenBMI,4,E2,b1s1,0.03889114057606757
OpenBMI,4,E2,b1s2,5.110189886330301e-18
WBCIC,0,E0,b0s0,6.546939221712141e-19
WBCIC,0,E0,b0s1,0.04878997640609412
WBCIC,0,E0,b0s2,0.0738442660474934
WBCIC,0,E0,b1s0,0.0
WBCIC,0,E0,b1s1,0.09290452296849967
WBCIC,0,E0,b1s2,0.00886946982903524
WBCIC,0,E1,b0s0,0.06789235722067836
WBCIC,0,E1,b0s1,0.051847629234310494
WBCIC,0,E1,b0s2,0.03983842619322218
WBCIC,0,E1,b1s0,0.06357711330905325
WBCIC,0,E1,b1s1,0.031684854744897795
WBCIC,0,E1,b1s2,0.0
WBCIC,0,E2,b0s0,0.08510378638253123
WBCIC,0,E2,b0s1,0.1282925348954917
WBCIC,0,E2,b0s2,0.0966140146897282
WBCIC,0,E2,b1s0,0.06513718207967921
WBCIC,0,E2,b1s1,0.09632289430351537
WBCIC,0,E2,b1s2,0.04928097169576977
WBCIC,1,E0,b0s0,0.008428712827051908
WBCIC,1,E0,b0s1,0.05390288554060094
WBCIC,1,E0,b0s2,0.06153285186465157
WBCIC,1,E0,b1s0,0.0
WBCIC,1,E0,b1s1,0.06587781963576601
WBCIC,1,E0,b1s2,0.0
WBCIC,1,E1,b0s0,0.020211690109837407
WBCIC,1,E1,b0s1,0.030884898943071715
WBCIC,1,E1,b0s2,0.017585595710027813
WBCIC,1,E1,b1s0,0.0018286450263285874
WBCIC,1,E1,b1s1,0.023615468020188442
WBCIC,1,E1,b1s2,0.0
WBCIC,1,E2,b0s0,0.13933842496868556
WBCIC,1,E2,b0s1,0.2229639362312329
WBCIC,1,E2,b0s2,0.22002819847679034
WBCIC,1,E2,b1s0,0.04648208626730518
WBCIC,1,E2,b1s1,0.0736736858628224
WBCIC,1,E2,b1s2,0.01364510051563932
WBCIC,2,E0,b0s0,7.719319728195539e-19
WBCIC,2,E0,b0s1,0.0570070723774748
WBCIC,2,E0,b0s2,0.0485390559132196
WBCIC,2,E0,b1s0,0.0
WBCIC,2,E0,b1s1,0.06816335404679316
WBCIC,2,E0,b1s2,1.04298251594093e-18
WBCIC,2,E1,b0s0,0.029205699169646913
WBCIC,2,E1,b0s1,0.03021437415668839
WBCIC,2,E1,b0s2,0.02063265987373925
WBCIC,2,E1,b1s0,0.049721589616224776
WBCIC,2,E1,b1s1,1.4851572364038872e-19
WBCIC,2,E1,b1s2,3.4402243634210155e-18
WBCIC,2,E2,b0s0,0.11333481887564978
WBCIC,2,E2,b0s1,0.2279849752208003
WBCIC,2,E2,b0s2,0.18604618648073049
WBCIC,2,E2,b1s0,0.07763181298006804
WBCIC,2,E2,b1s1,0.049236532370457664
WBCIC,2,E2,b1s2,0.04228186891850696
WBCIC,3,E0,b0s0,0.050452242175424156
WBCIC,3,E0,b0s1,0.0802035129005133
WBCIC,3,E0,b0s2,0.044166190817247854
WBCIC,3,E0,b1s0,0.0026282042680063505
WBCIC,3,E0,b1s1,0.04413780111603937
WBCIC,3,E0,b1s2,1.0456951017895436e-18
WBCIC,3,E1,b0s0,0.03397346158251263
WBCIC,3,E1,b0s1,0.06377964456319647
WBCIC,3,E1,b0s2,0.030368772441473582
WBCIC,3,E1,b1s0,0.05554864641656772
WBCIC,3,E1,b1s1,0.05287490315967345
WBCIC,3,E1,b1s2,0.0
WBCIC,3,E2,b0s0,0.08354504519534638
WBCIC,3,E2,b0s1,0.11802995477689636
WBCIC,3,E2,b0s2,0.11544118822842428
WBCIC,3,E2,b1s0,0.07309521208043007
WBCIC,3,E2,b1s1,0.10573490539230185
WBCIC,3,E2,b1s2,0.046020314885946226
WBCIC,4,E0,b0s0,1.1866733949430467e-18
WBCIC,4,E0,b0s1,0.05051752484766718
WBCIC,4,E0,b0s2,0.04787058177698466
WBCIC,4,E0,b1s0,0.0
WBCIC,4,E0,b1s1,0.09790563043944037
WBCIC,4,E0,b1s2,0.014150196048957852
WBCIC,4,E1,b0s0,0.03149259776778639
WBCIC,4,E1,b0s1,0.04247662358445812
WBCIC,4,E1,b0s2,0.04448677707780066
WBCIC,4,E1,b1s0,0.07077778668851187
WBCIC,4,E1,b1s1,0.032689815787137165
WBCIC,4,E1,b1s2,7.336934215360295e-19
WBCIC,4,E2,b0s0,0.07293432453299645
WBCIC,4,E2,b0s1,0.1371617683331578
WBCIC,4,E2,b0s2,0.13565754878199304
WBCIC,4,E2,b1s0,0.039614162882371864
WBCIC,4,E2,b1s1,0.11253817286867725
WBCIC,4,E2,b1s2,0.06972648858205929
