subject_id,session,BA,macro_F1,trials,task,fold,seed,condition,checkpoint_sha256,arm,checkpoint,normalizer_sha256,protected_rank
54,S2,0.68,0.6753246753246753,100,OpenBMI_MI,0,1,CE_REFERENCE,8a336959c1bda33a4667deaa19e2dd78a1ce82ba71c31faea81cc810a4d82c5a,CE_REFERENCE,,,
4,S1,0.72,0.7181964573268921,100,OpenBMI_MI,0,2,CE_REFERENCE,457b1ca36a53792c184c115e30c4d53fbac7cf3441e6f7bccde9162b1f72510e,CE_REFERENCE,,,
4,S2,0.7,0.6847414880201765,100,OpenBMI_MI,0,2,CE_REFERENCE,457b1ca36a53792c184c115e30c4d53fbac7cf3441e6f7bccde9162b1f72510e,CE_REFERENCE,,,
12,S1,0.78,0.779205138498595,100,OpenBMI_MI,0,2,CE_REFERENCE,457b1ca36a53792c184c115e30c4d53fbac7cf3441e6f7bccde9162b1f72510e,CE_REFERENCE,,,
12,S2,0.6799999999999999,0.677938808373591,100,OpenBMI_MI,0,2,CE_REFERENCE,457b1ca36a53792c184c115e30c4d53fbac7cf3441e6f7bccde9162b1f72510e,CE_REFERENCE,,,
13,S1,0.7,0.6940024479804161,100,OpenBMI_MI,0,2,CE_REFERENCE,457b1ca36a53792c184c115e30c4d53fbac7cf3441e6f7bccde9162b1f72510e,CE_REFERENCE,,,
13,S2,0.62,0.6175523349436394,100,OpenBMI_MI,0,2,CE_REFERENCE,457b1ca36a53792c184c115e30c4d53fbac7cf3441e6f7bccde9162b1f72510e,CE_REFERENCE,,,
17,S1,0.64,0.625,100,OpenBMI_MI,0,2,CE_REFERENCE,457b1ca36a53792c184c115e30c4d53fbac7cf3441e6f7bccde9162b1f72510e,CE_REFERENCE,,,
17,S2,0.56,0.5592948717948718,100,OpenBMI_MI,0,2,CE_REFERENCE,457b1ca36a53792c184c115e30c4d53fbac7cf3441e6f7bccde9162b1f72510e,CE_REFERENCE,,,
18,S1,0.72,0.719551282051282,100,OpenBMI_MI,0,2,CE_REFERENCE,457b1ca36a53792c184c115e30c4d53fbac7cf3441e6f7bccde9162b1f72510e,CE_REFERENCE,,,
18,S2,0.58,0.5738636363636364,100,OpenBMI_MI,0,2,CE_REFERENCE,457b1ca36a53792c184c115e30c4d53fbac7cf3441e6f7bccde9162b1f72510e,CE_REFERENCE,,,
24,S1,0.6000000000000001,0.5993589743589745,100,OpenBMI_MI,0,2,CE_REFERENCE,457b1ca36a53792c184c115e30c4d53fbac7cf3441e6f7bccde9162b1f72510e,CE_REFERENCE,,,
24,S2,0.5700000000000001,0.5538956323270048,100,OpenBMI_MI,0,2,CE_REFERENCE,457b1ca36a53792c184c115e30c4d53fbac7cf3441e6f7bccde9162b1f72510e,CE_REFERENCE,,,
25,S1,0.79,0.7882851093860268,100,OpenBMI_MI,0,2,CE_REFERENCE,457b1ca36a53792c184c115e30c4d53fbac7cf3441e6f7bccde9162b1f72510e,CE_REFERENCE,,,
25,S2,0.96,0.959983993597439,100,OpenBMI_MI,0,2,CE_REFERENCE,457b1ca36a53792c184c115e30c4d53fbac7cf3441e6f7bccde9162b1f72510e,CE_REFERENCE,,,
29,S1,0.69,0.6897207486738064,100,OpenBMI_MI,0,2,CE_REFERENCE,457b1ca36a53792c184c115e30c4d53fbac7cf3441e6f7bccde9162b1f72510e,CE_REFERENCE,,,
29,S2,0.8400000000000001,0.839421918908069,100,OpenBMI_MI,0,2,CE_REFERENCE,457b1ca36a53792c184c115e30c4d53fbac7cf3441e6f7bccde9162b1f72510e,CE_REFERENCE,,,
36,S1,0.89,0.8899009108197378,100,OpenBMI_MI,0,2,CE_REFERENCE,457b1ca36a53792c184c115e30c4d53fbac7cf3441e6f7bccde9162b1f72510e,CE_REFERENCE,,,
36,S2,0.89,0.8899009108197378,100,OpenBMI_MI,0,2,CE_REFERENCE,457b1ca36a53792c184c115e30c4d53fbac7cf3441e6f7bccde9162b1f72510e,CE_REFERENCE,,,
37,S1,0.6699999999999999,0.6691729323308271,100,OpenBMI_MI,0,2,CE_REFERENCE,457b1ca36a53792c184c115e30c4d53fbac7cf3441e6f7bccde9162b1f72510e,CE_REFERENCE,,,
37,S2,0.6,0.5604395604395604,100,OpenBMI_MI,0,2,CE_REFERENCE,457b1ca36a53792c184c115e30c4d53fbac7cf3441e6f7bccde9162b1f72510e,CE_REFERENCE,,,
39,S1,0.8400000000000001,0.8397435897435898,100,OpenBMI_MI,0,2,CE_REFERENCE,457b1ca36a53792c184c115e30c4d53fbac7cf3441e6f7bccde9162b1f72510e,CE_REFERENCE,,,
39,S2,0.69,0.6862030569895738,100,OpenBMI_MI,0,2,CE_REFERENCE,457b1ca36a53792c184c115e30c4d53fbac7cf3441e6f7bccde9162b1f72510e,CE_REFERENCE,,,
42,S1,0.6499999999999999,0.6491228070175439,100,OpenBMI_MI,0,2,CE_REFERENCE,457b1ca36a53792c184c115e30c4d53fbac7cf3441e6f7bccde9162b1f72510e,CE_REFERENCE,,,
42,S2,0.6799999999999999,0.6798719487795117,100,OpenBMI_MI,0,2,CE_REFERENCE,457b1ca36a53792c184c115e30c4d53fbac7cf3441e6f7bccde9162b1f72510e,CE_REFERENCE,,,
51,S1,0.7,0.696969696969697,100,OpenBMI_MI,0,2,CE_REFERENCE,457b1ca36a53792c184c115e30c4d53fbac7cf3441e6f7bccde9162b1f72510e,CE_REFERENCE,,,
51,S2,0.62,0.6175523349436394,100,OpenBMI_MI,0,2,CE_REFERENCE,457b1ca36a53792c184c115e30c4d53fbac7cf3441e6f7bccde9162b1f72510e,CE_REFERENCE,,,
54,S1,0.56,0.5592948717948718,100,OpenBMI_MI,0,2,CE_REFERENCE,457b1ca36a53792c184c115e30c4d53fbac7cf3441e6f7bccde9162b1f72510e,CE_REFERENCE,,,
54,S2,0.66,0.6598639455782312,100,OpenBMI_MI,0,2,CE_REFERENCE,457b1ca36a53792c184c115e30c4d53fbac7cf3441e6f7bccde9162b1f72510e,CE_REFERENCE,,,
4,S1,0.69,0.6884735202492211,100,OpenBMI_MI,1,0,CE_REFERENCE,c1c144ad63e4bcd0a5c916c589acba150c62e6b45f3a657f4156cde086dac8fa,CE_REFERENCE,,,
4,S2,0.78,0.7742200328407225,100,OpenBMI_MI,1,0,CE_REFERENCE,c1c144ad63e4bcd0a5c916c589acba150c62e6b45f3a657f4156cde086dac8fa,CE_REFERENCE,,,
12,S1,0.8200000000000001,0.8193496587715776,100,OpenBMI_MI,1,0,CE_REFERENCE,c1c144ad63e4bcd0a5c916c589acba150c62e6b45f3a657f4156cde086dac8fa,CE_REFERENCE,,,
12,S2,0.71,0.7085720028137876,100,OpenBMI_MI,1,0,CE_REFERENCE,c1c144ad63e4bcd0a5c916c589acba150c62e6b45f3a657f4156cde086dac8fa,CE_REFERENCE,,,
13,S1,0.7,0.6956168831168831,100,OpenBMI_MI,1,0,CE_REFERENCE,c1c144ad63e4bcd0a5c916c589acba150c62e6b45f3a657f4156cde086dac8fa,CE_REFERENCE,,,
13,S2,0.6399999999999999,0.6386993175431553,100,OpenBMI_MI,1,0,CE_REFERENCE,c1c144ad63e4bcd0a5c916c589acba150c62e6b45f3a657f4156cde086dac8fa,CE_REFERENCE,,,
17,S1,0.69,0.6874684948079444,100,OpenBMI_MI,1,0,CE_REFERENCE,c1c144ad63e4bcd0a5c916c589acba150c62e6b45f3a657f4156cde086dac8fa,CE_REFERENCE,,,
17,S2,0.63,0.628178072555522,100,OpenBMI_MI,1,0,CE_REFERENCE,c1c144ad63e4bcd0a5c916c589acba150c62e6b45f3a657f4156cde086dac8fa,CE_REFERENCE,,,
18,S1,0.6799999999999999,0.6788438378161381,100,OpenBMI_MI,1,0,CE_REFERENCE,c1c144ad63e4bcd0a5c916c589acba150c62e6b45f3a657f4156cde086dac8fa,CE_REFERENCE,,,
18,S2,0.62,0.6198479391756703,100,OpenBMI_MI,1,0,CE_REFERENCE,c1c144ad63e4bcd0a5c916c589acba150c62e6b45f3a657f4156cde086dac8fa,CE_REFERENCE,,,
24,S1,0.72,0.7171717171717171,100,OpenBMI_MI,1,0,CE_REFERENCE,c1c144ad63e4bcd0a5c916c589acba150c62e6b45f3a657f4156cde086dac8fa,CE_REFERENCE,,,
24,S2,0.55,0.52,100,OpenBMI_MI,1,0,CE_REFERENCE,c1c144ad63e4bcd0a5c916c589acba150c62e6b45f3a657f4156cde086dac8fa,CE_REFERENCE,,,
25,S1,0.79,0.7821350762527233,100,OpenBMI_MI,1,0,CE_REFERENCE,c1c144ad63e4bcd0a5c916c589acba150c62e6b45f3a657f4156cde086dac8fa,CE_REFERENCE,,,
25,S2,0.99,0.98999899989999,100,OpenBMI_MI,1,0,CE_REFERENCE,c1c144ad63e4bcd0a5c916c589acba150c62e6b45f3a657f4156cde086dac8fa,CE_REFERENCE,,,
29,S1,0.72,0.72,100,OpenBMI_MI,1,0,CE_REFERENCE,c1c144ad63e4bcd0a5c916c589acba150c62e6b45f3a657f4156cde086dac8fa,CE_REFERENCE,,,
29,S2,0.6799999999999999,0.6736026111791106,100,OpenBMI_MI,1,0,CE_REFERENCE,c1c144ad63e4bcd0a5c916c589acba150c62e6b45f3a657f4156cde086dac8fa,CE_REFERENCE,,,
36,S1,0.91,0.90999099909991,100,OpenBMI_MI,1,0,CE_REFERENCE,c1c144ad63e4bcd0a5c916c589acba150c62e6b45f3a657f4156cde086dac8fa,CE_REFERENCE,,,
36,S2,0.94,0.9399759903961584,100,OpenBMI_MI,1,0,CE_REFERENCE,c1c144ad63e4bcd0a5c916c589acba150c62e6b45f3a657f4156cde086dac8fa,CE_REFERENCE,,,
