subject_id,session,BA,macro_F1,trials,task,fold,seed,condition,arm,checkpoint,checkpoint_sha256,normalizer_sha256,protected_rank
12,S2,0.73,0.7266929851199515,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R1,RANDOM_PRESERVE_R1,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R1/final.pt,73eafd50cd6fe3b648eb2e2fcecf52274bcaac9302f8d2f1f30b032e5b1efad9,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
13,S1,0.73,0.7277951406391774,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R1,RANDOM_PRESERVE_R1,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R1/final.pt,73eafd50cd6fe3b648eb2e2fcecf52274bcaac9302f8d2f1f30b032e5b1efad9,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
13,S2,0.66,0.6598639455782312,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R1,RANDOM_PRESERVE_R1,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R1/final.pt,73eafd50cd6fe3b648eb2e2fcecf52274bcaac9302f8d2f1f30b032e5b1efad9,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
17,S1,0.72,0.7189883580891208,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R1,RANDOM_PRESERVE_R1,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R1/final.pt,73eafd50cd6fe3b648eb2e2fcecf52274bcaac9302f8d2f1f30b032e5b1efad9,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
17,S2,0.61,0.60996099609961,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R1,RANDOM_PRESERVE_R1,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R1/final.pt,73eafd50cd6fe3b648eb2e2fcecf52274bcaac9302f8d2f1f30b032e5b1efad9,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
18,S1,0.5900000000000001,0.5879811074263892,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R1,RANDOM_PRESERVE_R1,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R1/final.pt,73eafd50cd6fe3b648eb2e2fcecf52274bcaac9302f8d2f1f30b032e5b1efad9,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
18,S2,0.62,0.6124031007751938,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R1,RANDOM_PRESERVE_R1,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R1/final.pt,73eafd50cd6fe3b648eb2e2fcecf52274bcaac9302f8d2f1f30b032e5b1efad9,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
24,S1,0.62,0.6198479391756703,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R1,RANDOM_PRESERVE_R1,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R1/final.pt,73eafd50cd6fe3b648eb2e2fcecf52274bcaac9302f8d2f1f30b032e5b1efad9,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
24,S2,0.55,0.508679986898133,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R1,RANDOM_PRESERVE_R1,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R1/final.pt,73eafd50cd6fe3b648eb2e2fcecf52274bcaac9302f8d2f1f30b032e5b1efad9,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
25,S1,0.75,0.7442455242966752,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R1,RANDOM_PRESERVE_R1,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R1/final.pt,73eafd50cd6fe3b648eb2e2fcecf52274bcaac9302f8d2f1f30b032e5b1efad9,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
25,S2,0.95,0.9499549594635172,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R1,RANDOM_PRESERVE_R1,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R1/final.pt,73eafd50cd6fe3b648eb2e2fcecf52274bcaac9302f8d2f1f30b032e5b1efad9,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
29,S1,0.65,0.6338529134846741,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R1,RANDOM_PRESERVE_R1,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R1/final.pt,73eafd50cd6fe3b648eb2e2fcecf52274bcaac9302f8d2f1f30b032e5b1efad9,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
29,S2,0.81,0.8076728413807066,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R1,RANDOM_PRESERVE_R1,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R1/final.pt,73eafd50cd6fe3b648eb2e2fcecf52274bcaac9302f8d2f1f30b032e5b1efad9,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
36,S1,0.9199999999999999,0.9199679871948779,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R1,RANDOM_PRESERVE_R1,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R1/final.pt,73eafd50cd6fe3b648eb2e2fcecf52274bcaac9302f8d2f1f30b032e5b1efad9,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
36,S2,0.83,0.8279178054458953,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R1,RANDOM_PRESERVE_R1,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R1/final.pt,73eafd50cd6fe3b648eb2e2fcecf52274bcaac9302f8d2f1f30b032e5b1efad9,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
37,S1,0.6499999999999999,0.6482765551200884,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R1,RANDOM_PRESERVE_R1,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R1/final.pt,73eafd50cd6fe3b648eb2e2fcecf52274bcaac9302f8d2f1f30b032e5b1efad9,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
37,S2,0.66,0.6392190152801358,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R1,RANDOM_PRESERVE_R1,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R1/final.pt,73eafd50cd6fe3b648eb2e2fcecf52274bcaac9302f8d2f1f30b032e5b1efad9,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
39,S1,0.77,0.767182913250329,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R1,RANDOM_PRESERVE_R1,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R1/final.pt,73eafd50cd6fe3b648eb2e2fcecf52274bcaac9302f8d2f1f30b032e5b1efad9,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
