task,fold,stage,status,projector_rank,projector_hash,reconstruction_error
OpenBMI_SSVEP,2,refit,COMPLETE,4,a7ad456eda972d76bb58c0fc437aa45443cba1d418c45b472d4fe207a9b1e2a7,0.0
OpenBMI_SSVEP,3,discovery,COMPLETE,8,99c32e69476aecd0c240b857f2513f3ecfdaee932c33fa8f9c3fd875dbcb091e,0.0
OpenBMI_SSVEP,3,refit,COMPLETE,8,61c8b886d4dde0a0857b57ceceed57c99c422c6853fa361418e9bbc2f32287ce,0.0
OpenBMI_SSVEP,4,discovery,COMPLETE,8,917e4fdf49ca736b0dac9b3b8727aaa267696d9f5854d764969e11a4a3aacd7b,0.0
OpenBMI_SSVEP,4,refit,COMPLETE,4,eb311dab86b5ba7a9d493e3162808df21bb622a2a6630c4603663b3432607908,0.0
WBCIC_MI,0,discovery,COMPLETE,2,8192b990472887adaab8214713f3a4868953dd777bd8160c7d3d98dd3279037a,0.0
WBCIC_MI,0,refit,COMPLETE,2,1a950c4b0ae1a3f5487d1c411ef76b187aef3f90b24415ddb6a97b91ba3bfa3a,0.0
WBCIC_MI,1,discovery,COMPLETE,2,204bddaf5061e2b5a3686f8c5c9f30ac9e88f86fcfd01c7c16d10fb3acacbe01,0.0
WBCIC_MI,1,refit,COMPLETE,2,b63dd48c8ad777eeed5766acac5181978ffb492f61ec70f5eef98dc259c1242d,0.0
WBCIC_MI,2,discovery,COMPLETE,3,a381f48b7e99837723db8afc2e10d24db37c7f3d82decb8c05a9fa6eaf58f915,0.0
WBCIC_MI,2,refit,COMPLETE,2,a672779fd7ca15ff1e445b05294ba91990274d2be71174ef9131bf01890da57e,0.0
WBCIC_MI,3,discovery,COMPLETE,2,c8e00a797e062e29b35c0484a6f83bc38ffb805504930c128a17d5a3485a4264,0.0
WBCIC_MI,3,refit,COMPLETE,1,14ba0c28166e43130155b5f2162fca9abaeace806c5dda45bcf72f47fae26be9,0.0
WBCIC_MI,4,discovery,COMPLETE,1,3f8759b3bcd45f8483fcf7a73e8a52ebfdd83ee02304e89b12acb6f30befbf16,0.0
WBCIC_MI,4,refit,COMPLETE,1,ee8eba4de2d2bf0ac561bcc4fd0f8f33c8de817aa9f1a1de0bc03661dd71a0df,0.0
