task,subject,session,variant,BA,macro_F1,NLL
OpenBMI_SSVEP,24,S1,BASELINE,0.99,0.9899959983993598,0.033227354288101196
OpenBMI_SSVEP,24,S1,PROTECTED_PC_REFINE,0.99,0.9899959983993598,0.032431427389383316
OpenBMI_SSVEP,25,S1,BASELINE,1.0,1.0,0.008031407371163368
OpenBMI_SSVEP,25,S1,PROTECTED_PC_REFINE,1.0,1.0,0.0077615054324269295
OpenBMI_SSVEP,29,S1,BASELINE,0.98,0.979779411764706,0.07704911381006241
OpenBMI_SSVEP,29,S1,PROTECTED_PC_REFINE,0.98,0.979779411764706,0.07720717787742615
OpenBMI_SSVEP,36,S1,BASELINE,1.0,1.0,0.007687015924602747
OpenBMI_SSVEP,36,S1,PROTECTED_PC_REFINE,1.0,1.0,0.008216322399675846
OpenBMI_SSVEP,37,S1,BASELINE,0.98,0.9799959983993597,0.06680039316415787
OpenBMI_SSVEP,37,S1,PROTECTED_PC_REFINE,0.98,0.9799959983993597,0.06785871088504791
OpenBMI_SSVEP,39,S1,BASELINE,1.0,1.0,0.0028411659877747297
OpenBMI_SSVEP,39,S1,PROTECTED_PC_REFINE,1.0,1.0,0.0027585462667047977
OpenBMI_SSVEP,42,S1,BASELINE,0.99,0.9899959983993597,0.013485947623848915
OpenBMI_SSVEP,42,S1,PROTECTED_PC_REFINE,0.99,0.9899959983993597,0.013575701974332333
OpenBMI_SSVEP,51,S1,BASELINE,0.67,0.6703497027709922,1.1081466674804688
OpenBMI_SSVEP,51,S1,PROTECTED_PC_REFINE,0.67,0.6703497027709922,1.1157774925231934
OpenBMI_SSVEP,54,S1,BASELINE,0.77,0.7627551020408163,0.7375133037567139
OpenBMI_SSVEP,54,S1,PROTECTED_PC_REFINE,0.77,0.7634048421447748,0.7422240376472473
OpenBMI_SSVEP,4,S2,BASELINE,1.0,1.0,0.00040029617957770824
OpenBMI_SSVEP,4,S2,PROTECTED_PC_REFINE,1.0,1.0,0.0003952566476073116
OpenBMI_SSVEP,12,S2,BASELINE,0.97,0.9695252077917911,0.1845085322856903
OpenBMI_SSVEP,12,S2,PROTECTED_PC_REFINE,0.97,0.9695252077917911,0.1847556084394455
OpenBMI_SSVEP,13,S2,BASELINE,0.92,0.9151363342539813,0.2979394793510437
OpenBMI_SSVEP,13,S2,PROTECTED_PC_REFINE,0.92,0.9151363342539813,0.29952093958854675
OpenBMI_SSVEP,17,S2,BASELINE,0.98,0.9799919967987194,0.05841243639588356
OpenBMI_SSVEP,17,S2,PROTECTED_PC_REFINE,0.98,0.9799919967987194,0.05679161101579666
OpenBMI_SSVEP,18,S2,BASELINE,1.0,1.0,0.000546265859156847
OpenBMI_SSVEP,18,S2,PROTECTED_PC_REFINE,1.0,1.0,0.0005410864832811058
OpenBMI_SSVEP,24,S2,BASELINE,0.96,0.9597919167667066,0.19357886910438538
OpenBMI_SSVEP,24,S2,PROTECTED_PC_REFINE,0.96,0.9597919167667066,0.19403678178787231
OpenBMI_SSVEP,25,S2,BASELINE,0.96,0.959891609795263,0.10934935510158539
OpenBMI_SSVEP,25,S2,PROTECTED_PC_REFINE,0.96,0.959891609795263,0.10886695981025696
OpenBMI_SSVEP,29,S2,BASELINE,0.9299999999999999,0.9297423510466989,0.22806502878665924
OpenBMI_SSVEP,29,S2,PROTECTED_PC_REFINE,0.9299999999999999,0.9297423510466989,0.22835297882556915
OpenBMI_SSVEP,36,S2,BASELINE,1.0,1.0,0.0041019488126039505
OpenBMI_SSVEP,36,S2,PROTECTED_PC_REFINE,1.0,1.0,0.0040650637820363045
OpenBMI_SSVEP,37,S2,BASELINE,0.99,0.9899959983993598,0.007947545498609543
OpenBMI_SSVEP,37,S2,PROTECTED_PC_REFINE,0.99,0.9899959983993598,0.007891149260103703
OpenBMI_SSVEP,39,S2,BASELINE,1.0,1.0,0.016785375773906708
OpenBMI_SSVEP,39,S2,PROTECTED_PC_REFINE,1.0,1.0,0.01602979376912117
OpenBMI_SSVEP,42,S2,BASELINE,0.5700000000000001,0.5661030595813205,1.6370106935501099
OpenBMI_SSVEP,42,S2,PROTECTED_PC_REFINE,0.5800000000000001,0.576971056884508,1.634178876876831
OpenBMI_SSVEP,51,S2,BASELINE,0.82,0.817889697685094,0.6137868762016296
OpenBMI_SSVEP,51,S2,PROTECTED_PC_REFINE,0.82,0.817889697685094,0.6143649816513062
OpenBMI_SSVEP,54,S2,BASELINE,0.78,0.7773711183623874,0.907164990901947
OpenBMI_SSVEP,54,S2,PROTECTED_PC_REFINE,0.79,0.7886932420314666,0.9059799909591675
WBCIC_MI,sub-4,S0,BASELINE,0.53,0.4685662596110357,0.6872979998588562
WBCIC_MI,sub-4,S0,PROTECTED_PC_REFINE,0.525,0.513307205614898,0.6967228651046753
WBCIC_MI,sub-8,S0,BASELINE,0.87,0.8681006493506493,0.5597420334815979
WBCIC_MI,sub-8,S0,PROTECTED_PC_REFINE,0.915,0.9148275257396228,0.47544538974761963
WBCIC_MI,sub-10,S0,BASELINE,0.68,0.6744990336690062,0.6438542008399963
WBCIC_MI,sub-10,S0,PROTECTED_PC_REFINE,0.66,0.6598639455782312,0.6168334484100342
WBCIC_MI,sub-15,S0,BASELINE,0.78,0.7767857142857143,0.6017639636993408
WBCIC_MI,sub-15,S0,PROTECTED_PC_REFINE,0.8300000000000001,0.8299319727891157,0.5332487225532532
WBCIC_MI,sub-20,S0,BASELINE,0.925,0.9247724366207779,0.5050073266029358
WBCIC_MI,sub-20,S0,PROTECTED_PC_REFINE,0.955,0.9549898727213624,0.3709900975227356
WBCIC_MI,sub-39,S0,BASELINE,0.5,0.41030781931831584,0.695444643497467
WBCIC_MI,sub-39,S0,PROTECTED_PC_REFINE,0.5449999999999999,0.5288757733426523,0.6879959106445312
WBCIC_MI,sub-40,S0,BASELINE,0.7949999999999999,0.7885235332043843,0.5934634208679199
WBCIC_MI,sub-40,S0,PROTECTED_PC_REFINE,0.845,0.8443423464135975,0.5337112545967102
WBCIC_MI,sub-43,S0,BASELINE,0.98,0.9799979997999799,0.4824281930923462
WBCIC_MI,sub-43,S0,PROTECTED_PC_REFINE,0.99,0.99,0.3295205235481262
WBCIC_MI,sub-46,S0,BASELINE,0.99,0.9899989998999901,0.48917606472969055
WBCIC_MI,sub-46,S0,PROTECTED_PC_REFINE,0.995,0.9949998749968749,0.34443894028663635
WBCIC_MI,sub-51,S0,BASELINE,0.73,0.7162673392181589,0.6048259139060974
WBCIC_MI,sub-51,S0,PROTECTED_PC_REFINE,0.7749999999999999,0.7733625443831684,0.5428911447525024
WBCIC_MI,sub-4,S1,BASELINE,0.55,0.52,0.6763512492179871
WBCIC_MI,sub-4,S1,PROTECTED_PC_REFINE,0.585,0.5847404627892432,0.6728584170341492
WBCIC_MI,sub-8,S1,BASELINE,0.9299999999999999,0.9298245614035088,0.5314595103263855
WBCIC_MI,sub-8,S1,PROTECTED_PC_REFINE,0.92,0.92,0.424382746219635
WBCIC_MI,sub-10,S1,BASELINE,0.7050000000000001,0.7044014128610436,0.6232327818870544
WBCIC_MI,sub-10,S1,PROTECTED_PC_REFINE,0.7150000000000001,0.7129258895520133,0.5745048522949219
WBCIC_MI,sub-15,S1,BASELINE,0.73,0.7253585596582239,0.6412602066993713
WBCIC_MI,sub-15,S1,PROTECTED_PC_REFINE,0.755,0.7548467792370231,0.5947167873382568
WBCIC_MI,sub-20,S1,BASELINE,0.78,0.7698504027617952,0.607870876789093
WBCIC_MI,sub-20,S1,PROTECTED_PC_REFINE,0.895,0.8945544927317919,0.5277078151702881
WBCIC_MI,sub-39,S1,BASELINE,0.72,0.7057587221521648,0.6150805950164795
WBCIC_MI,sub-39,S1,PROTECTED_PC_REFINE,0.78,0.7785829307568438,0.5647486448287964
WBCIC_MI,sub-40,S1,BASELINE,0.7,0.6744791666666667,0.6358089447021484
WBCIC_MI,sub-40,S1,PROTECTED_PC_REFINE,0.75,0.7450020399836801,0.5992313623428345
WBCIC_MI,sub-43,S1,BASELINE,0.99,0.9899989998999901,0.4860192537307739
WBCIC_MI,sub-43,S1,PROTECTED_PC_REFINE,0.99,0.99,0.3385851979255676
WBCIC_MI,sub-46,S1,BASELINE,0.9550000000000001,0.9549086900974473,0.5010313391685486
WBCIC_MI,sub-46,S1,PROTECTED_PC_REFINE,0.98,0.9799919967987194,0.36859166622161865
WBCIC_MI,sub-51,S1,BASELINE,0.755,0.7442521986481901,0.5660015344619751
WBCIC_MI,sub-51,S1,PROTECTED_PC_REFINE,0.815,0.8133151694038698,0.4772588312625885
WBCIC_MI,sub-4,S2,BASELINE,0.6799999999999999,0.6652369494717021,0.6291349530220032
WBCIC_MI,sub-4,S2,PROTECTED_PC_REFINE,0.6799999999999999,0.677386833350136,0.5844463109970093
WBCIC_MI,sub-8,S2,BASELINE,0.9099999999999999,0.9095568284594513,0.5394784808158875
WBCIC_MI,sub-8,S2,PROTECTED_PC_REFINE,0.915,0.9149978749468737,0.44042861461639404
WBCIC_MI,sub-10,S2,BASELINE,0.8300000000000001,0.8293857888398234,0.5668361186981201
WBCIC_MI,sub-10,S2,PROTECTED_PC_REFINE,0.825,0.8244690187818149,0.48007676005363464
WBCIC_MI,sub-15,S2,BASELINE,0.715,0.6968004468203941,0.6340599656105042
WBCIC_MI,sub-15,S2,PROTECTED_PC_REFINE,0.77,0.769792813532179,0.5801088213920593
WBCIC_MI,sub-20,S2,BASELINE,0.47,0.3805516596540439,0.7051152586936951
WBCIC_MI,sub-20,S2,PROTECTED_PC_REFINE,0.47,0.4635084522724972,0.7136334180831909
WBCIC_MI,sub-39,S2,BASELINE,0.82,0.816905706438816,0.5974829196929932
WBCIC_MI,sub-39,S2,PROTECTED_PC_REFINE,0.845,0.8449961249031226,0.5341033935546875
WBCIC_MI,sub-40,S2,BASELINE,0.815,0.8110268392962026,0.5866718888282776
WBCIC_MI,sub-40,S2,PROTECTED_PC_REFINE,0.875,0.8749218261413383,0.5222599506378174
WBCIC_MI,sub-43,S2,BASELINE,0.9650000000000001,0.9649570724137068,0.5038661360740662
WBCIC_MI,sub-43,S2,PROTECTED_PC_REFINE,0.98,0.9799919967987194,0.3722097873687744
WBCIC_MI,sub-46,S2,BASELINE,0.9550000000000001,0.9549086900974473,0.5161390900611877
WBCIC_MI,sub-46,S2,PROTECTED_PC_REFINE,0.965,0.9649781113195748,0.4034777879714966
WBCIC_MI,sub-51,S2,BASELINE,0.745,0.7314022383146808,0.5683696866035461
WBCIC_MI,sub-51,S2,PROTECTED_PC_REFINE,0.79,0.7898108297467721,0.47567543387413025
