dataset,fold,model,subject,session_persistence,p12,p23,p_early_s3
WBCIC,1,Compact-TG,sub-34,,-0.45925742387771606,-0.03187564015388489,0.47321951389312744
WBCIC,1,Compact-TG,sub-24,,0.993462324142456,0.9957106709480286,0.9970642924308777
WBCIC,1,Compact-TG,sub-13,,0.6286501884460449,0.6229285597801208,0.8943500518798828
WBCIC,2,Compact-ERM,sub-11,,0.9701180458068848,0.8802974224090576,0.8739484548568726
WBCIC,2,Compact-ERM,sub-29,,0.6984790563583374,0.9714701175689697,0.9022841453552246
WBCIC,2,Compact-ERM,sub-26,,0.9597014784812927,0.9202972054481506,0.9217583537101746
WBCIC,2,Compact-ERM,sub-47,,0.9786552786827087,0.9516768455505371,0.9628182649612427
WBCIC,2,Compact-ERM,sub-36,,0.9889382123947144,0.9964739084243774,0.9959511160850525
WBCIC,2,Compact-ERM,sub-16,,0.4712282717227936,0.7784242033958435,0.7556333541870117
WBCIC,2,Compact-ERM,sub-48,,0.9755862355232239,0.985486626625061,0.9868033528327942
WBCIC,2,Compact-ERM,sub-41,,0.982487142086029,0.9792587161064148,0.9879387617111206
WBCIC,2,Compact-ERM,sub-5,,0.9739954471588135,0.9515761733055115,0.9635700583457947
WBCIC,2,Compact-ERM,sub-27,,0.44899463653564453,0.6233609318733215,0.620995283126831
WBCIC,2,Compact-TG,sub-11,,0.9858869910240173,0.8897387385368347,0.8893019556999207
WBCIC,2,Compact-TG,sub-29,,0.8362170457839966,0.9876788854598999,0.9488375782966614
WBCIC,2,Compact-TG,sub-26,,0.9740757942199707,0.9332457780838013,0.9290198683738708
WBCIC,2,Compact-TG,sub-47,,0.9853492975234985,0.976783037185669,0.9845129251480103
WBCIC,2,Compact-TG,sub-36,,0.9961544275283813,0.9981018900871277,0.9981976747512817
WBCIC,2,Compact-TG,sub-16,,0.42851483821868896,0.6543885469436646,0.6581520438194275
WBCIC,2,Compact-TG,sub-48,,0.9881827235221863,0.9910420179367065,0.9904729723930359
WBCIC,2,Compact-TG,sub-41,,0.9948638677597046,0.9888164401054382,0.9904460310935974
WBCIC,2,Compact-TG,sub-5,,0.9885555505752563,0.9820411205291748,0.9842555522918701
WBCIC,2,Compact-TG,sub-27,,-0.27111920714378357,0.668077826499939,0.1888532191514969
