dataset,fold,model,subject,session,class,abs_alignment,centered_alignment
OpenBMI,1,Compact-ERM,1,2,1,0.6504138186573982,0.8700912793477377
OpenBMI,1,Compact-ERM,30,1,0,0.6654771889249483,0.8537716021140417
OpenBMI,1,Compact-ERM,30,1,1,0.7087712610761324,0.8537715872128805
OpenBMI,1,Compact-ERM,30,2,0,0.6842964539925257,0.8453607012828191
OpenBMI,1,Compact-ERM,30,2,1,0.753506193558375,0.8453607708215714
OpenBMI,1,Compact-ERM,48,1,0,0.733639103670915,0.8387847989797592
OpenBMI,1,Compact-ERM,48,1,1,0.6913111805915833,0.8387848337491354
OpenBMI,1,Compact-ERM,48,2,0,0.7329305609067281,0.8464386065800985
OpenBMI,1,Compact-ERM,48,2,1,0.680800678829352,0.8464386264483134
OpenBMI,1,Compact-ERM,11,1,0,0.6677380606803732,0.8369371940692266
OpenBMI,1,Compact-ERM,11,1,1,0.6543632882336775,0.836937204003334
OpenBMI,1,Compact-ERM,11,2,0,0.7243846207857132,0.8504126916329066
OpenBMI,1,Compact-ERM,11,2,1,0.7071099927028021,0.8504127115011215
OpenBMI,1,Compact-ERM,8,1,0,0.2961847238475457,0.8711594144503275
OpenBMI,1,Compact-ERM,8,1,1,0.519799305126071,0.8711594194173813
OpenBMI,1,Compact-ERM,8,2,0,0.5134137347340584,0.8899396806955338
OpenBMI,1,Compact-ERM,8,2,1,0.5811120619376501,0.8899397104978561
OpenBMI,1,Compact-ERM,45,1,0,0.6415905986214057,0.8173178484042486
OpenBMI,1,Compact-ERM,45,1,1,0.6791982154051462,0.8173178434371948
OpenBMI,1,Compact-ERM,45,2,0,0.6870521580179533,0.8772238592306772
OpenBMI,1,Compact-ERM,45,2,1,0.7173459157347679,0.8772239536046982
OpenBMI,1,Compact-ERM,34,1,0,0.23843561095418409,0.5837387169400851
OpenBMI,1,Compact-ERM,34,1,1,0.0735462730905662,0.583738644917806
OpenBMI,1,Compact-ERM,34,2,0,0.5274088978767395,0.815466433763504
OpenBMI,1,Compact-ERM,34,2,1,0.6217419976989428,0.815466453631719
OpenBMI,1,Compact-ERM,27,1,0,0.6318767997436225,0.8206714540719986
OpenBMI,1,Compact-ERM,27,1,1,0.6563753833373388,0.8206714391708374
OpenBMI,1,Compact-ERM,27,2,0,0.672652080655098,0.8381997545560201
OpenBMI,1,Compact-ERM,27,2,1,0.5969770525892576,0.8381997843583425
OpenBMI,1,Compact-TG,40,1,0,0.8234691272179285,0.865584115187327
OpenBMI,1,Compact-TG,40,1,1,0.7826530858874321,0.865584115187327
OpenBMI,1,Compact-TG,40,2,0,0.7422649363676707,0.8963807374238968
OpenBMI,1,Compact-TG,40,2,1,0.6552188595136007,0.8963807274897894
OpenBMI,1,Compact-TG,43,1,0,0.8470655133326849,0.9127604613701502
OpenBMI,1,Compact-TG,43,1,1,0.7876021390159925,0.9127604762713114
OpenBMI,1,Compact-TG,43,2,0,0.8187308957179388,0.923356274763743
OpenBMI,1,Compact-TG,43,2,1,0.7852950717012087,0.9233562797307968
OpenBMI,1,Compact-TG,50,1,0,0.7778250450889269,0.826904296875
OpenBMI,1,Compact-TG,50,1,1,0.5931543571253618,0.8269042819738388
OpenBMI,1,Compact-TG,50,2,0,0.7936516404151917,0.7258055557807287
OpenBMI,1,Compact-TG,50,2,1,0.40519222275664407,0.72580553094546
OpenBMI,1,Compact-TG,52,1,0,0.8460311243931452,0.9068237592776617
OpenBMI,1,Compact-TG,52,1,1,0.7838162357608477,0.9068237791458765
OpenBMI,1,Compact-TG,52,2,0,0.8285182813803355,0.9188312242428461
OpenBMI,1,Compact-TG,52,2,1,0.7633851890762647,0.9188311447699865
OpenBMI,1,Compact-TG,23,1,0,0.8627964158852895,0.8533643086751302
OpenBMI,1,Compact-TG,23,1,1,0.8146647612253824,0.8533643285433451
OpenBMI,1,Compact-TG,23,2,0,0.8473689605792364,0.9075478712717692
OpenBMI,1,Compact-TG,23,2,1,0.8131420488158861,0.9075478067000707
OpenBMI,1,Compact-TG,1,1,0,0.7976726442575455,0.8983223338921865
OpenBMI,1,Compact-TG,1,1,1,0.7535374810298284,0.8983223587274551
OpenBMI,1,Compact-TG,1,2,0,0.6491600622733434,0.8805242677529653
OpenBMI,1,Compact-TG,1,2,1,0.6838541676600774,0.8805243223905563
OpenBMI,1,Compact-TG,30,1,0,0.8294541587432226,0.8917865604162216
OpenBMI,1,Compact-TG,30,1,1,0.8029957016309103,0.8917866597572962
OpenBMI,1,Compact-TG,30,2,0,0.8076391319433848,0.8491676400105158
OpenBMI,1,Compact-TG,30,2,1,0.7790380915006002,0.8491675506035486
OpenBMI,1,Compact-TG,48,1,0,0.8458473881085714,0.8696067978938421
OpenBMI,1,Compact-TG,48,1,1,0.734431728720665,0.8696068078279495
OpenBMI,1,Compact-TG,48,2,0,0.8368736654520035,0.8815574496984482
OpenBMI,1,Compact-TG,48,2,1,0.6924791385730108,0.8815574496984482
OpenBMI,1,Compact-TG,11,1,0,0.8049067854881287,0.8790040910243988
OpenBMI,1,Compact-TG,11,1,1,0.7678176611661911,0.8790041158596674
OpenBMI,1,Compact-TG,11,2,0,0.8445412268241247,0.8974718352158865
OpenBMI,1,Compact-TG,11,2,1,0.7788630078236262,0.8974718004465103
OpenBMI,1,Compact-TG,8,1,0,0.685151773194472,0.9006473571062088
OpenBMI,1,Compact-TG,8,1,1,0.6806506079932054,0.9006474167108536
OpenBMI,1,Compact-TG,8,2,0,0.7742447207371393,0.9202035516500473
OpenBMI,1,Compact-TG,8,2,1,0.7080191411077976,0.9202034970124563
OpenBMI,1,Compact-TG,45,1,0,0.7962675740321478,0.8835423588752747
OpenBMI,1,Compact-TG,45,1,1,0.7699744626879692,0.8835423936446508
OpenBMI,1,Compact-TG,45,2,0,0.7299861361583074,0.9135629087686539
OpenBMI,1,Compact-TG,45,2,1,0.707633726298809,0.91356294353803
OpenBMI,1,Compact-TG,34,1,0,0.6786346758405367,0.7275198449691137
OpenBMI,1,Compact-TG,34,1,1,0.41012441615263623,0.7275198449691137
OpenBMI,1,Compact-TG,34,2,0,0.7702537725369135,0.838191032409668
OpenBMI,1,Compact-TG,34,2,1,0.7173104931910833,0.8381910175085068
OpenBMI,1,Compact-TG,27,1,0,0.7727636620402336,0.8656989634037018
OpenBMI,1,Compact-TG,27,1,1,0.7299355268478394,0.8656989683707556
OpenBMI,1,Compact-TG,27,2,0,0.7964196105798086,0.8754738618930181
OpenBMI,1,Compact-TG,27,2,1,0.5700724897906184,0.8754739016294479
OpenBMI,2,Compact-ERM,49,1,0,0.8036107867956161,0.9096148759126663
OpenBMI,2,Compact-ERM,49,1,1,0.8062078468501568,0.9096148510773977
OpenBMI,2,Compact-ERM,49,2,0,0.785975361863772,0.8692506601413091
OpenBMI,2,Compact-ERM,49,2,1,0.7513559858004252,0.869250645240148
OpenBMI,2,Compact-ERM,10,1,0,0.7927919247498115,0.9058406352996826
OpenBMI,2,Compact-ERM,10,1,1,0.7641810600956281,0.9058406303326288
OpenBMI,2,Compact-ERM,10,2,0,0.7737939556439718,0.8979825774828593
OpenBMI,2,Compact-ERM,10,2,1,0.7389210611581802,0.897982637087504
OpenBMI,2,Compact-ERM,22,1,0,-0.15905087968955436,0.8595375120639801
OpenBMI,2,Compact-ERM,22,1,1,0.31910949060693383,0.8595375170310339
OpenBMI,2,Compact-ERM,22,2,0,0.5370431368549665,0.866510604818662
OpenBMI,2,Compact-ERM,22,2,1,0.6195909256736437,0.8665105849504471
OpenBMI,2,Compact-ERM,19,1,0,0.8101730532944202,0.9173030505577723
OpenBMI,2,Compact-ERM,19,1,1,0.7530131127374867,0.9173030902942022
OpenBMI,2,Compact-ERM,19,2,0,0.8039147853851318,0.8755305012067159
OpenBMI,2,Compact-ERM,19,2,1,0.7127355113625526,0.8755304863055547
OpenBMI,2,Compact-ERM,16,1,0,0.7594966323425373,0.8862767765919367
OpenBMI,2,Compact-ERM,16,1,1,0.8117361391584078,0.8862767815589905
OpenBMI,2,Compact-ERM,16,2,0,0.43738217900196713,0.8531238188346227
OpenBMI,2,Compact-ERM,16,2,1,0.7928882489601771,0.8531238387028376
OpenBMI,2,Compact-ERM,9,1,0,0.7938534518082937,0.9165679961442947
OpenBMI,2,Compact-ERM,9,1,1,0.8627369105815887,0.9165680160125097
OpenBMI,2,Compact-ERM,9,2,0,0.7439223217467467,0.850581039985021
OpenBMI,2,Compact-ERM,9,2,1,0.7993122984965643,0.8505810797214508
OpenBMI,2,Compact-ERM,53,1,0,0.7894679233431816,0.9122691204150518
OpenBMI,2,Compact-ERM,53,1,1,0.8122756580511729,0.9122691502173742
OpenBMI,2,Compact-ERM,53,2,0,0.8056445370117823,0.9136883566776911
OpenBMI,2,Compact-ERM,53,2,1,0.8276621848344803,0.9136883666117986
OpenBMI,2,Compact-ERM,7,1,0,0.8140877410769463,0.9180995523929596
OpenBMI,2,Compact-ERM,7,1,1,0.8546840026974678,0.918099602063497
OpenBMI,2,Compact-ERM,7,2,0,0.8032028451561928,0.8589836110671362
OpenBMI,2,Compact-ERM,7,2,1,0.8421466201543808,0.8589836110671362
OpenBMI,2,Compact-ERM,20,1,0,0.8118126628299555,0.9265885998805364
OpenBMI,2,Compact-ERM,20,1,1,0.8647119949261347,0.9265886048475901
OpenBMI,2,Compact-ERM,20,2,0,0.7997069557507833,0.9153633465369543
OpenBMI,2,Compact-ERM,20,2,1,0.8252308617035548,0.9153633266687393
OpenBMI,2,Compact-ERM,41,1,0,0.746685496220986,0.8757930397987366
OpenBMI,2,Compact-ERM,41,1,1,0.8097320658465227,0.8757930050293604
OpenBMI,2,Compact-ERM,41,2,0,0.766184908648332,0.8831413388252258
OpenBMI,2,Compact-ERM,41,2,1,0.7891434033711752,0.8831413437922796
OpenBMI,2,Compact-ERM,46,1,0,0.7574431098376712,0.8803985069195429
OpenBMI,2,Compact-ERM,46,1,1,0.8093209067980448,0.8803985118865967
OpenBMI,2,Compact-ERM,46,2,0,0.4885880909860134,0.9014056473970413
OpenBMI,2,Compact-ERM,46,2,1,0.6498434940973917,0.9014056424299876
OpenBMI,2,Compact-ERM,21,1,0,0.7440781506399313,0.9326786696910858
OpenBMI,2,Compact-ERM,21,1,1,0.8526131684581438,0.932678664724032
OpenBMI,2,Compact-ERM,21,2,0,0.7942264551917712,0.9157507667938868
OpenBMI,2,Compact-ERM,21,2,1,0.8344557384649912,0.9157507767279943
OpenBMI,2,Compact-ERM,44,1,0,0.8141351168354353,0.919086808959643
OpenBMI,2,Compact-ERM,44,1,1,0.8554329772790273,0.9190867990255356
OpenBMI,2,Compact-ERM,44,2,0,0.7658150171240171,0.9041641056537628
OpenBMI,2,Compact-ERM,44,2,1,0.8541670044263204,0.9041641553243002
OpenBMI,2,Compact-TG,49,1,0,0.79004373246183,0.9426859617233276
OpenBMI,2,Compact-TG,49,1,1,0.7939007033904394,0.9426859567562739
OpenBMI,2,Compact-TG,49,2,0,0.7627929945786794,0.9103526920080185
OpenBMI,2,Compact-TG,49,2,1,0.7423579345146815,0.9103527118762335
OpenBMI,2,Compact-TG,10,1,0,0.7580240406095982,0.9265645891427994
OpenBMI,2,Compact-TG,10,1,1,0.6623387063543001,0.9265646040439606
OpenBMI,2,Compact-TG,10,2,0,0.7597638368606567,0.9230112135410309
OpenBMI,2,Compact-TG,10,2,1,0.713357704381148,0.9230111887057623
OpenBMI,2,Compact-TG,22,1,0,0.19787041858459511,0.898155594865481
OpenBMI,2,Compact-TG,22,1,1,0.6026094108819962,0.8981556047995886
OpenBMI,2,Compact-TG,22,2,0,0.6280654991666476,0.8823243180910746
OpenBMI,2,Compact-TG,22,2,1,0.8174565583467484,0.8823243031899134
OpenBMI,2,Compact-TG,19,1,0,0.7417272143065929,0.9106369415918986
OpenBMI,2,Compact-TG,19,1,1,0.6221276136736075,0.9106369415918986
OpenBMI,2,Compact-TG,19,2,0,0.7980555817484856,0.8989847103754679
OpenBMI,2,Compact-TG,19,2,1,0.6406084621946017,0.8989846756060919
OpenBMI,2,Compact-TG,16,1,0,0.5619232356548309,0.9065147588650385
OpenBMI,2,Compact-TG,16,1,1,0.763400636613369,0.9065147737661997
OpenBMI,2,Compact-TG,16,2,0,0.5879143526156744,0.9150735785563787
OpenBMI,2,Compact-TG,16,2,1,0.7940851102272669,0.9150735636552175
OpenBMI,2,Compact-TG,9,1,0,0.7772146513064703,0.919135645031929
OpenBMI,2,Compact-TG,9,1,1,0.8192383646965027,0.9191356748342514
OpenBMI,2,Compact-TG,9,2,0,0.6849425782759985,0.8746510048707327
OpenBMI,2,Compact-TG,9,2,1,0.7853742589553198,0.8746510048707327
OpenBMI,2,Compact-TG,53,1,0,0.771411158144474,0.9314715415239334
OpenBMI,2,Compact-TG,53,1,1,0.7889459505677223,0.9314715216557184
OpenBMI,2,Compact-TG,53,2,0,0.7998092770576477,0.9407443205515543
OpenBMI,2,Compact-TG,53,2,1,0.8174883176883062,0.9407443106174469
OpenBMI,2,Compact-TG,7,1,0,0.8076033319036166,0.9370951950550079
OpenBMI,2,Compact-TG,7,1,1,0.826386034488678,0.9370952000220617
OpenBMI,2,Compact-TG,7,2,0,0.8342750817537308,0.9286599357922872
OpenBMI,2,Compact-TG,7,2,1,0.8478439052899679,0.9286599258581797
OpenBMI,2,Compact-TG,20,1,0,0.8062950968742371,0.9402249952157339
OpenBMI,2,Compact-TG,20,1,1,0.8314420233170191,0.9402249852816263
OpenBMI,2,Compact-TG,20,2,0,0.8064141770203909,0.9364819576342901
OpenBMI,2,Compact-TG,20,2,1,0.8098758111397425,0.9364819327990214
OpenBMI,2,Compact-TG,41,1,0,0.719497885244588,0.9196800092856089
OpenBMI,2,Compact-TG,41,1,1,0.6385576588412126,0.9196800291538239
OpenBMI,2,Compact-TG,41,2,0,0.7335963249206543,0.9180142482121786
OpenBMI,2,Compact-TG,41,2,1,0.7230077832937241,0.9180141737063726
OpenBMI,2,Compact-TG,46,1,0,0.7504575103521347,0.909894714752833
OpenBMI,2,Compact-TG,46,1,1,0.7769451141357422,0.909894714752833
OpenBMI,2,Compact-TG,46,2,0,0.48134727279345196,0.9271277089913686
OpenBMI,2,Compact-TG,46,2,1,0.6802340100208918,0.9271276990572611
OpenBMI,2,Compact-TG,21,1,0,0.7354740259858469,0.9520469456911087
OpenBMI,2,Compact-TG,21,1,1,0.8219915181398392,0.9520469655593237
OpenBMI,2,Compact-TG,21,2,0,0.774656909207503,0.9417273253202438
OpenBMI,2,Compact-TG,21,2,1,0.8053432106971741,0.9417273153861364
OpenBMI,2,Compact-TG,44,1,0,0.8051143263777097,0.9462659259637197
OpenBMI,2,Compact-TG,44,1,1,0.8197989463806152,0.9462659358978271
OpenBMI,2,Compact-TG,44,2,0,0.7501436347762743,0.9318691194057465
OpenBMI,2,Compact-TG,44,2,1,0.851068988442421,0.931869109471639
WBCIC,0,Compact-ERM,sub-6,0,0,0.525285416841507,0.8851748704910278
WBCIC,0,Compact-ERM,sub-6,0,1,0.6094434022903442,0.8851748704910278
WBCIC,0,Compact-ERM,sub-6,1,0,0.7509163856506348,0.9059098035097122
WBCIC,0,Compact-ERM,sub-6,1,1,0.7781954526901245,0.9059098213911057
WBCIC,0,Compact-ERM,sub-6,2,0,0.7124717980623245,0.8891093671321869
WBCIC,0,Compact-ERM,sub-6,2,1,0.7681515097618103,0.8891093552112579
WBCIC,0,Compact-ERM,sub-22,0,0,0.6500647068023682,0.8015329837799072
WBCIC,0,Compact-ERM,sub-22,0,1,0.6162018120288849,0.8015329301357269
WBCIC,0,Compact-ERM,sub-22,1,0,0.8233565211296081,0.9037277638912201
WBCIC,0,Compact-ERM,sub-22,1,1,0.8710435450077056,0.9037277698516846
WBCIC,0,Compact-ERM,sub-22,2,0,0.7917861759662628,0.8860035717487336
WBCIC,0,Compact-ERM,sub-22,2,1,0.8346658289432526,0.8860035300254822
WBCIC,0,Compact-ERM,sub-44,0,0,0.8127622008323669,0.86787269115448
WBCIC,0,Compact-ERM,sub-44,0,1,0.8260600626468658,0.867872679233551
WBCIC,0,Compact-ERM,sub-44,1,0,0.8788694500923157,0.9051144003868103
WBCIC,0,Compact-ERM,sub-44,1,1,0.8645299077033997,0.9051144123077393
WBCIC,0,Compact-ERM,sub-44,2,0,0.853622567653656,0.9135302901268005
WBCIC,0,Compact-ERM,sub-44,2,1,0.8383847326040268,0.9135302722454071
WBCIC,0,Compact-ERM,sub-35,0,0,0.652541646361351,0.8994963467121124
WBCIC,0,Compact-ERM,sub-35,0,1,0.6464660435914993,0.8994962990283966
WBCIC,0,Compact-ERM,sub-35,1,0,0.6783106297254562,0.9194235324859619
WBCIC,0,Compact-ERM,sub-35,1,1,0.7271251440048218,0.9194235563278198
WBCIC,0,Compact-ERM,sub-35,2,0,0.7411088883876801,0.9192778408527374
WBCIC,0,Compact-ERM,sub-35,2,1,0.7774861216545105,0.9192778289318084
