subject,session,basis_type,basis_draw,direction,epsilon,A_P_mean,n_trials,task,fold,stage
10,1,PCA,0,13,0.5,0.038850538432598114,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,14,0.5,-0.008738364093005657,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,15,0.5,-0.014144598506391048,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,0,1.0,-0.05944839119911194,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,1,1.0,-0.03304663300514221,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,2,1.0,-0.10587265342473984,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,3,1.0,0.03172704204916954,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,4,1.0,-0.06325318664312363,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,5,1.0,0.020657001063227654,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,6,1.0,0.09637277573347092,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,7,1.0,0.04023229703307152,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,8,1.0,-0.0003694720799103379,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,9,1.0,-0.026735663414001465,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,10,1.0,-0.018477004021406174,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,11,1.0,0.00025324360467493534,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,12,1.0,-0.00859032478183508,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,13,1.0,0.038471102714538574,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,14,1.0,-0.008833560161292553,100,OpenBMI_MI,0,TRAIN
10,1,PCA,0,15,1.0,-0.014145615510642529,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,0,0.25,-0.0624740868806839,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,1,0.25,0.022024892270565033,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,2,0.25,-0.055424198508262634,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,3,0.25,0.00776143791154027,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,4,0.25,-0.010638486593961716,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,5,0.25,-0.005238313693553209,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,6,0.25,-0.07918375730514526,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,7,0.25,0.05076881870627403,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,8,0.25,0.001372144091874361,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,9,0.25,-0.004785832948982716,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,10,0.25,-0.026476891711354256,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,11,0.25,0.004084102809429169,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,12,0.25,0.008348684757947922,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,13,0.25,-0.020014649257063866,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,14,0.25,-0.0017479402013123035,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,15,0.25,-0.004372000228613615,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,0,0.5,-0.06250347942113876,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,1,0.5,0.02204713597893715,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,2,0.5,-0.05534149333834648,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,3,0.5,0.007751386146992445,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,4,0.5,-0.010542189702391624,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,5,0.5,-0.005210933741182089,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,6,0.5,-0.07918428629636765,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,7,0.5,0.05072011798620224,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,8,0.5,0.0014125746674835682,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,9,0.5,-0.004804977681487799,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,10,0.5,-0.026475291699171066,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,11,0.5,0.004077626392245293,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,12,0.5,0.008354146964848042,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,13,0.5,-0.019985884428024292,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,14,0.5,-0.0017290881369262934,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,15,0.5,-0.004377016797661781,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,0,1.0,-0.06263970583677292,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,1,1.0,0.02201644703745842,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,2,1.0,-0.05496343597769737,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,3,1.0,0.00775479432195425,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,4,1.0,-0.010313514620065689,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,5,1.0,-0.005106406752020121,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,6,1.0,-0.07918550074100494,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,7,1.0,0.05056474357843399,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,8,1.0,0.0015158915193751454,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,9,1.0,-0.004858585074543953,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,10,1.0,-0.026469511911273003,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,11,1.0,0.00402462761849165,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,12,1.0,0.008362737484276295,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,13,1.0,-0.01985093392431736,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,14,1.0,-0.0016865998040884733,100,OpenBMI_MI,0,TRAIN
10,2,PCA,0,15,1.0,-0.004368921741843224,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,0,0.25,-0.021693624556064606,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,1,0.25,0.1369226574897766,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,2,0.25,0.07651720196008682,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,3,0.25,0.02441980689764023,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,4,0.25,0.037913728505373,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,5,0.25,0.002280112588778138,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,6,0.25,0.28306031227111816,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,7,0.25,-0.012190142646431923,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,8,0.25,-0.008392814546823502,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,9,0.25,0.03826433792710304,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,10,0.25,-0.07238840311765671,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,11,0.25,0.026192214339971542,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,12,0.25,-0.06321035325527191,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,13,0.25,-0.09992238879203796,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,14,0.25,0.014273378998041153,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,15,0.25,-0.013754628598690033,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,0,0.5,-0.021613983437418938,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,1,0.5,0.1368444263935089,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,2,0.5,0.07637573033571243,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,3,0.5,0.024260105565190315,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,4,0.5,0.03793752193450928,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,5,0.5,0.0023060927633196115,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,6,0.5,0.2828264534473419,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,7,0.5,-0.012053243815898895,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,8,0.5,-0.008361361920833588,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,9,0.5,0.0382307767868042,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,10,0.5,-0.07236188650131226,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,11,0.5,0.026173073798418045,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,12,0.5,-0.063198521733284,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,13,0.5,-0.09976246953010559,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,14,0.5,0.014307583682239056,100,OpenBMI_MI,0,TRAIN
16,1,PCA,0,15,0.5,-0.013749492354691029,100,OpenBMI_MI,0,TRAIN
