method,fold,seed,subject_id,combined_BA,protected_only_BA,adaptive_only_BA,protected_branch_erasure_harm_BA,adaptive_branch_erasure_harm_BA,protected_D_finite,adaptive_D_finite,functional_teacher_target,functional_teacher_RMSE,functional_teacher_correlation,target_history_labels_used,internal_holdout_used,WBCIC_outer_used
RANDOM_SOURCE_ONLY,0,2,46,0.64,0.53,0.6499999999999999,-0.009999999999999898,0.10999999999999999,0.5733331822967866,1.492919131783424,PUD_PROJECTED_TEACHER_LOGITS,1.0889851744030532,0.279533537985559,False,False,False
A2_SOURCE_ONLY,0,2,47,0.9199999999999999,0.73,0.78,0.1399999999999999,0.18999999999999995,0.8595169481234856,1.3610675141616713,PUD_PROJECTED_TEACHER_LOGITS,0.9889895422982724,0.6339039164975022,False,False,False
PUD_SOURCE_ONLY,0,2,47,0.9299999999999999,0.9299999999999999,0.6000000000000001,0.32999999999999985,0.0,1.710073219705547,0.5685282034036694,PUD_PROJECTED_TEACHER_LOGITS,0.5297864532161818,0.9082575475527229,False,False,False
IDENTITY_SOURCE_ONLY,0,2,47,0.94,0.56,0.9199999999999999,0.020000000000000018,0.3799999999999999,0.19755959999640932,1.683825462815325,PUD_PROJECTED_TEACHER_LOGITS,1.245264126930124,0.12797168443175877,False,False,False
RANDOM_SOURCE_ONLY,0,2,47,0.9199999999999999,0.62,0.88,0.039999999999999925,0.29999999999999993,0.5251481689993498,1.6518275784171668,PUD_PROJECTED_TEACHER_LOGITS,1.1680475842712923,0.3749733485061385,False,False,False
A2_SOURCE_ONLY,0,2,49,0.8899999999999999,0.74,0.79,0.09999999999999987,0.1499999999999999,0.9711918236108601,1.2654673520539061,PUD_PROJECTED_TEACHER_LOGITS,0.829775973434525,0.6003732262251587,False,False,False
PUD_SOURCE_ONLY,0,2,49,0.85,0.79,0.63,0.21999999999999997,0.05999999999999994,1.4182019053565387,0.6888946601215875,PUD_PROJECTED_TEACHER_LOGITS,0.4454288438025286,0.9048362872480983,False,False,False
IDENTITY_SOURCE_ONLY,0,2,49,0.88,0.61,0.88,0.0,0.27,0.2741075807217643,1.6358861722141802,PUD_PROJECTED_TEACHER_LOGITS,0.9821804979983654,0.3559206113527848,False,False,False
RANDOM_SOURCE_ONLY,0,2,49,0.9,0.63,0.86,0.040000000000000036,0.27,0.44667411077378033,1.6038030904685534,PUD_PROJECTED_TEACHER_LOGITS,0.9413172260247362,0.43390031766902976,False,False,False
A2_SOURCE_ONLY,1,0,2,0.78,0.74,0.64,0.14,0.040000000000000036,1.5350666663877328,1.309152176070934,PUD_PROJECTED_TEACHER_LOGITS,0.8909329128902485,0.713236617307055,False,False,False
PUD_SOURCE_ONLY,1,0,2,0.73,0.75,0.59,0.14,-0.020000000000000018,1.898822521283557,0.7912398961206623,PUD_PROJECTED_TEACHER_LOGITS,0.6312088202811653,0.8834417782171696,False,False,False
IDENTITY_SOURCE_ONLY,1,0,2,0.77,0.5,0.74,0.030000000000000027,0.27,0.4861815434332638,2.0330953286490936,PUD_PROJECTED_TEACHER_LOGITS,1.3397585637305922,-0.17000709029836727,False,False,False
RANDOM_SOURCE_ONLY,1,0,2,0.78,0.7,0.66,0.12,0.08000000000000007,1.0215242364932398,1.7445911059136736,PUD_PROJECTED_TEACHER_LOGITS,1.0973112880557452,0.47520883952778115,False,False,False
A2_SOURCE_ONLY,1,0,14,0.75,0.5800000000000001,0.56,0.18999999999999995,0.16999999999999993,1.6762669049468215,1.424020469936342,PUD_PROJECTED_TEACHER_LOGITS,1.0200386015817458,0.6955851736536416,False,False,False
PUD_SOURCE_ONLY,1,0,14,0.8,0.7,0.51,0.29000000000000004,0.10000000000000009,1.717561097559666,0.7809667934566792,PUD_PROJECTED_TEACHER_LOGITS,0.8572118218969889,0.7904701025235229,False,False,False
IDENTITY_SOURCE_ONLY,1,0,14,0.77,0.64,0.7,0.07000000000000006,0.13,0.42159288346102747,1.7438407593355205,PUD_PROJECTED_TEACHER_LOGITS,1.4052281059788267,0.042588636781797216,False,False,False
RANDOM_SOURCE_ONLY,1,0,14,0.72,0.58,0.71,0.010000000000000009,0.14,0.7688526650978569,1.4923393689580728,PUD_PROJECTED_TEACHER_LOGITS,1.2551092130994383,0.4255120290467943,False,False,False
A2_SOURCE_ONLY,1,0,34,0.6699999999999999,0.63,0.5800000000000001,0.08999999999999986,0.039999999999999925,1.1596740569071573,1.0501931433549576,PUD_PROJECTED_TEACHER_LOGITS,0.9173616185011149,0.5278193752549353,False,False,False
PUD_SOURCE_ONLY,1,0,34,0.69,0.6599999999999999,0.6000000000000001,0.08999999999999986,0.030000000000000027,1.685726771993787,0.9316176469501589,PUD_PROJECTED_TEACHER_LOGITS,0.7561557274413774,0.7778213181540801,False,False,False
IDENTITY_SOURCE_ONLY,1,0,34,0.6799999999999999,0.52,0.66,0.019999999999999907,0.15999999999999992,0.6598554118560189,1.7220097934357206,PUD_PROJECTED_TEACHER_LOGITS,1.1775305660037463,-0.11264206760760062,False,False,False
RANDOM_SOURCE_ONLY,1,0,34,0.7,0.6699999999999999,0.62,0.07999999999999996,0.030000000000000027,1.0623945494230105,1.7059275842790285,PUD_PROJECTED_TEACHER_LOGITS,1.1172815447591784,0.24341582817443305,False,False,False
A2_SOURCE_ONLY,1,0,40,0.8200000000000001,0.74,0.6799999999999999,0.14000000000000012,0.08000000000000007,1.446639220048337,1.2367861397551398,PUD_PROJECTED_TEACHER_LOGITS,0.9498299282953203,0.7488937182194383,False,False,False
PUD_SOURCE_ONLY,1,0,40,0.8200000000000001,0.77,0.6599999999999999,0.16000000000000014,0.050000000000000044,2.303716749871885,0.9830341941382399,PUD_PROJECTED_TEACHER_LOGITS,0.762676583878084,0.8836392113028616,False,False,False
IDENTITY_SOURCE_ONLY,1,0,40,0.8,0.62,0.8,0.0,0.18000000000000005,0.4544857203839908,2.1964694288711435,PUD_PROJECTED_TEACHER_LOGITS,1.4718081044230695,-0.015305492159997616,False,False,False
RANDOM_SOURCE_ONLY,1,0,40,0.8200000000000001,0.64,0.72,0.10000000000000009,0.18000000000000005,1.4410647808711448,1.933593597628998,PUD_PROJECTED_TEACHER_LOGITS,1.740908359084697,0.019344832071057427,False,False,False
A2_SOURCE_ONLY,1,0,43,0.8899999999999999,0.7,0.8200000000000001,0.06999999999999984,0.18999999999999995,1.693492122689921,1.4347729674718976,PUD_PROJECTED_TEACHER_LOGITS,1.112272843342709,0.6404218280215089,False,False,False
