method,fold,subject_id,combined_BA,protected_only_BA,adaptive_only_BA,protected_branch_erasure_harm_BA,adaptive_branch_erasure_harm_BA,protected_D_finite,adaptive_D_finite,functional_teacher_RMSE,functional_teacher_correlation
PUD_SOURCE_ONLY,1,40,0.8033333333333333,0.77,0.6533333333333333,0.15000000000000002,0.03333333333333333,2.081005518724961,0.8884026394597574,0.7948743148286289,0.8531841503520909
PUD_SOURCE_ONLY,1,43,0.88,0.8533333333333334,0.7600000000000001,0.11999999999999995,0.02666666666666667,1.5989689084440661,0.9113837160202883,0.7601914196014831,0.8578355704626247
PUD_SOURCE_ONLY,1,44,0.7566666666666667,0.7366666666666667,0.6233333333333334,0.13333333333333322,0.02,1.5425719245416654,0.7811852820939137,1.003396387280227,0.7693962452909512
PUD_SOURCE_ONLY,1,48,0.69,0.6999999999999998,0.5333333333333333,0.1566666666666666,-0.009999999999999967,1.365427711571267,0.7845994484353337,0.8782427345802688,0.7095093084924491
PUD_SOURCE_ONLY,1,50,0.5966666666666667,0.6466666666666666,0.49666666666666665,0.09999999999999992,-0.049999999999999996,1.3301449152463232,0.7027252232105217,0.7149807499520917,0.8062148401227437
PUD_SOURCE_ONLY,2,10,0.6699999999999999,0.63,0.6066666666666666,0.06333333333333327,0.03999999999999993,1.0418591456256252,0.5956593015951386,0.7124293029887876,0.708874163574607
PUD_SOURCE_ONLY,2,16,0.8366666666666668,0.79,0.6933333333333334,0.14333333333333334,0.046666666666666634,2.2255303579225014,0.760698170491147,0.47809244777667126,0.9535253864177595
PUD_SOURCE_ONLY,2,21,0.8066666666666666,0.7799999999999999,0.5866666666666667,0.21999999999999997,0.026666666666666634,1.6304073538214148,0.616174590888337,1.3252587914244878,0.6681249421484673
PUD_SOURCE_ONLY,2,22,0.64,0.6066666666666667,0.5633333333333334,0.07666666666666654,0.033333333333333263,1.4011668510666848,0.6197541781496997,0.7470163104030968,0.7474868813099619
PUD_SOURCE_ONLY,2,31,0.8366666666666666,0.7733333333333333,0.6633333333333333,0.17333333333333334,0.06333333333333334,1.7163107106910884,0.6449679608063387,0.6078194940876825,0.877181012529587
PUD_SOURCE_ONLY,2,45,0.7200000000000001,0.6933333333333334,0.6033333333333334,0.1166666666666666,0.026666666666666634,1.1029234712078944,0.7002502885172355,0.618891397663207,0.7505947044919546
PUD_SOURCE_ONLY,2,53,0.7366666666666667,0.7399999999999999,0.62,0.1166666666666666,-0.003333333333333334,1.232071979486302,0.6614040334507949,0.8521761755167808,0.6949504412869457
PUD_SOURCE_ONLY,2,9,0.5666666666666668,0.5733333333333334,0.48333333333333334,0.08333333333333337,-0.006666666666666632,1.2683184148888647,0.6387131361541719,0.8966657653293048,0.6383551807977209
PUD_SOURCE_ONLY,3,1,0.69,0.6766666666666667,0.5800000000000001,0.10999999999999989,0.0133333333333333,1.584460585946719,0.7265225814541507,0.8588202497573767,0.7436434125808921
PUD_SOURCE_ONLY,3,20,0.8533333333333334,0.84,0.7433333333333333,0.10999999999999997,0.013333333333333301,1.8946805181561945,0.690406334481338,0.6783044688966662,0.8822421491508798
PUD_SOURCE_ONLY,3,23,0.6333333333333333,0.65,0.53,0.10333333333333329,-0.016666666666666635,1.3584293021622276,0.6928033114852541,0.7496159387119014,0.7693281456957668
PUD_SOURCE_ONLY,3,26,0.8533333333333334,0.8300000000000001,0.7599999999999999,0.09333333333333337,0.0233333333333333,2.101292950431632,0.9523164229031215,0.6980481727420532,0.88039181649588
PUD_SOURCE_ONLY,3,35,0.8266666666666667,0.8233333333333334,0.6966666666666667,0.13000000000000003,0.003333333333333337,2.8113041276612285,0.9523638999883225,0.8147161825842636,0.9212453459054745
PUD_SOURCE_ONLY,3,5,0.7200000000000001,0.6866666666666666,0.6833333333333332,0.036666666666666674,0.0333333333333333,1.5974925324397073,0.743259982510145,0.8312025771212385,0.7634821674277235
PUD_SOURCE_ONLY,3,6,0.96,0.9333333333333332,0.8066666666666666,0.15333333333333324,0.02666666666666667,2.14248702496336,0.9246074911470098,0.5744638604760594,0.9287243628584099
PUD_SOURCE_ONLY,3,7,0.77,0.7466666666666667,0.6166666666666667,0.15333333333333327,0.023333333333333334,1.5043936090289523,0.6202400550002679,0.8348365012203716,0.7813445888605562
PUD_SOURCE_ONLY,4,11,0.7366666666666667,0.7200000000000001,0.6533333333333333,0.08333333333333326,0.016666666666666666,1.6212348841409703,0.7695260670547053,0.646774345662923,0.8494173035960451
PUD_SOURCE_ONLY,4,27,0.89,0.88,0.7333333333333334,0.1566666666666666,0.01,2.3658467556603937,0.7978473238917859,0.6229184807454401,0.9250185453248698
PUD_SOURCE_ONLY,4,28,0.86,0.8266666666666667,0.6366666666666667,0.2233333333333333,0.03333333333333333,1.9934218599875837,0.7885226963550261,0.6177981484202585,0.9214586349757573
PUD_SOURCE_ONLY,4,3,0.8533333333333334,0.8466666666666667,0.7033333333333333,0.14999999999999997,0.006666666666666668,2.1750789542170774,0.7865900956061863,0.7066919156722588,0.8964678216444675
PUD_SOURCE_ONLY,4,30,0.69,0.6733333333333333,0.58,0.10999999999999993,0.016666666666666632,1.492012893684494,0.6703852614801836,0.6380623734459756,0.8224263192798157
PUD_SOURCE_ONLY,4,38,0.7266666666666666,0.75,0.4666666666666666,0.25999999999999995,-0.02333333333333333,1.4865161640354962,0.7348959818847688,0.6104680350150027,0.8527294999134515
PUD_SOURCE_ONLY,4,52,0.77,0.7933333333333333,0.5633333333333334,0.20666666666666664,-0.023333333333333334,1.442718355833355,0.6896886388199821,0.7411277255679436,0.8080046574862169
PUD_SOURCE_ONLY,4,8,0.7366666666666667,0.6966666666666667,0.6133333333333334,0.12333333333333325,0.03999999999999993,1.7579230803210233,0.691137593463299,0.7309624490960194,0.8265563212905787
RANDOM_SOURCE_ONLY,0,15,0.84,0.57,0.8133333333333334,0.0266666666666667,0.27,0.515349820422512,1.4547617464373077,0.9672939098404391,0.3233215706534481
RANDOM_SOURCE_ONLY,0,19,0.6833333333333332,0.5266666666666667,0.6833333333333332,-3.23815048849004e-17,0.15666666666666654,0.34088982331449696,1.3062003980904267,0.9051429117339792,0.19094824580145434
RANDOM_SOURCE_ONLY,0,32,0.63,0.5166666666666667,0.6333333333333333,-0.0033333333333332997,0.11333333333333327,0.5769448212146727,1.4106403683543327,0.8928467668652994,0.2858944649266056
RANDOM_SOURCE_ONLY,0,33,0.8233333333333334,0.5666666666666667,0.79,0.03333333333333333,0.25666666666666677,0.4701611213605348,1.6178408645086222,1.1806411787058797,0.11644239650895305
RANDOM_SOURCE_ONLY,0,41,0.7833333333333333,0.5833333333333334,0.7600000000000001,0.023333333333333334,0.19999999999999998,0.44936937898876184,1.4385679144607508,1.0177401066285825,0.23557968116568095
RANDOM_SOURCE_ONLY,0,46,0.6366666666666666,0.57,0.6366666666666666,3.2959746043559335e-17,0.06666666666666657,0.5034816325113854,1.578588606694363,1.1018030159496985,0.31747857374734106
RANDOM_SOURCE_ONLY,0,47,0.9,0.6433333333333333,0.8633333333333333,0.0366666666666666,0.2566666666666666,0.4863750509455557,1.6540913614990418,1.191520629272356,0.3182287101742644
RANDOM_SOURCE_ONLY,0,49,0.8533333333333334,0.63,0.8533333333333334,3.23815048849004e-17,0.2233333333333333,0.49021105035064716,1.603625038139829,1.0070162517958654,0.34583113504689317
RANDOM_SOURCE_ONLY,1,14,0.7399999999999999,0.5666666666666667,0.73,0.010000000000000002,0.1733333333333333,0.5456677890947547,1.7396744394840322,1.293016061222964,0.1532814510416498
RANDOM_SOURCE_ONLY,1,2,0.7766666666666667,0.6033333333333334,0.7333333333333334,0.043333333333333335,0.1733333333333333,0.6747312576384527,1.8836682897374581,1.3984457121868068,0.0550124772175887
RANDOM_SOURCE_ONLY,1,34,0.6733333333333332,0.6133333333333333,0.65,0.02333333333333323,0.05999999999999991,0.9235817172671191,1.5694756066617321,1.2245513206713399,0.06999131290748102
RANDOM_SOURCE_ONLY,1,40,0.79,0.5333333333333333,0.7433333333333333,0.04666666666666667,0.25666666666666665,0.8064447518404632,2.0699124607522066,1.5243518263314957,0.11734804086726397
RANDOM_SOURCE_ONLY,1,43,0.9133333333333334,0.7266666666666667,0.86,0.05333333333333327,0.18666666666666662,0.5734408274844206,1.9844200245826127,1.2945877819960774,0.46295327290636706
RANDOM_SOURCE_ONLY,1,44,0.7399999999999999,0.6266666666666666,0.7200000000000001,0.02,0.11333333333333333,0.5201583061399809,1.6959947099912187,1.4667993668398722,0.3982624409073085
RANDOM_SOURCE_ONLY,1,48,0.69,0.54,0.6999999999999998,-0.01,0.14999999999999988,0.4977679262593668,1.501196504490175,1.2322423693935,0.1715735874174429
RANDOM_SOURCE_ONLY,1,50,0.61,0.5866666666666667,0.5933333333333334,0.0166666666666666,0.02333333333333337,0.43770178770651497,1.402924496127662,1.1733750098319147,0.2061451264972872
RANDOM_SOURCE_ONLY,2,10,0.6866666666666665,0.5800000000000001,0.6699999999999999,0.016666666666666597,0.10666666666666653,0.43212867412200423,1.3203880237439283,0.9818244554062544,0.357837174466528
RANDOM_SOURCE_ONLY,2,16,0.85,0.48333333333333334,0.8333333333333334,0.016666666666666597,0.36666666666666664,0.8924948679431962,2.2407761691274533,1.4673431253795919,0.14997641698291178
RANDOM_SOURCE_ONLY,2,21,0.8433333333333334,0.6833333333333332,0.7866666666666667,0.056666666666666636,0.15999999999999995,0.6157087191730538,1.478194065984974,1.6307796557481602,0.44368064151259307
RANDOM_SOURCE_ONLY,2,22,0.61,0.5533333333333333,0.5666666666666668,0.04333333333333326,0.056666666666666636,0.6024921102284163,1.408268859770997,1.1212345331574214,0.0929443023341312
