stage,fold,seed,method,checkpoint,checkpoint_sha256_before,checkpoint_sha256_after,checkpoint_unchanged,state_sha256_before,state_sha256_after,parameters_and_buffers_unchanged,model_eval_mode
source_only,1,2,PUD_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-1/seed-2/checkpoints/PUD_SOURCE.pt,a3bb61bac0687d903106740e540f8f5c29099b5139c502492eff76053897995e,a3bb61bac0687d903106740e540f8f5c29099b5139c502492eff76053897995e,True,9d85849c4f97ba3a355243bfa52be83437bd22e8cafe9b7303b741c1feee3536,9d85849c4f97ba3a355243bfa52be83437bd22e8cafe9b7303b741c1feee3536,True,True
source_only,1,2,IDENTITY_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-1/seed-2/checkpoints/A7_IDENTITY_PROTECTED.pt,ca2876aea223ed1eb5f51ae99a4a118777f5389d40b80326897d305708cb6d97,ca2876aea223ed1eb5f51ae99a4a118777f5389d40b80326897d305708cb6d97,True,cecd10a0fbfe08a1e44aab360ea25237e1bb7e15c98e02996f30b51528f215ca,cecd10a0fbfe08a1e44aab360ea25237e1bb7e15c98e02996f30b51528f215ca,True,True
source_only,1,2,RANDOM_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-1/seed-2/checkpoints/A8_RANDOM_PROTECTED.pt,72510d793e1386881fad9ae53ea9ab4c8917feb11437ff930d17e464441ee183,72510d793e1386881fad9ae53ea9ab4c8917feb11437ff930d17e464441ee183,True,73ee95a87b0ebb29c2e47129f35dc8dfc12a8b08c0aafcd970b0d42660b0017e,73ee95a87b0ebb29c2e47129f35dc8dfc12a8b08c0aafcd970b0d42660b0017e,True,True
source_only,2,0,B1_STRONG_EEGNET_TEACHER_TARGET_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-2/seed-0/checkpoints/B1_STRONG_EEGNET.pt,4bdb730accdf8b8c8ac984cb4d13a670b4ed1fc525fa392b09011302ad276dd7,4bdb730accdf8b8c8ac984cb4d13a670b4ed1fc525fa392b09011302ad276dd7,True,ddffd9d670c4928e96260c16fdf1c7aa36fb0f7e459752b8205853a0b744be58,ddffd9d670c4928e96260c16fdf1c7aa36fb0f7e459752b8205853a0b744be58,True,True
source_only,2,0,A2_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-2/seed-0/checkpoints/A2_DUAL_CONTROL.pt,e48eb79b138479f6b34d11eba2dc1a41e008d35350b6cd057ad7c80b26843970,e48eb79b138479f6b34d11eba2dc1a41e008d35350b6cd057ad7c80b26843970,True,e154e7dc9ed68bbb00b93a448f0444e8f9761796fc080e448e78b15827a3f643,e154e7dc9ed68bbb00b93a448f0444e8f9761796fc080e448e78b15827a3f643,True,True
source_only,2,0,PUD_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-2/seed-0/checkpoints/PUD_SOURCE.pt,f795b27b6b59e0a6217bbb303cac8f60f3a3d75e79b0450f9407d08711f76569,f795b27b6b59e0a6217bbb303cac8f60f3a3d75e79b0450f9407d08711f76569,True,6637f1807366949254a261a25b5f56c458543a1d1dc1e39dcd397487d85cc846,6637f1807366949254a261a25b5f56c458543a1d1dc1e39dcd397487d85cc846,True,True
source_only,2,0,IDENTITY_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-2/seed-0/checkpoints/A7_IDENTITY_PROTECTED.pt,fd8ab4f19a57e3aabe88a645d5373487177cc3f94e98e7bd5f116075680bb30c,fd8ab4f19a57e3aabe88a645d5373487177cc3f94e98e7bd5f116075680bb30c,True,e1228ff2fac2374df3283ed4bed587b763dd6dc1aa907c64b0510315f7bb2209,e1228ff2fac2374df3283ed4bed587b763dd6dc1aa907c64b0510315f7bb2209,True,True
source_only,2,0,RANDOM_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-2/seed-0/checkpoints/A8_RANDOM_PROTECTED.pt,e72c55c854c1088425ee28f4e54fc0340188d963462834070749ba6c0e80bbbc,e72c55c854c1088425ee28f4e54fc0340188d963462834070749ba6c0e80bbbc,True,b50b273e814b461be00c531f1b808c954321eb2a877a57eabc70bbc685029878,b50b273e814b461be00c531f1b808c954321eb2a877a57eabc70bbc685029878,True,True
source_only,2,1,B1_STRONG_EEGNET_TEACHER_TARGET_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-2/seed-1/checkpoints/B1_STRONG_EEGNET.pt,e15927251b1af6ec87a39d96ee487b368acb0a3710c9cd33ae2e35cf9eacede0,e15927251b1af6ec87a39d96ee487b368acb0a3710c9cd33ae2e35cf9eacede0,True,7fff694fed11b6d3654a6c801aaa115deef21b3788f621c71bdfc4e7c69315b9,7fff694fed11b6d3654a6c801aaa115deef21b3788f621c71bdfc4e7c69315b9,True,True
source_only,2,1,A2_SOURCE_ONLY,SOURCE_EXPERIMENT/runtime/runs/fold-2/seed-1/checkpoints/A2_DUAL_CONTROL.pt,735cfca074d92beac077dfb943719b4c576aafe2e4ef395122ba78aa3e0854c0,735cfca074d92beac077dfb943719b4c576aafe2e4ef395122ba78aa3e0854c0,True,bb06618729605965b17b627f22556680369ab4e9ef9a3b3428675812fb9aa5ec,bb06618729605965b17b627f22556680369ab4e9ef9a3b3428675812fb9aa5ec,True,True
