backbone,method,lambda,fold,seed,identity_suppression_vs_ERM,BA_delta_vs_ERM,F1_delta_vs_ERM,ERM_identity,identity_symmetric,ERM_BA,BA
eegnet,DANN,0.01,2,0,0.0058680576297094,-0.0006249999999999867,0.00043619467430378034,0.0173904189313633,0.0115223613016539,0.790625,0.79
eegnet,DANN,0.01,2,1,0.0088714573654909,0.0006249999999999867,0.0013399466436764262,0.0257520790797591,0.0168806217142682,0.786875,0.7875
eegnet,DANN,0.01,2,2,0.013665773639109102,-0.005624999999999991,-0.005210031770089496,0.02570728800386,0.0120415143647509,0.790625,0.785
eegnet,DANN,0.01,3,0,0.005596106384694502,0.00376341540404046,0.00401186305595691,0.0259790285859415,0.020382922201247,0.7752754103535353,0.7790388257575758
eegnet,DANN,0.01,3,1,0.016464918820372702,-0.00623658459595966,-0.01081258078349745,0.0379865848331022,0.0215216660127295,0.7771109532828283,0.7708743686868686
eegnet,DANN,0.01,3,2,0.017390150969987,-0.005658933080808004,-0.007984452196124647,0.0335452436768146,0.0161550927068276,0.7815648674242424,0.7759059343434344
eegnet,DANN,0.01,4,0,0.0131964172329071,-0.00374999999999992,-0.0034782524395359227,0.0276108733125572,0.0144144560796501,0.771875,0.7681250000000001
eegnet,DANN,0.01,4,1,0.0007955512698045002,0.0012499999999999734,0.001691568345569272,0.018025370067594,0.0172298187977895,0.7781250000000001,0.779375
eegnet,DANN,0.01,4,2,0.007772453832022699,-0.003750000000000031,-0.003628185748664303,0.0217407729651899,0.0139683191331672,0.77125,0.7675
eegnet,DANN,0.1,0,0,0.0031915714388395,0.007222222222222241,0.007056086682926899,0.0149851436799108,0.0117935722410713,0.8216666666666667,0.8288888888888889
eegnet,DANN,0.1,0,1,0.01518524713732,-0.0016666666666665941,-0.0013399541849750118,0.0279615186708293,0.0127762715335093,0.8077777777777777,0.8061111111111111
eegnet,DANN,0.1,0,2,0.021896969669196,0.002777777777777768,0.0032628165469549275,0.0339361312023842,0.0120391615331882,0.8155555555555556,0.8183333333333334
eegnet,DANN,0.1,1,0,0.0041705508070118,-0.0025000000000000577,-0.0035232256538970663,0.0214626851787187,0.0172921343717069,0.78625,0.78375
eegnet,DANN,0.1,1,1,0.0166994390628148,0.0031250000000000444,0.0026071416466173503,0.0299999919759299,0.0133005529131151,0.786875,0.79
eegnet,DANN,0.1,1,2,0.022611947327860503,0.00374999999999992,0.003739954136172563,0.0380175577035044,0.0154056103756439,0.785,0.78875
eegnet,DANN,0.1,2,0,0.0064031377680210996,-0.018750000000000044,-0.017718458236424706,0.0173904189313633,0.0109872811633422,0.790625,0.771875
eegnet,DANN,0.1,2,1,0.0102713677818327,-0.010000000000000009,-0.0094360802294845,0.0257520790797591,0.0154807112979264,0.786875,0.776875
eegnet,DANN,0.1,2,2,0.016118536868757603,-0.007499999999999951,-0.006967956716246948,0.02570728800386,0.0095887511351024,0.790625,0.7831250000000001
eegnet,DANN,0.1,3,0,0.012582011115539901,-0.0006115845959595578,0.0006423980381778938,0.0259790285859415,0.0133970174704016,0.7752754103535353,0.7746638257575758
eegnet,DANN,0.1,3,1,0.022852797242142203,-0.002519728535353538,-0.005208474455401957,0.0379865848331022,0.01513378759096,0.7771109532828283,0.7745912247474748
eegnet,DANN,0.1,3,2,0.013512430616877399,-0.010046559343434236,-0.012741001422106102,0.0335452436768146,0.0200328130599372,0.7815648674242424,0.7715183080808081
eegnet,DANN,0.1,4,0,0.0150599775290882,-0.00374999999999992,-0.003381874434660981,0.0276108733125572,0.012550895783469,0.771875,0.7681250000000001
eegnet,DANN,0.1,4,1,0.0038395349052503993,0.004374999999999907,0.005270024775207771,0.018025370067594,0.0141858351623436,0.7781250000000001,0.7825
eegnet,DANN,0.1,4,2,0.0087527069358597,-0.0012499999999999734,-0.001252861615254286,0.0217407729651899,0.0129880660293302,0.77125,0.77
eegnet,DANN,1.0,0,0,-0.004448966517870901,-0.057222222222222174,-0.05715235665854612,0.0149851436799108,0.0194341101977817,0.8216666666666667,0.7644444444444445
eegnet,DANN,1.0,0,1,0.0120987712725316,-0.008888888888888724,-0.008886420578775978,0.0279615186708293,0.0158627473982977,0.8077777777777777,0.798888888888889
eegnet,DANN,1.0,0,2,0.019129464725010002,-0.004444444444444473,-0.0036628550982632513,0.0339361312023842,0.0148066664773742,0.8155555555555556,0.8111111111111111
eegnet,DANN,1.0,1,0,0.0024087461394163984,-0.014375000000000027,-0.014291091170016479,0.0214626851787187,0.0190539390393023,0.78625,0.771875
eegnet,DANN,1.0,1,1,0.0069796804371287,-0.005624999999999991,-0.005313262386006934,0.0299999919759299,0.0230203115388012,0.786875,0.78125
eegnet,DANN,1.0,1,2,0.017256237530032702,0.0031249999999999334,0.0035456354318853522,0.0380175577035044,0.0207613201734717,0.785,0.788125
eegnet,DANN,1.0,2,0,0.0019556577894948007,-0.03374999999999995,-0.033004379481874846,0.0173904189313633,0.0154347611418685,0.790625,0.7568750000000001
eegnet,DANN,1.0,2,1,0.006275117067362498,-0.03249999999999997,-0.03161440234693125,0.0257520790797591,0.0194769620123966,0.786875,0.754375
eegnet,DANN,1.0,2,2,0.008775005528074403,-0.016875000000000084,-0.016298105311707833,0.02570728800386,0.0169322824757856,0.790625,0.7737499999999999
eegnet,DANN,1.0,3,0,0.008166903421633401,0.008776041666666679,0.011500377438287246,0.0259790285859415,0.0178121251643081,0.7752754103535353,0.784051452020202
eegnet,DANN,1.0,3,1,0.0208118656414897,-0.012506313131313118,-0.017647518060509126,0.0379865848331022,0.0171747191916125,0.7771109532828283,0.7646046401515152
eegnet,DANN,1.0,3,2,0.0189160774395958,-0.001927083333333246,-0.0025992736654419923,0.0335452436768146,0.0146291662372188,0.7815648674242424,0.7796377840909091
eegnet,DANN,1.0,4,0,0.019287356942006,-0.01937500000000003,-0.019348964326882268,0.0276108733125572,0.0083235163705512,0.771875,0.7525
eegnet,DANN,1.0,4,1,-0.00029276628431090107,-0.012500000000000067,-0.011420445394728751,0.018025370067594,0.0183181363519049,0.7781250000000001,0.765625
eegnet,DANN,1.0,4,2,0.004040608320347298,-0.020000000000000018,-0.020890277753644604,0.0217407729651899,0.0177001646448426,0.77125,0.75125
eegnet,MMD,0.01,0,0,-0.004028753723827799,0.009444444444444478,0.010020125587367867,0.0149851436799108,0.0190138974037386,0.8216666666666667,0.8311111111111111
eegnet,MMD,0.01,0,1,-0.003249164596062802,0.009444444444444589,0.007774683780527147,0.0279615186708293,0.0312106832668921,0.8077777777777777,0.8172222222222223
eegnet,MMD,0.01,0,2,0.0122013023143481,-0.006666666666666821,-0.005998882139492623,0.0339361312023842,0.0217348288880361,0.8155555555555556,0.8088888888888888
eegnet,MMD,0.01,1,0,-0.00046006309264350065,0.0006249999999999867,0.0006128932907697449,0.0214626851787187,0.0219227482713622,0.78625,0.786875
eegnet,MMD,0.01,1,1,-0.00044738666641850125,0.004375000000000018,0.004484765398610979,0.0299999919759299,0.0304473786423484,0.786875,0.79125
eegnet,MMD,0.01,1,2,0.0204917788110337,-0.0050000000000000044,-0.0055803977765268575,0.0380175577035044,0.0175257788924707,0.785,0.78
eegnet,MMD,0.01,2,0,-0.000753231398487101,-0.016874999999999973,-0.01565359545722378,0.0173904189313633,0.0181436503298504,0.790625,0.77375
eegnet,MMD,0.01,2,1,0.0002981691731737991,0.0031250000000000444,0.0033170096238903657,0.0257520790797591,0.0254539099065853,0.786875,0.79
eegnet,MMD,0.01,2,2,0.0066881585989560025,-0.01187500000000008,-0.011950623004578387,0.02570728800386,0.019019129404904,0.790625,0.7787499999999999
eegnet,MMD,0.01,3,0,-0.004855084144526598,0.009419981060606042,0.012251190096904785,0.0259790285859415,0.0308341127304681,0.7752754103535353,0.7846953914141414
eegnet,MMD,0.01,3,1,7.717227828200196e-05,6.313131313162579e-06,8.549564103554896e-05,0.0379865848331022,0.0379094125548202,0.7771109532828283,0.7771172664141415
eegnet,MMD,0.01,3,2,0.003876598930203399,-0.00875710227272719,-0.010514835424898283,0.0335452436768146,0.0296686447466112,0.7815648674242424,0.7728077651515152
eegnet,MMD,0.01,4,0,0.008327011740405,-0.007499999999999951,-0.007215661889408143,0.0276108733125572,0.0192838615721522,0.771875,0.764375
eegnet,MMD,0.01,4,1,5.206536029199807e-05,-0.0012500000000000844,-0.0012123721416671396,0.018025370067594,0.017973304707302,0.7781250000000001,0.776875
eegnet,MMD,0.01,4,2,0.0004412031846374974,-0.00187499999999996,-0.002051215178355492,0.0217407729651899,0.0212995697805524,0.77125,0.769375
eegnet,MMD,0.1,0,0,-0.001679041977375801,0.0,0.00036136116418672426,0.0149851436799108,0.0166641856572866,0.8216666666666667,0.8216666666666667
eegnet,MMD,0.1,0,1,0.0023412564049002,-0.004444444444444473,-0.004774091565473704,0.0279615186708293,0.0256202622659291,0.8077777777777777,0.8033333333333332
eegnet,MMD,0.1,0,2,0.0140297527960658,-0.0033333333333334103,-0.0025121790900937135,0.0339361312023842,0.0199063784063184,0.8155555555555556,0.8122222222222222
eegnet,MMD,0.1,1,0,0.001247494107355699,-0.004375000000000018,-0.004356720283511417,0.0214626851787187,0.020215191071363,0.78625,0.781875
eegnet,MMD,0.1,1,1,-0.0033521708449637984,-0.0050000000000000044,-0.0062316847478535164,0.0299999919759299,0.0333521628208937,0.786875,0.781875
eegnet,MMD,0.1,1,2,0.0191388776953423,0.0006249999999999867,0.001109425358297056,0.0380175577035044,0.0188786800081621,0.785,0.785625
eegnet,MMD,0.1,2,0,-0.0008637466582364986,0.0006249999999999867,0.0016161621694408268,0.0173904189313633,0.0182541655895998,0.790625,0.79125
eegnet,MMD,0.1,2,1,-0.0030926188382986997,0.0068749999999999645,0.0073769201609968915,0.0257520790797591,0.0288446979180578,0.786875,0.79375
eegnet,MMD,0.1,2,2,0.002037648889280201,-0.006249999999999978,-0.006344043461181115,0.02570728800386,0.0236696391145798,0.790625,0.784375
eegnet,MMD,0.1,3,0,0.0015274131285557997,0.001875000000000071,0.002425180915759939,0.0259790285859415,0.0244516154573857,0.7752754103535353,0.7771504103535354
eegnet,MMD,0.1,3,1,-0.00013560082668769707,0.0012499999999999734,0.0013829618473490957,0.0379865848331022,0.0381221856597899,0.7771109532828283,0.7783609532828283
eegnet,MMD,0.1,3,2,0.005739661645035098,-0.010007102272727275,-0.008921102599820041,0.0335452436768146,0.0278055820317795,0.7815648674242424,0.7715577651515151
eegnet,MMD,0.1,4,0,0.008310830682285799,-0.010624999999999996,-0.010630612825114794,0.0276108733125572,0.0193000426302714,0.771875,0.76125
eegnet,MMD,0.1,4,1,-0.0048158153537730015,0.00374999999999992,0.004150342327408518,0.018025370067594,0.022841185421367,0.7781250000000001,0.781875
eegnet,MMD,0.1,4,2,0.0039682782636297,-0.001875000000000071,-0.002708794173173268,0.0217407729651899,0.0177724947015602,0.77125,0.7693749999999999
eegnet,MMD,1.0,0,0,0.0023612060592566007,-0.016666666666666607,-0.017078317832784462,0.0149851436799108,0.0126239376206542,0.8216666666666667,0.805
eegnet,MMD,1.0,0,1,0.006857355655122601,-0.006111111111111067,-0.0072115843440684335,0.0279615186708293,0.0211041630157067,0.8077777777777777,0.8016666666666666
eegnet,MMD,1.0,0,2,0.0173154393100878,-0.0022222222222222365,-0.0017967186886963527,0.0339361312023842,0.0166206918922964,0.8155555555555556,0.8133333333333334
eegnet,MMD,1.0,1,0,-0.0008019223417082035,-0.004375000000000018,-0.004141337347485674,0.0214626851787187,0.0222646075204269,0.78625,0.781875
eegnet,MMD,1.0,1,1,0.0010572570175706002,0.008750000000000036,0.0092688577208071,0.0299999919759299,0.0289427349583593,0.786875,0.795625
eegnet,MMD,1.0,1,2,0.0124669502744079,0.0031249999999999334,0.003330857974725987,0.0380175577035044,0.0255506074290965,0.785,0.788125
eegnet,MMD,1.0,2,0,-0.0136253721300197,0.00187499999999996,0.0033573703334053295,0.0173904189313633,0.031015791061383,0.790625,0.7925
eegnet,MMD,1.0,2,1,-0.010215808827496904,0.007500000000000062,0.008522448243197256,0.0257520790797591,0.035967887907256,0.786875,0.794375
eegnet,MMD,1.0,2,2,0.004253795911378699,-0.008125000000000049,-0.007803466832896899,0.02570728800386,0.0214534920924813,0.790625,0.7825
eegnet,MMD,1.0,3,0,0.0006583270417810025,-0.0024802714646464663,-0.002123121238445158,0.0259790285859415,0.0253207015441605,0.7752754103535353,0.7727951388888888
eegnet,MMD,1.0,3,1,0.007595982876033001,-0.0031250000000000444,-0.004551925373042609,0.0379865848331022,0.0303906019570692,0.7771109532828283,0.7739859532828283
eegnet,MMD,1.0,3,2,-0.0016627260215272,-0.0037571022727271863,-0.0028230021535574634,0.0335452436768146,0.0352079696983418,0.7815648674242424,0.7778077651515152
eegnet,MMD,1.0,4,0,0.010815612261783,-0.003750000000000031,-0.004495210886976908,0.0276108733125572,0.0167952610507742,0.771875,0.768125
eegnet,MMD,1.0,4,1,-0.005862946638659702,0.012499999999999956,0.013795949413336617,0.018025370067594,0.0238883167062537,0.7781250000000001,0.790625
eegnet,MMD,1.0,4,2,-0.0051881417498552025,-0.0006249999999999867,-0.0007603720087797639,0.0217407729651899,0.0269289147150451,0.77125,0.770625
