backbone,method,lambda,fold,seed,subject_id,BA,macro_f1,session,selected_by_source_validation
eegnet,DANN,0.1,0,0,37,0.87,0.8699479791916767,S3,True
eegnet,DANN,1.0,0,0,1,0.885,0.8849741191768148,S3,False
eegnet,DANN,1.0,0,0,3,0.78,0.77997799779978,S3,False
eegnet,DANN,1.0,0,0,5,0.73,0.7298919567827131,S3,False
eegnet,DANN,1.0,0,0,16,0.475,0.4702187239839551,S3,False
eegnet,DANN,1.0,0,0,19,0.91,0.90999099909991,S3,False
eegnet,DANN,1.0,0,0,21,0.8,0.7999199679871949,S3,False
eegnet,DANN,1.0,0,0,28,0.64,0.637060187518903,S3,False
eegnet,DANN,1.0,0,0,33,0.88,0.8799519807923168,S3,False
eegnet,DANN,1.0,0,0,37,0.78,0.77997799779978,S3,False
eegnet,CORAL,0.01,0,0,1,0.955,0.9549988749718744,S3,False
eegnet,CORAL,0.01,0,0,3,0.895,0.8949763696831787,S3,False
eegnet,CORAL,0.01,0,0,5,0.755,0.7542566262945409,S3,False
eegnet,CORAL,0.01,0,0,16,0.5700000000000001,0.567882624861823,S3,False
eegnet,CORAL,0.01,0,0,19,0.95,0.9499799919967988,S3,False
eegnet,CORAL,0.01,0,0,21,0.865,0.8649696181640869,S3,False
eegnet,CORAL,0.01,0,0,28,0.645,0.6447779862414009,S3,False
eegnet,CORAL,0.01,0,0,33,0.95,0.9499799919967988,S3,False
eegnet,CORAL,0.01,0,0,37,0.91,0.9099639855942376,S3,False
eegnet,CORAL,0.1,0,0,1,0.945,0.9449656035021888,S3,True
eegnet,CORAL,0.1,0,0,3,0.875,0.8748466871918099,S3,True
eegnet,CORAL,0.1,0,0,5,0.7649999999999999,0.7642869680784372,S3,True
eegnet,CORAL,0.1,0,0,16,0.575,0.5682539682539682,S3,True
eegnet,CORAL,0.1,0,0,19,0.945,0.9449876222149984,S3,True
eegnet,CORAL,0.1,0,0,21,0.845,0.8448098921178444,S3,True
eegnet,CORAL,0.1,0,0,28,0.655,0.6542999574137629,S3,True
eegnet,CORAL,0.1,0,0,33,0.96,0.959983993597439,S3,True
eegnet,CORAL,0.1,0,0,37,0.895,0.8947869435607105,S3,True
eegnet,CORAL,1.0,0,0,1,0.93,0.93,S3,False
eegnet,CORAL,1.0,0,0,3,0.905,0.9049405878674172,S3,False
eegnet,CORAL,1.0,0,0,5,0.745,0.7442262845106447,S3,False
eegnet,CORAL,1.0,0,0,16,0.545,0.5377777777777777,S3,False
eegnet,CORAL,1.0,0,0,19,0.95,0.94999499949995,S3,False
eegnet,CORAL,1.0,0,0,21,0.85,0.85,S3,False
eegnet,CORAL,1.0,0,0,28,0.645,0.6445645916247403,S3,False
eegnet,CORAL,1.0,0,0,33,0.95,0.9499799919967988,S3,False
eegnet,CORAL,1.0,0,0,37,0.885,0.8846510694851927,S3,False
eegnet,MMD,0.01,0,0,1,0.955,0.9549988749718744,S3,True
eegnet,MMD,0.01,0,0,3,0.89,0.89,S3,True
eegnet,MMD,0.01,0,0,5,0.745,0.7444825772188681,S3,True
eegnet,MMD,0.01,0,0,16,0.5800000000000001,0.5772946859903382,S3,True
eegnet,MMD,0.01,0,0,19,0.945,0.944998624965624,S3,True
eegnet,MMD,0.01,0,0,21,0.845,0.844965117151359,S3,True
eegnet,MMD,0.01,0,0,28,0.66,0.6598639455782312,S3,True
eegnet,MMD,0.01,0,0,33,0.955,0.954971857410882,S3,True
eegnet,MMD,0.01,0,0,37,0.905,0.9049405878674172,S3,True
eegnet,MMD,0.1,0,0,1,0.935,0.934998374959374,S3,False
eegnet,MMD,0.1,0,0,3,0.895,0.8949973749343734,S3,False
eegnet,MMD,0.1,0,0,5,0.755,0.7545028683083244,S3,False
eegnet,MMD,0.1,0,0,16,0.55,0.5463252343986289,S3,False
eegnet,MMD,0.1,0,0,19,0.945,0.944998624965624,S3,False
eegnet,MMD,0.1,0,0,21,0.835,0.8349628666449951,S3,False
eegnet,MMD,0.1,0,0,28,0.6499999999999999,0.6491228070175439,S3,False
eegnet,MMD,0.1,0,0,33,0.95,0.9499799919967988,S3,False
eegnet,MMD,0.1,0,0,37,0.88,0.8796992481203008,S3,False
eegnet,MMD,1.0,0,0,1,0.91,0.9098557692307692,S3,False
eegnet,MMD,1.0,0,0,3,0.885,0.8849741191768148,S3,False
eegnet,MMD,1.0,0,0,5,0.775,0.7747240369452579,S3,False
eegnet,MMD,1.0,0,0,16,0.48,0.4696042431660546,S3,False
eegnet,MMD,1.0,0,0,19,0.97,0.97,S3,False
eegnet,MMD,1.0,0,0,21,0.8200000000000001,0.8197115384615384,S3,False
eegnet,MMD,1.0,0,0,28,0.6699999999999999,0.6688077077478924,S3,False
eegnet,MMD,1.0,0,0,33,0.9,0.8999899989999001,S3,False
eegnet,MMD,1.0,0,0,37,0.835,0.8349628666449951,S3,False
eegnet,ERM,0.0,0,1,1,0.925,0.9249530956848032,S3,True
eegnet,ERM,0.0,0,1,3,0.855,0.8545600441335038,S3,True
eegnet,ERM,0.0,0,1,5,0.765,0.7648530331457161,S3,True
eegnet,ERM,0.0,0,1,16,0.515,0.5122564424890006,S3,True
eegnet,ERM,0.0,0,1,19,0.95,0.94999499949995,S3,True
eegnet,ERM,0.0,0,1,21,0.8200000000000001,0.8198378540686617,S3,True
eegnet,ERM,0.0,0,1,28,0.62,0.6168968646032866,S3,True
eegnet,ERM,0.0,0,1,33,0.955,0.9549988749718744,S3,True
eegnet,ERM,0.0,0,1,37,0.865,0.8648344221671547,S3,True
eegnet,DANN,0.01,0,1,1,0.955,0.9549988749718744,S3,False
eegnet,DANN,0.01,0,1,3,0.87,0.8699479791916767,S3,False
eegnet,DANN,0.01,0,1,5,0.77,0.7691690084303493,S3,False
eegnet,DANN,0.01,0,1,16,0.495,0.4921433060967944,S3,False
eegnet,DANN,0.01,0,1,19,0.95,0.94999499949995,S3,False
eegnet,DANN,0.01,0,1,21,0.8200000000000001,0.8199279711884754,S3,False
eegnet,DANN,0.01,0,1,28,0.6599999999999999,0.6587715776796468,S3,False
eegnet,DANN,0.01,0,1,33,0.94,0.94,S3,False
eegnet,DANN,0.01,0,1,37,0.85,0.8499399759903962,S3,False
eegnet,DANN,0.1,0,1,1,0.94,0.94,S3,True
eegnet,DANN,0.1,0,1,3,0.8400000000000001,0.8395989974937343,S3,True
eegnet,DANN,0.1,0,1,5,0.77,0.7694235588972431,S3,True
eegnet,DANN,0.1,0,1,16,0.51,0.5082296266559615,S3,True
eegnet,DANN,0.1,0,1,19,0.95,0.94999499949995,S3,True
eegnet,DANN,0.1,0,1,21,0.7949999999999999,0.7948717948717949,S3,True
eegnet,DANN,0.1,0,1,28,0.6799999999999999,0.6794871794871795,S3,True
eegnet,DANN,0.1,0,1,33,0.94,0.9399459513562206,S3,True
eegnet,DANN,0.1,0,1,37,0.8300000000000001,0.8295739348370927,S3,True
eegnet,DANN,1.0,0,1,1,0.92,0.92,S3,False
eegnet,DANN,1.0,0,1,3,0.81,0.809313528703332,S3,False
eegnet,DANN,1.0,0,1,5,0.74,0.7398959583833533,S3,False
eegnet,DANN,1.0,0,1,16,0.48,0.4747474747474747,S3,False
eegnet,DANN,1.0,0,1,19,0.95,0.9499799919967988,S3,False
eegnet,DANN,1.0,0,1,21,0.8200000000000001,0.8193496587715776,S3,False
eegnet,DANN,1.0,0,1,28,0.665,0.6649246080368083,S3,False
eegnet,DANN,1.0,0,1,33,0.94,0.94,S3,False
eegnet,DANN,1.0,0,1,37,0.865,0.8649966249156229,S3,False
eegnet,CORAL,0.01,0,1,1,0.93,0.9299719887955182,S3,False
eegnet,CORAL,0.01,0,1,3,0.8400000000000001,0.8395989974937343,S3,False
eegnet,CORAL,0.01,0,1,5,0.76,0.7596153846153846,S3,False
eegnet,CORAL,0.01,0,1,16,0.4599999999999999,0.4533859702399028,S3,False
eegnet,CORAL,0.01,0,1,19,0.96,0.95999599959996,S3,False
eegnet,CORAL,0.01,0,1,21,0.7949999999999999,0.794377993430126,S3,False
eegnet,CORAL,0.01,0,1,28,0.635,0.6292063492063492,S3,False
eegnet,CORAL,0.01,0,1,33,0.95,0.94999499949995,S3,False
eegnet,CORAL,0.01,0,1,37,0.835,0.8348968105065666,S3,False
eegnet,CORAL,0.1,0,1,1,0.945,0.944998624965624,S3,False
eegnet,CORAL,0.1,0,1,3,0.87,0.8698828946051447,S3,False
eegnet,CORAL,0.1,0,1,5,0.77,0.7694235588972431,S3,False
eegnet,CORAL,0.1,0,1,16,0.47,0.4622564935064935,S3,False
eegnet,CORAL,0.1,0,1,19,0.96,0.96,S3,False
eegnet,CORAL,0.1,0,1,21,0.79,0.7892412685668406,S3,False
eegnet,CORAL,0.1,0,1,28,0.65,0.6464646464646464,S3,False
eegnet,CORAL,0.1,0,1,33,0.95,0.94999499949995,S3,False
eegnet,CORAL,0.1,0,1,37,0.8300000000000001,0.8299319727891157,S3,False
eegnet,CORAL,1.0,0,1,1,0.94,0.9399759903961584,S3,True
eegnet,CORAL,1.0,0,1,3,0.88,0.8799519807923168,S3,True
eegnet,CORAL,1.0,0,1,5,0.76,0.7593984962406015,S3,True
eegnet,CORAL,1.0,0,1,16,0.485,0.4739395796624019,S3,True
eegnet,CORAL,1.0,0,1,19,0.945,0.9449876222149984,S3,True
eegnet,CORAL,1.0,0,1,21,0.8049999999999999,0.8044083352140223,S3,True
eegnet,CORAL,1.0,0,1,28,0.66,0.65996599659966,S3,True
eegnet,CORAL,1.0,0,1,33,0.95,0.94999499949995,S3,True
eegnet,CORAL,1.0,0,1,37,0.855,0.8549963749093727,S3,True
eegnet,MMD,0.01,0,1,1,0.925,0.924908012315086,S3,False
eegnet,MMD,0.01,0,1,3,0.885,0.8849280800500312,S3,False
eegnet,MMD,0.01,0,1,5,0.775,0.7748592870544091,S3,False
eegnet,MMD,0.01,0,1,16,0.495,0.4790457769181173,S3,False
eegnet,MMD,0.01,0,1,19,0.955,0.9549988749718744,S3,False
eegnet,MMD,0.01,0,1,21,0.8400000000000001,0.8395989974937343,S3,False
eegnet,MMD,0.01,0,1,28,0.615,0.6098401357959008,S3,False
eegnet,MMD,0.01,0,1,33,0.96,0.96,S3,False
eegnet,MMD,0.01,0,1,37,0.905,0.9049786201895428,S3,False
eegnet,MMD,0.1,0,1,1,0.925,0.924908012315086,S3,False
eegnet,MMD,0.1,0,1,3,0.855,0.8543847756772364,S3,False
eegnet,MMD,0.1,0,1,5,0.75,0.7498999599839936,S3,False
eegnet,MMD,0.1,0,1,16,0.49,0.483753416337686,S3,False
eegnet,MMD,0.1,0,1,19,0.945,0.944998624965624,S3,False
eegnet,MMD,0.1,0,1,21,0.815,0.8146246148450612,S3,False
eegnet,MMD,0.1,0,1,28,0.64,0.6376811594202898,S3,False
eegnet,MMD,0.1,0,1,33,0.945,0.944998624965624,S3,False
eegnet,MMD,0.1,0,1,37,0.865,0.8649696181640869,S3,False
eegnet,MMD,1.0,0,1,1,0.94,0.9399759903961584,S3,True
eegnet,MMD,1.0,0,1,3,0.87,0.8697916666666667,S3,True
eegnet,MMD,1.0,0,1,5,0.75,0.7497747973175859,S3,True
eegnet,MMD,1.0,0,1,16,0.475,0.4603068541029529,S3,True
eegnet,MMD,1.0,0,1,19,0.945,0.944998624965624,S3,True
eegnet,MMD,1.0,0,1,21,0.8,0.7996794871794872,S3,True
eegnet,MMD,1.0,0,1,28,0.6599999999999999,0.6587715776796468,S3,True
eegnet,MMD,1.0,0,1,33,0.935,0.934998374959374,S3,True
eegnet,MMD,1.0,0,1,37,0.84,0.83998399839984,S3,True
eegnet,ERM,0.0,0,2,1,0.93,0.9299719887955182,S3,True
eegnet,ERM,0.0,0,2,3,0.86,0.859873886497848,S3,True
eegnet,ERM,0.0,0,2,5,0.7549999999999999,0.7539604830408475,S3,True
eegnet,ERM,0.0,0,2,16,0.53,0.5219204557013528,S3,True
eegnet,ERM,0.0,0,2,19,0.945,0.9449876222149984,S3,True
eegnet,ERM,0.0,0,2,21,0.835,0.8348968105065666,S3,True
eegnet,ERM,0.0,0,2,28,0.665,0.6639835502394744,S3,True
eegnet,ERM,0.0,0,2,33,0.935,0.934998374959374,S3,True
eegnet,ERM,0.0,0,2,37,0.885,0.8849971249281232,S3,True
eegnet,DANN,0.01,0,2,1,0.9,0.8999099189270343,S3,False
eegnet,DANN,0.01,0,2,3,0.85,0.85,S3,False
eegnet,DANN,0.01,0,2,5,0.77,0.7691690084303493,S3,False
eegnet,DANN,0.01,0,2,16,0.54,0.537037037037037,S3,False
eegnet,DANN,0.01,0,2,19,0.94,0.93999399939994,S3,False
eegnet,DANN,0.01,0,2,21,0.865,0.864726070292342,S3,False
eegnet,DANN,0.01,0,2,28,0.665,0.6635786196680977,S3,False
eegnet,DANN,0.01,0,2,33,0.955,0.9549988749718744,S3,False
eegnet,DANN,0.01,0,2,37,0.855,0.8549093183239524,S3,False
eegnet,DANN,0.1,0,2,1,0.89,0.889823717948718,S3,True
eegnet,DANN,0.1,0,2,3,0.875,0.8749968749218731,S3,True
eegnet,DANN,0.1,0,2,5,0.7749999999999999,0.7743173098623335,S3,True
eegnet,DANN,0.1,0,2,16,0.56,0.5571658615136876,S3,True
eegnet,DANN,0.1,0,2,19,0.93,0.92999299929993,S3,True
eegnet,DANN,0.1,0,2,21,0.86,0.859775641025641,S3,True
eegnet,DANN,0.1,0,2,28,0.635,0.6329352608422376,S3,True
eegnet,DANN,0.1,0,2,33,0.96,0.95999599959996,S3,True
eegnet,DANN,0.1,0,2,37,0.88,0.8799519807923168,S3,True
eegnet,DANN,1.0,0,2,1,0.905,0.9049976249406236,S3,False
eegnet,DANN,1.0,0,2,3,0.85,0.8498648783905515,S3,False
eegnet,DANN,1.0,0,2,5,0.75,0.749599358974359,S3,False
eegnet,DANN,1.0,0,2,16,0.5449999999999999,0.543619448832719,S3,False
eegnet,DANN,1.0,0,2,19,0.925,0.9249981249531238,S3,False
eegnet,DANN,1.0,0,2,21,0.85,0.85,S3,False
eegnet,DANN,1.0,0,2,28,0.69,0.6888799678843838,S3,False
eegnet,DANN,1.0,0,2,33,0.95,0.95,S3,False
eegnet,DANN,1.0,0,2,37,0.835,0.8346651970239736,S3,False
eegnet,CORAL,0.01,0,2,1,0.885,0.8849971249281232,S3,False
eegnet,CORAL,0.01,0,2,3,0.865,0.8649696181640869,S3,False
eegnet,CORAL,0.01,0,2,5,0.74,0.7378768020969856,S3,False
eegnet,CORAL,0.01,0,2,16,0.475,0.474671669793621,S3,False
eegnet,CORAL,0.01,0,2,19,0.945,0.9449876222149984,S3,False
eegnet,CORAL,0.01,0,2,21,0.815,0.8149953748843721,S3,False
eegnet,CORAL,0.01,0,2,28,0.625,0.6208195353775374,S3,False
eegnet,CORAL,0.01,0,2,33,0.935,0.934959349593496,S3,False
eegnet,CORAL,0.01,0,2,37,0.835,0.8347976270931892,S3,False
eegnet,CORAL,0.1,0,2,1,0.89,0.89,S3,False
eegnet,CORAL,0.1,0,2,3,0.845,0.8448098921178444,S3,False
eegnet,CORAL,0.1,0,2,5,0.76,0.7580401250126021,S3,False
eegnet,CORAL,0.1,0,2,16,0.475,0.474671669793621,S3,False
eegnet,CORAL,0.1,0,2,19,0.94,0.9399759903961584,S3,False
eegnet,CORAL,0.1,0,2,21,0.82,0.82,S3,False
eegnet,CORAL,0.1,0,2,28,0.645,0.6417669466939125,S3,False
eegnet,CORAL,0.1,0,2,33,0.93,0.9299719887955182,S3,False
eegnet,CORAL,0.1,0,2,37,0.8400000000000001,0.8397435897435898,S3,False
eegnet,CORAL,1.0,0,2,1,0.915,0.9149808706959066,S3,True
eegnet,CORAL,1.0,0,2,3,0.88,0.8798919027124412,S3,True
eegnet,CORAL,1.0,0,2,5,0.755,0.7545028683083244,S3,True
eegnet,CORAL,1.0,0,2,16,0.545,0.5389019786678828,S3,True
eegnet,CORAL,1.0,0,2,19,0.93,0.93,S3,True
eegnet,CORAL,1.0,0,2,21,0.84,0.8399359743897559,S3,True
eegnet,CORAL,1.0,0,2,28,0.7,0.6992481203007519,S3,True
eegnet,CORAL,1.0,0,2,33,0.95,0.94999499949995,S3,True
eegnet,CORAL,1.0,0,2,37,0.875,0.8749218261413383,S3,True
eegnet,MMD,0.01,0,2,1,0.895,0.8949973749343734,S3,False
eegnet,MMD,0.01,0,2,3,0.845,0.844965117151359,S3,False
eegnet,MMD,0.01,0,2,5,0.7749999999999999,0.7743173098623335,S3,False
eegnet,MMD,0.01,0,2,16,0.54,0.5377349010149733,S3,False
eegnet,MMD,0.01,0,2,19,0.92,0.919967987194878,S3,False
eegnet,MMD,0.01,0,2,21,0.835,0.8344993605657113,S3,False
eegnet,MMD,0.01,0,2,28,0.6499999999999999,0.6491228070175439,S3,False
eegnet,MMD,0.01,0,2,33,0.955,0.9549988749718744,S3,False
eegnet,MMD,0.01,0,2,37,0.865,0.8649966249156229,S3,False
eegnet,MMD,0.1,0,2,1,0.9,0.8999899989999001,S3,True
eegnet,MMD,0.1,0,2,3,0.885,0.8849741191768148,S3,True
eegnet,MMD,0.1,0,2,5,0.7549999999999999,0.7539604830408475,S3,True
eegnet,MMD,0.1,0,2,16,0.51,0.5087719298245614,S3,True
eegnet,MMD,0.1,0,2,19,0.93,0.93,S3,True
eegnet,MMD,0.1,0,2,21,0.825,0.8249606161386311,S3,True
eegnet,MMD,0.1,0,2,28,0.675,0.6743405395926751,S3,True
eegnet,MMD,0.1,0,2,33,0.95,0.94999499949995,S3,True
eegnet,MMD,0.1,0,2,37,0.88,0.87998799879988,S3,True
eegnet,MMD,1.0,0,2,1,0.915,0.9149978749468736,S3,False
eegnet,MMD,1.0,0,2,3,0.875,0.8749718686704508,S3,False
eegnet,MMD,1.0,0,2,5,0.755,0.7546995068959474,S3,False
eegnet,MMD,1.0,0,2,16,0.52,0.5151515151515151,S3,False
eegnet,MMD,1.0,0,2,19,0.945,0.944998624965624,S3,False
eegnet,MMD,1.0,0,2,21,0.8300000000000001,0.8298468621759583,S3,False
eegnet,MMD,1.0,0,2,28,0.6599999999999999,0.6587715776796468,S3,False
eegnet,MMD,1.0,0,2,33,0.95,0.94999499949995,S3,False
eegnet,MMD,1.0,0,2,37,0.87,0.8699869986998701,S3,False
eegnet,ERM,0.0,1,0,2,0.77,0.77,S3,True
eegnet,ERM,0.0,1,0,11,0.75,0.749599358974359,S3,True
eegnet,ERM,0.0,1,0,13,0.855,0.8541797611565054,S3,True
eegnet,ERM,0.0,1,0,18,0.625,0.6242390841453944,S3,True
eegnet,ERM,0.0,1,0,27,0.5900000000000001,0.5896306676008407,S3,True
eegnet,ERM,0.0,1,0,36,0.97,0.97,S3,True
eegnet,ERM,0.0,1,0,44,0.79,0.7896634615384616,S3,True
eegnet,ERM,0.0,1,0,45,0.94,0.94,S3,True
eegnet,DANN,0.01,1,0,2,0.77,0.7699079631852741,S3,True
eegnet,DANN,0.01,1,0,11,0.775,0.7748592870544091,S3,True
eegnet,DANN,0.01,1,0,13,0.835,0.8344993605657113,S3,True
eegnet,DANN,0.01,1,0,18,0.605,0.6014026589974519,S3,True
eegnet,DANN,0.01,1,0,27,0.61,0.6052232007288187,S3,True
eegnet,DANN,0.01,1,0,36,0.97,0.97,S3,True
eegnet,DANN,0.01,1,0,44,0.79,0.7889659330720531,S3,True
eegnet,DANN,0.01,1,0,45,0.95,0.94999499949995,S3,True
eegnet,DANN,0.1,1,0,2,0.775,0.7749943748593715,S3,False
eegnet,DANN,0.1,1,0,11,0.77,0.7699769976997699,S3,False
eegnet,DANN,0.1,1,0,13,0.8400000000000001,0.8392121394834691,S3,False
eegnet,DANN,0.1,1,0,18,0.6,0.5967335416876701,S3,False
eegnet,DANN,0.1,1,0,27,0.585,0.5794380684553216,S3,False
eegnet,DANN,0.1,1,0,36,0.97,0.97,S3,False
eegnet,DANN,0.1,1,0,44,0.7849999999999999,0.7837837837837838,S3,False
eegnet,DANN,0.1,1,0,45,0.945,0.9449876222149984,S3,False
eegnet,DANN,1.0,1,0,2,0.755,0.7549448625940837,S3,False
eegnet,DANN,1.0,1,0,11,0.69,0.6892230576441103,S3,False
eegnet,DANN,1.0,1,0,13,0.845,0.8446854881134297,S3,False
eegnet,DANN,1.0,1,0,18,0.61,0.609375,S3,False
eegnet,DANN,1.0,1,0,27,0.58,0.57995799579958,S3,False
eegnet,DANN,1.0,1,0,36,0.97,0.9699879951980792,S3,False
eegnet,DANN,1.0,1,0,44,0.79,0.7898108297467721,S3,False
eegnet,DANN,1.0,1,0,45,0.935,0.934998374959374,S3,False
eegnet,CORAL,0.01,1,0,2,0.765,0.7649941248531213,S3,False
eegnet,CORAL,0.01,1,0,11,0.75,0.7497747973175859,S3,False
eegnet,CORAL,0.01,1,0,13,0.8500000000000001,0.8492613807657522,S3,False
eegnet,CORAL,0.01,1,0,18,0.63,0.6294070512820513,S3,False
eegnet,CORAL,0.01,1,0,27,0.605,0.6045155315261195,S3,False
eegnet,CORAL,0.01,1,0,36,0.97,0.97,S3,False
eegnet,CORAL,0.01,1,0,44,0.7849999999999999,0.7847363019699132,S3,False
eegnet,CORAL,0.01,1,0,45,0.94,0.94,S3,False
eegnet,CORAL,0.1,1,0,2,0.775,0.7749493636068115,S3,False
eegnet,CORAL,0.1,1,0,11,0.725,0.7249931248281207,S3,False
eegnet,CORAL,0.1,1,0,13,0.855,0.8543847756772364,S3,False
eegnet,CORAL,0.1,1,0,18,0.635,0.6342593752348505,S3,False
eegnet,CORAL,0.1,1,0,27,0.61,0.6068152031454783,S3,False
eegnet,CORAL,0.1,1,0,36,0.965,0.9649991249781243,S3,False
eegnet,CORAL,0.1,1,0,44,0.8049999999999999,0.8048780487804879,S3,False
eegnet,CORAL,0.1,1,0,45,0.955,0.9549988749718744,S3,False
eegnet,CORAL,1.0,1,0,2,0.755,0.7549938748468712,S3,True
eegnet,CORAL,1.0,1,0,11,0.755,0.7549448625940837,S3,True
eegnet,CORAL,1.0,1,0,13,0.8600000000000001,0.8593106220480353,S3,True
eegnet,CORAL,1.0,1,0,18,0.6399999999999999,0.6386993175431553,S3,True
eegnet,CORAL,1.0,1,0,27,0.5900000000000001,0.5866518802298619,S3,True
eegnet,CORAL,1.0,1,0,36,0.975,0.9749993749843746,S3,True
eegnet,CORAL,1.0,1,0,44,0.7949999999999999,0.794377993430126,S3,True
eegnet,CORAL,1.0,1,0,45,0.945,0.944998624965624,S3,True
eegnet,MMD,0.01,1,0,2,0.775,0.7749943748593715,S3,False
eegnet,MMD,0.01,1,0,11,0.745,0.7446872418712923,S3,False
eegnet,MMD,0.01,1,0,13,0.8500000000000001,0.8492613807657522,S3,False
eegnet,MMD,0.01,1,0,18,0.625,0.6245400615754299,S3,False
eegnet,MMD,0.01,1,0,27,0.6000000000000001,0.5989974937343359,S3,False
eegnet,MMD,0.01,1,0,36,0.97,0.97,S3,False
eegnet,MMD,0.01,1,0,44,0.7849999999999999,0.7847363019699132,S3,False
eegnet,MMD,0.01,1,0,45,0.945,0.944998624965624,S3,False
eegnet,MMD,0.1,1,0,2,0.77,0.77,S3,True
eegnet,MMD,0.1,1,0,11,0.745,0.7446872418712923,S3,True
eegnet,MMD,0.1,1,0,13,0.845,0.8443423464135975,S3,True
eegnet,MMD,0.1,1,0,18,0.62,0.6193910256410255,S3,True
eegnet,MMD,0.1,1,0,27,0.5800000000000001,0.5793269230769231,S3,True
eegnet,MMD,0.1,1,0,36,0.975,0.9749993749843746,S3,True
eegnet,MMD,0.1,1,0,44,0.775,0.7747240369452579,S3,True
eegnet,MMD,0.1,1,0,45,0.945,0.9449876222149984,S3,True
eegnet,MMD,1.0,1,0,2,0.74,0.7399739973997399,S3,False
eegnet,MMD,1.0,1,0,11,0.77,0.7699079631852741,S3,False
eegnet,MMD,1.0,1,0,13,0.8400000000000001,0.8395989974937343,S3,False
eegnet,MMD,1.0,1,0,18,0.615,0.6149133555049886,S3,False
eegnet,MMD,1.0,1,0,27,0.595,0.5949898747468687,S3,False
eegnet,MMD,1.0,1,0,36,0.97,0.96999699969997,S3,False
eegnet,MMD,1.0,1,0,44,0.78,0.7798018216394755,S3,False
eegnet,MMD,1.0,1,0,45,0.945,0.944998624965624,S3,False
eegnet,ERM,0.0,1,1,2,0.745,0.7449426120877197,S3,True
eegnet,ERM,0.0,1,1,11,0.675,0.6747967479674797,S3,True
eegnet,ERM,0.0,1,1,13,0.845,0.8441231929604023,S3,True
eegnet,ERM,0.0,1,1,18,0.645,0.6417669466939125,S3,True
eegnet,ERM,0.0,1,1,27,0.665,0.6639835502394744,S3,True
eegnet,ERM,0.0,1,1,36,0.975,0.9749993749843746,S3,True
eegnet,ERM,0.0,1,1,44,0.8,0.7990151743543362,S3,True
eegnet,ERM,0.0,1,1,45,0.945,0.9449876222149984,S3,True
eegnet,DANN,0.01,1,1,2,0.76,0.75997599759976,S3,False
eegnet,DANN,0.01,1,1,11,0.6799999999999999,0.67996799679968,S3,False
eegnet,DANN,0.01,1,1,13,0.8500000000000001,0.8494580489763148,S3,False
eegnet,DANN,0.01,1,1,18,0.655,0.6524892347208582,S3,False
eegnet,DANN,0.01,1,1,27,0.63,0.6269785260610949,S3,False
eegnet,DANN,0.01,1,1,36,0.975,0.9749993749843746,S3,False
eegnet,DANN,0.01,1,1,44,0.81,0.8098288459613652,S3,False
eegnet,DANN,0.01,1,1,45,0.94,0.9399759903961584,S3,False
eegnet,DANN,0.1,1,1,2,0.76,0.75997599759976,S3,True
eegnet,DANN,0.1,1,1,11,0.73,0.72997299729973,S3,True
eegnet,DANN,0.1,1,1,13,0.8500000000000001,0.8492613807657522,S3,True
eegnet,DANN,0.1,1,1,18,0.64,0.637060187518903,S3,True
eegnet,DANN,0.1,1,1,27,0.62,0.6134676024819449,S3,True
