dataset,seed,outer_fold,alpha,policy,parameter
hmc,1,0,0.1,agreement_gate_crc,0.9666666666666667
hmc,1,0,0.1,probe_set_gain_only_crc,0.0
hmc,1,1,0.1,best_fixed_action_crc,official_t3a
hmc,1,1,0.1,entropy_gate_crc,-0.0008848671159740196
hmc,1,1,0.1,agreement_gate_crc,0.9888888888888889
hmc,1,1,0.1,probe_set_gain_only_crc,0.0
hmc,1,2,0.1,best_fixed_action_crc,official_t3a
hmc,1,2,0.1,entropy_gate_crc,-0.0008848671159740196
hmc,1,2,0.1,agreement_gate_crc,0.9888888888888889
hmc,1,2,0.1,probe_set_gain_only_crc,0.0
hmc,1,3,0.1,best_fixed_action_crc,robust_residual_adapter
hmc,1,3,0.1,entropy_gate_crc,0.0
hmc,1,3,0.1,agreement_gate_crc,1.0
hmc,1,3,0.1,probe_set_gain_only_crc,0.0
hmc,1,4,0.1,best_fixed_action_crc,robust_residual_adapter
hmc,1,4,0.1,entropy_gate_crc,-0.0035148497317108174
hmc,1,4,0.1,agreement_gate_crc,0.9888888888888889
hmc,1,4,0.1,probe_set_gain_only_crc,0.0
hmc,2,0,0.1,best_fixed_action_crc,official_t3a
hmc,2,0,0.1,entropy_gate_crc,0.0
hmc,2,0,0.1,agreement_gate_crc,0.9777777777777777
hmc,2,0,0.1,probe_set_gain_only_crc,0.0
hmc,2,1,0.1,best_fixed_action_crc,official_t3a
hmc,2,1,0.1,entropy_gate_crc,-0.005342201940149532
hmc,2,1,0.1,agreement_gate_crc,0.9555555555555556
hmc,2,1,0.1,probe_set_gain_only_crc,0.0
hmc,2,2,0.1,best_fixed_action_crc,official_t3a
hmc,2,2,0.1,entropy_gate_crc,-0.005991742323680688
hmc,2,2,0.1,agreement_gate_crc,0.9222222222222223
hmc,2,2,0.1,probe_set_gain_only_crc,0.0
hmc,2,3,0.1,best_fixed_action_crc,robust_residual_adapter
hmc,2,3,0.1,entropy_gate_crc,-0.006697103351827993
hmc,2,3,0.1,agreement_gate_crc,0.9222222222222223
hmc,2,3,0.1,probe_set_gain_only_crc,0.0
hmc,2,4,0.1,best_fixed_action_crc,official_t3a
hmc,2,4,0.1,entropy_gate_crc,-0.005776101410474049
hmc,2,4,0.1,agreement_gate_crc,0.9555555555555556
hmc,2,4,0.1,probe_set_gain_only_crc,0.0
hmc,3,0,0.1,best_fixed_action_crc,robust_residual_adapter
hmc,3,0,0.1,entropy_gate_crc,0.0
hmc,3,0,0.1,agreement_gate_crc,0.9444444444444444
hmc,3,0,0.1,probe_set_gain_only_crc,0.0
hmc,3,1,0.1,best_fixed_action_crc,robust_residual_adapter
hmc,3,1,0.1,entropy_gate_crc,0.0
hmc,3,1,0.1,agreement_gate_crc,0.9333333333333333
hmc,3,1,0.1,probe_set_gain_only_crc,0.0
hmc,3,2,0.1,best_fixed_action_crc,robust_residual_adapter
hmc,3,2,0.1,entropy_gate_crc,0.0
hmc,3,2,0.1,agreement_gate_crc,0.9111111111111111
hmc,3,2,0.1,probe_set_gain_only_crc,0.0
hmc,3,3,0.1,best_fixed_action_crc,robust_residual_adapter
hmc,3,3,0.1,entropy_gate_crc,0.0
hmc,3,3,0.1,agreement_gate_crc,0.9666666666666667
hmc,3,3,0.1,probe_set_gain_only_crc,0.0
hmc,3,4,0.1,best_fixed_action_crc,robust_residual_adapter
hmc,3,4,0.1,entropy_gate_crc,0.0
hmc,3,4,0.1,agreement_gate_crc,0.9111111111111111
hmc,3,4,0.1,probe_set_gain_only_crc,0.0
hmc,4,0,0.1,best_fixed_action_crc,robust_residual_adapter
hmc,4,0,0.1,entropy_gate_crc,0.0
hmc,4,0,0.1,agreement_gate_crc,0.9111111111111111
hmc,4,0,0.1,probe_set_gain_only_crc,0.0
hmc,4,1,0.1,best_fixed_action_crc,robust_residual_adapter
hmc,4,1,0.1,entropy_gate_crc,0.0
hmc,4,1,0.1,agreement_gate_crc,0.9444444444444444
hmc,4,1,0.1,probe_set_gain_only_crc,0.0
hmc,4,2,0.1,best_fixed_action_crc,robust_residual_adapter
hmc,4,2,0.1,entropy_gate_crc,0.0
hmc,4,2,0.1,agreement_gate_crc,0.9
hmc,4,2,0.1,probe_set_gain_only_crc,0.0
hmc,4,3,0.1,best_fixed_action_crc,robust_residual_adapter
hmc,4,3,0.1,entropy_gate_crc,0.0
hmc,4,3,0.1,agreement_gate_crc,0.9333333333333333
hmc,4,3,0.1,probe_set_gain_only_crc,0.0
hmc,4,4,0.1,best_fixed_action_crc,robust_residual_adapter
hmc,4,4,0.1,entropy_gate_crc,0.0
hmc,4,4,0.1,agreement_gate_crc,0.9888888888888889
hmc,4,4,0.1,probe_set_gain_only_crc,0.0
eegmmidb,0,0,0.2,best_fixed_action_crc,robust_residual_adapter
eegmmidb,0,0,0.2,entropy_gate_crc,0.0
eegmmidb,0,0,0.2,agreement_gate_crc,0.9333333333333333
eegmmidb,0,0,0.2,probe_set_gain_only_crc,0.0
eegmmidb,0,1,0.2,best_fixed_action_crc,robust_residual_adapter
eegmmidb,0,1,0.2,entropy_gate_crc,-0.00014497650305367316
eegmmidb,0,1,0.2,agreement_gate_crc,0.9333333333333333
eegmmidb,0,1,0.2,probe_set_gain_only_crc,0.0
eegmmidb,0,2,0.2,best_fixed_action_crc,robust_residual_adapter
eegmmidb,0,2,0.2,entropy_gate_crc,-1.9362603451200666e-05
eegmmidb,0,2,0.2,agreement_gate_crc,0.9333333333333333
eegmmidb,0,2,0.2,probe_set_gain_only_crc,0.0
eegmmidb,0,3,0.2,best_fixed_action_crc,official_t3a
eegmmidb,0,3,0.2,entropy_gate_crc,-0.002020031320592197
eegmmidb,0,3,0.2,agreement_gate_crc,0.9333333333333333
eegmmidb,0,3,0.2,probe_set_gain_only_crc,0.0
eegmmidb,0,4,0.2,best_fixed_action_crc,robust_residual_adapter
eegmmidb,0,4,0.2,entropy_gate_crc,-4.1124990746155277e-08
eegmmidb,0,4,0.2,agreement_gate_crc,0.9333333333333333
eegmmidb,0,4,0.2,probe_set_gain_only_crc,0.0
eegmmidb,1,0,0.2,best_fixed_action_crc,official_t3a
eegmmidb,1,0,0.2,entropy_gate_crc,-0.002092968167664633
eegmmidb,1,0,0.2,agreement_gate_crc,0.8666666666666667
eegmmidb,1,0,0.2,probe_set_gain_only_crc,0.0
eegmmidb,1,1,0.2,best_fixed_action_crc,official_t3a
eegmmidb,1,1,0.2,entropy_gate_crc,-0.0015955789834473655
eegmmidb,1,1,0.2,agreement_gate_crc,0.8666666666666667
eegmmidb,1,1,0.2,probe_set_gain_only_crc,0.0
eegmmidb,1,2,0.2,best_fixed_action_crc,robust_residual_adapter
eegmmidb,1,2,0.2,entropy_gate_crc,-2.02018909378765e-08
eegmmidb,1,2,0.2,agreement_gate_crc,1.0
eegmmidb,1,2,0.2,probe_set_gain_only_crc,0.0
eegmmidb,1,3,0.2,best_fixed_action_crc,official_t3a
eegmmidb,1,3,0.2,entropy_gate_crc,-0.0049304016868205736
eegmmidb,1,3,0.2,agreement_gate_crc,0.8666666666666667
eegmmidb,1,3,0.2,probe_set_gain_only_crc,0.0
eegmmidb,1,4,0.2,best_fixed_action_crc,official_t3a
eegmmidb,1,4,0.2,entropy_gate_crc,-0.0063418772079257835
eegmmidb,1,4,0.2,agreement_gate_crc,0.9333333333333333
eegmmidb,1,4,0.2,probe_set_gain_only_crc,0.0
eegmmidb,2,0,0.2,best_fixed_action_crc,robust_residual_adapter
eegmmidb,2,0,0.2,entropy_gate_crc,-0.001360627885154786
eegmmidb,2,0,0.2,agreement_gate_crc,0.9333333333333333
eegmmidb,2,0,0.2,probe_set_gain_only_crc,0.0
eegmmidb,2,1,0.2,best_fixed_action_crc,official_t3a
eegmmidb,2,1,0.2,entropy_gate_crc,0.0
eegmmidb,2,1,0.2,agreement_gate_crc,1.0
eegmmidb,2,1,0.2,probe_set_gain_only_crc,0.0
eegmmidb,2,2,0.2,best_fixed_action_crc,official_t3a
eegmmidb,2,2,0.2,entropy_gate_crc,-0.0037515552282030296
eegmmidb,2,2,0.2,agreement_gate_crc,0.9333333333333333
eegmmidb,2,2,0.2,probe_set_gain_only_crc,0.0
eegmmidb,2,3,0.2,best_fixed_action_crc,robust_residual_adapter
eegmmidb,2,3,0.2,entropy_gate_crc,0.0
eegmmidb,2,3,0.2,agreement_gate_crc,1.0
eegmmidb,2,3,0.2,probe_set_gain_only_crc,0.0
eegmmidb,2,4,0.2,best_fixed_action_crc,robust_residual_adapter
eegmmidb,2,4,0.2,entropy_gate_crc,0.0
eegmmidb,2,4,0.2,agreement_gate_crc,1.0
eegmmidb,2,4,0.2,probe_set_gain_only_crc,0.0
eegmmidb,3,0,0.2,best_fixed_action_crc,robust_residual_adapter
eegmmidb,3,0,0.2,entropy_gate_crc,0.0
eegmmidb,3,0,0.2,agreement_gate_crc,0.8666666666666667
eegmmidb,3,0,0.2,probe_set_gain_only_crc,0.0
eegmmidb,3,1,0.2,best_fixed_action_crc,robust_residual_adapter
eegmmidb,3,1,0.2,entropy_gate_crc,0.0
eegmmidb,3,1,0.2,agreement_gate_crc,1.0
eegmmidb,3,1,0.2,probe_set_gain_only_crc,0.0
eegmmidb,3,2,0.2,best_fixed_action_crc,robust_residual_adapter
eegmmidb,3,2,0.2,entropy_gate_crc,0.0
eegmmidb,3,2,0.2,agreement_gate_crc,0.9333333333333333
eegmmidb,3,2,0.2,probe_set_gain_only_crc,0.0
eegmmidb,3,3,0.2,best_fixed_action_crc,robust_residual_adapter
eegmmidb,3,3,0.2,entropy_gate_crc,0.0
eegmmidb,3,3,0.2,agreement_gate_crc,0.9333333333333333
eegmmidb,3,3,0.2,probe_set_gain_only_crc,0.0
eegmmidb,3,4,0.2,best_fixed_action_crc,robust_residual_adapter
eegmmidb,3,4,0.2,entropy_gate_crc,0.0
eegmmidb,3,4,0.2,agreement_gate_crc,0.8666666666666667
eegmmidb,3,4,0.2,probe_set_gain_only_crc,0.0
eegmmidb,4,0,0.2,best_fixed_action_crc,robust_residual_adapter
eegmmidb,4,0,0.2,entropy_gate_crc,-0.00045935291958315583
eegmmidb,4,0,0.2,agreement_gate_crc,0.9333333333333333
eegmmidb,4,0,0.2,probe_set_gain_only_crc,0.0
eegmmidb,4,1,0.2,best_fixed_action_crc,robust_residual_adapter
eegmmidb,4,1,0.2,entropy_gate_crc,0.0
eegmmidb,4,1,0.2,agreement_gate_crc,0.9333333333333333
eegmmidb,4,1,0.2,probe_set_gain_only_crc,0.0
eegmmidb,4,2,0.2,best_fixed_action_crc,official_t3a
eegmmidb,4,2,0.2,entropy_gate_crc,0.0
eegmmidb,4,2,0.2,agreement_gate_crc,0.8666666666666667
eegmmidb,4,2,0.2,probe_set_gain_only_crc,0.0
eegmmidb,4,3,0.2,best_fixed_action_crc,robust_residual_adapter
eegmmidb,4,3,0.2,entropy_gate_crc,0.0
eegmmidb,4,3,0.2,agreement_gate_crc,0.9333333333333333
eegmmidb,4,3,0.2,probe_set_gain_only_crc,0.0
eegmmidb,4,4,0.2,best_fixed_action_crc,robust_residual_adapter
eegmmidb,4,4,0.2,entropy_gate_crc,0.0
eegmmidb,4,4,0.2,agreement_gate_crc,1.0
eegmmidb,4,4,0.2,probe_set_gain_only_crc,0.0
hmc,0,0,0.2,best_fixed_action_crc,robust_residual_adapter
hmc,0,0,0.2,entropy_gate_crc,0.0
hmc,0,0,0.2,agreement_gate_crc,0.9666666666666667
hmc,0,0,0.2,probe_set_gain_only_crc,0.0
hmc,0,1,0.2,best_fixed_action_crc,official_t3a
hmc,0,1,0.2,entropy_gate_crc,0.0
hmc,0,1,0.2,agreement_gate_crc,0.9666666666666667
hmc,0,1,0.2,probe_set_gain_only_crc,0.0
hmc,0,2,0.2,best_fixed_action_crc,robust_residual_adapter
hmc,0,2,0.2,entropy_gate_crc,0.0
hmc,0,2,0.2,agreement_gate_crc,0.9666666666666667
hmc,0,2,0.2,probe_set_gain_only_crc,0.0
hmc,0,3,0.2,best_fixed_action_crc,official_t3a
hmc,0,3,0.2,entropy_gate_crc,-0.00336302689095902
hmc,0,3,0.2,agreement_gate_crc,0.9777777777777777
hmc,0,3,0.2,probe_set_gain_only_crc,0.0
hmc,0,4,0.2,best_fixed_action_crc,official_t3a
hmc,0,4,0.2,entropy_gate_crc,-0.005686210296190562
hmc,0,4,0.2,agreement_gate_crc,0.9555555555555556
hmc,0,4,0.2,probe_set_gain_only_crc,0.0
hmc,1,0,0.2,best_fixed_action_crc,official_t3a
hmc,1,0,0.2,entropy_gate_crc,-0.0009406440997128396
hmc,1,0,0.2,agreement_gate_crc,0.9666666666666667
hmc,1,0,0.2,probe_set_gain_only_crc,0.0
hmc,1,1,0.2,best_fixed_action_crc,robust_residual_adapter
hmc,1,1,0.2,entropy_gate_crc,0.0
hmc,1,1,0.2,agreement_gate_crc,0.9888888888888889
hmc,1,1,0.2,probe_set_gain_only_crc,0.0
hmc,1,2,0.2,best_fixed_action_crc,robust_residual_adapter
hmc,1,2,0.2,entropy_gate_crc,0.0
hmc,1,2,0.2,agreement_gate_crc,0.9888888888888889
hmc,1,2,0.2,probe_set_gain_only_crc,0.0
hmc,1,3,0.2,best_fixed_action_crc,robust_residual_adapter
hmc,1,3,0.2,entropy_gate_crc,0.0
hmc,1,3,0.2,agreement_gate_crc,1.0
hmc,1,3,0.2,probe_set_gain_only_crc,0.0
hmc,1,4,0.2,best_fixed_action_crc,robust_residual_adapter
hmc,1,4,0.2,entropy_gate_crc,0.0
hmc,1,4,0.2,agreement_gate_crc,0.9888888888888889
hmc,1,4,0.2,probe_set_gain_only_crc,0.0
hmc,2,0,0.2,best_fixed_action_crc,robust_residual_adapter
hmc,2,0,0.2,entropy_gate_crc,-0.001647627773436161
hmc,2,0,0.2,agreement_gate_crc,0.9777777777777777
hmc,2,0,0.2,probe_set_gain_only_crc,0.0
hmc,2,1,0.2,best_fixed_action_crc,official_t3a
hmc,2,1,0.2,entropy_gate_crc,-0.005342201940149532
hmc,2,1,0.2,agreement_gate_crc,0.9555555555555556
hmc,2,1,0.2,probe_set_gain_only_crc,0.0
hmc,2,2,0.2,best_fixed_action_crc,official_t3a
hmc,2,2,0.2,entropy_gate_crc,-0.005991742323680688
hmc,2,2,0.2,agreement_gate_crc,0.9222222222222223
hmc,2,2,0.2,probe_set_gain_only_crc,0.0
hmc,2,3,0.2,best_fixed_action_crc,robust_residual_adapter
hmc,2,3,0.2,entropy_gate_crc,0.0
hmc,2,3,0.2,agreement_gate_crc,0.9222222222222223
hmc,2,3,0.2,probe_set_gain_only_crc,0.0
hmc,2,4,0.2,best_fixed_action_crc,official_t3a
hmc,2,4,0.2,entropy_gate_crc,-0.005776101410474049
hmc,2,4,0.2,agreement_gate_crc,0.9555555555555556
hmc,2,4,0.2,probe_set_gain_only_crc,0.0
hmc,3,0,0.2,best_fixed_action_crc,robust_residual_adapter
hmc,3,0,0.2,entropy_gate_crc,0.0
hmc,3,0,0.2,agreement_gate_crc,0.9444444444444444
hmc,3,0,0.2,probe_set_gain_only_crc,0.0
hmc,3,1,0.2,best_fixed_action_crc,official_t3a
hmc,3,1,0.2,entropy_gate_crc,-0.00729178485232046
hmc,3,1,0.2,agreement_gate_crc,0.9333333333333333
hmc,3,1,0.2,probe_set_gain_only_crc,0.0
hmc,3,2,0.2,best_fixed_action_crc,official_t3a
hmc,3,2,0.2,entropy_gate_crc,-0.012862315743738917
hmc,3,2,0.2,agreement_gate_crc,0.9111111111111111
hmc,3,2,0.2,probe_set_gain_only_crc,0.0
hmc,3,3,0.2,best_fixed_action_crc,robust_residual_adapter
hmc,3,3,0.2,entropy_gate_crc,0.0
hmc,3,3,0.2,agreement_gate_crc,0.9666666666666667
hmc,3,3,0.2,probe_set_gain_only_crc,0.0
hmc,3,4,0.2,best_fixed_action_crc,official_t3a
hmc,3,4,0.2,entropy_gate_crc,0.0
hmc,3,4,0.2,agreement_gate_crc,0.9111111111111111
hmc,3,4,0.2,probe_set_gain_only_crc,0.0
hmc,4,0,0.2,best_fixed_action_crc,official_t3a
hmc,4,0,0.2,entropy_gate_crc,-0.026791293812200523
hmc,4,0,0.2,agreement_gate_crc,0.9111111111111111
hmc,4,0,0.2,probe_set_gain_only_crc,0.0
hmc,4,1,0.2,best_fixed_action_crc,official_t3a
hmc,4,1,0.2,entropy_gate_crc,-0.022107641241820852
hmc,4,1,0.2,agreement_gate_crc,0.9444444444444444
hmc,4,1,0.2,probe_set_gain_only_crc,0.0
hmc,4,2,0.2,best_fixed_action_crc,official_t3a
hmc,4,2,0.2,entropy_gate_crc,-0.02682264585535238
hmc,4,2,0.2,agreement_gate_crc,0.9
hmc,4,2,0.2,probe_set_gain_only_crc,0.0
hmc,4,3,0.2,best_fixed_action_crc,official_t3a
hmc,4,3,0.2,entropy_gate_crc,-0.022030572436126272
hmc,4,3,0.2,agreement_gate_crc,0.9333333333333333
hmc,4,3,0.2,probe_set_gain_only_crc,0.0
hmc,4,4,0.2,best_fixed_action_crc,official_t3a
hmc,4,4,0.2,entropy_gate_crc,-0.0004785551552028422
hmc,4,4,0.2,agreement_gate_crc,0.9888888888888889
hmc,4,4,0.2,probe_set_gain_only_crc,0.0
