fold,seed,control_id,protected_block_ids,protected_coordinate_ids,coordinate_ids,rank,match_distance,match_max_abs_z,N_rho_mean,N_rho_std,N_coordinate_variance_mean,N_coordinate_energy_mean,N_train_identity_balanced_accuracy,N_dewhitened_direction_norm_mean,N_train_task_margin_magnitude,P_rho_mean,P_rho_std,P_coordinate_variance_mean,P_coordinate_energy_mean,P_train_identity_balanced_accuracy,P_dewhitened_direction_norm_mean,P_train_task_margin_magnitude,outer_test_used,outer_membership_enumerated
0,0,N011,[5],"[12, 13, 14, 15]","[5, 10, 11, 16]",4,1.60596051683077,3.875993230970957,0.10541542386636138,0.06281949646121295,0.5146933794021606,0.5229344964027405,0.0726470588235294,1.5800557955556287,0.16378599422412313,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N012,[5],"[12, 13, 14, 15]","[10, 11, 16, 18]",4,1.6073241447023507,4.104061235267846,0.05793498014099896,0.036891393434569486,0.4043109118938446,0.41407620906829834,0.04588235294117647,1.57803502302316,0.15618372320760798,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N013,[5],"[12, 13, 14, 15]","[9, 10, 16, 19]",4,1.623812820862321,3.6426127446599543,0.06393993319943547,0.04625049939959902,0.42034024000167847,0.43039143085479736,0.06705882352941175,1.313089391769663,0.17156534807242857,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N014,[5],"[12, 13, 14, 15]","[8, 10, 16, 19]",4,1.6347729031345555,3.684653161514657,0.0691564274020493,0.052907966350338585,0.461186021566391,0.4821808934211731,0.0738235294117647,1.3408368646879343,0.1701640000685206,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N015,[5],"[12, 13, 14, 15]","[8, 10, 16, 17]",4,1.6630601381327632,3.9930508081205787,0.07135433470830321,0.050470088790951884,0.4380680024623871,0.4584049880504608,0.07676470588235293,1.4378764304745886,0.1598840728267244,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N016,[5],"[12, 13, 14, 15]","[4, 10, 16, 17]",4,1.6681760445846183,4.009001758736377,0.09653423866257071,0.08898977781228662,0.4565799832344055,0.47127464413642883,0.08441176470588235,1.5601146988604127,0.15935237417865583,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N017,[5],"[12, 13, 14, 15]","[7, 10, 16, 17]",4,1.6757606724038854,4.052140093444545,0.08012604108080268,0.06314132090439561,0.4486992657184601,0.4600348174571991,0.09441176470588235,1.558819305047909,0.15791442889271506,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N018,[5],"[12, 13, 14, 15]","[6, 10, 16, 19]",4,1.6760780548689838,3.6791190695001337,0.08337353216484189,0.07367012630854826,0.4603801369667053,0.46722131967544556,0.06676470588235295,1.303133858155642,0.17034846990441205,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N019,[5],"[12, 13, 14, 15]","[4, 10, 16, 18]",4,1.6772237227682725,4.083699731759594,0.09568940405733883,0.08975059807824945,0.4676989018917084,0.48190850019454956,0.07294117647058823,1.5603969442491814,0.15686244036677577,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N020,[5],"[12, 13, 14, 15]","[9, 10, 16, 17]",4,1.677439960164872,4.01261217711072,0.06613784050568938,0.04370373434149796,0.39722222089767456,0.4066155254840851,0.07117647058823529,1.4101289575563174,0.15923202683291843,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N021,[5],"[12, 13, 14, 15]","[7, 10, 16, 18]",4,1.6974992420883257,4.193585643701656,0.0792812064755708,0.06399290022824472,0.45981818437576294,0.4706686735153198,0.0826470588235294,1.5591015504366779,0.15319957460857409,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N022,[5],"[12, 13, 14, 15]","[9, 10, 11, 16]",4,1.7054362051504675,4.1697380751156485,0.08429761370643973,0.03355978682121426,0.45233792066574097,0.4628433585166931,0.07117647058823529,1.453400089988493,0.15399449400129941,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N023,[5],"[12, 13, 14, 15]","[9, 10, 16, 18]",4,1.7097205138136897,4.1302662770267915,0.0652930059004575,0.0446614580778649,0.4083411395549774,0.4172493815422058,0.065,1.4104112029450862,0.1553102213323021,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N024,[5],"[12, 13, 14, 15]","[6, 10, 16, 17]",4,1.7107379793086115,4.016305556586957,0.0855714394710958,0.0715036272694723,0.4372621178627014,0.4434454143047333,0.07323529411764705,1.4001734239422963,0.1591089141155877,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N025,[5],"[12, 13, 14, 15]","[4, 10, 11, 16]",4,1.7139443960063208,4.145882729939266,0.11469401186332107,0.07766234646130592,0.5116956830024719,0.5275024771690369,0.07500000000000001,1.6033858312925882,0.15478967261384735,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N026,[5],"[12, 13, 14, 15]","[5, 16, 17, 18]",4,1.7145227978698718,4.130730590381813,0.06607979466207325,0.07974974405932252,0.3998410403728485,0.40756744146347046,0.07323529411764705,1.462218314876777,0.155294744211904,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N027,[5],"[12, 13, 14, 15]","[7, 10, 11, 16]",4,1.719020487684323,4.252224017631484,0.09828581428155303,0.05191362250684938,0.5038149952888489,0.5162627100944519,0.07852941176470588,1.6020904374800846,0.15124496106268623,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N028,[5],"[12, 13, 14, 15]","[5, 9, 10, 16]",4,1.7199634356643858,3.9066091222627497,0.11277344962581992,0.06229956185827921,0.5187236070632935,0.526107668876648,0.07676470588235294,1.412431975477555,0.1627654639496994,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N029,[5],"[12, 13, 14, 15]","[8, 10, 16, 18]",4,1.7207790426181528,4.174243667499344,0.07050950010307133,0.05138748344155357,0.44918692111968994,0.46903884410858154,0.07176470588235294,1.4381586758633573,0.1538443075054058,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N030,[5],"[12, 13, 14, 15]","[8, 10, 11, 16]",4,1.7320135270482997,4.188055773215889,0.08951410790905356,0.03967382078165263,0.4931837022304535,0.5146328806877136,0.07794117647058824,1.481147562906764,0.15338390372676247,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N031,[5],"[12, 13, 14, 15]","[5, 8, 10, 16]",4,1.7324454097379804,3.7941716599335913,0.11798994382843375,0.06349724486689831,0.5595694184303284,0.5778971314430237,0.08323529411764706,1.4401794483958261,0.16651338143453326,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N032,[5],"[12, 13, 14, 15]","[2, 10, 16, 19]",4,1.7382262866517728,3.672424368125401,0.12738365354016423,0.14577492568056247,0.4604010283946991,0.560725212097168,0.08676470588235295,1.4816872203701759,0.1705716267403841,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N033,[5],"[12, 13, 14, 15]","[6, 10, 11, 16]",4,1.743326179301853,4.166935452666551,0.10373121267184615,0.06019295730741684,0.4923778176307678,0.4996733069419861,0.05941176470588235,1.4434445563744718,0.15408791480129586,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N034,[5],"[12, 13, 14, 15]","[5, 10, 17, 18]",4,1.7445049958114744,4.412034956410597,0.08344049169681966,0.07735428212884672,0.4484964907169342,0.45697706937789917,0.05529411764705882,1.5933783696965855,0.1459179268224033,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
0,0,N035,[5],"[12, 13, 14, 15]","[6, 10, 16, 18]",4,1.7531284290935985,4.1647152717801506,0.08472660486586392,0.07232036026431717,0.4483810365200043,0.454079270362854,0.06323529411764706,1.400455669331065,0.15416192087179284,0.04891125578433275,0.009159128640978098,0.41618800163269043,0.44599178433418274,0.0561764705882353,1.7884470893828137,0.2929858400808939,False,False
