task,fold,XS_BA,XS_macro_F1,XS_accuracy,residual_step0_BA,residual_step0_macro_F1,residual_step0_accuracy,max_abs_logit_difference,prediction_mismatch_count,pass,source_xs_checkpoint,source_xs_sha256,normalizer_sha256
OpenBMI_SSVEP,0,0.9566666666666667,0.9567493067876359,0.9566666666666667,0.9566666666666667,0.9567493067876359,0.9566666666666667,0.0,0,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_ssvep/fold0_litebn_xs/selected_best.pt,b9c1df68ad52e46a61f187d4c8ebf693b0c8b3ae1afe28f28c67e0829f2da913,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2
OpenBMI_SSVEP,1,0.96,0.9598281473583327,0.96,0.96,0.9598281473583327,0.96,0.0,0,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_ssvep/fold1_litebn_xs/selected_best.pt,3ece8d07e67feda07a6dcfb3c53446dc5a08487d0a548a42ea7eefd4d7199c5a,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b
OpenBMI_SSVEP,2,0.9383333333333334,0.9380673894701846,0.9383333333333334,0.9383333333333334,0.9380673894701846,0.9383333333333334,0.0,0,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_ssvep/fold2_litebn_xs/selected_best.pt,1f17098aa7e1e423b70bdc69bab70c37a874ba59f73b007b30c8564ed051a09b,65457744184c97f7501093f7f0ae77803c77c55c76221e4319732fe46e157686
OpenBMI_SSVEP,3,0.8799999999999999,0.8777608338442627,0.88,0.8799999999999999,0.8777608338442627,0.88,0.0,0,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_ssvep/fold3_litebn_xs/selected_best.pt,9c263b210cbd24bde68ce3610d582851fdd5b90ca14598462160c4220e06c3e2,23fc006691b42bd16828108fc89922654fa7567a759b789614a5642702113b52
OpenBMI_SSVEP,4,0.9500000000000001,0.9489567369717521,0.9500000000000001,0.9500000000000001,0.9489567369717521,0.9500000000000001,0.0,0,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/openbmi_ssvep/fold4_litebn_xs/selected_best.pt,f13f0bb6ee6cd68b7fe816af1a85c641dc7373501069d96212be39d5843a256d,f35658c5b6e9edf7065b881ffbf59d3e0e0afa7726e18c3849663747b9413dda
WBCIC_MI,0,0.7036477272727273,0.6977069542880573,0.7036666666666667,0.7036477272727273,0.6977069542880573,0.7036666666666667,0.0,0,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/wbcic_mi/fold0_litebn_xs/selected_best.pt,c422565bd19b281d7ddbd7c5a5103c38c0908fdda83c32faaf05b80176c2daa6,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b
WBCIC_MI,1,0.8917108585858585,0.8915565023037131,0.8916666666666666,0.8917108585858585,0.8915565023037131,0.8916666666666666,0.0,0,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/wbcic_mi/fold1_litebn_xs/selected_best.pt,e45b2658f076625db6e3b1aff824a194d7c12db64fd0357ddf8689089b963256,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
WBCIC_MI,2,0.883,0.8828306354292564,0.883,0.883,0.8828306354292564,0.883,0.0,0,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/wbcic_mi/fold2_litebn_xs/selected_best.pt,b26f1a0812c9ac95607a8d4e0a0376d242271a7f2af3e4a48c9415be7c8b935f,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354
WBCIC_MI,3,0.744,0.7412185115398764,0.744,0.744,0.7412185115398764,0.744,0.0,0,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/wbcic_mi/fold3_litebn_xs/selected_best.pt,d819254929e87529cdce06f8ba5d61a7f3b846e4617626d618efdeafa046dc5e,23765060e5268b3e9d17ac8856fddf0ebee518e507202d3f625e821bc4aa0035
WBCIC_MI,4,0.77,0.769171093564855,0.77,0.77,0.769171093564855,0.77,0.0,0,True,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/checkpoints/wbcic_mi/fold4_litebn_xs/selected_best.pt,d37f0c4c8975406de573c855931935c66374b12aa2f5f04ebf3e3ff8dbb8e49d,0e862b1cae5aa096f18b8e895fd881156c2b6b7c2f2d2f0b89e97815b1ab0a0e
