model,task,fold,seed,subject_equal_BA,subject_equal_macro_F1,trial_accuracy,subjects,checkpoint_sha256
TCFormer,WBCIC_MI,3,1,0.739,0.7187641168512983,0.739,10,f8a918ce7ec5c44f2aec786592c9b15606c9e3ef681797ea81de1ddb17ee2bef
TCFormer,WBCIC_MI,3,2,0.764,0.7634132361255013,0.764,10,650bbdcbf8d4cbb0338829a9e030873864bb9024a3296566c5dae29b45fade97
TCFormer,WBCIC_MI,4,0,0.8195,0.8187324827809617,0.8195,10,7bd75e885f7d3cc6176439d67261dfeec3d66dae736c911f4aafc0a8ed98301e
TCFormer,WBCIC_MI,4,1,0.8085000000000001,0.8080015034981459,0.8085,10,18915b0fc7bfbfca7e147a16a75966c6a4cdf7ef0e7df72db804fae4ce08ff5f
TCFormer,WBCIC_MI,4,2,0.82,0.8194147052667194,0.82,10,bd39f17a5df39950f7bede7c65e1a7387b212b2f94f2535f322691a7d1d72447
CBraMod,WBCIC_MI,0,0,0.757,0.7525747737502128,0.757,10,359f25f1af29ce35834d562a2aa4a282d3e463b259f742fa91b3873c8c5a017e
CBraMod,WBCIC_MI,0,1,0.7605000000000001,0.7595223789454488,0.7605,10,8725c4e49ffa3b91386487bea9755c17782fcb522b5b1bb602588aee16906381
CBraMod,WBCIC_MI,0,2,0.767,0.7655926629698514,0.767,10,4a8ba859930fa2325efbe7ac52b612776d93711cd4b7bf86b1dff16d078aaec8
CBraMod,WBCIC_MI,1,0,0.7460000000000001,0.7431499752539252,0.746,10,83d11588545624c1852b45b143326c32623feee1dfec5154d76af8664f8f39e6
CBraMod,WBCIC_MI,1,1,0.7455,0.7437746608606531,0.7455,10,afa609be53a5cf43c3f2f351c4d6c264c08999e06c2e84d7fcb656acee71b7ce
CBraMod,WBCIC_MI,1,2,0.7585,0.7525728945220719,0.7585,10,c010d09b943505180be57363a5d5d0ce6b2b55746aa4613831bf16c388702054
CBraMod,WBCIC_MI,2,0,0.7434999999999999,0.7422943433290883,0.7435,10,fc9325fd6f4aabd59045bb70bed999c939545c70cad0c47332996de6a018d737
CBraMod,WBCIC_MI,2,1,0.7345,0.7326541876203947,0.7345,10,e360285a02b6cd419bbb1bd9352060cde0b4b4b0627b171a57e3b13a765ca175
CBraMod,WBCIC_MI,2,2,0.7605000000000001,0.760164766677315,0.7605,10,36ecec42e5038b4d4885eaf27a06886be938a296e0122e3457d2691bcb68b88e
CBraMod,WBCIC_MI,3,0,0.7609999999999999,0.7601823062903188,0.761,10,b330b681fd536c39787b0ae475f2fcdb2b855901e878f28a0ec5b1a97ae92914
CBraMod,WBCIC_MI,3,1,0.7629999999999999,0.7619070689988295,0.763,10,564d5a30b42e002d35488ace287de1c3749c176a3b9a942783b23c29fe88de08
CBraMod,WBCIC_MI,3,2,0.749,0.7476615428021964,0.749,10,ac52a8853c707295c9223a4894cff20d357f4995582803413cd32e415e82c0a7
CBraMod,WBCIC_MI,4,0,0.762,0.7602185795925168,0.762,10,014ec79e698389fe84b4374e8bba8dc294647b8b6800d3ecf7464720510e7925
CBraMod,WBCIC_MI,4,1,0.749,0.7482801916801983,0.749,10,49edff7460aa1e3e79d668559376ae4677d5380143aa05ad9a365e31817d33ad
CBraMod,WBCIC_MI,4,2,0.76,0.7596232449172686,0.76,10,1a4e00d68a92225c0e1ed2e5cd310f157afa6672c63ff00cc962af29a397ee50
TeCh,WBCIC_MI,0,0,0.7,0.6891512241319505,0.7,10,919d1d1b6090e22458d7e3d82bf6762c223531839ff0067c1d0fce9b4c5c32b8
TeCh,WBCIC_MI,0,1,0.6195,0.6157827593822162,0.6195,10,628405f7a7692300cd5fcb641fca03120b1a7263629b8882fd8be7ffe4b20c3c
TeCh,WBCIC_MI,0,2,0.7205,0.7187003838770232,0.7205,10,565e73c32569fd042c1dce18f29d13293f56d3d5fc11e9211cebc3995689f05d
TeCh,WBCIC_MI,1,0,0.7619999999999999,0.7604080787439118,0.762,10,0d46ec7f42a3538dac05eb83eb82c47ee6018d438a9402f54f8051eb87eb607c
TeCh,WBCIC_MI,1,1,0.7875,0.7858957517149957,0.7875,10,e0bd6ca5cb224a1dedeca5fb0c136e0e100d938ed2dc05b9df5fd36630ec274f
TeCh,WBCIC_MI,1,2,0.7685,0.7674984505333431,0.7685,10,76a5ecf93736fa5bb6a085bfeede7491e8fed615094159751c50983d82356f65
TeCh,WBCIC_MI,2,0,0.7525000000000001,0.7479811718949408,0.7525,10,c56e7393502b397d9902b6ac610b44ca1b25bbbf19e0b13b9a3e0f3c3473604d
TeCh,WBCIC_MI,2,1,0.7855000000000001,0.7841006721100952,0.7855,10,9f200c9d4b718d451b33e317197b00b5d00f6dc91efdcd3850b64cb345557c95
TeCh,WBCIC_MI,2,2,0.7515000000000001,0.7500407072110773,0.7515,10,21fdb0fb1162f9020802ab412084eded278705218189ec8a6f58db599dbba142
TeCh,WBCIC_MI,3,0,0.7310000000000001,0.7263687543928015,0.731,10,514fd66f24ba518ac96bfe68abd9e1af942163f05dd702293678711fd53aeda1
TeCh,WBCIC_MI,3,1,0.7375,0.7364490373126362,0.7375,10,c41b838bb19cad60c901a7372e34ca670ab0fc850b882921ac0e24325101884d
TeCh,WBCIC_MI,3,2,0.7489999999999999,0.748359676907971,0.749,10,88b97c345111c3a40b4dbbf985174d1561b77aee5440d45f4d0c471df31a2544
TeCh,WBCIC_MI,4,0,0.7645,0.762657395694404,0.7645,10,5988908274132c826bad715d4f87eae5da8d8f5e47afe4b821566e56ab336b8b
TeCh,WBCIC_MI,4,1,0.7695000000000001,0.7677438564676825,0.7695,10,0da8914e6ffc2ec55aa4582ab2f3165667c2de2c2a0269f2f282b1e1ae222cf9
TeCh,WBCIC_MI,4,2,0.756,0.7542468879988187,0.756,10,2510f464b76e2aa86003f18830dbeef4a980dcc8354061cbba4725b6bb8dbc86
LiteBN,WBCIC_MI,0,0,0.5935,0.5310262237886819,0.5935,10,35258e4d9e631883ab4e8e49cb055c83540e3dc684433e8008ac09d5f1268d20
LiteBN,WBCIC_MI,1,0,0.786,0.7835896446887787,0.786,10,a3cf63d8e89725aa5e14b4deb322e112f024dd73145506679b2a7ef1d6f2e7ae
LiteBN,WBCIC_MI,2,0,0.779,0.7754759869609875,0.779,10,29fe178899a44bafd9c2fbd123b611559c1dc95dda659a8687933062fff698c9
LiteBN,WBCIC_MI,3,0,0.7215,0.718192206228299,0.7215,10,7c52e38867b75771d9594e203f97d7782bf32f8c39a0af7bef86ef27ce1c31c6
LiteBN,WBCIC_MI,4,0,0.7775000000000001,0.7742109235719579,0.7775,10,b87627ea3b43565e6dcb20a73f39108cd71eb78907f920cdf1354ed77ea056dc
ModernTCN,WBCIC_MI,0,0,0.7105000000000001,0.7093619622382772,0.7105,10,01d00fb9d9520385ec5ad4740c888be10df68b39da40917c224dbe38658b694e
ModernTCN,WBCIC_MI,1,0,0.7235,0.7230885082403528,0.7235,10,c092de14384290e16635bccd1ae2e3c56ca2fa1ff2ccf4edc1478725a4c81f8e
ModernTCN,WBCIC_MI,2,0,0.7030000000000001,0.7012504694205207,0.703,10,4f1dcadd5e880263c3f40ae0090d58004179340104f0c51d74367161e449ce9f
ModernTCN,WBCIC_MI,3,0,0.6594999999999999,0.6586444420840365,0.6595,10,397481566e444b2f9fea0e3b6c2cfcea94ab061f38923e6fa68bb71bd0a29eed
ModernTCN,WBCIC_MI,4,0,0.7404999999999999,0.7399112693639882,0.7405,10,8f801072a96ac081aa30c871e44c9b43ee3de4e95dd2dec0a30120256065a45a
Medformer,WBCIC_MI,0,0,0.734,0.7194412018070867,0.734,10,2306902d947cc2351fc19219c0b78229e92047e109d85215428e4956efbe3c7c
Medformer,WBCIC_MI,1,0,0.7630000000000001,0.7619229710437739,0.763,10,1b589e58878b2c624bfecf3872d4862f6987b34bce1fa294a18c8cf610accc94
Medformer,WBCIC_MI,2,0,0.756,0.7551787711395419,0.756,10,7b98d5d2b0dea3da4cfbb5c8fdb2c69fa94f389af580f0f6a745b3cf93be6dec
Medformer,WBCIC_MI,3,0,0.7475000000000002,0.7442599777565567,0.7475,10,d53e9b3c4d93437e1a5da8ddd24b84def2be148ba8894db648b8fc725aadd6dc
Medformer,WBCIC_MI,4,0,0.7709999999999999,0.7699680251981774,0.771,10,6ccffbedd1a46d167ac918ea5fa851a6264226f2873b0b3b7d5b9f2467614148
SGN,WBCIC_MI,0,0,0.7049999999999998,0.7045513728192072,0.705,10,34ef48c2ff8567b22707223103940855d2a649ed71656bd02ced3905372c2982
SGN,WBCIC_MI,1,0,0.6585,0.6530826217273992,0.6585,10,2fa5435164828ef57a7c6f283b374771b19888a0ff55213637250e8c8cf72dca
SGN,WBCIC_MI,2,0,0.6300000000000001,0.628565494256325,0.63,10,f6e9d1061518b1b2ad91425e4b8b365498ea72f8f5b9dac7c85aba0997b133bd
SGN,WBCIC_MI,3,0,0.65,0.6485098309763478,0.65,10,56b068d65820f6882daae427895d5ae74a9e8cf103de26a2d9a6a5dd2e99cc68
SGN,WBCIC_MI,4,0,0.6685,0.6675575984849433,0.6685,10,a200a8013ab91a0eb6caa2780e9d9a3f10d9ea2ab21a66d13aa706f9622dadb9
