fold,seed,variant,checkpoint,sha256,protocol_matched_to_B1_B2_B4
1,0,B1_SAME_SCALE_63,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B1_SAME_SCALE_63/fold1/selected.pt,be40c243d1bedfdf843e0f9b1fac18c6406aeca17b8af72354ded89f5c5567f4,True
1,0,B2_SCALE_COLLAPSE,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B2_SCALE_COLLAPSE/fold1/selected.pt,7de0094489b57033001c50b7bb94831cb5ceeedbcb78a46acbff9c830f91c435,True
1,0,B4_ONE_STAGE_BACKEND,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B4_ONE_STAGE_BACKEND/fold1/selected.pt,9748c14cc60345933f68a409eadbd9bd9aa031a1189f0ff095eed1c91daab721,True
1,1,B0_FULL_EXISTING,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold1_seed1_litebn/selected_best.pt,b85320fdb1c4ebb1409b150272275ed05851493398ccef894d1b445ab19a654e,False
1,1,B1_SAME_SCALE_63,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed1/checkpoints/OpenBMI_MI/B1_SAME_SCALE_63/fold1/selected.pt,30e588e580c232a3afb6be1011f1edb675abe3c6e1244abb7605cfd559dac6d5,True
1,1,B2_SCALE_COLLAPSE,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed1/checkpoints/OpenBMI_MI/B2_SCALE_COLLAPSE/fold1/selected.pt,9507c5ceafc792c1ba2a468947eb58601afc99c8fa65e0b681ce19c0d1ff84df,True
1,1,B4_ONE_STAGE_BACKEND,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed1/checkpoints/OpenBMI_MI/B4_ONE_STAGE_BACKEND/fold1/selected.pt,e5710a7f25bf3bb137db51f5029a53a1b93aa9c68aadcafae0238dbdc42c8fb1,True
1,2,B0_FULL_EXISTING,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold1_seed2_litebn/selected_best.pt,b3632994c47346649a737161603aae5621c79910406d014f41b8f662e0b314d7,False
1,2,B1_SAME_SCALE_63,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed2/checkpoints/OpenBMI_MI/B1_SAME_SCALE_63/fold1/selected.pt,0d9218f3dde3e2f8ff3c2c74bd08d2816ffa16945496213ab2ba7b7649ae09fe,True
1,2,B2_SCALE_COLLAPSE,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed2/checkpoints/OpenBMI_MI/B2_SCALE_COLLAPSE/fold1/selected.pt,47a1a8fbf9d040f586b432ee662bf91df406be444316e09c6f4ec9134092cd6c,True
1,2,B4_ONE_STAGE_BACKEND,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed2/checkpoints/OpenBMI_MI/B4_ONE_STAGE_BACKEND/fold1/selected.pt,6399b2bad94f2b62d6aac6f81e5fb06271af1d23fd5391a5d3ffbd8b5388595c,True
2,0,B0_FULL_EXISTING,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold2_seed0_litebn/selected_best.pt,36a06475f75712f3c00276cc8de5aab7552c5aa6c5ee94cd201f543692751814,False
2,0,B1_SAME_SCALE_63,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B1_SAME_SCALE_63/fold2/selected.pt,f61d7c6094fd254c7a7b75627fefa2004ecf8f8166d243403ed3e6920430ea0b,True
2,0,B2_SCALE_COLLAPSE,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B2_SCALE_COLLAPSE/fold2/selected.pt,500319ba3fcb0e04f98e028c324e17ff9055ae3b7cec967b6a023e801b4b51a2,True
2,0,B4_ONE_STAGE_BACKEND,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B4_ONE_STAGE_BACKEND/fold2/selected.pt,f1cf3ee43a2e3fcad18c010262f33d39256534e65550a8c06709e999e5ee1824,True
2,1,B0_FULL_EXISTING,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold2_seed1_litebn/selected_best.pt,76280844278a5619786f5a1f939e9623b0d0b1ff804ea6f4a8b6d43bcaab6b5a,False
2,1,B1_SAME_SCALE_63,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed1/checkpoints/OpenBMI_MI/B1_SAME_SCALE_63/fold2/selected.pt,3c13ba111625105c23cacaeb1eb287f99079d2d60e7f9bc2cc59713ffe9c317e,True
2,1,B2_SCALE_COLLAPSE,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed1/checkpoints/OpenBMI_MI/B2_SCALE_COLLAPSE/fold2/selected.pt,a83acaf817f8cf2f8e6b317951d0960f6af3a700d79f5d487d7aecdd1236b10b,True
2,1,B4_ONE_STAGE_BACKEND,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed1/checkpoints/OpenBMI_MI/B4_ONE_STAGE_BACKEND/fold2/selected.pt,e59d1d190ca004d7f20ffcf03983df34fc6b2c463103afdacf3f57e0f9a7aee2,True
2,2,B0_FULL_EXISTING,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold2_seed2_litebn/selected_best.pt,517d1d79073afb5cc4b11cdb32e01a24e93c5c9a814547634db65758da11f251,False
2,2,B1_SAME_SCALE_63,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed2/checkpoints/OpenBMI_MI/B1_SAME_SCALE_63/fold2/selected.pt,1e17167e2ed9f73db0034ff3a362d8929fb752264f32eebb82c7ae7996b751e2,True
2,2,B2_SCALE_COLLAPSE,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed2/checkpoints/OpenBMI_MI/B2_SCALE_COLLAPSE/fold2/selected.pt,159c47dda148aab026ce2377c4452e986ea5fdec89eb7cdbe80c5763d2ae29ec,True
2,2,B4_ONE_STAGE_BACKEND,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed2/checkpoints/OpenBMI_MI/B4_ONE_STAGE_BACKEND/fold2/selected.pt,b74cb1a36b6292375c94eaec76b14a69d1c024bb402f78fb5cab6a5e4d4935be,True
3,0,B0_FULL_EXISTING,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold3_seed0_litebn/selected_best.pt,2eb9b20d2f2ce7ba385fc296872935bf2ca5a1b5cc30e9f699d502dc25f1b256,False
3,0,B1_SAME_SCALE_63,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B1_SAME_SCALE_63/fold3/selected.pt,ee49dd726605960c4f7cc74cf9550d318a6dd0801b255ad416fae6ac4b7dbd42,True
3,0,B2_SCALE_COLLAPSE,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B2_SCALE_COLLAPSE/fold3/selected.pt,cdf8b5c9d0c01a8e080428333d0ef9a7e1f1468645e1de0bba44004aec2b3e46,True
3,0,B4_ONE_STAGE_BACKEND,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B4_ONE_STAGE_BACKEND/fold3/selected.pt,672f898b98e480520a05ac5e11d71ea1a66b64bc886cc37fb5807c798b65fa2c,True
3,1,B0_FULL_EXISTING,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold3_seed1_litebn/selected_best.pt,d0e57b465a347ddbea4c2ab5b24acee6d41ccea0b957d12ec52419daf502c31b,False
3,1,B1_SAME_SCALE_63,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed1/checkpoints/OpenBMI_MI/B1_SAME_SCALE_63/fold3/selected.pt,9de2d35b36ddfb8259187c0110645f04ab370153fa0eb932847aa1911ba999d0,True
3,1,B2_SCALE_COLLAPSE,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed1/checkpoints/OpenBMI_MI/B2_SCALE_COLLAPSE/fold3/selected.pt,471b3c6a046901fe41888f3843a8feeb90cc62c652b081b80d82d246695d7dc3,True
3,1,B4_ONE_STAGE_BACKEND,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed1/checkpoints/OpenBMI_MI/B4_ONE_STAGE_BACKEND/fold3/selected.pt,2adc55146e8110bc9f761ce3c3771e773df9cd17e6e44ad2726f0dede35cabac,True
3,2,B0_FULL_EXISTING,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold3_seed2_litebn/selected_best.pt,eaad934be47be22c4a4b5ef604ad9bb22c0e058f655dff743ff84d0f127e0370,False
3,2,B1_SAME_SCALE_63,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed2/checkpoints/OpenBMI_MI/B1_SAME_SCALE_63/fold3/selected.pt,95b69c2f4fa50d7237fe2ea45d095a0d322404561727a43ac1ad977143a5bf61,True
3,2,B2_SCALE_COLLAPSE,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed2/checkpoints/OpenBMI_MI/B2_SCALE_COLLAPSE/fold3/selected.pt,f9942673e3a9325c27333226bbd115d8e65d76ee6fe8a04210d65c448b3ea513,True
3,2,B4_ONE_STAGE_BACKEND,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed2/checkpoints/OpenBMI_MI/B4_ONE_STAGE_BACKEND/fold3/selected.pt,37af12a9babbeb4ef69ca49e2907a084571f3f62e319f94fc01f86ecb98b8986,True
4,0,B0_FULL_EXISTING,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold4_seed0_litebn/selected_best.pt,656f9fd20601d63bed1fe5d4730a815288cc3a29c0c0357ce95559dd04ea6b63,False
4,0,B1_SAME_SCALE_63,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B1_SAME_SCALE_63/fold4/selected.pt,dc596015a689eacc0ff8cb78e801f8fd3e675df71dcb7eb1921fd15322f903ae,True
4,0,B2_SCALE_COLLAPSE,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B2_SCALE_COLLAPSE/fold4/selected.pt,789b7ec0a35f00af8db724a123d98edb15ba368c3e0959c81117c58d7fdcda7f,True
4,0,B4_ONE_STAGE_BACKEND,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_seed0/runtime/checkpoints/OpenBMI_MI/B4_ONE_STAGE_BACKEND/fold4/selected.pt,50ab3683ae7282c95645a2351b881961bfcccee02d9674897c7f7196245ac448,True
4,1,B0_FULL_EXISTING,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold4_seed1_litebn/selected_best.pt,da73a311608c69caee6ec16b34438a213010bf48dc86f2f37b2bcd4e094bc2b3,False
4,1,B1_SAME_SCALE_63,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed1/checkpoints/OpenBMI_MI/B1_SAME_SCALE_63/fold4/selected.pt,773fbd45691904930d3d894d70f72ee2213d4b53ede1ac9d01dc5385e8d87f0f,True
4,1,B2_SCALE_COLLAPSE,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed1/checkpoints/OpenBMI_MI/B2_SCALE_COLLAPSE/fold4/selected.pt,2b727608493561256f024ccf69e33ec40b1fa901f482bfdde899f906a1d2847a,True
4,1,B4_ONE_STAGE_BACKEND,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed1/checkpoints/OpenBMI_MI/B4_ONE_STAGE_BACKEND/fold4/selected.pt,8f8a0beb936b37f59d17f1f4a5b409ec848f35e4f9f689dcb3c2039c7ba67a1e,True
4,2,B0_FULL_EXISTING,/root/rivermind-data/carrier_5fold_multiseed_stability_runtime/openbmi_fold4_seed2_litebn/selected_best.pt,70f60a29a0c677d606342a7d35aabee8a3e11d7edd6976be8fa4638397a3b398,False
4,2,B1_SAME_SCALE_63,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed2/checkpoints/OpenBMI_MI/B1_SAME_SCALE_63/fold4/selected.pt,828158deec1742baa69b79fe6e84a58b64d6a19262644a74907279817fdc83b2,True
4,2,B2_SCALE_COLLAPSE,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed2/checkpoints/OpenBMI_MI/B2_SCALE_COLLAPSE/fold4/selected.pt,0dbe15b3d707b3dbc3341a907fdab1933c6033849d381ec6e55165917a64c153,True
4,2,B4_ONE_STAGE_BACKEND,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_litebn_ablation_v2_multiseed_v1/runtime/seed2/checkpoints/OpenBMI_MI/B4_ONE_STAGE_BACKEND/fold4/selected.pt,3a454251483ab37a719d01a5cd51fe3af6cb0ea2c152a3a15c4b14c11a3eda92,True
