dataset,fold,seed,subject_id,n_trials,EEGNet_BA,EEGNet_macro_F1,EEGNet_accuracy,LiteBN_BA,LiteBN_macro_F1,LiteBN_accuracy,Frozen_LOGIT50_BA,Frozen_LOGIT50_macro_F1,Frozen_LOGIT50_accuracy,GLOBAL-ALPHA_BA,GLOBAL-ALPHA_macro_F1,GLOBAL-ALPHA_accuracy,CFRF-v1_BA,CFRF-v1_macro_F1,CFRF-v1_accuracy
WBCIC,1,0,sub-7,200,0.8300000000000001,0.8289049919484701,0.83,0.795,0.7949538646195394,0.795,0.8300000000000001,0.8298468621759583,0.83,0.8300000000000001,0.8298468621759583,0.83,0.825,0.8247853620685339,0.825
WBCIC,2,0,sub-50,200,0.9550000000000001,0.9549718574108819,0.955,0.94,0.9399038461538461,0.94,0.95,0.9499198717948718,0.95,0.95,0.9499198717948718,0.95,0.9450000000000001,0.9449325423643964,0.945
WBCIC,2,0,sub-14,200,0.575,0.5671105905120827,0.575,0.515,0.5144051463042227,0.515,0.52,0.5169082125603865,0.52,0.52,0.5169082125603865,0.52,0.52,0.5160802500252042,0.52
WBCIC,2,0,sub-1,200,0.9450000000000001,0.9449656035021888,0.945,0.905,0.9045969219954307,0.905,0.9450000000000001,0.9449656035021888,0.945,0.9450000000000001,0.9449656035021888,0.945,0.94,0.9399459513562206,0.94
WBCIC,2,0,sub-32,200,0.545,0.5416887008637405,0.545,0.605,0.6005965772643393,0.605,0.595,0.5927089880578253,0.595,0.595,0.5927089880578253,0.595,0.595,0.5927089880578253,0.595
WBCIC,2,0,sub-23,200,0.965,0.9649991249781245,0.965,0.97,0.9699729756781104,0.97,0.97,0.9699879951980792,0.97,0.97,0.9699879951980792,0.97,0.97,0.9699879951980792,0.97
WBCIC,2,0,sub-34,200,0.51,0.4987212276214834,0.51,0.6000000000000001,0.5980303487086724,0.6,0.56,0.5596036432789511,0.56,0.5549999999999999,0.5547217010631644,0.555,0.555,0.5549888747218681,0.555
WBCIC,3,0,sub-24,195,0.9180871212121212,0.9179465600673259,0.9179487179487179,0.9182449494949495,0.9179465600673259,0.9179487179487179,0.9285037878787878,0.9282032400589102,0.9282051282051282,0.9285037878787878,0.9282032400589102,0.9282051282051282,0.9232954545454546,0.9230769230769231,0.9230769230769231
WBCIC,3,0,sub-13,200,0.8799999999999999,0.8795664391810518,0.88,0.89,0.89,0.89,0.885,0.8847666524712543,0.885,0.885,0.8847666524712543,0.885,0.885,0.8847666524712543,0.885
WBCIC,3,0,sub-11,200,0.625,0.6238621831038893,0.625,0.6950000000000001,0.6940745755911633,0.695,0.7,0.6985227615315044,0.7,0.6950000000000001,0.6932746700188561,0.695,0.69,0.6880032206119162,0.69
WBCIC,3,0,sub-29,200,0.85,0.84998499849985,0.85,0.895,0.8944060339409177,0.895,0.885,0.8846510694851927,0.885,0.885,0.8846510694851927,0.885,0.895,0.8947869435607105,0.895
WBCIC,3,0,sub-26,200,0.6699999999999999,0.6683750376846548,0.67,0.73,0.7282608695652174,0.73,0.69,0.6892230576441103,0.69,0.69,0.6892230576441103,0.69,0.69,0.6895032051282051,0.69
WBCIC,3,0,sub-47,200,0.9450000000000001,0.9449325423643964,0.945,0.915,0.9148957472904308,0.915,0.9550000000000001,0.9549718574108819,0.955,0.96,0.9599639675708138,0.96,0.9550000000000001,0.9549448073890516,0.955
WBCIC,4,0,sub-36,200,0.98,0.98,0.98,0.965,0.9649781113195748,0.965,0.975,0.9749943737340903,0.975,0.975,0.9749943737340903,0.975,0.98,0.9799919967987194,0.98
WBCIC,4,0,sub-16,200,0.5549999999999999,0.552482715273413,0.555,0.575,0.5658724686534385,0.575,0.5449999999999999,0.5337995337995338,0.545,0.5449999999999999,0.5337995337995338,0.545,0.55,0.5396419437340154,0.55
WBCIC,4,0,sub-48,200,0.84,0.84,0.84,0.865,0.8649696181640869,0.865,0.87,0.87,0.87,0.86,0.86,0.86,0.865,0.8649696181640869,0.865
WBCIC,4,0,sub-41,200,0.87,0.8691626409017714,0.87,0.87,0.8699869986998701,0.87,0.865,0.8648344221671547,0.865,0.865,0.8648344221671547,0.865,0.865,0.8645903859174001,0.865
WBCIC,4,0,sub-5,200,0.765,0.7648530331457161,0.765,0.78,0.7794486215538847,0.78,0.77,0.769792813532179,0.77,0.77,0.769792813532179,0.77,0.76,0.7597838054248824,0.76
WBCIC,4,0,sub-27,200,0.595,0.5822050290135397,0.595,0.6699999999999999,0.6683750376846548,0.67,0.655,0.6495238095238096,0.655,0.66,0.6541552232733191,0.66,0.645,0.6373758267575781,0.645
