task,fold,anchor_sha256,v1_refit_baseline_sha256,split_sha256,discovery_normalizer_sha256,canonical_selected_epoch
OpenBMI_SSVEP,0,861b3f566bfc00ddb1036072b3d82948ba562540f8d1b67718262b52ab8bbe16,55b8f8500aaa58a88b28cf3eec42a4c3748f806e30c8e28850ba4601ee109f87,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2,52
OpenBMI_SSVEP,1,c52842b9bd3717a4239149aa711cc7c894a28959e1ed897577af14acf1f55f50,bca5bb3f5549d4211dca2f25ef14b621797788aa35ce1bfef11765161c5c7713,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b,39
OpenBMI_SSVEP,2,6aa5e6e296ab32f1f69f03090f052d8a71c09dedc03bbc11d287cf9873a62040,52cd045b98af2e78e7a39d7806b257b8becc8dc185dd900428aa141fc4f821e5,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,65457744184c97f7501093f7f0ae77803c77c55c76221e4319732fe46e157686,60
OpenBMI_SSVEP,3,f286e0fb5018864344844f980e946f9724b00dae7a5a53c55c88465841ba6c12,2faccade8bf51c0f7f5c879d472afb65a70c46012f68cf967a0eaf440b5b03c4,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,23fc006691b42bd16828108fc89922654fa7567a759b789614a5642702113b52,45
OpenBMI_SSVEP,4,d11730326b518db0ae6fc3239bd31ff3f1a2e364ddd293c9b656c2e756a1b56e,9dc53eb27e3301247b5981c9abf320af49bc9f7e4533c5b0b7bd20e3b4d7516f,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,f35658c5b6e9edf7065b881ffbf59d3e0e0afa7726e18c3849663747b9413dda,41
WBCIC_MI,0,420b6165b6cb12dcfdb8bb3e09b2ea105508ffcff3eb566fae8d65b700f71d26,247dd8a58b75cc18a8ecc0b9ba428a2c8249ec6870936d905f007fb295dc6ac9,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b,22
WBCIC_MI,1,f3d5aa0c934a36886b9c1377ae336b7e6c636afdf344612eb61d3293db3a5d5c,3010f93cb42cf4a000902b489d64847bfbd500a4c1c8e323d2d676daa2a6873b,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17,56
WBCIC_MI,2,3c34712bdf77d0ec7a36989bf2f557c6ccc7d3e263576ec2c29fa9c06c03ed34,518a587bb83d50ea78a526601d9bd3708011e364513e6d76502c8e567871d0f6,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354,40
WBCIC_MI,3,0efb22336ff9ce62f16e66e5b3649bd6c8957ed5d9c630eb5de163c043dd96b3,00b6659d18cb209f8032d0b964bae77c3195caa71a309307065277473625a60d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,23765060e5268b3e9d17ac8856fddf0ebee518e507202d3f625e821bc4aa0035,45
WBCIC_MI,4,73f45ad4e44f024a4f237493a8e86ea7bbd067abccb5ee7cca2dd6e5f0d8311d,0d8a3866740181818ca42035181ed42f51b69a6788ed953dc029102b2bfd22de,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0e862b1cae5aa096f18b8e895fd881156c2b6b7c2f2d2f0b89e97815b1ab0a0e,21
