task,fold,stage,status,protected_rank,spatial_rank,successor_rank,canonical_basis_hash,train_data_hash,projector_hash,spatial_orth_error,successor_orth_error
OpenBMI_SSVEP,0,discovery,COMPLETE,4,4,4,fa6fbb96f06fafe6521f0588ac6866e0b98c6bb408aa7c339f45cbe0c047ac14,2a2c20c8eb323d48228bef7b99ca6bf620845d83e41f737313898ebd7981ba3d,440b9231f998e3d8d1e0f0557f6d36387cb862ceb2581140fe77f034ec8575da,1.1920928955078125e-07,1.1920928955078125e-07
OpenBMI_SSVEP,0,refit,COMPLETE,4,4,4,2896550161cdcd66fd487c8820793496d51aa6de3682bcd181378cd20d6aa699,e351c782c22f0884b5c6a1650463fb460cbd6aef371121127c1c8618216cf417,dc50d75af42c95e0051ed8e8f322c4454e61a9269ac722f8815ab0c60aa6c9c8,1.1920928955078125e-07,2.384185791015625e-07
OpenBMI_SSVEP,1,discovery,COMPLETE,8,8,8,41dea00cfe3c8f29baa42facbdd6380664b605866cec9a212e05d7566f1b593f,916fcadaee26797cdd39644a87d49814aeddd121714d1875650466848b1fe106,a378ce17b284c86a561e4447e928204d9841e90f1ecb7ad2815331aa69e8d168,1.1920928955078125e-07,2.384185791015625e-07
OpenBMI_SSVEP,1,refit,COMPLETE,8,8,8,93b92be9ae72368c4146f9f23e77c9aef576e3d4b5f004997a4bdfb6896486ac,e351c782c22f0884b5c6a1650463fb460cbd6aef371121127c1c8618216cf417,0899d2aa3d8e3d3af1def7f36a126e208bf96677d99b46f0ab6690af8ac85ad7,1.1920928955078125e-07,2.384185791015625e-07
OpenBMI_SSVEP,2,discovery,COMPLETE,4,4,4,29947a0081647fb8f009b5e0d03d6d8aa675361077eed8076460f240310ab30e,4103a2baea633aa383898911f1b00ea21787c87c17deb4da077ae6af0220df24,13e4f3524a844960a42df105dcc8064129f98abc2a622ee7aa265ace36e7b1d9,1.1920928955078125e-07,1.7881393432617188e-07
OpenBMI_SSVEP,2,refit,COMPLETE,4,4,4,f746b641864ce67a692e4dad6b353b3f1105b762332763f4f49912cdc253b602,e351c782c22f0884b5c6a1650463fb460cbd6aef371121127c1c8618216cf417,757e4173a1f79a50f87b87f150bfd5410936d87f681c0a97bc0e5400e882287d,2.384185791015625e-07,5.960464477539063e-08
OpenBMI_SSVEP,3,discovery,COMPLETE,8,8,8,d361707a4e2881c9ab9f71b32e26ed74754ec1ed67ca6b582b0ac5edfbae680e,b2646699ad3b54436922e6ee9d7051a37761798ae782803fd33d3268e0124f75,256f5547ee596fa608799c61b68069bfe2f1178bd10d0c32552324d6f5f94a09,2.384185791015625e-07,3.5762786865234375e-07
OpenBMI_SSVEP,3,refit,COMPLETE,8,8,8,7d1d8546e9d2d984cacf96d9d671988d67647a1082757a952698c476ffb2819c,e351c782c22f0884b5c6a1650463fb460cbd6aef371121127c1c8618216cf417,e47fc85b4c557bf6838a5535402093bc5b5459634d965ebf71810a1f845d9f3f,1.1920928955078125e-07,2.980232238769531e-07
OpenBMI_SSVEP,4,discovery,COMPLETE,8,8,8,f92fb95377c016ca01910ffcfafe78b3d8a86cb6b12818afa903ad7de654be52,f361b17e943d4d5a587472913a3721211846553782d726a5f8debfd200ba2c26,47173f14c58c2912219629230ebd021b10ba0fab6f7760d9d76bd1dc76a74de4,2.384185791015625e-07,1.1920928955078125e-07
OpenBMI_SSVEP,4,refit,COMPLETE,4,4,4,67925377f22f2bb90fe790b4368ae41a76cd70c96440549134ec09ad4860a5b6,e351c782c22f0884b5c6a1650463fb460cbd6aef371121127c1c8618216cf417,e9068c2497a183a3acdf14ba18d318f27c2f1398a9b746ee826a479e915200ec,1.1920928955078125e-07,2.384185791015625e-07
WBCIC_MI,0,discovery,COMPLETE,2,2,2,adc894f861d9e7fa2eb8c2a33b3125905ef3aa47e045c8b8e07dea5c3f345162,4d7f71fc72cbeba7391aa0a03968af06a07a0751d8b14d0133a238edd65891d9,39cbe00c62515c6f3643a685655477f12b600c2894da44d017c39a45963729a1,1.1920928955078125e-07,1.0011717677116394e-08
WBCIC_MI,0,refit,COMPLETE,2,2,2,e4c25a81bacc0a3d8cd34d57aaa2434dd5b2471a6a959ebd93405ba18e750f46,3b06773c6caedf9751aad4a2828be995c8315a5770a598b65bf2239de136a14b,5ea549892458bdc28ed015eceb5d9511adda31e5b6f05b82401c5485f613be00,2.384185791015625e-07,1.862645149230957e-09
WBCIC_MI,1,discovery,COMPLETE,2,2,2,9460ffd19caf636b357b5c644da288e80101a1c679386a58ddb2e6146423926d,0c3d8afc97825d82399a993246a64a447ab59440445436c16fd392fed4facd7a,79c971c35cf73d393bae75254f3177350266fe19dfb19a1df07d46c4da2ae477,1.1920928955078125e-07,1.1920928955078125e-07
WBCIC_MI,1,refit,COMPLETE,2,2,2,233a1c407d5a2f6b9bdfb89dcc34fea3377a7fd9dddff12e95aeeb3cbfe65783,1ded1b0ce2ecf1c60b27cad1f6015c508831a00026471cb993fd5e39d1cd3d5f,c4679bcd2e27529cff9d96be96a926a6981cb32f46b5ef00ce857e99c51871cb,1.1920928955078125e-07,1.7881393432617188e-07
WBCIC_MI,2,discovery,COMPLETE,3,3,3,beb8d38450622c242c10d979fd9b973fa11cde5ccae60b2315851f8abf7223ba,e3c3c4072c72bb6239b26169e68d0c5e7fd7b0dac837aa7b73d03bd9fb0375f0,eb15f1464d880e218cf9138174be34e10c515005ac1a770c290790ea5667a201,5.960464477539063e-08,2.384185791015625e-07
WBCIC_MI,2,refit,COMPLETE,2,2,2,8c68f8cd0c78f7b1b4ac61ec5a870cd2d6ff2af03103da7a68b483c6b214b1c7,54fbc9bf35b82bc1c75b85dcd49253244265354df3f250818f2ef8e812855322,ea80d74857e716cb4bc4c67b5307a225902b64c3630e868e7fdaa06092ca9a97,1.1920928955078125e-07,2.384185791015625e-07
WBCIC_MI,3,discovery,COMPLETE,2,2,2,e994efcf53497204f193770376f48613a4e1ab8a839771b6ce8fca91c99e1449,660ab6ca1e8c320c7d1faae07d7e48f4be5e441e00d9f76298106687b7f3b69a,c72f4ef775467e38b79443ca36ed076344fb65af86ad71f341da8df5e718283b,3.725290298461914e-09,1.1920928955078125e-07
WBCIC_MI,3,refit,COMPLETE,1,1,1,00edde4cb48412cbb5039654c9828ad4d640436cdd54882756d8ef708efc3f3d,c43bfd75c34c4b209afc00ed8a4a90fc0d4e61663172009bdbd80772f9940504,f5c39d515ddbd69cbb9c9658daeb720d8846a4806fbb99acb665af250a9f0c5d,0.0,0.0
WBCIC_MI,4,discovery,COMPLETE,1,1,1,7663a8d8af235b379a9e72cb095829dca9ba379d67c92d59f42b4e1f49a32f78,b82e2c01139ce6be3bae47a15bd1f365869e661c0a29763a6cc3e00dea4f8985,cd1dca45ce14b477924ab09298ea3f980da0e8a0fcb25c146a962a6c4d915fe5,0.0,0.0
WBCIC_MI,4,refit,COMPLETE,1,1,1,7bab37e61dd87fc1888e470a8f2cc05f23f2e0fc5478a514a8e8e2b1b7cf3ae8,c76b39d04928816aec2bdb0a2a80a4aa5182fafef1f0b176c47bc2fd732c7e6c,e9391752f9013636e4a9748e0400c2ece9a8832099b3e4de3142f91e2a12e03f,0.0,5.960464477539063e-08
