task,fold,session,variant,dimension,mean_gate,std_gate,Pr_gate_lt_0p9,Pr_gate_gt_1p1,label
OpenBMI_MI,1,S2,P_ONLY_TRANSFER_GATE,5,1.0154385566711426,0.021339043974876404,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S2,P_ONLY_TRANSFER_GATE,ALL,0.9940629601478577,0.02644435130059719,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S2,RANDOM_TRANSFER_GATE,0,1.0003196001052856,0.0017592754447832704,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S2,RANDOM_TRANSFER_GATE,1,1.000288724899292,0.0012957844883203506,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S2,RANDOM_TRANSFER_GATE,2,1.0003776550292969,0.0011136162793263793,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S2,RANDOM_TRANSFER_GATE,3,0.999681830406189,0.0009171515121124685,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S2,RANDOM_TRANSFER_GATE,4,0.9996818900108337,0.0006582703208550811,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S2,RANDOM_TRANSFER_GATE,5,0.9998443722724915,0.0003933950501959771,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S2,RANDOM_TRANSFER_GATE,ALL,1.0000323057174683,0.0011541140265762806,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S2,PROTECTED_NATIVE_TRANSFER_GATE,0,0.9861654043197632,0.021801598370075226,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S2,PROTECTED_NATIVE_TRANSFER_GATE,1,0.9854790568351746,0.020475685596466064,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S2,PROTECTED_NATIVE_TRANSFER_GATE,2,1.0064809322357178,0.010856847278773785,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S2,PROTECTED_NATIVE_TRANSFER_GATE,3,0.9946911334991455,0.00987293478101492,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S2,PROTECTED_NATIVE_TRANSFER_GATE,4,0.9945971965789795,0.008665690198540688,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S2,PROTECTED_NATIVE_TRANSFER_GATE,5,1.0068203210830688,0.008943585678935051,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,1,S2,PROTECTED_NATIVE_TRANSFER_GATE,ALL,0.9957056641578674,0.016844844445586205,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S1,P_ONLY_TRANSFER_GATE,0,0.9994201064109802,0.0016069000121206045,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S1,P_ONLY_TRANSFER_GATE,1,0.9999781847000122,0.0004730688815470785,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S1,P_ONLY_TRANSFER_GATE,2,0.9994428157806396,0.001154893427155912,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S1,P_ONLY_TRANSFER_GATE,3,1.0000821352005005,0.00027618787134997547,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S1,P_ONLY_TRANSFER_GATE,ALL,0.9997307658195496,0.0010700580896809697,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S1,RANDOM_TRANSFER_GATE,0,0.9997356534004211,0.0008349769050255418,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S1,RANDOM_TRANSFER_GATE,1,0.9998558759689331,0.0004817694425582886,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S1,RANDOM_TRANSFER_GATE,2,1.0001931190490723,0.0005778566701337695,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S1,RANDOM_TRANSFER_GATE,3,1.000095009803772,0.0008680140599608421,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S1,RANDOM_TRANSFER_GATE,ALL,0.9999698400497437,0.0007331576198339462,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S1,PROTECTED_NATIVE_TRANSFER_GATE,0,0.9940977096557617,0.017512595281004906,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S1,PROTECTED_NATIVE_TRANSFER_GATE,1,1.000059962272644,0.010729425586760044,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S1,PROTECTED_NATIVE_TRANSFER_GATE,2,0.9981540441513062,0.010670214891433716,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S1,PROTECTED_NATIVE_TRANSFER_GATE,3,0.9956347942352295,0.0063017550855875015,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S1,PROTECTED_NATIVE_TRANSFER_GATE,ALL,0.9969866275787354,0.012210232205688953,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
OpenBMI_MI,2,S2,P_ONLY_TRANSFER_GATE,0,0.9994519948959351,0.001628997502848506,0.0,0.0,POST_HOC_HELDOUT_DIAGNOSTIC
