task,fold,stage,status,protected_rank,spatial_rank,successor_rank,canonical_basis_hash,train_data_hash,random_projector_hash,spatial_orth_error,successor_orth_error
OpenBMI_ERP,1,refit,COMPLETE,9,9,9,2a42213d6c378f7ebf7be8a37a50f778c0b82a99b417ca60cea7a32694f71cf9,435f3cdc4b310614690e5bd5d62da946a44cf6e25e08df7093e5a94c132c7692,ba3f52cdd2ca7621e29b40db8f5c672c5a2e9a8f38c51f560bff40157654a719,2.384185791015625e-07,1.1920928955078125e-07
OpenBMI_ERP,2,discovery,COMPLETE,8,8,8,676e008408a91994304d9cc4e0f5df3b820c28bffcdbd87bdddf76b4818e2401,c78fc4ee9c56e2eecef8b5770abc2a28a101824d7c4ece499eafe9e1cae776a2,b8aeccbb4d4112692e47bc39ee154bfefcf1e20a6585afd946fa301236898c0a,2.384185791015625e-07,1.1920928955078125e-07
OpenBMI_ERP,2,refit,COMPLETE,8,8,8,46f0c69e2dc2ae81a7710c2386c39e36782afe48d9b1009efa1d21e3c4916dbe,d460759a352ce587f1f4750f8126a29d6bfbd924b5c62ad559ddd68cb2b12a6a,4e6612ad36ad0f426e97a4e1bf4d171ece14ac5b5573c9e54c0b83788b0e7ae4,1.1920928955078125e-07,3.5762786865234375e-07
OpenBMI_ERP,3,discovery,COMPLETE,4,4,4,8977958150e3f8f8321b29fd8e7bdcb279c1c42f351a7d0ac186ddecd1cf92cc,f466d3dbeb9e394d19526706c728b9844b3b1ee4c8de06901cbe69ce38886579,0d73787fe392f82425e4329a84fd6f353b8b5ec19eee95a76230b753c6e8c7d3,2.384185791015625e-07,1.1920928955078125e-07
OpenBMI_ERP,3,refit,COMPLETE,4,4,4,6cfdb50de2666c46cd4b7bb39a83ad9e388603c7bcc8aee02cdd9f845b41717d,02b04a6ff1eacd0b97a6b6fef9bffa5536cd823dc6ca3dc3f67ed119e9162c9a,470b509c8da7586b6f11a3a903fe922447c1ba686c196e9cfe38a7d2d9e466c3,2.384185791015625e-07,2.384185791015625e-07
OpenBMI_ERP,4,discovery,COMPLETE,5,5,5,11a2898a85ef37246190d63874fb66dbeb6ba2248db6ec16d2907b512930e82d,2b2a4115acac16a804121c37f5f43659bc243112a1c2d5eab1cd05fa57c14ba4,3c4afdda44b793237bc2764796490d4dc9d46e1bd2788819fbfd5a9f0bd09a14,2.384185791015625e-07,1.1920928955078125e-07
OpenBMI_ERP,4,refit,COMPLETE,4,4,4,ce9a89d867e4b642e20d3520577b3115501e8f3ad3aeb6b400ec39d92f3189f1,b94b6f2ee0f5335ad7f9c2e0ddc8df08b4a0fbf88733a0cf158f300d9e20ed83,b8e1de935ecb2b984f1e0075b74134910cdf95f8cbe77ed0e95c13da5a663d80,2.384185791015625e-07,1.7881393432617188e-07
OpenBMI_SSVEP,0,discovery,COMPLETE,4,4,4,fa6fbb96f06fafe6521f0588ac6866e0b98c6bb408aa7c339f45cbe0c047ac14,2a2c20c8eb323d48228bef7b99ca6bf620845d83e41f737313898ebd7981ba3d,01d0a63a7c008dc78f4ed797d5580c5a675b6e5ef7d4b4811ea0f39f906dfbf1,2.980232238769531e-07,1.1920928955078125e-07
OpenBMI_SSVEP,0,refit,COMPLETE,4,4,4,2896550161cdcd66fd487c8820793496d51aa6de3682bcd181378cd20d6aa699,e351c782c22f0884b5c6a1650463fb460cbd6aef371121127c1c8618216cf417,8c2eb2c109d970f6325b2c06319b48a6de0ef49db254eaa49c3ef7f00356691c,1.1920928955078125e-07,2.384185791015625e-07
OpenBMI_SSVEP,1,discovery,COMPLETE,8,8,8,41dea00cfe3c8f29baa42facbdd6380664b605866cec9a212e05d7566f1b593f,916fcadaee26797cdd39644a87d49814aeddd121714d1875650466848b1fe106,4af40f9451445b036314a64ae0c90cf493649f51152cdc988c74151d4eceaa95,1.7881393432617188e-07,2.384185791015625e-07
OpenBMI_SSVEP,1,refit,COMPLETE,8,8,8,93b92be9ae72368c4146f9f23e77c9aef576e3d4b5f004997a4bdfb6896486ac,e351c782c22f0884b5c6a1650463fb460cbd6aef371121127c1c8618216cf417,ee95d7c2161c68b0611be37c26179424803db87c16b3846319392ea59b1bfe15,1.1920928955078125e-07,2.384185791015625e-07
OpenBMI_SSVEP,2,discovery,COMPLETE,4,4,4,29947a0081647fb8f009b5e0d03d6d8aa675361077eed8076460f240310ab30e,4103a2baea633aa383898911f1b00ea21787c87c17deb4da077ae6af0220df24,4a67180978ed69a5be6ab448cbf35ad7db3d9fcb280cd08402beb5b341ab7f5b,1.1920928955078125e-07,2.384185791015625e-07
OpenBMI_SSVEP,2,refit,COMPLETE,4,4,4,f746b641864ce67a692e4dad6b353b3f1105b762332763f4f49912cdc253b602,e351c782c22f0884b5c6a1650463fb460cbd6aef371121127c1c8618216cf417,bac91cd02102c56ebf04683ae5b57901f59fe7a80fbb8de6da74ef86645f6b4f,1.1920928955078125e-07,2.384185791015625e-07
OpenBMI_SSVEP,3,discovery,COMPLETE,8,8,8,d361707a4e2881c9ab9f71b32e26ed74754ec1ed67ca6b582b0ac5edfbae680e,b2646699ad3b54436922e6ee9d7051a37761798ae782803fd33d3268e0124f75,79341b7b2f6fcbc6ed278083fae95f5cf2e0a36cc614845256555f1797c335db,1.1920928955078125e-07,3.5762786865234375e-07
OpenBMI_SSVEP,3,refit,COMPLETE,8,8,8,7d1d8546e9d2d984cacf96d9d671988d67647a1082757a952698c476ffb2819c,e351c782c22f0884b5c6a1650463fb460cbd6aef371121127c1c8618216cf417,07784bb790ae38eb3ab3f2d0e31291be20b2ec5891ffa99c72cb8b704cf61f31,1.7881393432617188e-07,3.5762786865234375e-07
OpenBMI_SSVEP,4,discovery,COMPLETE,8,8,8,f92fb95377c016ca01910ffcfafe78b3d8a86cb6b12818afa903ad7de654be52,f361b17e943d4d5a587472913a3721211846553782d726a5f8debfd200ba2c26,93ee2d3ed19abbbb3d4bf6b0b8e1dd27f95c548a67f7f0c3df9a00c2e64a5b97,1.1920928955078125e-07,2.384185791015625e-07
OpenBMI_SSVEP,4,refit,COMPLETE,4,4,4,67925377f22f2bb90fe790b4368ae41a76cd70c96440549134ec09ad4860a5b6,e351c782c22f0884b5c6a1650463fb460cbd6aef371121127c1c8618216cf417,355a101f67a8af460acbad8a9e7533232832c10c61b09d253dd3c3ad5c3f7f92,5.960464477539063e-08,2.384185791015625e-07
WBCIC_MI,0,discovery,COMPLETE,2,2,2,adc894f861d9e7fa2eb8c2a33b3125905ef3aa47e045c8b8e07dea5c3f345162,4d7f71fc72cbeba7391aa0a03968af06a07a0751d8b14d0133a238edd65891d9,8ffd541ff073700b25bec212ae1c7a521dbab48d802906f8dd9cf08cbfda806c,5.960464477539063e-08,2.384185791015625e-07
WBCIC_MI,0,refit,COMPLETE,2,2,2,e4c25a81bacc0a3d8cd34d57aaa2434dd5b2471a6a959ebd93405ba18e750f46,3b06773c6caedf9751aad4a2828be995c8315a5770a598b65bf2239de136a14b,ff8cefa9240f1b5c8ab39c36682aed32ec56026a086fa07183aa4d28a7702944,1.1920928955078125e-07,2.384185791015625e-07
WBCIC_MI,1,discovery,COMPLETE,2,2,2,9460ffd19caf636b357b5c644da288e80101a1c679386a58ddb2e6146423926d,0c3d8afc97825d82399a993246a64a447ab59440445436c16fd392fed4facd7a,cfeee179460b7940df8ef13d2420802ec8df4cdfbefb402f7011153e82600687,1.1920928955078125e-07,1.3969838619232178e-08
WBCIC_MI,1,refit,COMPLETE,2,2,2,233a1c407d5a2f6b9bdfb89dcc34fea3377a7fd9dddff12e95aeeb3cbfe65783,1ded1b0ce2ecf1c60b27cad1f6015c508831a00026471cb993fd5e39d1cd3d5f,110a4a85c466f09fbce50c99ca6690eb8b16b8b2c2c45eb1dae3c929a2333472,5.960464477539063e-08,1.1920928955078125e-07
WBCIC_MI,2,discovery,COMPLETE,3,3,3,beb8d38450622c242c10d979fd9b973fa11cde5ccae60b2315851f8abf7223ba,e3c3c4072c72bb6239b26169e68d0c5e7fd7b0dac837aa7b73d03bd9fb0375f0,69c0259cf51eb4995c02e54373543764933955a238dc79c4d2b0df0a8e0d4386,1.1920928955078125e-07,1.1920928955078125e-07
WBCIC_MI,2,refit,COMPLETE,2,2,2,8c68f8cd0c78f7b1b4ac61ec5a870cd2d6ff2af03103da7a68b483c6b214b1c7,54fbc9bf35b82bc1c75b85dcd49253244265354df3f250818f2ef8e812855322,172d34904daccbb6a0432b354bc423b0cbbab4ea6f3a5d36b6d8801860f514c8,7.8580342233181e-10,5.960464477539063e-08
WBCIC_MI,3,discovery,COMPLETE,2,2,2,e994efcf53497204f193770376f48613a4e1ab8a839771b6ce8fca91c99e1449,660ab6ca1e8c320c7d1faae07d7e48f4be5e441e00d9f76298106687b7f3b69a,461396f4cd586b8c59782b1cc19427ced9858b3d8cc838aaee6844df9ecb3d5d,1.1920928955078125e-07,2.384185791015625e-07
WBCIC_MI,3,refit,COMPLETE,1,1,1,00edde4cb48412cbb5039654c9828ad4d640436cdd54882756d8ef708efc3f3d,c43bfd75c34c4b209afc00ed8a4a90fc0d4e61663172009bdbd80772f9940504,4c529c046cb8db8502ff7dc6b992e1df4cceb52751a09d5517ee65b7e87bf4cb,5.960464477539063e-08,0.0
WBCIC_MI,4,discovery,COMPLETE,1,1,1,7663a8d8af235b379a9e72cb095829dca9ba379d67c92d59f42b4e1f49a32f78,b82e2c01139ce6be3bae47a15bd1f365869e661c0a29763a6cc3e00dea4f8985,8d0d160e1f4b21cfd029b1446377912f59974d1c1879e3a6171396288f94189d,0.0,0.0
WBCIC_MI,4,refit,COMPLETE,1,1,1,7bab37e61dd87fc1888e470a8f2cc05f23f2e0fc5478a514a8e8e2b1b7cf3ae8,c76b39d04928816aec2bdb0a2a80a4aa5182fafef1f0b176c47bc2fd732c7e6c,5eba6e9938eebec899799fe0a2cba1b719ad2e7a30d744bf241685b83e32f528,0.0,5.960464477539063e-08
