task,fold,variant,selected_epoch,BA,macro_F1,NLL,checkpoint_sha256
OpenBMI_SSVEP,4,P_ONLY_TRANSFER_GATE,3,0.9049999999999999,0.9001988174254661,0.29760335277145106,3e6834ad287052f055ca2df152ca3af209eef37c2e9fee0a88c6913dc973c180
OpenBMI_SSVEP,4,RANDOM_TRANSFER_GATE,16,0.9049999999999999,0.9001988174254661,0.29701739580680925,686456f347a149ed6742edc59f0cf4444ff4838a84ea2ec0b79a8d9fa8b661f6
OpenBMI_SSVEP,4,PROTECTED_NATIVE_TRANSFER_GATE,7,0.9049999999999999,0.9001988174254661,0.29722656837354106,a638419a60bd0d34f1b7b38ac24d85a891bd2493d459667a72121b3b371762dd
WBCIC_MI,0,BASELINE,0,0.6723143939393939,0.6491294844612978,0.5925464510917664,
WBCIC_MI,0,P_ONLY_TRANSFER_GATE,13,0.6723143939393939,0.6515713292373354,0.5903369903564453,e120ade764889907c79e8c65cbec52575f633f29c6772b44f8c1b2c5e1a1798f
WBCIC_MI,0,RANDOM_TRANSFER_GATE,14,0.6723143939393939,0.6491294844612978,0.5924915254116059,7ec8df2e219ef130183ec605bcd467a55f43ac6392808e65f15beb3c833a4238
WBCIC_MI,0,PROTECTED_NATIVE_TRANSFER_GATE,12,0.6743143939393939,0.6531888905960278,0.5905279636383056,b06ba740f08e8ded7ca93f1b071f14232d3399a01aad77d662f088f902cf0299
WBCIC_MI,1,BASELINE,0,0.8925441919191919,0.8923659689151059,0.2733623206615448,
WBCIC_MI,1,P_ONLY_TRANSFER_GATE,13,0.8945441919191918,0.8944005386300169,0.2737451821565628,04256c951b73aed0a8027c6688c33810650750e17baa1fdd2418a6d29cff9e17
WBCIC_MI,1,RANDOM_TRANSFER_GATE,2,0.8925441919191919,0.8923659689151059,0.2733618080615997,7e1229b71d3146587831dff3f15cd5648e0812dfb5908ebbe88aa90f5dac0720
WBCIC_MI,1,PROTECTED_NATIVE_TRANSFER_GATE,20,0.8925441919191919,0.8923659689151059,0.27221682071685793,ce3cc0e2b8c447a5269928ad803765c63fb05e0758bff8c257f46305f64486e2
WBCIC_MI,2,BASELINE,0,0.882,0.881890883159069,0.2833076477050781,
WBCIC_MI,2,P_ONLY_TRANSFER_GATE,1,0.882,0.881890883159069,0.2834081083536148,9a32949f9f28ac6970bcc7613489c06e85567724c93fe8b0f01ecdbe25a7fe8d
WBCIC_MI,2,RANDOM_TRANSFER_GATE,15,0.882,0.881890883159069,0.2833018511533737,ac1644ada36101806d0e9aebcab91e5bb1a56252f8cf8d2ad84f0036738692fe
WBCIC_MI,2,PROTECTED_NATIVE_TRANSFER_GATE,1,0.882,0.881890883159069,0.28337129652500154,207889282ac8590796b84d7d0070a2d366d60911d5625d1a2f9170c3fc03cb90
WBCIC_MI,3,BASELINE,0,0.736,0.7318334951906584,0.5930944561958313,
WBCIC_MI,3,P_ONLY_TRANSFER_GATE,16,0.743,0.7393128490640614,0.5837246060371399,6d32703b438a258217ed058ebed4bdf286a6aba5b9e2054c63ada49128c123f8
WBCIC_MI,3,RANDOM_TRANSFER_GATE,20,0.736,0.7318334951906584,0.5929878294467926,5a749d2f378074dcdb1c79f7064e70eb1ed4cf591185bc46c6534fa61785d9c2
WBCIC_MI,3,PROTECTED_NATIVE_TRANSFER_GATE,11,0.741,0.736818369681585,0.5852463006973266,5165be0ddf496d18c34e84838cda8b515bb49befb67dcf6a8e1853390e21ea20
WBCIC_MI,4,BASELINE,0,0.7609999999999999,0.760629541993793,0.4881925702095032,
WBCIC_MI,4,P_ONLY_TRANSFER_GATE,1,0.7609999999999999,0.760629541993793,0.4881925702095032,8cecb422edfb61e04fef93bc8163941035fb2dd08427695e080d33bc061c760f
WBCIC_MI,4,RANDOM_TRANSFER_GATE,1,0.7609999999999999,0.760629541993793,0.4881925702095032,66af4ab1fb6df70aba91e2e79a31ac26a4cc0f3ac9e658bfbc2e81b482586fd4
WBCIC_MI,4,PROTECTED_NATIVE_TRANSFER_GATE,1,0.7609999999999999,0.760629541993793,0.4881925702095032,4282235fe21b0ad08a0d8eadcd8e83ff3308bf18106d3b30b5327f78b251d615
