version,candidate,stage,inner_fold,held_subjects,n_train_subjects,n_held_subjects,method_BA,control_BA,delta_BA,method_epoch,control_epoch,elapsed_seconds
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage2,4,"['9', '21', '11', '43', '16', '20']",28,6,0.855,0.855,0.0,0,0,17.007187604904175
V2,V2__lg0.3__ld0.01__lr0.0001__b8,stage2,0,"['18', '41', '25', '4', '46', '52', '30']",27,7,0.7964285714285715,0.7957142857142857,0.0007142857142857784,9,5,42.49259853363037
V2,V2__lg0.3__ld0.01__lr0.0001__b8,stage2,1,"['29', '34', '5', '38', '24', '22', '31']",27,7,0.7964285714285715,0.7964285714285715,0.0,0,0,16.534887313842773
V2,V2__lg0.3__ld0.01__lr0.0001__b8,stage2,2,"['35', '42', '49', '8', '23', '26', '51']",27,7,0.835,0.835,0.0,5,6,32.78774619102478
V2,V2__lg0.3__ld0.01__lr0.0001__b8,stage2,3,"['44', '7', '39', '37', '12', '27', '15']",27,7,0.8964285714285715,0.8964285714285715,0.0,0,0,15.92896819114685
V2,V2__lg0.3__ld0.01__lr0.0001__b8,stage2,4,"['9', '21', '11', '43', '16', '20']",28,6,0.8566666666666667,0.8574999999999999,-0.0008333333333332416,3,3,21.828431129455566
V2,V2__lg0.3__ld0.01__lr0.0003__b8,stage2,0,"['18', '41', '25', '4', '46', '52', '30']",27,7,0.7978571428571428,0.7971428571428572,0.0007142857142856673,4,9,33.21865677833557
V2,V2__lg0.3__ld0.01__lr0.0003__b8,stage2,1,"['29', '34', '5', '38', '24', '22', '31']",27,7,0.7942857142857143,0.7957142857142857,-0.0014285714285714457,4,4,21.003688097000122
V2,V2__lg0.3__ld0.01__lr0.0003__b8,stage2,2,"['35', '42', '49', '8', '23', '26', '51']",27,7,0.8357142857142856,0.8407142857142857,-0.0050000000000001155,3,7,25.892011642456055
V2,V2__lg0.3__ld0.01__lr0.0003__b8,stage2,3,"['44', '7', '39', '37', '12', '27', '15']",27,7,0.8935714285714286,0.8942857142857142,-0.0007142857142856673,3,3,15.265735626220703
V2,V2__lg0.3__ld0.01__lr0.0003__b8,stage2,4,"['9', '21', '11', '43', '16', '20']",28,6,0.8574999999999999,0.855,0.0024999999999999467,1,0,11.679651975631714
V2,V2__lg0.3__ld0.1__lr0.0001__b8,stage2,0,"['18', '41', '25', '4', '46', '52', '30']",27,7,0.7964285714285715,0.7957142857142857,0.0007142857142857784,9,5,23.521310567855835
V2,V2__lg0.3__ld0.1__lr0.0001__b8,stage2,1,"['29', '34', '5', '38', '24', '22', '31']",27,7,0.7964285714285715,0.7964285714285715,0.0,0,0,9.828455924987793
V2,V2__lg0.3__ld0.1__lr0.0001__b8,stage2,2,"['35', '42', '49', '8', '23', '26', '51']",27,7,0.835,0.835,0.0,5,6,19.516749143600464
V2,V2__lg0.3__ld0.1__lr0.0001__b8,stage2,3,"['44', '7', '39', '37', '12', '27', '15']",27,7,0.8964285714285715,0.8964285714285715,0.0,0,0,9.471876382827759
V2,V2__lg0.3__ld0.1__lr0.0001__b8,stage2,4,"['9', '21', '11', '43', '16', '20']",28,6,0.8566666666666667,0.8574999999999999,-0.0008333333333332416,3,3,14.393577575683594
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage2,0,"['18', '41', '25', '4', '46', '52', '30']",27,7,0.7985714285714285,0.7971428571428572,0.0014285714285713347,12,9,29.024566888809204
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage2,1,"['29', '34', '5', '38', '24', '22', '31']",27,7,0.7942857142857143,0.7957142857142857,-0.0014285714285714457,4,4,16.111807107925415
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage2,2,"['35', '42', '49', '8', '23', '26', '51']",27,7,0.8357142857142856,0.8407142857142857,-0.0050000000000001155,3,7,20.23958992958069
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage2,3,"['44', '7', '39', '37', '12', '27', '15']",27,7,0.8935714285714286,0.8942857142857142,-0.0007142857142856673,3,3,11.240249395370483
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage2,4,"['9', '21', '11', '43', '16', '20']",28,6,0.8574999999999999,0.855,0.0024999999999999467,1,0,7.665834665298462
