task,fold,population,group_type,group_id,trials,alpha15_mean,alpha15_std,alpha63_mean,alpha63_std,alpha127_mean,alpha127_std,scale15_mean,scale15_std,scale63_mean,scale63_std,scale127_mean,scale127_std,scale_min,scale_max,dominant15_percent,dominant63_percent,dominant127_percent
OpenBMI_MI,0,heldout,subject,39,100,0.41695713996887207,0.015956079587340355,0.32813316583633423,0.022942831739783287,0.2549097239971161,0.014225727878510952,1.012162446975708,0.00232066516764462,0.9992436170578003,0.003336821449920535,0.9885940551757812,0.0020690045785158873,0.9776952266693115,1.0251221656799316,99.0,1.0,0.0
OpenBMI_MI,0,heldout,class,0,50,0.4189494252204895,0.014292489737272263,0.32708367705345154,0.014340708032250404,0.25396689772605896,0.013065703213214874,1.0124520063400269,0.002078710589557886,0.9990910291671753,0.0020857187919318676,0.9884567856788635,0.0019002901390194893,0.9817059636116028,1.0220746994018555,100.0,0.0,0.0
OpenBMI_MI,0,heldout,class,1,50,0.4149647653102875,0.017233075574040413,0.3291826546192169,0.029066963121294975,0.2558525800704956,0.015239820815622807,1.0118725299835205,0.0025063930079340935,0.9993963837623596,0.004227520432323217,0.9887311458587646,0.002216495107859373,0.9776952266693115,1.0251221656799316,98.0,2.0,0.0
OpenBMI_MI,0,heldout,subject,42,100,0.4586828351020813,0.03604613617062569,0.271648645401001,0.025080781430006027,0.2696685194969177,0.02105444110929966,1.01823091506958,0.005242583341896534,0.9910284280776978,0.0036477718967944384,0.9907405376434326,0.003062177449464798,0.977594792842865,1.04426908493042,100.0,0.0,0.0
OpenBMI_MI,0,heldout,class,0,50,0.4471704363822937,0.023079752922058105,0.276851624250412,0.020631911233067513,0.2759779691696167,0.015276814810931683,1.0165565013885498,0.0033567380160093307,0.9917852282524109,0.0030007215682417154,0.991658091545105,0.002221872564405203,0.9842296838760376,1.0245400667190552,100.0,0.0,0.0
OpenBMI_MI,0,heldout,class,1,50,0.4701952338218689,0.04243704304099083,0.26644569635391235,0.027897562831640244,0.26335909962654114,0.02394954115152359,1.0199053287506104,0.006172084715217352,0.9902717471122742,0.004057449288666248,0.9898229241371155,0.003483244450762868,0.977594792842865,1.04426908493042,100.0,0.0,0.0
OpenBMI_MI,0,heldout,subject,51,100,0.39727506041526794,0.01642914116382599,0.3429626524448395,0.03339659050107002,0.25976237654685974,0.02171499840915203,1.0092997550964355,0.0023894724436104298,1.0014004707336426,0.004857235122472048,0.9892997145652771,0.003158250590786338,0.9747533798217773,1.0224528312683105,93.0,7.000000000000001,0.0
OpenBMI_MI,0,heldout,class,0,50,0.399618536233902,0.01746915839612484,0.3411465883255005,0.0359087698161602,0.25923481583595276,0.023724384605884552,1.0096405744552612,0.0025407327339053154,1.0011364221572876,0.00522261019796133,0.9892230033874512,0.00345049612224102,0.9747533798217773,1.0224528312683105,94.0,6.0,0.0
OpenBMI_MI,0,heldout,class,1,50,0.3949314057826996,0.014955840073525906,0.3447785973548889,0.030571704730391502,0.2602899670600891,0.019485361874103546,1.0089589357376099,0.0021751958411186934,1.001664638519287,0.004446378909051418,0.9893765449523926,0.002833971753716469,0.9797087907791138,1.016916275024414,92.0,8.0,0.0
OpenBMI_MI,0,heldout,subject,54,100,0.39340484142303467,0.04639780893921852,0.3498726189136505,0.07320354878902435,0.2567225694656372,0.02903439663350582,1.0087368488311768,0.006748145446181297,1.0024055242538452,0.010646795853972435,0.988857626914978,0.004222792573273182,0.9652166366577148,1.0669358968734741,91.0,9.0,0.0
OpenBMI_MI,0,heldout,class,0,50,0.3899507522583008,0.054584018886089325,0.3564163148403168,0.0865451842546463,0.25363293290138245,0.03415730968117714,1.0082345008850098,0.007938752882182598,1.0033572912216187,0.012587214820086956,0.9884082674980164,0.004967873450368643,0.9652166366577148,1.0669358968734741,90.0,10.0,0.0
OpenBMI_MI,0,heldout,class,1,50,0.3968588709831238,0.03608653321862221,0.34332892298698425,0.05605185404419899,0.2598121464252472,0.02236468903720379,1.0092393159866333,0.0052484674379229546,1.0014538764953613,0.008152238093316555,0.9893068671226501,0.00325274420902133,0.9734147191047668,1.0480680465698242,92.0,8.0,0.0
OpenBMI_MI,1,outer,subject,26,100,0.469890296459198,0.03441702574491501,0.3212888836860657,0.02523772045969963,0.20882077515125275,0.03913624584674835,1.0203843116760254,0.005137547384947538,0.9982021450996399,0.0037673187907785177,0.9814136624336243,0.005842001177370548,0.963045597076416,1.0345202684402466,99.0,1.0,0.0
OpenBMI_MI,1,outer,class,0,50,0.46322086453437805,0.03316112235188484,0.3204127848148346,0.016162768006324768,0.21636638045310974,0.03425115719437599,1.0193886756896973,0.004950073082000017,0.9980713129043579,0.002412669360637665,0.9825399518013,0.005112787708640099,0.9707989692687988,1.0345202684402466,100.0,0.0,0.0
OpenBMI_MI,1,outer,class,1,50,0.4765597879886627,0.034357525408267975,0.32216504216194153,0.03179803490638733,0.20127514004707336,0.042145900428295135,1.021379828453064,0.005128666292876005,0.9983329176902771,0.004746598657220602,0.9802871942520142,0.006291261408478022,0.963045597076416,1.0337507724761963,98.0,2.0,0.0
OpenBMI_MI,1,outer,subject,2,100,0.4207995533943176,0.00501249311491847,0.3095073997974396,0.005825680680572987,0.2696931064128876,0.009258123114705086,1.0130565166473389,0.0007482320070266724,0.9964433312416077,0.0008696181466802955,0.990500271320343,0.0013819907326251268,0.9850466251373291,1.0171804428100586,100.0,0.0,0.0
OpenBMI_MI,1,outer,class,0,50,0.42104002833366394,0.005751891061663628,0.3093416690826416,0.006072871387004852,0.26961833238601685,0.01040895376354456,1.013092279434204,0.0008586044423282146,0.9964187145233154,0.0009065159247256815,0.9904890656471252,0.0015537772560492158,0.9850466251373291,1.0171804428100586,100.0,0.0,0.0
OpenBMI_MI,1,outer,class,1,50,0.4205590486526489,0.004129195120185614,0.30967310070991516,0.005562590900808573,0.2697678804397583,0.007941548712551594,1.0130205154418945,0.0006163794896565378,0.9964681267738342,0.0008303471840918064,0.990511417388916,0.0011854635085910559,0.9864840507507324,1.014678955078125,100.0,0.0,0.0
OpenBMI_MI,1,outer,subject,14,100,0.42022645473480225,0.023961780592799187,0.3307616710662842,0.0460759773850441,0.24901187419891357,0.026691235601902008,1.0129709243774414,0.003576857503503561,0.9996160864830017,0.0068779136054217815,0.9874130487442017,0.003984291106462479,0.9594631791114807,1.0551108121871948,98.0,2.0,0.0
