Model,Task,fold,seed,checkpoint_path,checkpoint_sha256,selected_epoch,split_sha256,normalizer_sha256,trainable_parameters,recipe_name,channels,samples,classes
FBCNet,OpenBMI_ERP,1,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\fbcnet\openbmi_erp\fold1_seed0\selected.pt,6ae052dc228376c095ef97cb1064edf8a4849d0232c0c042bf56b3a3a19caca5,19,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,21026,,62,250,2
FBCNet,OpenBMI_ERP,2,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\fbcnet\openbmi_erp\fold2_seed0\selected.pt,5753f15a539ea9d383c29445a194bc913d6741bff94fe4fb8a561207e4fa566d,22,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,21026,,62,250,2
FBCNet,OpenBMI_ERP,3,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\fbcnet\openbmi_erp\fold3_seed0\selected.pt,093fdec276839401310a37d97e01fc1d2246a7fc6ce152005f409764bf4078f3,22,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341,21026,,62,250,2
FBCNet,OpenBMI_ERP,4,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\fbcnet\openbmi_erp\fold4_seed0\selected.pt,30816ebdd205f1352b9345b3707c917703598079fc248d9b0d5834f182a706c3,18,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97,21026,,62,250,2
FBCNet,OpenBMI_SSVEP,0,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\fbcnet\openbmi_ssvep\fold0_seed0\selected.pt,940d8a3571b0761b40070e37f40b814d735a6a635eeb8f9d5e6fb1264f4da126,41,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2,23332,,62,1000,4
FBCNet,OpenBMI_SSVEP,1,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\fbcnet\openbmi_ssvep\fold1_seed0\selected.pt,fbf3e0a2fd674dcd12c4778ec354e898abd4613328abf4aef3eb58086d400243,36,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b,23332,,62,1000,4
FBCNet,OpenBMI_SSVEP,2,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\fbcnet\openbmi_ssvep\fold2_seed0\selected.pt,1e76fb805ac34d9b98f5923843e040deadfebb4667f244ac72a78365289e03c7,52,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,65457744184c97f7501093f7f0ae77803c77c55c76221e4319732fe46e157686,23332,,62,1000,4
FBCNet,OpenBMI_SSVEP,3,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\fbcnet\openbmi_ssvep\fold3_seed0\selected.pt,5751369f8c080b81e938e9a69b5a0490a349d954dfb5db7a57af0b2546d39f60,41,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,23fc006691b42bd16828108fc89922654fa7567a759b789614a5642702113b52,23332,,62,1000,4
FBCNet,OpenBMI_SSVEP,4,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\fbcnet\openbmi_ssvep\fold4_seed0\selected.pt,8bd111fd7213f9ee971ff9d6dd720c7eb60407a477c1a01b39efad5d5a9c4d56,49,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,f35658c5b6e9edf7065b881ffbf59d3e0e0afa7726e18c3849663747b9413dda,23332,,62,1000,4
FBCNet,WBCIC_MI,0,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\fbcnet\wbcic_mi\fold0_seed0\selected.pt,fb8b506b33984d4f6b461ec17e0fa97807d68989c727010ef5808453be3641b2,25,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b,19874,,58,1000,2
FBCNet,WBCIC_MI,1,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\fbcnet\wbcic_mi\fold1_seed0\selected.pt,7be7891ee9a5a2e060f9f54af8cf4d0d659801e9330d3e8aea64a0fb44450427,12,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17,19874,,58,1000,2
FBCNet,WBCIC_MI,2,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\fbcnet\wbcic_mi\fold2_seed0\selected.pt,c1d232b98839e9b0ea76e33b827ba5dd30c52e6a160db603fe18f6c6aec7b7b4,16,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354,19874,,58,1000,2
FBCNet,WBCIC_MI,3,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\fbcnet\wbcic_mi\fold3_seed0\selected.pt,e8879edce4900e2835519df18e5a7203cafb2ee7a7a1caf3bb7170789acfebee,17,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,23765060e5268b3e9d17ac8856fddf0ebee518e507202d3f625e821bc4aa0035,19874,,58,1000,2
FBCNet,WBCIC_MI,4,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\fbcnet\wbcic_mi\fold4_seed0\selected.pt,600aa38a52e8ad893c9c67535f31cc0bb27721b19f9a84276948ae65c1771559,21,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0e862b1cae5aa096f18b8e895fd881156c2b6b7c2f2d2f0b89e97815b1ab0a0e,19874,,58,1000,2
