model,dataset,fold,seed,BA,macro_F1,NLL,threshold,competent,future_session_used
ATCNet-CleanRoom,WBCIC,4,0,0.7467760678391959,0.745019893187618,0.48581244944473606,0.7684300821,False,False
ATCNet-CleanRoom,WBCIC,4,1,0.7508668341708542,0.7493460248386167,0.46863073827207385,0.7684300821,False,False
ATCNet-CleanRoom,WBCIC,4,2,0.757401067839196,0.7570594114491166,0.4578300581979164,0.7684300821,False,False
ATCNet-Official,OpenBMI,0,0,0.7649999999999999,0.7629899732291918,0.5197911076068581,0.7519166667,True,False
ATCNet-Official,OpenBMI,0,1,0.795,0.7937881257981585,0.4558212777804896,0.7519166667,True,False
ATCNet-Official,OpenBMI,0,2,0.78,0.778340795432941,0.483955082296028,0.7519166667,True,False
ATCNet-Official,OpenBMI,1,0,0.7174999999999999,0.7151761858661069,0.5634100945129643,0.7519166667,False,False
ATCNet-Official,OpenBMI,1,1,0.724375,0.7226557909903073,0.5508883349829091,0.7519166667,False,False
ATCNet-Official,OpenBMI,1,2,0.72125,0.7196804782755608,0.5637029862408529,0.7519166667,False,False
ATCNet-Official,OpenBMI,2,0,0.7475,0.7458528432083513,0.5507641859871236,0.7519166667,False,False
ATCNet-Official,OpenBMI,2,1,0.718125,0.7160433672084625,0.5827275263793072,0.7519166667,False,False
ATCNet-Official,OpenBMI,2,2,0.7424999999999999,0.7413407440111053,0.5531949272462168,0.7519166667,False,False
ATCNet-Official,OpenBMI,3,0,0.811875,0.8111117048310329,0.4239330639402487,0.7519166667,True,False
ATCNet-Official,OpenBMI,3,1,0.808125,0.8068744633759608,0.4188522971849589,0.7519166667,True,False
ATCNet-Official,OpenBMI,3,2,0.795625,0.7946777290756957,0.42980917820721554,0.7519166667,True,False
ATCNet-Official,OpenBMI,4,0,0.78375,0.7821071296541642,0.4694179647377992,0.7519166667,True,False
ATCNet-Official,OpenBMI,4,1,0.799375,0.7968887261836595,0.4618455083183439,0.7519166667,True,False
ATCNet-Official,OpenBMI,4,2,0.7831250000000001,0.7803623037201298,0.4779363309509631,0.7519166667,True,False
ATCNet-Official,WBCIC,0,0,0.8180555555555555,0.817017754304907,0.35711723543912877,0.7684300821,True,False
ATCNet-Official,WBCIC,0,1,0.8286111111111112,0.8280674103329951,0.35070565685784255,0.7684300821,True,False
ATCNet-Official,WBCIC,0,2,0.8308333333333334,0.8305750731242078,0.35267783119289675,0.7684300821,True,False
ATCNet-Official,WBCIC,1,0,0.7371875,0.736937382780779,0.5156319792131749,0.7684300821,False,False
ATCNet-Official,WBCIC,1,1,0.7253125,0.7243583690767985,0.5411034809308378,0.7684300821,False,False
ATCNet-Official,WBCIC,1,2,0.7359375,0.7356939777358766,0.52847881782014,0.7684300821,False,False
ATCNet-Official,WBCIC,2,0,0.7777763819095478,0.7775373896298678,0.438807814863553,0.7684300821,True,False
ATCNet-Official,WBCIC,2,1,0.7918341708542713,0.7916029482744743,0.43508210774771267,0.7684300821,True,False
ATCNet-Official,WBCIC,2,2,0.7883966708542713,0.7881827151714679,0.4427026131282182,0.7684300821,True,False
ATCNet-Official,WBCIC,3,0,0.8349418969849246,0.8347465708078006,0.33075045275749376,0.7684300821,True,False
ATCNet-Official,WBCIC,3,1,0.8390059673366834,0.8387320077948011,0.33329577809978805,0.7684300821,True,False
ATCNet-Official,WBCIC,3,2,0.8349340452261307,0.8347464199539187,0.3420464686460147,0.7684300821,True,False
ATCNet-Official,WBCIC,4,0,0.7517336683417085,0.7514629903010344,0.4694236610234184,0.7684300821,False,False
ATCNet-Official,WBCIC,4,1,0.7539195979899498,0.7535860914562963,0.4668228094311098,0.7684300821,False,False
ATCNet-Official,WBCIC,4,2,0.7551868718592964,0.7549400178501804,0.4661078906243329,0.7684300821,False,False
EEGNeX,OpenBMI,0,0,0.771875,0.7700499580935181,0.5036772775431607,0.7519166667,True,False
EEGNeX,OpenBMI,0,1,0.7581249999999999,0.7558629252858741,0.5209668694752344,0.7519166667,True,False
EEGNeX,OpenBMI,0,2,0.83875,0.8371562112200557,0.3920458810455421,0.7519166667,True,False
EEGNeX,OpenBMI,1,0,0.776875,0.7760864311955529,0.4864400628111051,0.7519166667,True,False
EEGNeX,OpenBMI,1,1,0.755,0.7539026361978922,0.5242388370426453,0.7519166667,True,False
EEGNeX,OpenBMI,1,2,0.715625,0.7140746393323019,0.5593113536831004,0.7519166667,False,False
EEGNeX,OpenBMI,2,0,0.77875,0.7772636516148363,0.47502566797476375,0.7519166667,True,False
EEGNeX,OpenBMI,2,1,0.6956249999999999,0.6932328980110605,0.5715038100502099,0.7519166667,False,False
EEGNeX,OpenBMI,2,2,0.830625,0.8292646352620402,0.3749634872789821,0.7519166667,True,False
EEGNeX,OpenBMI,3,0,0.841875,0.8414482340421003,0.3401008017730558,0.7519166667,True,False
EEGNeX,OpenBMI,3,1,0.795625,0.7927876440527342,0.42363614800680344,0.7519166667,True,False
EEGNeX,OpenBMI,3,2,0.86125,0.8604960674440039,0.33367173269558614,0.7519166667,True,False
EEGNeX,OpenBMI,4,0,0.8475,0.8462199352574244,0.3656975100009866,0.7519166667,True,False
EEGNeX,OpenBMI,4,1,0.798125,0.7946990651139759,0.4513961546287365,0.7519166667,True,False
EEGNeX,OpenBMI,4,2,0.8362499999999999,0.8345018974447176,0.3896325737783951,0.7519166667,True,False
EEGNeX,WBCIC,0,0,0.8230555555555555,0.8219342184886657,0.36585787270781306,0.7684300821,True,False
EEGNeX,WBCIC,0,1,0.8255555555555555,0.8249414425134609,0.3582079632201957,0.7684300821,True,False
EEGNeX,WBCIC,0,2,0.8244444444444444,0.823766207179545,0.35531393542522716,0.7684300821,True,False
EEGNeX,WBCIC,1,0,0.7259375,0.7253858917040596,0.5166163807073614,0.7684300821,False,False
EEGNeX,WBCIC,1,1,0.7278125,0.7273722731094538,0.5048965929268241,0.7684300821,False,False
EEGNeX,WBCIC,1,2,0.7275,0.7269176908062278,0.5090703388656642,0.7684300821,False,False
EEGNeX,WBCIC,2,0,0.789663944723618,0.7889861667817423,0.4298700804944197,0.7684300821,True,False
EEGNeX,WBCIC,2,1,0.784976444723618,0.7844730305149279,0.4341855370846145,0.7684300821,True,False
EEGNeX,WBCIC,2,2,0.7880935929648242,0.7876033998898885,0.43764871239409786,0.7684300821,True,False
EEGNeX,WBCIC,3,0,0.8468388819095478,0.8464600005473287,0.3121192657516204,0.7684300821,True,False
EEGNeX,WBCIC,3,1,0.8346435301507538,0.8340095758545664,0.3290295254604884,0.7684300821,True,False
EEGNeX,WBCIC,3,2,0.8362028894472362,0.8360262736675144,0.3316301203699223,0.7684300821,True,False
EEGNeX,WBCIC,4,0,0.7501774497487437,0.7497685825288122,0.4537353679373205,0.7684300821,False,False
EEGNeX,WBCIC,4,1,0.7489243090452261,0.7486484229544453,0.45809363156416766,0.7684300821,False,False
EEGNeX,WBCIC,4,2,0.738611809045226,0.7381245154186922,0.47211614759018494,0.7684300821,False,False
