task,fold,subject,session,variant,suffix,native_wrong_trials,native_wrong_rescued,native_wrong_rescue_rate,BA,macro_F1,NLL,trials
OpenBMI_MI,1,8,1,BASE,original_frozen_SIRE_suffix,21,0,0.0,0.79,0.7863899908452854,0.6442917585372925,100
OpenBMI_MI,1,8,1,FULL_STUDENT,original_frozen_SIRE_suffix,21,0,0.0,0.79,0.7863899908452854,0.6398199200630188,100
OpenBMI_MI,1,8,1,P_ONLY_CHANGE,original_frozen_SIRE_suffix,21,0,0.0,0.79,0.7863899908452854,0.6448715329170227,100
OpenBMI_MI,1,8,1,C_ONLY_CHANGE,original_frozen_SIRE_suffix,21,0,0.0,0.79,0.7863899908452854,0.6392368674278259,100
OpenBMI_MI,1,8,2,BASE,original_frozen_SIRE_suffix,14,0,0.0,0.86,0.859775641025641,0.4096923768520355,100
OpenBMI_MI,1,8,2,FULL_STUDENT,original_frozen_SIRE_suffix,14,0,0.0,0.86,0.859775641025641,0.40387898683547974,100
OpenBMI_MI,1,8,2,P_ONLY_CHANGE,original_frozen_SIRE_suffix,14,0,0.0,0.86,0.859775641025641,0.40926358103752136,100
OpenBMI_MI,1,8,2,C_ONLY_CHANGE,original_frozen_SIRE_suffix,14,0,0.0,0.86,0.859775641025641,0.40434446930885315,100
OpenBMI_MI,1,11,1,BASE,original_frozen_SIRE_suffix,31,0,0.0,0.69,0.6783898744683059,0.6329461932182312,100
OpenBMI_MI,1,11,1,FULL_STUDENT,original_frozen_SIRE_suffix,31,0,0.0,0.66,0.6427070197562001,0.6345328688621521,100
OpenBMI_MI,1,11,1,P_ONLY_CHANGE,original_frozen_SIRE_suffix,31,0,0.0,0.69,0.6783898744683059,0.6311710476875305,100
OpenBMI_MI,1,11,1,C_ONLY_CHANGE,original_frozen_SIRE_suffix,31,0,0.0,0.67,0.6547756041426928,0.6362404823303223,100
OpenBMI_MI,1,11,2,BASE,original_frozen_SIRE_suffix,30,0,0.0,0.7,0.6899545266639107,0.707737147808075,100
OpenBMI_MI,1,11,2,FULL_STUDENT,original_frozen_SIRE_suffix,30,1,0.03333333333333333,0.7,0.6921182266009853,0.7095797657966614,100
OpenBMI_MI,1,11,2,P_ONLY_CHANGE,original_frozen_SIRE_suffix,30,0,0.0,0.7,0.6899545266639107,0.7117674946784973,100
OpenBMI_MI,1,11,2,C_ONLY_CHANGE,original_frozen_SIRE_suffix,30,1,0.03333333333333333,0.7,0.6921182266009853,0.7054946422576904,100
OpenBMI_MI,1,15,1,BASE,original_frozen_SIRE_suffix,4,0,0.0,0.96,0.9599358974358975,0.12292357534170151,100
OpenBMI_MI,1,15,1,FULL_STUDENT,original_frozen_SIRE_suffix,4,0,0.0,0.96,0.9599358974358975,0.122834213078022,100
OpenBMI_MI,1,15,1,P_ONLY_CHANGE,original_frozen_SIRE_suffix,4,0,0.0,0.96,0.9599358974358975,0.12385216355323792,100
OpenBMI_MI,1,15,1,C_ONLY_CHANGE,original_frozen_SIRE_suffix,4,0,0.0,0.96,0.9599358974358975,0.12194585800170898,100
OpenBMI_MI,1,15,2,BASE,original_frozen_SIRE_suffix,13,0,0.0,0.87,0.8689384010484928,0.31819474697113037,100
OpenBMI_MI,1,15,2,FULL_STUDENT,original_frozen_SIRE_suffix,13,1,0.07692307692307693,0.88,0.8787878787878788,0.3227916657924652,100
OpenBMI_MI,1,15,2,P_ONLY_CHANGE,original_frozen_SIRE_suffix,13,1,0.07692307692307693,0.88,0.8787878787878788,0.3209143579006195,100
OpenBMI_MI,1,15,2,C_ONLY_CHANGE,original_frozen_SIRE_suffix,13,1,0.07692307692307693,0.88,0.8787878787878788,0.3199826776981354,100
OpenBMI_MI,1,44,1,BASE,original_frozen_SIRE_suffix,20,0,0.0,0.8,0.7947454844006567,0.37669914960861206,100
OpenBMI_MI,1,44,1,FULL_STUDENT,original_frozen_SIRE_suffix,20,0,0.0,0.8,0.7947454844006567,0.3654938042163849,100
OpenBMI_MI,1,44,1,P_ONLY_CHANGE,original_frozen_SIRE_suffix,20,0,0.0,0.8,0.7947454844006567,0.3745405077934265,100
OpenBMI_MI,1,44,1,C_ONLY_CHANGE,original_frozen_SIRE_suffix,20,0,0.0,0.8,0.7947454844006567,0.36757510900497437,100
OpenBMI_MI,1,44,2,BASE,original_frozen_SIRE_suffix,15,0,0.0,0.85,0.8474214220323466,0.3960432708263397,100
OpenBMI_MI,1,44,2,FULL_STUDENT,original_frozen_SIRE_suffix,15,0,0.0,0.85,0.8474214220323466,0.38259783387184143,100
