dataset,method,q,lambda_T,fold,seed,BA,macro_F1,subjects
OpenBMI,R2-LowRank-Local-OT,0.25,1.0,2,1,0.6975,0.6807718646144167,8
OpenBMI,R2-LowRank-Local-OT,0.25,1.0,2,2,0.7175,0.7057598618244889,8
OpenBMI,R2-LowRank-Local-OT,0.25,1.0,3,0,0.61,0.5722743352004218,8
OpenBMI,R2-LowRank-Local-OT,0.25,1.0,3,1,0.6675,0.6343510039329772,8
OpenBMI,R2-LowRank-Local-OT,0.25,1.0,3,2,0.68625,0.6842370277496789,8
OpenBMI,R2-LowRank-Local-OT,0.25,1.0,4,0,0.73125,0.7178065455665492,8
OpenBMI,R2-LowRank-Local-OT,0.25,1.0,4,1,0.665,0.6516833305668849,8
OpenBMI,R2-LowRank-Local-OT,0.25,1.0,4,2,0.70375,0.6814524670759448,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.25,0,0,0.5175000000000001,0.504154179778886,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.25,0,1,0.6475,0.6028174922534966,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.25,0,2,0.73375,0.7294493311677014,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.25,1,0,0.7275,0.7166045006943236,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.25,1,1,0.77625,0.7674989314491655,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.25,1,2,0.49875,0.38456818445744934,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.25,2,0,0.55875,0.524427541019612,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.25,2,1,0.71,0.6957949324560764,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.25,2,2,0.72125,0.711229694097377,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.25,3,0,0.62875,0.6011529740760602,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.25,3,1,0.66875,0.640772192527436,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.25,3,2,0.68875,0.6870294361547987,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.25,4,0,0.73,0.716263522121835,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.25,4,1,0.6599999999999999,0.6474204992946273,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.25,4,2,0.7,0.6791025552868497,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.5,0,0,0.52,0.5055139973191015,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.5,0,1,0.64875,0.6021950531727549,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.5,0,2,0.735,0.7309180096754266,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.5,1,0,0.73375,0.7248646543327742,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.5,1,1,0.77625,0.7673028390295008,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.5,1,2,0.5,0.3815500948405355,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.5,2,0,0.5675,0.5299530075641443,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.5,2,1,0.69875,0.682382902236259,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.5,2,2,0.71875,0.7075292384190628,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.5,3,0,0.6225,0.5909299763351504,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.5,3,1,0.6675,0.6383058291611394,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.5,3,2,0.685,0.6830250249342974,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.5,4,0,0.73,0.7167440416457468,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.5,4,1,0.6625,0.6496264049859878,8
OpenBMI,R2-LowRank-Local-OT,0.5,0.5,4,2,0.7,0.6784497757509478,8
OpenBMI,R2-LowRank-Local-OT,0.5,1.0,0,0,0.51875,0.5019023241597685,8
OpenBMI,R2-LowRank-Local-OT,0.5,1.0,0,1,0.64,0.5891342328255993,8
OpenBMI,R2-LowRank-Local-OT,0.5,1.0,0,2,0.73625,0.7321066765605627,8
OpenBMI,R2-LowRank-Local-OT,0.5,1.0,1,0,0.735,0.7261222687124517,8
OpenBMI,R2-LowRank-Local-OT,0.5,1.0,1,1,0.7775,0.768549963741972,8
OpenBMI,R2-LowRank-Local-OT,0.5,1.0,1,2,0.5025,0.3784893260322454,8
OpenBMI,R2-LowRank-Local-OT,0.5,1.0,2,0,0.57125,0.531530231155327,8
OpenBMI,R2-LowRank-Local-OT,0.5,1.0,2,1,0.6975,0.6807718646144167,8
OpenBMI,R2-LowRank-Local-OT,0.5,1.0,2,2,0.7175,0.7057598618244889,8
OpenBMI,R2-LowRank-Local-OT,0.5,1.0,3,0,0.61,0.5722743352004218,8
OpenBMI,R2-LowRank-Local-OT,0.5,1.0,3,1,0.6675,0.6343510039329772,8
OpenBMI,R2-LowRank-Local-OT,0.5,1.0,3,2,0.685,0.6828211995256573,8
OpenBMI,R2-LowRank-Local-OT,0.5,1.0,4,0,0.73125,0.7178065455665492,8
OpenBMI,R2-LowRank-Local-OT,0.5,1.0,4,1,0.665,0.6516833305668849,8
OpenBMI,R2-LowRank-Local-OT,0.5,1.0,4,2,0.70375,0.6814524670759448,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.25,0,0,0.5175000000000001,0.504154179778886,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.25,0,1,0.6475,0.6028174922534966,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.25,0,2,0.735,0.730750999196113,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.25,1,0,0.7275,0.7166045006943236,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.25,1,1,0.77625,0.7674989314491655,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.25,1,2,0.49875,0.38456818445744934,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.25,2,0,0.55875,0.524427541019612,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.25,2,1,0.71,0.6957949324560764,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.25,2,2,0.72125,0.711229694097377,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.25,3,0,0.62875,0.6011529740760602,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.25,3,1,0.66875,0.640772192527436,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.25,3,2,0.68875,0.6870294361547987,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.25,4,0,0.73,0.716263522121835,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.25,4,1,0.6599999999999999,0.6474204992946273,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.25,4,2,0.7,0.6791025552868497,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.5,0,0,0.52,0.5055139973191015,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.5,0,1,0.64875,0.6021950531727549,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.5,0,2,0.73625,0.7320983100555015,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.5,1,0,0.73375,0.7248646543327742,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.5,1,1,0.775,0.7661223937889003,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.5,1,2,0.5,0.3815500948405355,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.5,2,0,0.56875,0.5314184246222143,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.5,2,1,0.69875,0.682382902236259,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.5,2,2,0.71875,0.7075292384190628,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.5,3,0,0.6225,0.5909299763351504,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.5,3,1,0.6675,0.6383058291611394,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.5,3,2,0.685,0.6830250249342974,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.5,4,0,0.73125,0.7179664080366525,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.5,4,1,0.66375,0.650875029848474,8
OpenBMI,R2-LowRank-Local-Random,0.25,0.5,4,2,0.7,0.6784497757509478,8
OpenBMI,R2-LowRank-Local-Random,0.25,1.0,0,0,0.52,0.5035913402471598,8
OpenBMI,R2-LowRank-Local-Random,0.25,1.0,0,1,0.64,0.5891342328255993,8
OpenBMI,R2-LowRank-Local-Random,0.25,1.0,0,2,0.73875,0.7346140330890707,8
OpenBMI,R2-LowRank-Local-Random,0.25,1.0,1,0,0.735,0.7261222687124517,8
OpenBMI,R2-LowRank-Local-Random,0.25,1.0,1,1,0.7775,0.768549963741972,8
OpenBMI,R2-LowRank-Local-Random,0.25,1.0,1,2,0.5025,0.3784893260322454,8
OpenBMI,R2-LowRank-Local-Random,0.25,1.0,2,0,0.57125,0.531530231155327,8
OpenBMI,R2-LowRank-Local-Random,0.25,1.0,2,1,0.6975,0.6807718646144167,8
OpenBMI,R2-LowRank-Local-Random,0.25,1.0,2,2,0.7175,0.7057598618244889,8
OpenBMI,R2-LowRank-Local-Random,0.25,1.0,3,0,0.61,0.5722743352004218,8
OpenBMI,R2-LowRank-Local-Random,0.25,1.0,3,1,0.6675,0.6343510039329772,8
OpenBMI,R2-LowRank-Local-Random,0.25,1.0,3,2,0.68625,0.6842370277496789,8
OpenBMI,R2-LowRank-Local-Random,0.25,1.0,4,0,0.73125,0.7178065455665492,8
OpenBMI,R2-LowRank-Local-Random,0.25,1.0,4,1,0.665,0.6516833305668849,8
OpenBMI,R2-LowRank-Local-Random,0.25,1.0,4,2,0.70375,0.6814524670759448,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.25,0,0,0.5175000000000001,0.504154179778886,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.25,0,1,0.6475,0.6028174922534966,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.25,0,2,0.73375,0.7294493311677014,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.25,1,0,0.7275,0.7166045006943236,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.25,1,1,0.77625,0.7674989314491655,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.25,1,2,0.49875,0.38456818445744934,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.25,2,0,0.55875,0.524427541019612,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.25,2,1,0.71,0.6957949324560764,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.25,2,2,0.72125,0.711229694097377,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.25,3,0,0.62875,0.6011529740760602,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.25,3,1,0.66875,0.640772192527436,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.25,3,2,0.68875,0.6870294361547987,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.25,4,0,0.73,0.716263522121835,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.25,4,1,0.6599999999999999,0.6474204992946273,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.25,4,2,0.7,0.6791025552868497,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.5,0,0,0.52,0.5055139973191015,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.5,0,1,0.64875,0.6021950531727549,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.5,0,2,0.735,0.7309180096754266,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.5,1,0,0.73375,0.7248646543327742,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.5,1,1,0.77625,0.7673028390295008,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.5,1,2,0.5,0.3815500948405355,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.5,2,0,0.5675,0.5299530075641443,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.5,2,1,0.69875,0.682382902236259,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.5,2,2,0.71875,0.7075292384190628,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.5,3,0,0.6225,0.5909299763351504,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.5,3,1,0.6675,0.6383058291611394,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.5,3,2,0.685,0.6830250249342974,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.5,4,0,0.73,0.7167440416457468,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.5,4,1,0.6625,0.6496264049859878,8
OpenBMI,R2-LowRank-Local-Random,0.5,0.5,4,2,0.7,0.6784497757509478,8
OpenBMI,R2-LowRank-Local-Random,0.5,1.0,0,0,0.51875,0.5019023241597685,8
OpenBMI,R2-LowRank-Local-Random,0.5,1.0,0,1,0.64,0.5891342328255993,8
OpenBMI,R2-LowRank-Local-Random,0.5,1.0,0,2,0.73625,0.7321066765605627,8
OpenBMI,R2-LowRank-Local-Random,0.5,1.0,1,0,0.735,0.7261222687124517,8
OpenBMI,R2-LowRank-Local-Random,0.5,1.0,1,1,0.7775,0.768549963741972,8
OpenBMI,R2-LowRank-Local-Random,0.5,1.0,1,2,0.5025,0.3784893260322454,8
OpenBMI,R2-LowRank-Local-Random,0.5,1.0,2,0,0.57125,0.531530231155327,8
OpenBMI,R2-LowRank-Local-Random,0.5,1.0,2,1,0.6975,0.6807718646144167,8
OpenBMI,R2-LowRank-Local-Random,0.5,1.0,2,2,0.7175,0.7057598618244889,8
OpenBMI,R2-LowRank-Local-Random,0.5,1.0,3,0,0.61,0.5722743352004218,8
OpenBMI,R2-LowRank-Local-Random,0.5,1.0,3,1,0.6675,0.6343510039329772,8
OpenBMI,R2-LowRank-Local-Random,0.5,1.0,3,2,0.685,0.6828211995256573,8
OpenBMI,R2-LowRank-Local-Random,0.5,1.0,4,0,0.73125,0.7178065455665492,8
OpenBMI,R2-LowRank-Local-Random,0.5,1.0,4,1,0.665,0.6516833305668849,8
OpenBMI,R2-LowRank-Local-Random,0.5,1.0,4,2,0.70375,0.6814524670759448,8
WBCIC,ERM,0.5,0.5,0,0,0.70875,0.7052960881479058,8
WBCIC,ERM,0.5,0.5,0,1,0.698125,0.6902707528429814,8
WBCIC,ERM,0.5,0.5,0,2,0.68125,0.6725433202178857,8
WBCIC,ERM,0.5,0.5,1,0,0.778125,0.7676934032949037,8
WBCIC,ERM,0.5,0.5,1,1,0.79125,0.7891054983269152,8
WBCIC,ERM,0.5,0.5,1,2,0.78625,0.7820973026134619,8
WBCIC,ERM,0.5,0.5,2,0,0.8343308080808081,0.8336376656255761,8
WBCIC,ERM,0.5,0.5,2,1,0.7899747474747475,0.7816757182537711,8
WBCIC,ERM,0.5,0.5,2,2,0.8217108585858586,0.813507093866313,8
WBCIC,ERM,0.5,0.5,3,0,0.7428472222222222,0.7397499760528482,8
WBCIC,ERM,0.5,0.5,3,1,0.737885101010101,0.7369184690478912,8
WBCIC,ERM,0.5,0.5,3,2,0.7396843434343434,0.7369351679275679,8
WBCIC,ERM,0.5,0.5,4,0,0.8333333333333334,0.8309521135876418,9
WBCIC,ERM,0.5,0.5,4,1,0.8244444444444444,0.822839719689661,9
WBCIC,ERM,0.5,0.5,4,2,0.8194444444444444,0.8164965274864393,9
WBCIC,Mixup,0.5,0.5,0,0,0.7075,0.7042970188516992,8
WBCIC,Mixup,0.5,0.5,0,1,0.69875,0.6909740189852336,8
WBCIC,Mixup,0.5,0.5,0,2,0.6856249999999999,0.6771349019995162,8
WBCIC,Mixup,0.5,0.5,1,0,0.7775,0.7663422870553884,8
WBCIC,Mixup,0.5,0.5,1,1,0.800625,0.7982426191395248,8
WBCIC,Mixup,0.5,0.5,1,2,0.78625,0.7815484905766746,8
WBCIC,Mixup,0.5,0.5,2,0,0.8362058080808081,0.835636473258538,8
WBCIC,Mixup,0.5,0.5,2,1,0.7987184343434344,0.7911591138900134,8
WBCIC,Mixup,0.5,0.5,2,2,0.8260984848484849,0.8179091613134293,8
WBCIC,Mixup,0.5,0.5,3,0,0.7478787878787879,0.7462038369729782,8
WBCIC,Mixup,0.5,0.5,3,1,0.7385101010101011,0.7375647446694501,8
WBCIC,Mixup,0.5,0.5,3,2,0.7403156565656566,0.7378480887480439,8
WBCIC,Mixup,0.5,0.5,4,0,0.8338888888888889,0.8316260439329185,9
WBCIC,Mixup,0.5,0.5,4,1,0.825,0.8235765320835416,9
WBCIC,Mixup,0.5,0.5,4,2,0.8194444444444444,0.8164965274864393,9
WBCIC,R1-TaskProtected-Bures,0.5,0.5,0,0,0.7112499999999999,0.7044192640147992,8
WBCIC,R1-TaskProtected-Bures,0.5,0.5,0,1,0.696875,0.6897476324048655,8
WBCIC,R1-TaskProtected-Bures,0.5,0.5,0,2,0.6825,0.673569933281315,8
WBCIC,R1-TaskProtected-Bures,0.5,0.5,1,0,0.778125,0.7669852332515537,8
WBCIC,R1-TaskProtected-Bures,0.5,0.5,1,1,0.78375,0.7814104619972401,8
WBCIC,R1-TaskProtected-Bures,0.5,0.5,1,2,0.78125,0.776509903161841,8
WBCIC,R1-TaskProtected-Bures,0.5,0.5,2,0,0.8324621212121213,0.8305878357923188,8
WBCIC,R1-TaskProtected-Bures,0.5,0.5,2,1,0.7849810606060607,0.7739458740665665,8
WBCIC,R1-TaskProtected-Bures,0.5,0.5,2,2,0.8236174242424242,0.8130534738215565,8
WBCIC,R1-TaskProtected-Bures,0.5,0.5,3,0,0.741540404040404,0.7339017094583862,8
WBCIC,R1-TaskProtected-Bures,0.5,0.5,3,1,0.7416161616161616,0.7395785111720812,8
WBCIC,R1-TaskProtected-Bures,0.5,0.5,3,2,0.7333901515151515,0.7260125904035497,8
WBCIC,R1-TaskProtected-Bures,0.5,0.5,4,0,0.825,0.8210118434387448,9
WBCIC,R1-TaskProtected-Bures,0.5,0.5,4,1,0.8144444444444444,0.8120857995343338,9
WBCIC,R1-TaskProtected-Bures,0.5,0.5,4,2,0.8222222222222223,0.8195469585148287,9
WBCIC,R2-LowRank-Local-OT,0.25,0.25,0,0,0.71,0.7051943641865379,8
WBCIC,R2-LowRank-Local-OT,0.25,0.25,0,1,0.6975,0.689206750358114,8
WBCIC,R2-LowRank-Local-OT,0.25,0.25,0,2,0.684375,0.6758201400893167,8
WBCIC,R2-LowRank-Local-OT,0.25,0.25,1,0,0.778125,0.7670568682274027,8
WBCIC,R2-LowRank-Local-OT,0.25,0.25,1,1,0.7843749999999999,0.7820104623963754,8
WBCIC,R2-LowRank-Local-OT,0.25,0.25,1,2,0.781875,0.7773087515262405,8
WBCIC,R2-LowRank-Local-OT,0.25,0.25,2,0,0.8330871212121213,0.8315031029831784,8
WBCIC,R2-LowRank-Local-OT,0.25,0.25,2,1,0.7912310606060606,0.781478865579718,8
WBCIC,R2-LowRank-Local-OT,0.25,0.25,2,2,0.821729797979798,0.8117153265455881,8
WBCIC,R2-LowRank-Local-OT,0.25,0.25,3,0,0.740915404040404,0.7339887525917086,8
WBCIC,R2-LowRank-Local-OT,0.25,0.25,3,1,0.741010101010101,0.7397156847849962,8
WBCIC,R2-LowRank-Local-OT,0.25,0.25,3,2,0.735290404040404,0.7303692979535924,8
WBCIC,R2-LowRank-Local-OT,0.25,0.25,4,0,0.8266666666666667,0.8233433311603081,9
WBCIC,R2-LowRank-Local-OT,0.25,0.25,4,1,0.8183333333333334,0.8163168879142089,9
WBCIC,R2-LowRank-Local-OT,0.25,0.25,4,2,0.8211111111111111,0.8183782779625511,9
WBCIC,R2-LowRank-Local-OT,0.25,0.5,0,0,0.7112499999999999,0.7044192640147992,8
WBCIC,R2-LowRank-Local-OT,0.25,0.5,0,1,0.6975,0.690296173840359,8
WBCIC,R2-LowRank-Local-OT,0.25,0.5,0,2,0.68375,0.6749725952167018,8
WBCIC,R2-LowRank-Local-OT,0.25,0.5,1,0,0.778125,0.7669852332515537,8
WBCIC,R2-LowRank-Local-OT,0.25,0.5,1,1,0.7825,0.7799457227155309,8
WBCIC,R2-LowRank-Local-OT,0.25,0.5,1,2,0.78,0.7752327622536526,8
WBCIC,R2-LowRank-Local-OT,0.25,0.5,2,0,0.8324621212121213,0.8305628076651045,8
WBCIC,R2-LowRank-Local-OT,0.25,0.5,2,1,0.7849810606060607,0.7739458740665665,8
WBCIC,R2-LowRank-Local-OT,0.25,0.5,2,2,0.8236174242424242,0.8130534738215565,8
WBCIC,R2-LowRank-Local-OT,0.25,0.5,3,0,0.740909090909091,0.733062625787297,8
