dataset,fold,seed,method,q,lambda_T,subject_id,coverage,valid_candidates,target_distance_improvement,target_nll_improvement,class_pass_rate,median_displacement_ratio,median_relative_margin_drop
OpenBMI,0,1,R3-TaskProtected-Local-OT,0.5,0.5,10,0.3,0.7,0.2375608998757408,1.91408825067608,0.16875,0.4644480049610138,-0.1017093062400817
OpenBMI,0,1,R3-TaskProtected-Local-OT,0.5,0.5,11,0.25,0.6,0.1954207505199121,1.5645877437106648,0.14625,0.4888950884342193,0.0103716887533664
OpenBMI,0,1,R3-TaskProtected-Local-OT,0.5,0.5,14,0.26,0.59,0.1964147193398425,1.451494341858735,0.1625,0.516793966293335,0.005503759952262
OpenBMI,0,1,R3-TaskProtected-Local-OT,0.5,0.5,21,0.44,1.07,0.3451665604611572,4.046026153743161,0.2775,0.5458096861839294,-0.0523190181702375
OpenBMI,0,1,R3-TaskProtected-Local-OT,0.5,0.5,22,0.27,0.69,0.2020027248718609,1.9996977783206231,0.18625,0.4793287217617035,-0.0901977196335792
OpenBMI,0,1,R3-TaskProtected-Local-OT,0.5,0.5,23,0.32,0.71,0.1936411551881738,1.6821273408992503,0.17,0.4317725747823715,-0.0163380410522222
OpenBMI,0,1,R3-TaskProtected-Local-OT,0.5,0.5,27,0.34,0.9,0.2879637121583071,2.723783692305385,0.22375,0.5540966987609863,0.1153551712632179
OpenBMI,0,1,R3-TaskProtected-Local-OT,0.5,0.5,28,0.4,0.91,0.22121345916798,2.2891108289386657,0.21375,0.4790590405464172,0.0909541547298431
OpenBMI,0,1,R3-TaskProtected-Local-OT,0.5,0.5,30,0.24,0.63,0.222410088785746,1.7043408322427935,0.13875,0.432483434677124,-0.0849258005619049
OpenBMI,0,1,R3-TaskProtected-Local-OT,0.5,0.5,31,0.26,0.57,0.1926069226131356,1.328879888718398,0.16375,0.3901350498199463,-0.0458637252449989
OpenBMI,0,1,R3-TaskProtected-Local-OT,0.5,0.5,34,0.18,0.41,0.2276109377413541,1.604860508253891,0.1175,0.3865021765232086,-0.0312156183645129
OpenBMI,0,1,R3-TaskProtected-Local-OT,0.5,0.5,35,0.41,1.14,0.4332580515389141,4.195288776521932,0.30625,0.4432861506938934,0.1099148988723754
OpenBMI,0,1,R3-TaskProtected-Local-OT,0.5,0.5,40,0.35,0.7,0.1976725707746068,1.897122723609284,0.1775,0.4410523623228073,0.0208404064178466
OpenBMI,0,1,R3-TaskProtected-Local-OT,0.5,0.5,43,0.34,0.69,0.1800166970192892,1.4730106541083126,0.1725,0.3860701322555542,-0.0054563658777624
OpenBMI,0,1,R3-TaskProtected-Local-OT,0.5,0.5,44,0.39,0.93,0.2585944388623087,2.1716888700664483,0.21375,0.4576122462749481,-0.133180633187294
OpenBMI,0,1,R3-TaskProtected-Local-OT,0.5,0.5,48,0.23,0.48,0.1630217393590105,1.5860269367810722,0.1175,0.4225059151649475,0.0918683819472789
OpenBMI,0,1,R3-TaskProtected-Local-OT,0.5,0.5,52,0.31,0.81,0.2788163757226604,2.640200943270763,0.215,0.5238107740879059,0.0953979641199112
OpenBMI,0,1,R3-TaskProtected-Local-Random,0.5,0.5,1,0.34,0.81,0.1933025183807595,1.485751407634303,0.105,0.4199913144111633,0.0578951444476842
OpenBMI,0,1,R3-TaskProtected-Local-Random,0.5,0.5,3,0.41,1.11,0.2672241138623096,2.09670631833463,0.155,0.5496424734592438,-0.0327637456357479
OpenBMI,0,1,R3-TaskProtected-Local-Random,0.5,0.5,5,0.45,0.93,0.1793957263915743,1.2913611089759056,0.13,0.3684715926647186,0.0191157558001577
OpenBMI,0,1,R3-TaskProtected-Local-Random,0.5,0.5,6,0.34,0.82,0.2719470864831012,1.6936632952730748,0.11,0.3995020687580108,0.1241328343749046
OpenBMI,0,1,R3-TaskProtected-Local-Random,0.5,0.5,7,0.26,0.53,0.152698191170612,1.5378720255762754,0.0775,0.4378259927034378,-0.0148583855479955
OpenBMI,0,1,R3-TaskProtected-Local-Random,0.5,0.5,8,0.27,0.81,0.3190240366258641,2.5204225401073166,0.105,0.5147929489612579,-0.0805707685649395
OpenBMI,0,1,R3-TaskProtected-Local-Random,0.5,0.5,9,0.29,0.72,0.2019586365859669,1.6748875619693262,0.1025,0.4678656458854675,-0.0615619346499443
OpenBMI,0,1,R3-TaskProtected-Local-Random,0.5,0.5,10,0.3,0.7,0.2155999142942191,1.664121491476851,0.09875,0.4611541032791137,-0.0773638039827346
OpenBMI,0,1,R3-TaskProtected-Local-Random,0.5,0.5,11,0.25,0.6,0.1913304268165144,1.4149166083756806,0.08625,0.473711758852005,0.027194133028388
OpenBMI,0,1,R3-TaskProtected-Local-Random,0.5,0.5,14,0.26,0.59,0.1950244080017166,1.3569923127471564,0.07875,0.4694016277790069,0.0158729199320077
OpenBMI,0,1,R3-TaskProtected-Local-Random,0.5,0.5,21,0.44,1.07,0.3502930272731698,4.0938362808637,0.1375,0.5266374349594116,-0.065667662769556
OpenBMI,0,1,R3-TaskProtected-Local-Random,0.5,0.5,22,0.27,0.69,0.1973727925289712,2.0904515020384142,0.09625,0.4431254863739013,-0.0573331117630004
OpenBMI,0,1,R3-TaskProtected-Local-Random,0.5,0.5,23,0.32,0.71,0.1826490023412635,1.5458226955449477,0.09625,0.429504930973053,-0.000846249749884
OpenBMI,0,1,R3-TaskProtected-Local-Random,0.5,0.5,27,0.34,0.9,0.276543895299975,2.591018284033358,0.11625,0.5238187909126282,0.1047827303409576
OpenBMI,0,1,R3-TaskProtected-Local-Random,0.5,0.5,28,0.4,0.91,0.1973810631332802,1.9742064526988323,0.12625,0.4582226872444153,0.0816816762089729
OpenBMI,0,1,R3-TaskProtected-Local-Random,0.5,0.5,30,0.24,0.63,0.2135436424046059,1.736441197472122,0.08625,0.4224018454551697,-0.0849258005619049
OpenBMI,0,1,R3-TaskProtected-Local-Random,0.5,0.5,31,0.26,0.57,0.1717354921533233,1.3657823381295653,0.09375,0.3728525340557098,-0.012948446907103
OpenBMI,0,1,R3-TaskProtected-Local-Random,0.5,0.5,34,0.18,0.41,0.1858806512962323,1.392240882330961,0.05625,0.3470241725444793,-0.0290606785565614
OpenBMI,0,1,R3-TaskProtected-Local-Random,0.5,0.5,35,0.41,1.14,0.4553599029248032,4.539210276031113,0.1425,0.4611512273550033,0.1132304556667804
OpenBMI,0,1,R3-TaskProtected-Local-Random,0.5,0.5,40,0.35,0.7,0.1722991533116804,1.7777044966110682,0.11125,0.4233112633228302,0.0211443603038787
OpenBMI,0,1,R3-TaskProtected-Local-Random,0.5,0.5,43,0.34,0.69,0.1795384000349398,1.5548264106658607,0.09625,0.4128543138504028,-0.0032297892030328
