dataset,fold,seed,scope,q,lambda_H,coverage_ge2,median_valid_candidates,semantic_pass_rate
OpenBMI,1,0,A,0.25,0.5,0.9707574304889741,24.0,0.9689797059763502
OpenBMI,1,1,A,0.25,0.5,0.9769520225776105,24.0,0.9763836625901537
OpenBMI,1,2,A,0.25,0.5,0.9695481335952849,24.0,0.9682997707924035
OpenBMI,2,0,A,0.25,0.5,0.97148380860319,24.0,0.9680199774448205
OpenBMI,2,1,A,0.25,0.5,0.9802538787023978,24.0,0.9791960507757405
OpenBMI,2,2,A,0.25,0.5,0.9723004694835681,24.0,0.9702464788732394
OpenBMI,3,0,A,0.25,0.5,0.9635897435897436,24.0,0.9608974358974359
OpenBMI,3,1,A,0.25,0.5,0.9566517189835575,24.0,0.9532469689420361
OpenBMI,3,2,A,0.25,0.5,0.9700098328416913,24.0,0.969313339888561
OpenBMI,4,0,A,0.25,0.5,0.971953578336557,24.0,0.9707446808510638
OpenBMI,4,1,A,0.25,0.5,0.976056338028169,24.0,0.9740805946791864
OpenBMI,4,2,A,0.25,0.5,0.9724556489262371,24.0,0.972280578898226
WBCIC,0,0,A,0.25,0.5,0.9626472800200552,24.0,0.9585004595972256
WBCIC,0,1,A,0.25,0.5,0.9629814907453726,24.0,0.9587293646823412
WBCIC,0,2,A,0.25,0.5,0.9673316708229427,24.0,0.9609829592684954
WBCIC,1,0,A,0.25,0.5,0.9661723818350324,24.0,0.9601482854494903
WBCIC,1,1,A,0.25,0.5,0.9751187514137073,24.0,0.9685685742290584
WBCIC,1,2,A,0.25,0.5,0.9699421965317919,24.0,0.9642967244701348
WBCIC,2,0,A,0.25,0.5,0.9575963169372426,24.0,0.9537496971165496
WBCIC,2,1,A,0.25,0.5,0.961073500967118,24.0,0.9577994036105737
WBCIC,2,2,A,0.25,0.5,0.9569841645001181,24.0,0.9510950917828724
WBCIC,3,0,A,0.25,0.5,0.9760036917397323,24.0,0.9725138440239963
WBCIC,3,1,A,0.25,0.5,0.9571703561116458,24.0,0.955205325633622
WBCIC,3,2,A,0.25,0.5,0.9588843471988459,24.0,0.9549571211028292
WBCIC,4,0,A,0.25,0.5,0.9634748272458046,24.0,0.960348798947022
WBCIC,4,1,A,0.25,0.5,0.9628891656288917,24.0,0.9568389373183893
WBCIC,4,2,A,0.25,0.5,0.9602063375092115,24.0,0.9548943748464751
OpenBMI,0,0,A,0.25,1.0,0.9736470588235294,24.0,0.9735686274509803
OpenBMI,0,1,A,0.25,1.0,0.9763593380614657,24.0,0.9757683215130024
OpenBMI,0,2,A,0.25,1.0,0.9704198473282443,24.0,0.9679945928753181
OpenBMI,1,0,A,0.25,1.0,0.9707434052757794,24.0,0.96896482813749
OpenBMI,1,1,A,0.25,1.0,0.9769628584861307,24.0,0.9763947657107038
OpenBMI,1,2,A,0.25,1.0,0.9709931170108161,24.0,0.9679203539823009
OpenBMI,2,0,A,0.25,1.0,0.9710144927536232,24.0,0.968035426731079
OpenBMI,2,1,A,0.25,1.0,0.9797837329572168,24.0,0.9787259050305595
OpenBMI,2,2,A,0.25,1.0,0.9722614010343207,24.0,0.9702045133991537
OpenBMI,3,0,A,0.25,1.0,0.9640841457157516,24.0,0.961390456644433
OpenBMI,3,1,A,0.25,1.0,0.9571286141575274,24.0,0.9537221668328347
OpenBMI,3,2,A,0.25,1.0,0.9695031972454501,24.0,0.9692982456140351
OpenBMI,4,0,A,0.25,1.0,0.9705314009661836,24.0,0.9693236714975846
OpenBMI,4,1,A,0.25,1.0,0.9765147956787225,24.0,0.974538124315015
OpenBMI,4,2,A,0.25,1.0,0.9714953271028037,24.0,0.9722546728971962
WBCIC,0,0,A,0.25,1.0,0.9626097867001254,24.0,0.9587097448766206
WBCIC,0,1,A,0.25,1.0,0.9629444166249375,24.0,0.9586880320480721
WBCIC,0,2,A,0.25,1.0,0.9650698602794411,24.0,0.9591753992015968
WBCIC,1,0,A,0.25,1.0,0.9663885025498378,24.0,0.959811080203987
WBCIC,1,1,A,0.25,1.0,0.9753393665158371,24.0,0.9686180241327301
WBCIC,1,2,A,0.25,1.0,0.9694868238557559,24.0,0.9640738172291572
WBCIC,2,0,A,0.25,1.0,0.9580910852713178,24.0,0.9537609011627907
WBCIC,2,1,A,0.25,1.0,0.9606565290852039,24.0,0.9576494488695791
WBCIC,2,2,A,0.25,1.0,0.9587970636987924,24.0,0.951683242560581
WBCIC,3,0,A,0.25,1.0,0.9757952973720608,24.0,0.9726640540955892
WBCIC,3,1,A,0.25,1.0,0.9574314574314574,24.0,0.9550364758698093
WBCIC,3,2,A,0.25,1.0,0.9584034623707622,24.0,0.9549871764045844
WBCIC,4,0,A,0.25,1.0,0.9639328063241107,24.0,0.9603096179183135
WBCIC,4,1,A,0.25,1.0,0.9629721669980119,24.0,0.9569458250497018
WBCIC,4,2,A,0.25,1.0,0.9609624355511908,24.0,0.9552336525083887
OpenBMI,0,0,A,0.5,0.25,0.9741176470588235,24.0,0.9735686274509803
OpenBMI,0,1,A,0.5,0.25,0.9768102224325603,24.0,0.9757453857075249
OpenBMI,0,2,A,0.5,0.25,0.9709246901811249,24.0,0.9684421671433111
OpenBMI,1,0,A,0.5,0.25,0.9698420296792724,24.0,0.969024254029041
OpenBMI,1,1,A,0.5,0.25,0.9769628584861307,24.0,0.9763947657107038
OpenBMI,1,2,A,0.5,0.25,0.9685966633954858,24.0,0.9693122342165522
OpenBMI,2,0,A,0.5,0.25,0.97148380860319,24.0,0.9680199774448205
OpenBMI,2,1,A,0.5,0.25,0.9802538787023978,24.0,0.9791960507757405
OpenBMI,2,2,A,0.5,0.25,0.9732142857142857,24.0,0.9716282894736842
OpenBMI,3,0,A,0.5,0.25,0.9635897435897436,24.0,0.9608974358974359
OpenBMI,3,1,A,0.5,0.25,0.9566517189835575,24.0,0.9532469689420361
OpenBMI,3,2,A,0.5,0.25,0.97002457002457,24.0,0.9693284193284193
OpenBMI,4,0,A,0.5,0.25,0.9705314009661836,24.0,0.9698067632850241
OpenBMI,4,1,A,0.5,0.25,0.976056338028169,24.0,0.9740805946791864
OpenBMI,4,2,A,0.5,0.25,0.9729098552078468,24.0,0.972267631947688
WBCIC,0,0,A,0.5,0.25,0.9628700451580532,24.0,0.9587096504432179
WBCIC,0,1,A,0.5,0.25,0.963686451289757,24.0,0.9596272643793304
WBCIC,0,2,A,0.5,0.25,0.9676375404530745,24.0,0.9610820678781844
WBCIC,1,0,A,0.5,0.25,0.9666048237476809,24.0,0.9602755875077303
WBCIC,1,1,A,0.5,0.25,0.9751187514137073,24.0,0.9682764080524768
WBCIC,1,2,A,0.5,0.25,0.9699352451433858,24.0,0.9642884674683936
WBCIC,2,0,A,0.5,0.25,0.9580910852713178,24.0,0.9537609011627907
WBCIC,2,1,A,0.5,0.25,0.960860111137956,24.0,0.9572259805105903
WBCIC,2,2,A,0.5,0.25,0.9576832151300236,24.0,0.9506304176516943
WBCIC,3,0,A,0.5,0.25,0.9755422242731887,24.0,0.9722831102907245
WBCIC,3,1,A,0.5,0.25,0.9576617753187395,24.0,0.9554566594499238
WBCIC,3,2,A,0.5,0.25,0.9590952839268527,24.0,0.9549446583253128
WBCIC,4,0,A,0.5,0.25,0.9629995066600888,24.0,0.9603169708929452
WBCIC,4,1,A,0.5,0.25,0.9623629112662014,24.0,0.9567651213027584
WBCIC,4,2,A,0.5,0.25,0.9602551521099116,24.0,0.9549394831534183
OpenBMI,0,0,A,0.5,0.5,0.9731638418079096,24.0,0.9735561833019458
OpenBMI,0,1,A,0.5,0.5,0.9772834831992427,24.0,0.9757453857075249
OpenBMI,0,2,A,0.5,0.5,0.9709108249880782,24.0,0.9684271181052297
OpenBMI,1,0,A,0.5,0.5,0.9707574304889741,24.0,0.9689797059763502
OpenBMI,1,1,A,0.5,0.5,0.9769520225776105,24.0,0.9763836625901537
OpenBMI,1,2,A,0.5,0.5,0.9695481335952849,24.0,0.9682997707924035
OpenBMI,2,0,A,0.5,0.5,0.97148380860319,24.0,0.9680199774448205
OpenBMI,2,1,A,0.5,0.5,0.9802538787023978,24.0,0.9791960507757405
OpenBMI,2,2,A,0.5,0.5,0.9722874589008924,24.0,0.9702325035227807
OpenBMI,3,0,A,0.5,0.5,0.9635897435897436,24.0,0.9608974358974359
OpenBMI,3,1,A,0.5,0.5,0.9566517189835575,24.0,0.9532469689420361
OpenBMI,3,2,A,0.5,0.5,0.9700098328416913,24.0,0.969313339888561
OpenBMI,4,0,A,0.5,0.5,0.971953578336557,24.0,0.9707446808510638
OpenBMI,4,1,A,0.5,0.5,0.976056338028169,24.0,0.9740805946791864
OpenBMI,4,2,A,0.5,0.5,0.9724556489262371,24.0,0.972280578898226
WBCIC,0,0,A,0.5,0.5,0.9626472800200552,24.0,0.9585004595972256
WBCIC,0,1,A,0.5,0.5,0.9629814907453726,24.0,0.9587293646823412
WBCIC,0,2,A,0.5,0.5,0.9673316708229427,24.0,0.9609829592684954
WBCIC,1,0,A,0.5,0.5,0.9664040778498609,24.0,0.9601482854494903
WBCIC,1,1,A,0.5,0.5,0.9749039113723716,24.0,0.9683566960584823
WBCIC,1,2,A,0.5,0.5,0.9699421965317919,24.0,0.9642967244701348
WBCIC,2,0,A,0.5,0.5,0.9575963169372426,24.0,0.9537496971165496
WBCIC,2,1,A,0.5,0.5,0.961073500967118,24.0,0.9577994036105737
WBCIC,2,2,A,0.5,0.5,0.9569841645001181,24.0,0.9510950917828724
WBCIC,3,0,A,0.5,0.5,0.9757785467128027,24.0,0.972520184544406
WBCIC,3,1,A,0.5,0.5,0.9571703561116458,24.0,0.955205325633622
WBCIC,3,2,A,0.5,0.5,0.9588843471988459,24.0,0.9549571211028292
WBCIC,4,0,A,0.5,0.5,0.9634658109108862,24.0,0.9603390109437998
WBCIC,4,1,A,0.5,0.5,0.9628891656288917,24.0,0.9568389373183893
WBCIC,4,2,A,0.5,0.5,0.9602063375092115,24.0,0.9548943748464751
OpenBMI,0,0,A,0.5,1.0,0.9736470588235294,24.0,0.9735686274509803
OpenBMI,0,1,A,0.5,1.0,0.9763593380614657,24.0,0.9757683215130024
OpenBMI,0,2,A,0.5,1.0,0.9704198473282443,24.0,0.9679945928753181
OpenBMI,1,0,A,0.5,1.0,0.9707434052757794,24.0,0.96896482813749
OpenBMI,1,1,A,0.5,1.0,0.9769628584861307,24.0,0.9763947657107038
OpenBMI,1,2,A,0.5,1.0,0.9709931170108161,24.0,0.9679203539823009
OpenBMI,2,0,A,0.5,1.0,0.9710144927536232,24.0,0.968035426731079
OpenBMI,2,1,A,0.5,1.0,0.9797837329572168,24.0,0.9787259050305595
OpenBMI,2,2,A,0.5,1.0,0.9722614010343207,24.0,0.9702045133991537
OpenBMI,3,0,A,0.5,1.0,0.9640841457157516,24.0,0.961390456644433
OpenBMI,3,1,A,0.5,1.0,0.9571286141575274,24.0,0.9537221668328347
OpenBMI,3,2,A,0.5,1.0,0.9695031972454501,24.0,0.9692982456140351
OpenBMI,4,0,A,0.5,1.0,0.9705314009661836,24.0,0.9693236714975846
OpenBMI,4,1,A,0.5,1.0,0.9765147956787225,24.0,0.974538124315015
OpenBMI,4,2,A,0.5,1.0,0.9714953271028037,24.0,0.9722546728971962
WBCIC,0,0,A,0.5,1.0,0.9626097867001254,24.0,0.9587097448766206
WBCIC,0,1,A,0.5,1.0,0.9629444166249375,24.0,0.9586880320480721
WBCIC,0,2,A,0.5,1.0,0.9648291344474932,24.0,0.9591855824395111
WBCIC,1,0,A,0.5,1.0,0.9663885025498378,24.0,0.959811080203987
WBCIC,1,1,A,0.5,1.0,0.9753393665158371,24.0,0.9686180241327301
WBCIC,1,2,A,0.5,1.0,0.9694868238557559,24.0,0.9640738172291572
WBCIC,2,0,A,0.5,1.0,0.9580910852713178,24.0,0.9537609011627907
WBCIC,2,1,A,0.5,1.0,0.9608884596813134,24.0,0.9576392242073072
WBCIC,2,2,A,0.5,1.0,0.9585700757575758,24.0,0.9514875315656566
WBCIC,3,0,A,0.5,1.0,0.9757897163938206,24.0,0.972657751133656
WBCIC,3,1,A,0.5,1.0,0.9574212172239596,24.0,0.9552161013551439
WBCIC,3,2,A,0.5,1.0,0.9584034623707622,24.0,0.9549871764045844
WBCIC,4,0,A,0.5,1.0,0.9639417140034576,24.0,0.9603194204330286
WBCIC,4,1,A,0.5,1.0,0.9629721669980119,24.0,0.9569458250497018
WBCIC,4,2,A,0.5,1.0,0.9609624355511908,24.0,0.9552336525083887
OpenBMI,0,0,B,0.25,0.25,0.948936170212766,24.0,0.9628644602048857
OpenBMI,0,1,B,0.25,0.25,0.9547403525488328,24.0,0.9708789899952358
OpenBMI,0,2,B,0.25,0.25,0.9497098646034816,24.0,0.9677224371373307
OpenBMI,1,0,B,0.25,0.25,0.9521016617790812,24.0,0.9678437601824699
OpenBMI,1,1,B,0.25,0.25,0.9609895337773549,24.0,0.9759356168728195
OpenBMI,1,2,B,0.25,0.25,0.9467396714783475,24.0,0.9630413140866102
OpenBMI,2,0,B,0.25,0.25,0.9504950495049505,24.0,0.9673886138613862
OpenBMI,2,1,B,0.25,0.25,0.9585714285714285,24.0,0.9736904761904762
OpenBMI,2,2,B,0.25,0.25,0.955672068636797,24.0,0.963536701620591
OpenBMI,3,0,B,0.25,0.25,0.9233128834355828,24.0,0.9514314928425358
OpenBMI,3,1,B,0.25,0.25,0.9269020387866733,24.0,0.9472691861428809
OpenBMI,3,2,B,0.25,0.25,0.9527400703871292,24.0,0.9680325121501592
OpenBMI,4,0,B,0.25,0.25,0.9453049370764763,24.0,0.9626089060987415
OpenBMI,4,1,B,0.25,0.25,0.9557774607703281,24.0,0.9677246790299572
OpenBMI,4,2,B,0.25,0.25,0.9601895734597157,24.0,0.9711295418641391
WBCIC,0,0,B,0.25,0.25,0.932378079436903,24.0,0.9563327467739232
WBCIC,0,1,B,0.25,0.25,0.930576441102757,24.0,0.9536654135338346
WBCIC,0,2,B,0.25,0.25,0.9391587381071608,24.0,0.9602320146886998
WBCIC,1,0,B,0.25,0.25,0.9422584400465658,24.0,0.9583042297244857
WBCIC,1,1,B,0.25,0.25,0.9547531992687386,24.0,0.9709114107251675
WBCIC,1,2,B,0.25,0.25,0.9473930324994155,24.0,0.9612267165458656
WBCIC,2,0,B,0.25,0.25,0.9220116618075802,24.0,0.947511742792355
WBCIC,2,1,B,0.25,0.25,0.9320341047503045,24.0,0.9542732440113683
WBCIC,2,2,B,0.25,0.25,0.9415971394517283,24.0,0.9603595550258244
WBCIC,3,0,B,0.25,0.25,0.9532491818606825,24.0,0.9698749415614774
WBCIC,3,1,B,0.25,0.25,0.9324455205811139,24.0,0.9524112187247781
WBCIC,3,2,B,0.25,0.25,0.9295570079883806,24.0,0.9489631243443879
WBCIC,4,0,B,0.25,0.25,0.9368655607823718,24.0,0.961366262276141
WBCIC,4,1,B,0.25,0.25,0.9352481733434115,24.0,0.9575879734609895
WBCIC,4,2,B,0.25,0.25,0.9406653426017875,24.0,0.9559438099966899
OpenBMI,0,0,B,0.25,0.5,0.9554713405968736,24.0,0.9667219327333016
OpenBMI,0,1,B,0.25,0.5,0.9477892756349953,24.0,0.9687402006898713
OpenBMI,0,2,B,0.25,0.5,0.9470644850818094,24.0,0.9708253128007701
OpenBMI,1,0,B,0.25,0.5,0.9507797270955166,24.0,0.9634502923976608
OpenBMI,1,1,B,0.25,0.5,0.9539411206077872,24.0,0.9699469768914214
OpenBMI,1,2,B,0.25,0.5,0.9392752203721841,24.0,0.9616185112634672
OpenBMI,2,0,B,0.25,0.5,0.9495592556317336,24.0,0.9653321906627489
OpenBMI,2,1,B,0.25,0.5,0.9623988576868158,24.0,0.9757258448357925
OpenBMI,2,2,B,0.25,0.5,0.9548479087452472,24.0,0.9656408428390368
OpenBMI,3,0,B,0.25,0.5,0.9233539094650206,24.0,0.9467806927297667
OpenBMI,3,1,B,0.25,0.5,0.9331322272498743,24.0,0.9503309870956931
OpenBMI,3,2,B,0.25,0.5,0.9492789656887121,24.0,0.9667868390518813
OpenBMI,4,0,B,0.25,0.5,0.9478512795750845,24.0,0.9639465636568485
OpenBMI,4,1,B,0.25,0.5,0.9595238095238096,24.0,0.97
OpenBMI,4,2,B,0.25,0.5,0.9557774607703281,24.0,0.9689530828974481
WBCIC,0,0,B,0.25,0.5,0.934154310128173,24.0,0.9552651419954763
WBCIC,0,1,B,0.25,0.5,0.9408493427704753,24.0,0.9593655207280081
WBCIC,0,2,B,0.25,0.5,0.9348639880209633,24.0,0.9555673404874802
WBCIC,1,0,B,0.25,0.5,0.9416957026713124,24.0,0.9595528455284553
WBCIC,1,1,B,0.25,0.5,0.9590482727064745,24.0,0.9696675055288646
WBCIC,1,2,B,0.25,0.5,0.9530887134231305,24.0,0.9650003870568198
WBCIC,2,0,B,0.25,0.5,0.928082191780822,24.0,0.9471216568819307
WBCIC,2,1,B,0.25,0.5,0.9352078239608802,24.0,0.9558068459657701
WBCIC,2,2,B,0.25,0.5,0.9394736842105263,24.0,0.9594597288676237
WBCIC,3,0,B,0.25,0.5,0.9525029103608847,24.0,0.9678405122235157
WBCIC,3,1,B,0.25,0.5,0.9332362223840738,24.0,0.9507971190418388
WBCIC,3,2,B,0.25,0.5,0.9282250242483027,24.0,0.9516246362754607
WBCIC,4,0,B,0.25,0.5,0.944057682744903,24.0,0.9606228244654401
WBCIC,4,1,B,0.25,0.5,0.934504391468005,24.0,0.9540464240903388
WBCIC,4,2,B,0.25,0.5,0.9429206819866568,24.0,0.9597335474837329
OpenBMI,0,0,B,0.25,1.0,0.957122439256789,24.0,0.9698666031443545
OpenBMI,0,1,B,0.25,1.0,0.9534883720930233,24.0,0.9696646100300587
OpenBMI,0,2,B,0.25,1.0,0.9466019417475728,24.0,0.9666464401294498
OpenBMI,1,0,B,0.25,1.0,0.952288218111003,24.0,0.9668330087633885
OpenBMI,1,1,B,0.25,1.0,0.9627684964200477,24.0,0.9732299124900557
OpenBMI,1,2,B,0.25,1.0,0.9466865969108121,24.0,0.961488955323036
OpenBMI,2,0,B,0.25,1.0,0.9473945409429281,24.0,0.9657361455748553
OpenBMI,2,1,B,0.25,1.0,0.9573754789272031,24.0,0.9708053959131546
OpenBMI,2,2,B,0.25,1.0,0.9590085795996187,24.0,0.9671711153479504
OpenBMI,3,0,B,0.25,1.0,0.9202046035805627,24.0,0.9444799658994032
OpenBMI,3,1,B,0.25,1.0,0.9382530120481928,24.0,0.953522423025435
OpenBMI,3,2,B,0.25,1.0,0.9426719840478565,24.0,0.9642530741110004
OpenBMI,4,0,B,0.25,1.0,0.9506353861192571,24.0,0.9638522319973932
OpenBMI,4,1,B,0.25,1.0,0.955756422454805,24.0,0.9702465905486838
OpenBMI,4,2,B,0.25,1.0,0.9607565011820332,24.0,0.9737982663514577
WBCIC,0,0,B,0.25,1.0,0.9379552876161769,24.0,0.9557272042200452
WBCIC,0,1,B,0.25,1.0,0.9410727776378746,24.0,0.9592042306723747
WBCIC,0,2,B,0.25,1.0,0.9396745932415519,24.0,0.9604192740926157
WBCIC,1,0,B,0.25,1.0,0.9437862950058072,24.0,0.959804490902052
WBCIC,1,1,B,0.25,1.0,0.9537374658158614,24.0,0.9679523701002735
WBCIC,1,2,B,0.25,1.0,0.9568160597572363,24.0,0.9670673825085591
WBCIC,2,0,B,0.25,1.0,0.9248837778321507,24.0,0.9458955223880597
WBCIC,2,1,B,0.25,1.0,0.9410613842015163,24.0,0.9608706285155295
WBCIC,2,2,B,0.25,1.0,0.9393146120894812,24.0,0.957956528637157
WBCIC,3,0,B,0.25,1.0,0.9532884034394609,24.0,0.9672999457742659
WBCIC,3,1,B,0.25,1.0,0.937242549067119,24.0,0.9557588240045232
WBCIC,3,2,B,0.25,1.0,0.9293174641729415,24.0,0.9533134968828436
WBCIC,4,0,B,0.25,1.0,0.9453144419587373,24.0,0.9628904631701053
WBCIC,4,1,B,0.25,1.0,0.9357034795763994,24.0,0.9526390990082366
WBCIC,4,2,B,0.25,1.0,0.9399703557312253,24.0,0.9589818017127799
OpenBMI,0,0,B,0.5,0.25,0.9568515884305357,24.0,0.9688240872451399
OpenBMI,0,1,B,0.5,0.25,0.9524488825487399,24.0,0.9711919480107781
OpenBMI,0,2,B,0.5,0.25,0.9515972894482091,24.0,0.9681752178121975
OpenBMI,1,0,B,0.5,0.25,0.952078239608802,24.0,0.9676650366748166
OpenBMI,1,1,B,0.5,0.25,0.956769596199525,24.0,0.9747228820269199
OpenBMI,1,2,B,0.5,0.25,0.9487307117969139,24.0,0.9651567944250871
OpenBMI,2,0,B,0.5,0.25,0.9410331384015594,24.0,0.9634502923976608
OpenBMI,2,1,B,0.5,0.25,0.962291169451074,24.0,0.9769490851233096
OpenBMI,2,2,B,0.5,0.25,0.9596735477676428,24.0,0.9692950872139542
OpenBMI,3,0,B,0.5,0.25,0.9326075686884396,24.0,0.9546613098323828
OpenBMI,3,1,B,0.5,0.25,0.9348813730439172,24.0,0.9508875988557967
OpenBMI,3,2,B,0.5,0.25,0.9513784461152882,24.0,0.9676065162907268
OpenBMI,4,0,B,0.5,0.25,0.9539282250242483,24.0,0.9680124474620109
OpenBMI,4,1,B,0.5,0.25,0.9527186761229315,24.0,0.9657604412923562
OpenBMI,4,2,B,0.5,0.25,0.959203036053131,24.0,0.9703905755850727
WBCIC,0,0,B,0.5,0.25,0.9336026255995961,24.0,0.9589434486240849
WBCIC,0,1,B,0.5,0.25,0.9356636271529889,24.0,0.9551566193853427
WBCIC,0,2,B,0.5,0.25,0.9366741460982299,24.0,0.9619899443197873
WBCIC,1,0,B,0.5,0.25,0.9443665264142123,24.0,0.960222845566464
WBCIC,1,1,B,0.5,0.25,0.9552547039926572,24.0,0.9683054153281322
WBCIC,1,2,B,0.5,0.25,0.9462665736217725,24.0,0.9648270915716832
WBCIC,2,0,B,0.5,0.25,0.9269127352725495,24.0,0.9481076346451559
WBCIC,2,1,B,0.5,0.25,0.928969696969697,24.0,0.9536565656565656
WBCIC,2,2,B,0.5,0.25,0.9416547106647537,24.0,0.9616212338593975
WBCIC,3,0,B,0.5,0.25,0.9546522556390977,24.0,0.9703262061403508
WBCIC,3,1,B,0.5,0.25,0.9346515553412105,24.0,0.9538923719958202
WBCIC,3,2,B,0.5,0.25,0.9284149013878744,24.0,0.9495475204934665
WBCIC,4,0,B,0.5,0.25,0.9363073110285006,24.0,0.9616480793060719
WBCIC,4,1,B,0.5,0.25,0.9348755343223535,24.0,0.9551064453943509
WBCIC,4,2,B,0.5,0.25,0.9441814104161476,24.0,0.9610225101752637
OpenBMI,0,0,B,0.5,0.5,0.9543509272467903,24.0,0.9650895546045332
OpenBMI,0,1,B,0.5,0.5,0.9550883898709985,24.0,0.970437171524128
OpenBMI,0,2,B,0.5,0.5,0.949831162566329,24.0,0.9685238784370478
OpenBMI,1,0,B,0.5,0.5,0.9459591041869523,24.0,0.9623296007789679
OpenBMI,1,1,B,0.5,0.5,0.9524488825487399,24.0,0.9695276588999842
OpenBMI,1,2,B,0.5,0.5,0.9440870856011875,24.0,0.9592610918687119
OpenBMI,2,0,B,0.5,0.5,0.9462524654832347,24.0,0.9639217619986852
OpenBMI,2,1,B,0.5,0.5,0.9579593764761455,24.0,0.9769918123130217
OpenBMI,2,2,B,0.5,0.5,0.9518359561278016,24.0,0.9659434112223813
OpenBMI,3,0,B,0.5,0.5,0.9359041167274622,24.0,0.9560535000868507
OpenBMI,3,1,B,0.5,0.5,0.9339717741935484,24.0,0.9509198588709677
OpenBMI,3,2,B,0.5,0.5,0.9384920634920635,24.0,0.9630249669312169
OpenBMI,4,0,B,0.5,0.5,0.9432589718719689,24.0,0.9631425800193987
OpenBMI,4,1,B,0.5,0.5,0.9608217869087434,24.0,0.9679487179487178
OpenBMI,4,2,B,0.5,0.5,0.9600190385530699,24.0,0.973028716484214
WBCIC,0,0,B,0.5,0.5,0.9354433559407184,24.0,0.9587415222305953
WBCIC,0,1,B,0.5,0.5,0.9389293792410154,24.0,0.9575479601239841
WBCIC,0,2,B,0.5,0.5,0.9379207180254301,24.0,0.9611277320701405
WBCIC,1,0,B,0.5,0.5,0.9444314732664021,24.0,0.9626332788543857
WBCIC,1,1,B,0.5,0.5,0.9524245196706312,24.0,0.9675587069228422
WBCIC,1,2,B,0.5,0.5,0.9482517482517483,24.0,0.9617812742812744
WBCIC,2,0,B,0.5,0.5,0.926153091265947,24.0,0.9485197906444227
WBCIC,2,1,B,0.5,0.5,0.9368421052631579,24.0,0.9554161566707466
WBCIC,2,2,B,0.5,0.5,0.9391779520076028,24.0,0.9618674269422666
WBCIC,3,0,B,0.5,0.5,0.9516953088713423,24.0,0.9689580430407185
WBCIC,3,1,B,0.5,0.5,0.937120660354455,24.0,0.9537205632435057
WBCIC,3,2,B,0.5,0.5,0.932978466005323,24.0,0.9510343576094846
WBCIC,4,0,B,0.5,0.5,0.9387856257744733,24.0,0.9605018587360595
WBCIC,4,1,B,0.5,0.5,0.9376884422110553,24.0,0.956501256281407
