dataset,eta,lambda_safe,kappa,mean_BA,delta_vs_STRONGEST_KEEP,bootstrap_CI95_L,bootstrap_CI95_U,median_subject_delta_BA,positive_subject_fraction,nonnegative_subject_fraction,positive_fold_fraction,unsafe_intervention_rate,rescue_precision,action_rate,nonkeep_mass,stable_fraction,mean_mu_amp,mean_mu_geo,OUTER_TEST_USED,search_stage,delta_vs_OLD_I003,minimum_delta
WBCIC,0.5,1.0,0.0,0.7661677753141168,-0.00012564671101255735,-0.0035439763488543928,0.002926829268292688,0.0,0.43902439024390244,0.6829268292682927,0.6,0.025826914363389217,0.027639329406434075,0.2692120029275433,0.10887187551138311,0.47096852890949015,-0.022480319743277563,-0.0045202884581789764,False,pilot_one_head,0.0009756097560976729,-0.001153846153846172
WBCIC,0.5,1.0,0.5,0.7684885439763489,0.0021951219512195237,-0.0017103658536585357,0.005731707317073186,0.0050000000000000044,0.5365853658536586,0.7317073170731707,0.8,0.0312724658519051,0.037742631200575125,0.3393510612344474,0.14216220255551534,0.47096852890949015,0.07006993458711983,0.004754410167462137,False,pilot_one_head,0.0032963784183297484,-0.0011538461538461377
WBCIC,1.0,0.5,0.0,0.7662921901946292,-1.2318305001116827e-06,-0.0032939147573293817,0.0031707317073170773,0.0,0.43902439024390244,0.5609756097560976,0.4,0.029166666666666667,0.03009259259259259,0.26347889729202245,0.08229798816348743,0.47096852890949015,-0.026066078071302956,-0.007734802319503735,False,pilot_one_head,0.0011000246366100752,-0.00038461538461538494
WBCIC,1.0,0.5,0.5,0.7653141167775314,-0.000979305247597928,-0.004031781226903183,0.0019512195121951157,0.0,0.4634146341463415,0.6341463414634146,0.4,0.034722222222222224,0.03148148148148148,0.26347889729202245,0.09132817310349842,0.47096852890949015,-0.045425091085014406,-0.020377580121954324,False,pilot_one_head,0.00012195121951219523,-0.0023076923076923096
WBCIC,1.0,1.0,0.0,0.7682458733678246,0.0019524513426952502,-0.00024390243902438775,0.004146341463414648,0.0,0.4634146341463415,0.8048780487804879,0.8,0.018376722817764167,0.02858601327207759,0.23896072212734815,0.07562176950742124,0.47096852890949015,-0.061638013114330224,-0.04940555740632235,False,pilot_one_head,0.003053707809805406,-0.002307692307692327
WBCIC,1.0,1.0,0.5,0.766170238975117,-0.0001231830500123015,-0.003903670854890339,0.0034121704853412324,0.0,0.43902439024390244,0.6585365853658537,0.6,0.028835884656461374,0.029903880384478464,0.3426445474505977,0.12658484326826425,0.47096852890949015,0.05787108379724488,0.09165239727629426,False,pilot_one_head,0.00097807341709788,-0.0007692307692307699
WBCIC,2.0,0.5,0.0,0.7665360926336535,0.0002426706085242842,-0.0029292929292929035,0.0031707317073170907,0.004999999999999893,0.5121951219512195,0.6585365853658537,0.4,0.02239413680781759,0.024022801302931596,0.299585264698707,0.07661975859054664,0.47096852890949015,0.08978320511953623,-0.04695659000212956,False,pilot_one_head,0.0013439270756343547,0.0002426706085242842
WBCIC,2.0,0.5,0.5,0.7645848731214584,-0.0017085489036708556,-0.004513426952451331,0.0009756097560975605,0.0,0.34146341463414637,0.6097560975609756,0.2,0.02936241610738255,0.024328859060402684,0.29080263478897295,0.07001517479115278,0.47096852890949015,-0.09201108210109615,0.05572144363575805,False,pilot_one_head,-0.000607292436560769,-0.0017085489036708556
WBCIC,2.0,1.0,0.0,0.7677543729982753,0.0014609509731460964,-0.001957378664695731,0.004753633899975361,0.004999999999999893,0.5365853658536586,0.6829268292682927,0.6,0.027073932662270046,0.031239153071850052,0.3514271773603318,0.0965856082288591,0.47096852890949015,0.07806070487438237,0.040539836652111604,False,pilot_one_head,0.002562207440256148,-0.0011538461538461635
WBCIC,2.0,1.0,0.5,0.7665373244641537,0.00024390243902439995,-0.0025609756097560903,0.0029268292682926695,0.0,0.4146341463414634,0.7804878048780488,0.4,0.024237685691946835,0.02541047693510555,0.312027323737497,0.08126658832904678,0.47096852890949015,0.023108845490589194,0.019228603588619386,False,pilot_one_head,0.0013451589061345137,-0.000769230769230787
