task,fold,architecture,population,subject_id,trials,LiteBN_BA,model_BA,delta_BA_pp,LiteBN_macro_F1,model_macro_F1,delta_macro_F1_pp,LiteBN_accuracy,model_accuracy,delta_accuracy_pp
OpenBMI_MI,0,HE96,heldout,51,100,0.7,0.69,-1.0000000000000009,0.6921182266009853,0.6862030569895738,-0.5915169611411475,0.7,0.69,-1.0000000000000009
OpenBMI_MI,0,HE96,heldout,54,100,0.71,0.74,3.0000000000000027,0.7076318177235609,0.7362012987012987,2.8569480977737816,0.71,0.74,3.0000000000000027
OpenBMI_MI,1,HE96,outer,26,100,0.85,0.85,0.0,0.84998499849985,0.8498648783905515,-0.012012010929851602,0.85,0.85,0.0
OpenBMI_MI,1,HE96,outer,2,100,0.78,0.75,-3.0000000000000027,0.7796474358974359,0.7487689679429204,-3.0878467954515543,0.78,0.75,-3.0000000000000027
OpenBMI_MI,1,HE96,outer,14,100,0.75,0.64,-10.999999999999998,0.7457023700539112,0.625,-12.070237005391116,0.75,0.64,-10.999999999999998
OpenBMI_MI,1,HE96,outer,31,100,0.79,0.79,0.0,0.7874278773155178,0.7863899908452854,-0.10378864702323964,0.79,0.79,0.0
OpenBMI_MI,1,HE96,outer,28,100,0.9299999999999999,0.86,-6.999999999999995,0.9298245614035088,0.8599439775910365,-6.988058381247231,0.93,0.86,-7.000000000000006
OpenBMI_MI,1,HE96,outer,35,100,0.8,0.78,-2.0000000000000018,0.7933030177759405,0.7688104245481295,-2.4492593227810944,0.8,0.78,-2.0000000000000018
OpenBMI_MI,1,HE96,outer,40,100,0.81,0.69,-12.00000000000001,0.8067338012409724,0.6783898744683059,-12.83439267726665,0.81,0.69,-12.00000000000001
OpenBMI_MI,1,HE96,outer,43,100,0.95,0.9099999999999999,-4.0000000000000036,0.9499549594635172,0.9099189270343309,-4.003603242918629,0.95,0.91,-3.9999999999999925
OpenBMI_MI,1,HE96,heldout,4,100,0.81,0.72,-9.000000000000007,0.8076728413807066,0.7083333333333334,-9.933950804737323,0.81,0.72,-9.000000000000007
OpenBMI_MI,1,HE96,heldout,12,100,0.76,0.78,2.0000000000000018,0.7596153846153846,0.779205138498595,1.9589753883210381,0.76,0.78,2.0000000000000018
OpenBMI_MI,1,HE96,heldout,13,100,0.75,0.72,-3.0000000000000027,0.7479584635547938,0.7198879551820728,-2.807050837272096,0.75,0.72,-3.0000000000000027
OpenBMI_MI,1,HE96,heldout,17,100,0.7,0.6000000000000001,-9.999999999999986,0.6989160979526294,0.5974235104669887,-10.149258748564073,0.7,0.6,-9.999999999999998
OpenBMI_MI,1,HE96,heldout,18,100,0.77,0.69,-8.000000000000007,0.7699769976997699,0.6899689968996899,-8.000800080007997,0.77,0.69,-8.000000000000007
OpenBMI_MI,1,HE96,heldout,24,100,0.58,0.56,-1.9999999999999907,0.5495495495495495,0.5225694444444444,-2.6980105105105068,0.58,0.56,-1.9999999999999907
OpenBMI_MI,1,HE96,heldout,25,100,1.0,0.99,-1.0000000000000009,1.0,0.9899989998999901,-1.0001000100009927,1.0,0.99,-1.0000000000000009
OpenBMI_MI,1,HE96,heldout,29,100,0.69,0.73,4.0000000000000036,0.6874684948079444,0.7293233082706767,4.185481346273234,0.69,0.73,4.0000000000000036
OpenBMI_MI,1,HE96,heldout,36,100,0.95,0.94,-1.0000000000000009,0.9499949994999499,0.9399759903961584,-1.0019009103791499,0.95,0.94,-1.0000000000000009
OpenBMI_MI,1,HE96,heldout,37,100,0.73,0.71,-2.0000000000000018,0.712,0.7013695808876532,-1.0630419112346745,0.73,0.71,-2.0000000000000018
OpenBMI_MI,1,HE96,heldout,39,100,0.81,0.74,-7.000000000000006,0.8090644156366193,0.7398959583833533,-6.916845725326604,0.81,0.74,-7.000000000000006
OpenBMI_MI,1,HE96,heldout,42,100,0.78,0.71,-7.000000000000006,0.7777777777777778,0.7085720028137876,-6.920577496399016,0.78,0.71,-7.000000000000006
OpenBMI_MI,1,HE96,heldout,51,100,0.71,0.6599999999999999,-5.000000000000004,0.7064480210547626,0.6510673234811166,-5.538069757364594,0.71,0.66,-4.999999999999993
OpenBMI_MI,1,HE96,heldout,54,100,0.76,0.7,-6.000000000000005,0.7599039615846338,0.6980676328502415,-6.183632873439226,0.76,0.7,-6.000000000000005
OpenBMI_MI,2,HE96,outer,50,100,0.63,0.59,-4.0000000000000036,0.6236395076797885,0.5805626598465473,-4.307684783324117,0.63,0.59,-4.0000000000000036
OpenBMI_MI,2,HE96,outer,52,100,0.81,0.8300000000000001,2.0000000000000018,0.8090644156366193,0.8298468621759583,2.0782446539338917,0.81,0.83,1.9999999999999907
OpenBMI_MI,2,HE96,outer,23,100,0.74,0.76,2.0000000000000018,0.7348021215830274,0.75,1.519787841697262,0.74,0.76,2.0000000000000018
OpenBMI_MI,2,HE96,outer,1,100,0.65,0.65,0.0,0.6266666666666667,0.630450849963045,0.37841832963783073,0.65,0.65,0.0
OpenBMI_MI,2,HE96,outer,30,100,0.75,0.76,1.0000000000000009,0.7493734335839599,0.7575757575757576,0.8202323991797655,0.75,0.76,1.0000000000000009
OpenBMI_MI,2,HE96,outer,48,100,0.66,0.71,4.999999999999993,0.6565656565656566,0.7092731829573935,5.2707526391736925,0.66,0.71,4.999999999999993
OpenBMI_MI,2,HE96,outer,11,100,0.73,0.6699999999999999,-6.000000000000005,0.7286704853783539,0.6673051718923279,-6.1365313486026025,0.73,0.67,-5.999999999999995
OpenBMI_MI,2,HE96,outer,8,100,0.8500000000000001,0.81,-4.0000000000000036,0.8492613807657522,0.8084484323016433,-4.081294846410888,0.85,0.81,-3.9999999999999925
OpenBMI_MI,2,HE96,heldout,4,100,0.8300000000000001,0.8200000000000001,-1.0000000000000009,0.8295739348370927,0.8199279711884754,-0.9645963648617362,0.83,0.82,-1.0000000000000009
OpenBMI_MI,2,HE96,heldout,12,100,0.77,0.72,-5.000000000000004,0.7688674505074866,0.7126436781609196,-5.622377234656706,0.77,0.72,-5.000000000000004
OpenBMI_MI,2,HE96,heldout,13,100,0.71,0.76,5.000000000000004,0.7092731829573935,0.7599039615846338,5.063077862724031,0.71,0.76,5.000000000000004
OpenBMI_MI,2,HE96,heldout,17,100,0.59,0.52,-6.999999999999995,0.5670995670995671,0.47916666666666663,-8.793290043290048,0.59,0.52,-6.999999999999995
OpenBMI_MI,2,HE96,heldout,18,100,0.7,0.66,-3.9999999999999925,0.7,0.6532027743778049,-4.679722562219501,0.7,0.66,-3.9999999999999925
OpenBMI_MI,2,HE96,heldout,24,100,0.62,0.59,-3.0000000000000027,0.5703301673450927,0.516452411841019,-5.38777555040737,0.62,0.59,-3.0000000000000027
OpenBMI_MI,2,HE96,heldout,25,100,0.98,0.94,-4.0000000000000036,0.9799919967987194,0.9397832195905259,-4.02087772081935,0.98,0.94,-4.0000000000000036
OpenBMI_MI,2,HE96,heldout,29,100,0.78,0.78,0.0,0.7799119647859143,0.779205138498595,-0.07068262873193287,0.78,0.78,0.0
OpenBMI_MI,2,HE96,heldout,36,100,0.9199999999999999,0.87,-4.999999999999993,0.9198717948717949,0.8689384010484928,-5.093339382330209,0.92,0.87,-5.000000000000004
OpenBMI_MI,2,HE96,heldout,37,100,0.75,0.77,2.0000000000000018,0.7406369955389562,0.7647058823529411,2.406888681398489,0.75,0.77,2.0000000000000018
OpenBMI_MI,2,HE96,heldout,39,100,0.72,0.72,0.0,0.7189883580891208,0.719551282051282,0.056292396216128804,0.72,0.72,0.0
OpenBMI_MI,2,HE96,heldout,42,100,0.74,0.6799999999999999,-6.000000000000005,0.7348021215830274,0.6666666666666666,-6.813545491636075,0.74,0.68,-5.999999999999995
OpenBMI_MI,2,HE96,heldout,51,100,0.67,0.6599999999999999,-1.000000000000012,0.6659580929243851,0.6578099838969405,-0.8148109027444672,0.67,0.66,-1.0000000000000009
OpenBMI_MI,2,HE96,heldout,54,100,0.8,0.81,1.0000000000000009,0.7996794871794872,0.8099809980998101,1.0301510920322832,0.8,0.81,1.0000000000000009
OpenBMI_MI,3,HE96,outer,45,100,0.74,0.72,-2.0000000000000018,0.74,0.7106242248863166,-2.937577511368339,0.74,0.72,-2.0000000000000018
OpenBMI_MI,3,HE96,outer,34,100,0.61,0.66,5.000000000000004,0.5953937130407718,0.6458333333333333,5.043962029256144,0.61,0.66,5.000000000000004
OpenBMI_MI,3,HE96,outer,27,100,0.95,0.94,-1.0000000000000009,0.9499549594635172,0.94,-0.995495946351721,0.95,0.94,-1.0000000000000009
OpenBMI_MI,3,HE96,outer,49,100,0.84,0.8400000000000001,1.1102230246251565e-14,0.8383838383838383,0.8357963875205254,-0.25874508633129123,0.84,0.84,0.0
OpenBMI_MI,3,HE96,outer,10,100,0.81,0.72,-9.000000000000007,0.8095238095238095,0.7106242248863166,-9.889958463749293,0.81,0.72,-9.000000000000007
OpenBMI_MI,3,HE96,outer,22,100,0.7,0.66,-3.9999999999999925,0.6980676328502415,0.6532027743778049,-4.48648584724366,0.7,0.66,-3.9999999999999925
OpenBMI_MI,3,HE96,outer,19,100,0.78,0.77,-1.0000000000000009,0.7799119647859143,0.767182913250329,-1.2729051535585345,0.78,0.77,-1.0000000000000009
OpenBMI_MI,3,HE96,outer,16,100,0.87,0.85,-2.0000000000000018,0.8699869986998701,0.8498648783905515,-2.012212030931859,0.87,0.85,-2.0000000000000018
OpenBMI_MI,3,HE96,heldout,4,100,0.83,0.78,-4.999999999999993,0.8279178054458953,0.7742200328407225,-5.369777260517283,0.83,0.78,-4.999999999999993
OpenBMI_MI,3,HE96,heldout,12,100,0.67,0.78,10.999999999999998,0.6515679442508711,0.78,12.843205574912897,0.67,0.78,10.999999999999998
OpenBMI_MI,3,HE96,heldout,13,100,0.79,0.75,-4.0000000000000036,0.78997899789979,0.736036321402175,-5.394267649761497,0.79,0.75,-4.0000000000000036
OpenBMI_MI,3,HE96,heldout,17,100,0.61,0.61,0.0,0.5983935742971888,0.5953937130407718,-0.2999861256416936,0.61,0.61,0.0
OpenBMI_MI,3,HE96,heldout,18,100,0.77,0.7,-7.000000000000006,0.7694235588972431,0.6899545266639107,-7.946903223333246,0.77,0.7,-7.000000000000006
OpenBMI_MI,3,HE96,heldout,24,100,0.51,0.54,3.0000000000000027,0.4221016629319495,0.5279146141215106,10.581295118956113,0.51,0.54,3.0000000000000027
OpenBMI_MI,3,HE96,heldout,25,100,0.97,0.98,1.0000000000000009,0.96999699969997,0.98,1.0003000300029985,0.97,0.98,1.0000000000000009
OpenBMI_MI,3,HE96,heldout,29,100,0.6599999999999999,0.63,-2.9999999999999916,0.6587715776796468,0.6214833759590792,-3.728820172056757,0.66,0.63,-3.0000000000000027
OpenBMI_MI,3,HE96,heldout,36,100,0.9299999999999999,0.91,-1.9999999999999907,0.9299369432489241,0.90999099909991,-1.9945944149014072,0.93,0.91,-2.0000000000000018
OpenBMI_MI,3,HE96,heldout,37,100,0.76,0.8600000000000001,10.000000000000009,0.7477931904161412,0.8594941790445605,11.170098862841925,0.76,0.86,9.999999999999998
OpenBMI_MI,3,HE96,heldout,39,100,0.84,0.75,-8.999999999999996,0.8399359743897559,0.7469379491851402,-9.299802520461565,0.84,0.75,-8.999999999999996
OpenBMI_MI,3,HE96,heldout,42,100,0.6699999999999999,0.74,7.000000000000006,0.6624040920716112,0.74,7.759590792838877,0.67,0.74,6.999999999999995
OpenBMI_MI,3,HE96,heldout,51,100,0.7,0.64,-5.999999999999995,0.696969696969697,0.6305418719211823,-6.642782504851475,0.7,0.64,-5.999999999999995
OpenBMI_MI,3,HE96,heldout,54,100,0.6799999999999999,0.6699999999999999,-1.0000000000000009,0.6788438378161381,0.6624040920716112,-1.643974574452689,0.68,0.67,-1.0000000000000009
OpenBMI_MI,4,HE96,outer,9,100,0.6,0.57,-3.0000000000000027,0.586606035551881,0.562608076492727,-2.3997959059153917,0.6,0.57,-3.0000000000000027
OpenBMI_MI,4,HE96,outer,53,100,0.8200000000000001,0.77,-5.000000000000004,0.818840579710145,0.7647058823529411,-5.413469735720389,0.82,0.77,-4.999999999999993
OpenBMI_MI,4,HE96,outer,7,100,0.73,0.7,-3.0000000000000027,0.7237851662404092,0.6980676328502415,-2.571753339016769,0.73,0.7,-3.0000000000000027
OpenBMI_MI,4,HE96,outer,20,100,0.9099999999999999,0.87,-3.9999999999999925,0.9095568284594513,0.8684077335762729,-4.114909488317842,0.91,0.87,-4.0000000000000036
OpenBMI_MI,4,HE96,outer,41,100,0.77,0.72,-5.000000000000004,0.7647058823529411,0.7189883580891208,-4.571752426382036,0.77,0.72,-5.000000000000004
OpenBMI_MI,4,HE96,outer,46,100,0.69,0.64,-4.999999999999993,0.6615351020853806,0.5863970588235294,-7.513804326185114,0.69,0.64,-4.999999999999993
OpenBMI_MI,4,HE96,outer,21,100,0.9099999999999999,0.88,-2.9999999999999916,0.9097744360902256,0.8799519807923168,-2.9822455297908723,0.91,0.88,-3.0000000000000027
OpenBMI_MI,4,HE96,outer,44,100,0.84,0.83,-1.0000000000000009,0.8368013055895553,0.8270776116366596,-0.972369395289574,0.84,0.83,-1.0000000000000009
OpenBMI_MI,4,HE96,heldout,4,100,0.87,0.84,-3.0000000000000027,0.8699869986998701,0.8376623376623377,-3.23246610375324,0.87,0.84,-3.0000000000000027
OpenBMI_MI,4,HE96,heldout,12,100,0.67,0.67,0.0,0.648,0.6515679442508711,0.3567944250871036,0.67,0.67,0.0
OpenBMI_MI,4,HE96,heldout,13,100,0.73,0.72,-1.0000000000000009,0.7266929851199515,0.7198879551820728,-0.6805029937878682,0.73,0.72,-1.0000000000000009
OpenBMI_MI,4,HE96,heldout,17,100,0.56,0.59,2.9999999999999916,0.537620849096259,0.5849782366636299,4.735738756737096,0.56,0.59,2.9999999999999916
OpenBMI_MI,4,HE96,heldout,18,100,0.6799999999999999,0.64,-3.9999999999999925,0.6798719487795117,0.6363636363636364,-4.350831241587539,0.68,0.64,-4.0000000000000036
OpenBMI_MI,4,HE96,heldout,24,100,0.59,0.5800000000000001,-0.9999999999999898,0.5249681381068243,0.5384615384615385,1.3493400354714247,0.59,0.58,-1.0000000000000009
OpenBMI_MI,4,HE96,heldout,25,100,0.97,0.98,1.0000000000000009,0.9699729756781104,0.9799919967987194,1.001902112060904,0.97,0.98,1.0000000000000009
OpenBMI_MI,4,HE96,heldout,29,100,0.76,0.73,-3.0000000000000027,0.7575757575757576,0.7277951406391774,-2.9780616936580184,0.76,0.73,-3.0000000000000027
OpenBMI_MI,4,HE96,heldout,36,100,0.94,0.9299999999999999,-1.0000000000000009,0.9399759903961584,0.9299369432489241,-1.003904714723436,0.94,0.93,-0.9999999999999898
OpenBMI_MI,4,HE96,heldout,37,100,0.6699999999999999,0.6799999999999999,1.0000000000000009,0.6349153667441089,0.6567996567996568,2.188429005554793,0.67,0.68,1.0000000000000009
OpenBMI_MI,4,HE96,heldout,39,100,0.75,0.71,-4.0000000000000036,0.7442455242966752,0.7050147492625369,-3.92307750341383,0.75,0.71,-4.0000000000000036
OpenBMI_MI,4,HE96,heldout,42,100,0.69,0.69,0.0,0.6783898744683059,0.6862030569895738,0.7813182521267947,0.69,0.69,0.0
OpenBMI_MI,4,HE96,heldout,51,100,0.6499999999999999,0.65,1.1102230246251565e-14,0.6491228070175439,0.6471418489767113,-0.19809580408325367,0.65,0.65,0.0
OpenBMI_MI,4,HE96,heldout,54,100,0.72,0.69,-3.0000000000000027,0.72,0.6897207486738064,-3.027925132619358,0.72,0.69,-3.0000000000000027
