task,model,fold,seed,active_rank,protected_rank,protected_fraction,selected_blocks,protected_coverage,protected_only_WSBA,complement_retained_WSBA,intact_probe_WSBA,full_model_WSBA,PEEH_pp,PSWA_pp,random_only_WSBA,random_complement_WSBA
WBCIC_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,0,0,20,3,0.15,1,1,0.7024999999999999,0.5635,0.7314999999999999,0.7364999999999999,16.224,16.894000000000002,0.5335599999999999,0.715645
WBCIC_MI,B1_SAME_SCALE_63,0,0,20,2,0.1,1,1,0.684,0.6144999999999999,0.715,0.71,10.723999999999995,15.523999999999997,0.52876,0.70258
WBCIC_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,1,0,20,4,0.2,1,1,0.7335,0.5219999999999999,0.739,0.742,19.073,17.0405,0.5630949999999999,0.6824299999999999
WBCIC_MI,B1_SAME_SCALE_63,1,0,20,1,0.05,1,1,0.718,0.514,0.7295,0.7265,23.982000000000006,23.0215,0.487785,0.7233850000000001
WBCIC_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,2,0,20,4,0.2,1,1,0.718,0.52,0.723,0.7245000000000001,21.228500000000004,15.207500000000001,0.565925,0.70357
WBCIC_MI,B1_SAME_SCALE_63,2,0,20,2,0.1,1,1,0.716,0.531,0.713,0.7090000000000001,19.336500000000008,20.506,0.51094,0.6915
WBCIC_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,3,0,20,4,0.2,1,1,0.7115,0.5305,0.724,0.7340000000000001,18.064500000000002,15.105500000000001,0.560445,0.69038
WBCIC_MI,B1_SAME_SCALE_63,3,0,20,4,0.2,1,1,0.711,0.522,0.7130000000000001,0.715,19.847999999999992,15.820000000000002,0.5528000000000001,0.69009
WBCIC_MI,OFFICIAL_FINAL_LITEBN_REFERENCE,4,0,20,4,0.2,1,1,0.708,0.5585,0.7414999999999999,0.7324999999999999,18.7815,14.331,0.56469,0.707475
WBCIC_MI,B1_SAME_SCALE_63,4,0,20,3,0.15,2,1,0.7185,0.4675000000000001,0.726,0.7165,25.233,19.2905,0.5255949999999999,0.6959700000000001
